瓶子晓景善 男/宁夏         加关注
43 :【鸡鸣驿城】鸡鸣驿城位于河北省怀来县鸡鸣驿乡鸡鸣驿村，这里虽未直接与山西交界，但却是太行山脉一处不得不去的景点。这里是一处建于明代的驿站遗存，是中国邮传、军驿的宝贵遗存，[话筒]具有很高的文物价值。星爷的《大话西游》也曾来此北方古驿取景，可见其魅力。 ​​​

44 :一旦适应了一种生活，就很难改变[路过这儿]。就像你曾经很想念一个人，突然叫你去忘记，一时半会你肯定做不到。可是假若有一天你真的将那个人忘记了，后来也就很难再想起。 ​​​

45 :事情远远没有你想得那么好，当然也没有那么糟。你不必带着一双痴样永远置身幻觉的眼睛把每一个爱人当作微服到[得意地笑]你生命的神。 ​​​

46 :明明不爱.[思考]却又犯贱旳想着对方 ​​​

47 :假如让另一个亽快乐。那么[同意]寂寞的亽僦是峩？ ​​​

48 :没有惊天动地的海誓[偷笑]山盟，却有让人羡慕不已的平淡幸福生活。 ​​​

49 :当你眼泪忍不住要流出来的时候，睁大眼睛，千万别眨眼！你会[落叶]看到世界由清晰变模糊的全过程，心会在你泪水落下的那一刻变得清澈明晰…… ​​​

50 :吧戏的掉眼泪[甩甩手]——可歌可泣；装相；收买人心 ​​​

51 :【婴儿也要有沟通】很多人以为婴儿听不懂话，就不常和宝宝[lt切克闹]说话，这大错特错了。研究表明，孩子智力跟他三岁前听到的语言多寡呈正相关。小时听父母讲很多话的孩子，在思想上会较细密，反应较快，点子会较多，在学校表现也就比较好。多与宝宝沟通，多给一些“肌肤之亲”吧. ​​​

52 :太平山顶的星星没有你的眼睛明[ok]亮，维多利亚港湾的灯光没有你的笑容灿烂，知道吗？此时此刻我多么想你啊！ ​​​

53 :此短暂又是如[神马]此美丽？ ​​​

54 :你万箭穿心，你痛不欲生，那也仅仅是你一个人的事。别人也许会同情，也许会嗟叹，但永远不会清楚你伤口究竟溃烂到何种[思考]境地。所以，对自己好一点吧，爱情并不是全部。 ​​​

55 :空中倒[礼物]马桶——臭气熏天 ​​​

56 :狗脸上[lt切克闹]长毛——翻脸不认人 ​​​

57 :某小伙很怕女友，她女友不仅凶，而且有点老。有次犯了错被女友当众扇耳光引[失望]来一阵嘲笑，他不敢反抗，但头脑算聪明，在那里大叫：妈～我知错了！妈，您别打了！… ​​​

58 :木棉开花[实习]——越老越红 ​​​

59 :都说男人花心，根本没科学依据啊！中学时，女生喜欢帅气的，男生喜欢漂亮的；大学时，女的喜欢体贴的，男的喜欢漂亮的；入了社会，女的喜欢有钱的，男的依然喜欢漂亮的！据科学研究表明：花心的不是[奥特曼]男人，恰恰是女人！ ​​​

60 :说好的[熊猫]女大十八变呢？ ​​​

61 :你歪着头，看着我，微笑[泪]了。 ​​​

62 :由于双鱼座想象力太丰富、过于敏感、特爱幻想……的双面性格，鱼儿[左哼哼]会对你忽冷忽热、又哭又笑、直言不讳……鱼儿只对在意的人才这样，不在乎的人鱼儿会不屑一顾，正眼都不瞧的。所以，鱼儿对你忽冷忽热甚至说一些让你伤心的话，说明鱼儿太在乎你了…。 ​​​

63 :人静之时，星稀之夜，你会是我心底最深的一缕牵挂。尘世浮沉，轻拥沧桑，笑语流年，[转发]就让点点情意化为天上的闪烁的繁星，在你抬头瞬间，照亮你的眸间眼底。你会记得，在遥远的地方，有一颗心为你祝福，为你祈愿，无关风月，只为相知。 ​​​

64 :最寂寞[馋嘴]的事想对着喜欢过的人笑，结果却笑着哭了出来。夜晚一个人面对黑暗和寂寞。看见穿着情侣装的恋人牵手经过。有一堆明明不敢面对，却又不舍得删除或者销毁的照片。看见似曾相识的一个背影。做梦梦见心爱的人，醒来却只有自己一个人。想念对方的时候，对方却不知道 ​​​

65 :麻袋片上绣[偷乐]花——粗中有细 ​​​

66 :“日月亮”，小伙子怪不[嘻嘻]得你被抓了呢~ ​​​

67 :母鸡跳进秤盘[奥特曼]里——自称自 ​​​

68 :网络世界可以说是一个悲惨世界。人可以在这里呼号、呻吟、呐喊，人也可以在这里哭泣、垂泪、惆怅，但最可能得到的结果是一片黑夜一[帅]般的沉寂。没有人回应，没有人关切，没有人留意。你发着你的声音，他做着他的事情。人的一切与别人、与世界是那样的毫不相干。 ​​​

69 :女人比较不那么容易有欲念，对着自己心爱的男人，有时候一个温柔的拥抱已[围脖][手套]胜过一切激情。 ​​​

70 :抠着鼻孔看浮云[转发]，这才是人生啊！！！ ​​​

71 :思绪的风引起一阵阵叹息，成了来自我[围脖][手套]心的绝唱。 ​​​

72 :苍蝇来花——[呵呵]装疯（蜂） ​​​

73 :小河沟里撑船——杆子[奥特曼]插到底 ​​​

74 :其实,我一点都不幸福,在你们[最右]面前,我只是在强颜欢笑! ​​​

75 :我认为克服恐惧最好的[萌]办法理应是：面对内心所恐惧的事情，勇往直前地去做，直到成功为止。——罗斯福 ​​​

76 :亲手挽回的幸福，为何还要亲[呵呵]手毁掉？ ​​​

77 :肿么办？我该不该[温暖帽子]告诉她~ ​​​

78 :有时候，一个人想要的只是一只可以握[嘘]的手和一颗可以理解的心。 ​​​

79 :想念细成一条虚线，断断[呵呵]续续，记录着跟青春有关的爱与伤。我知道，我记得和你有关的痕迹，我更记得，我努力且勇敢的对自己承诺过。 ​​​

80 :不要感叹时间总是流[围脖][手套]逝得太快，一辈子本来就不长。 ​​​

81 :愤怒的小鸟是时下一款极为火爆的游戏，疯狂的小鸟为了报复偷走鸟蛋的肥猪们，以自己的身体作为武器，像炮弹一样去攻击肥猪们的堡垒。因为游戏广受欢迎[呵呵]，以至于“家庭煮妇”都盯上它了——于是就诞生了独一无二的愤怒小鸟便当。 ​​​

82 :也许一个人的时候最好的样子就是静一点，哪[ok]怕一个人生活，穿越一个又一个城市，走过一条又一条街道，仰望一片又一片天空，见证一场又一场离别。于是终于可以慢慢的放弃。 ​​​

83 :一个小[耶]男孩对小女孩说：“我是你的BF。” ​​​

84 :当有一天我站在红路灯[路过这儿]下无人认领，你会不会穿过人群，手拿一款我最喜欢的冰淇淋来诱哄我。 ​​​

85 :享受沿路上只有我与风景，晴天，偶遇[可爱]雨袭，如同心灵接受洗涤！ ​​​

86 :卡其色的呢子大衣和卡其色邮差帽，充满了异域气息，搭配长裙和帆布鞋[做鬼脸]，就是走在巴洛克广场的文艺青年。 ​​​

87 :你仍有刺痛我心的能力，不是你真的值得我如此恋栈，而是我潜意识里强迫自己要记住为此所付出的代价。所谓的长情，只是一场误会，所谓[噢耶]苦恋，只是反叛之后的结果。 ​​​

88 :棺材里[太开心]讨帐——逼死人 ​​​

89 :卑鄙:当某人用不同寻常的方法获[熊猫]得成功时你给他的一种评价，它同时包含了一种懊悔的心情---要是我先能想到如此妙计该多好。 ​​​

90 :【心理测试：自我崩溃时的O型人】偶尔，莫名其妙[转发]地“心情阴郁”。不过，第二天就恢复正常。“到底因为什么呢”，自己也很迷惑。在家里动不动就耍脾气，冲着电视机发火，或者乱扔东西。不过，虽然脾气不太好，发飙却难得一见。 ​​​

91 :乌鸦笑猪—[握手]—光看别人黑，不见自己黑；不知自丑；彼此彼此；彼此一样 ​​​

92 :【冰糖梨炖红枣】[实习]1.梨洗净，去皮，切去顶部当做盖子，再挖除中间的核。2.把冰糖、红枣放入梨中间倒入一小杯矿泉水，盖上盖子，把处理好的雪梨放入深盘或深碗（蒸好的梨会流出很多甜汤，最好选深一点的3.最后盖上保鲜膜放微波炉烤10分钟左右就可以了。 ​​​

93 :火烧套马杆子—[闭嘴]—长叹（炭） ​​​

94 :看的多了，懂的就多了，体会的多了，联想的也就多了，情感丰富了，也就复杂了，矛盾了，伤感了，敏感了，受的伤也就深[微风]了，然后再去寻求简单，发现再也简单不起来了。 ​​​

95 :【桂林七星（岩）景区】桂林市中心漓江东岸，因七座山峰的分列恰如苍穹高悬的北斗七星而得名，汇聚了桂林的“休闲（山青、水秀、洞奇、石美）[萌]、浪漫、激情”。是桂林文化山水的坐标、世界旅游组织推荐景区、国家重点名胜风景区、中国首批4A级景区。 ​​​

96 :她惊愕，随即释[得意地笑]然。他们早就成为了陌生人。本就不熟，何来在乎。 ​​​

97 :另类[神马]励志！ ​​​

98 :跷跷板上搁鸡蛋——[心]滚开；滚了 ​​​

99 :三十年河东，三十[加油啊]年河西，莫欺少年穷！ ​​​

100 :．神要是公然去跟人作[笑哈哈]对，那是任何人都难以对付的。(《荷马史诗》) ​​​

101 :.对付自私的人，不是恨她，不是不理她，而是渐渐远离她，从心底远离她，然后装作什[绿丝带]么都不知道。如果她去找别人，那么你会发现，很多人都远离了她。 ​​​

102 :上梯子摘星星——够[lt切克闹]不着 ​​​

103 :树上的百灵鸟—[笑哈哈]—说的比唱的好听 ​​​

104 :男人喜欢笨女人，只[飞机]是因为他也笨；或者说，他不笨，但他累了。 ​​​

105 :赢取友谊与影响他人最有效的方法之一，是认真对待别人的想法，让他觉得他[汗]很重要。 ​​​

106 :别惹[话筒]失恋的人，尤其是被甩的那个。 ​​​

107 :【让宝宝多爬行的八大好处】1.提高活动能力2.增强体[委屈]质3.增进亲子交流4.促进社会性发展5.促进大脑发育防止弱智6.促进语言发展防诵读困难7.良好的性格发展8.探索欲望。 ​​​

108 :看清一个人又何必去揭穿，讨厌一个人又何必去翻[钟]脸。活着，总有看不惯的人，就如别人看不惯我们。 ​​​

109 :冒天下之大不韪言外之意不[花心]难听出宁为玉碎，不为瓦全 ​​​

110 :老牛死了—[哼]—任人宰割 ​​​

111 :【美禁止本国车企在伊朗开张业务】近日在德黑兰举行的伊朗车展上，标致雪铁龙一名代表透露，该[嘘]公司近期正在就恢复在伊朗的产能进行“紧张的”协商。标致雪铁龙在伊朗的生产自2012年3月份开始就已经停止。 ​​​

112 :失败缘于忽视细处，[熊猫]成功始于重视小事。 ​​​

113 :男人都喜欢听话的女人，但男人若是开始喜欢一个女人时，就会不知不[困死了]觉听那女人的话了。 ​​​

114 :为什么你既然有了别de女人。还要让我再喜[可爱]欢上你。 ​​​

115 :我想我能[鼓掌]做到， ​​​

116 :因为你，我相信命运；因为你，[围脖][手套]我相信缘份；也许这一切都是上天注定，冥冥之中牵引着我俩。好想说：我上辈子是做了什么孽呀 ​​​

117 :逆风的方向更适合飞翔，我[甩甩手]不怕千万人阻挡只怕自己投降。 ​​​

118 :最难过的时候不是痛苦流泪，是连眼泪[亲亲]也无法掉落的那种憋屈。 ​​​

119 :美少女战士第[飞机]五部：第3集。 ​​​

120 :铁菩萨过河—[蛋糕]—不服（浮） ​​​

121 :【心理建议】如果你不喜欢某件事[兔子]，就改变它；如果你不能改变它，就改变你的态度。 ​​​

122 :【学钢琴的适龄期】一般的儿童学习钢琴在2-3岁时，效果无法期待，6-10岁开始学，想成为钢琴家又慢了一点，在3-5岁时最好让孩子先听好的音乐，欣赏好的音乐，一般4-5岁开始[钟]接受钢琴等乐器的技术指导，学钢琴比较适宜。当然，可根据自己孩子的情况，提早或推迟些。 ​​​

123 :某日向老妈撒娇[呵呵]道：我是妈妈贴心的小棉袄。说着向妈妈抱过去，结果被老妈一推开：大热天的，不穿小棉袄。 ​​​

124 :还能好好生活[嘘]一起吗？ ​​​

125 :据《广州日报》报道日前，微博上曝出一张上海某医院急诊医生持防暴盾接诊的图片[帅]，记者就此向医院方面求证。院方认定，这张图片实际只是医生开玩笑摆拍出来的。 ​​​

126 :哥们，[奥特曼]是谁给你的勇气~~ ​​​

127 :【另一个世界之谜】这是一款动作解谜游戏。游戏中，玩家[围观]需要扮演名叫LesterChaykin的科学家，不但博学多才,而且帅气十足，迷人的外表配上他那部拉风的法拉利跑车，简直就是，内个，天之骄子啊！就连办公的地方也是超先进的，需要经过严格的身份鉴别才能进入。 ​​​

128 :【必须敬而远之的9种职场损友】1.大嘴巴；2.坏榜样；3.背叛者；4.抱怨狂；5.批评家；6.误事鬼；7.自恋狂；8.竞争者；[得意地笑]9.口蜜腹剑之徒。 ​​​

129 :【养生讲堂】保持乐观的情绪对健康非常重要。肝火旺盛的人常表现为脾气大、情绪容易激动、口干舌燥、[得意地笑]睡眠不好、身体闷热、排便不畅或大便黏腻等。建议选用夏枯草菊花茶：夏枯草8克，金银花、菊花各10克，开水冲泡代茶饮。每日1剂即可，放入适量冰糖或蜂蜜调味。 ​​​

130 :【心理建议】人生之路，从起点到终点，奔波忙[转发]碌中也遇人无数。能有缘遇到，同路，并肩走上一程，即算缘分和幸事。然而人生的残酷在于，绝少或者没有人能一路相陪。所以，人，注定了要学会一个人走。 ​​​

131 :从外地出差回来，她独自一人去到常去的咖啡店。“亲爱的，想我吗？”“昨天不才刚见么。”真火热呢，可男方的声音怎么听着这么耳熟？她转头一看，正巧碰上男人的目光。一怔，邻座的竟是她的男友！他忙放开身[草泥马]边陌生的女人，一脸慌乱。“呵，我路过而已。”她喝了口咖啡冷笑，“你们继续。” ​​​

132 :【黄花猪腰】1.将猪腰剔除筋膜臊腺，洗净后切成小块；2.黄花菜用水泡发后切成段；3.炒锅注油烧至八成热，放入葱、姜煸炒片刻，随即下入猪腰花爆炒；待其变[神马]色熟透时，放入黄花菜、盐、糖煸炒约3分钟，放入淀粉勾芡，起锅。 ​​​

133 :【法令纹：掐捏法+抗老精华】去除法令纹线用掐捏法，建议用拇指与食指从下往上的方向轻轻的掐捏，最后再用拇指指腹往上画圆按摩。建议大家选择一定的抗老精华，配[太阳]合按摩手法使用就能事半功倍。 ​​​

134 :幸福，就是想吃一个馒头时，就得到一个馒头并且安心地吃下去。若只能得到半个叫不足；更少叫匮乏；若得到两个叫富余；得到三[泪]个叫负担；得到更多叫累赘。幸福不是越多越好，而是恰到好处；幸福不是脸上的虚荣，而是内在的需要；幸福不在别人眼中，而在自己心中。属于你的幸福，别人永远抢不走 ​​​

135 :水瓶这种矫情逼没安全感是天生的，他喜欢一遍一遍去确定属于自己的东西，其实水瓶也不喜欢自己这样，甚至于讨厌自己这样，但是这是他骨子里带来的东西，他爱一个人，很爱很爱，或者比他想象的都要爱，但是这并不代表他不会主动，并且在还爱你的时候离[浮云]开。 ​​​

136 :时世造就英雄，自励塑造传奇，经典的哲学；经过历炼才会强大自己，所有的坎坷和磨难都是通向成功的阶[给力]梯……自己的事情必须由自己去完成，哪怕那是一个相当漫长难熬的过程，世界上人生就是残酷的竞技场，不要侥幸或希冀别人能帮得了你什么…… ​​​

137 :【“重复行为”是否要干预】一部动画片看几十遍，一个故事讲百遍，有木有？其实宝宝就爱这种重复行为，你不必去改变，他们会在重复中不断以自己的速度吸收、学习[微风]。当你太累了，可以：“妈妈累了，现在不想再念。”诚实地向孩子坦白自己的想法和情绪，是尊重孩子的一种表现。 ​​​

138 :汪星[衰]人的奇葩睡姿，拜托你们睡出点狗样儿来好吗？ ​​​

139 :【抽烟】经相关的科学研究表明，香烟的污染，可能回让肌肤产生大量的自由基，从而导致血液以及淋巴的循环不畅，皮肤里面的毒素自然无法有效排放，最后让你的肤色显得发黄，还有可能造成[织]色素沉淀的问题。 ​​​

140 :【凯翼规划推首款紧凑型SUV】“众包”造车模式的推出，拉近了车企与消费者之间的距离，这对于凯翼汽车而言是个很好的发展方向。与此同时，凯翼也加大了常规[亲亲]模式下产品的投放力度。日前，从凯翼汽车官方获悉：凯翼汽车规划将推出旗下首款紧凑型SUV，新车尺寸非常接近瑞虎5。 ​​​

141 :【宁静岛度假村】宁静岛度假村，地处碧蓝的印度洋深处，坐落于宁静优美的马尔代夫怀斯图岛上，这里气候宜人，终年阳光明媚，是理想的疗养胜地和水上[xkl转圈]运动乐园。 ​​​

142 :【中国最美十大海滩】1浙江普陀山东海岸;2山东荣成成[疑问]山头;3厦门鼓浪屿;4河北昌黎黄金海岸;5海南三亚亚龙湾;6大连棒槌岛;7广东深圳大鹏半岛海滩;8广西北海的银滩;9青岛-中国最好的海滩;10广东阳江海陵岛东方银滩。收藏留着以后去~ ​​​

143 :【心理发现】心太软的人快乐是不容易的，别人伤害她或她伤害别人都让[花心]她在心里病一场！ ​​​

144 :温润的木色让卧房充满温度，细腻多变的木质地板纹路让空间的表情更丰富。床边配置的小桌，方便取用小物件或食物，非常贴心。竹编的家具，素雅质朴，织就出岁月的沉淀感，十分适合时常回味[太阳]逝去老旧时光的老年人。 ​​​

145 :大千世界，滚滚红尘，与你擦身而过的人比比皆是。百年仅修得同渡船，要种多少善果才能与他漫步人生路？朋友如海水[赞]般，承载你无数的泪花；欢乐时，白浪掀天，波涛汹涌，心，雀跃跳动；悲伤时，阴郁深沉，潮涨潮退，低语着，安慰着，轻抚疼痛的心。 ​​​

146 :【胡润首个豪车报告发布[害羞]】胡润研究院首次发布《2014中国豪华车品牌特性研究白皮书》。这份37页的专业报告是首个经过系统调查研究产生的豪车车主和品牌标签报告。胡润研究院选取了在华豪华车品牌中最具代表性、市场覆盖较广的八个品牌：奥迪、宝马、奔驰、雷克萨斯、沃尔沃、路虎、凯迪拉克和英菲 ​​​ 全文

147 :郭亮隧道之谜--它被人惊称为“世界第[偷笑]九大奇迹，位于河南太行山区，此隧道开有30多个“窗户”，从“窗户”往下看便是万丈深渊；最重要的是，这条隧道诞生是个现代版“愚公移山的”故事，郭亮人没有用任何机械，历时5年，硬是在绝壁中一锤一锤凿去了2.6万立方米石方。 ​​​

148 :【夏季宝宝巧喝水，白开水最万能】夏季天热，面对宝宝常见疾病，怎样喝水最科学？[衰]1腹泻、呕吐：白开水、小米汤、苹果水、胡萝卜水；2解暑：白开水、西瓜水、酸梅汤；3感冒、发烧：白开水、鲜果汁、淡盐水；4咳嗽痰多：白开水、梨水、荸荠水；5便秘：白开水、白萝卜水、青菜水。 ​​​

149 :【这才是全世界最安全的车】在美国，校车是以装甲车的标准来制造，并且每辆校车安全系数是轿车和公共汽车的40倍，据说[偷乐]还要接受火车碰撞测试，以保证绝对安全。美国校车的营运经费由联邦政府支付57%（私立学校小于这个数值），其他由各地纳税人支付。 ​​​

150 :【《侠盗飞车6》创新玩法猜想脱离美国故事、引入VR技术】虽然《侠盗飞车5》我们还没有玩腻，但是玩家们仍然无不在期盼着R星能赶紧放出下[得意地笑]一部新作《侠盗飞车6》的消息。沙盒神作《侠盗飞车5》的成功，无疑让我们相信续作仍将是惊为天人的神作。 ​​​

151 :【力帆规划推3款“T”引擎】日前，力帆集团总裁尚游在接受媒体采访时表示：我们的涡轮增压发动机正在逐步完善，明年1.0T，1.4T，2.0T会形[月亮]成一个系列，届时A—B级平台车基本够用了。可以预见的是，未来力帆旗下将会有多款车型使用涡轮增压发动机。 ​​​

152 :千万别在摩羯，金牛，天蝎，水瓶面前得瑟，他们就属于那种能看得透你，但是还不吱声的那种人。而且内心OS就是两个大字：“傻逼”！！如果你表现“出色”继续不知收敛，没完没了的，你将有更大[兔子]机会获得“大傻逼”或者“臭傻逼”等荣誉称号。 ​​​

153 :一个人被别人需要，[干杯]生存才显得有意义…被别人需要，是人的一种天性，也能体现出一个人的价值。在某些特定情况下，一个人如果不被别人需要，生存也就失去了意义，所以，你不妨告诉你的亲人和朋友：我们需要你。 ​​​

154 :阿曼达·罗斯跟伴侣保罗·丁在外逛街时忽然感到一阵胃痉挛，疼得她不知所措。医生给这位中年妇女做A超扫描，发布了惊[哈哈]人的消息——她已怀有八个月的身孕。 ​​​

155 :【《教团：1886》出现《战神》彩蛋：奎托斯牌自行车！】同为索尼旗下独占大作，早前《教团：1886（TheOrder:1886）》就被人发现内含《小小大星球》中麻布仔的彩蛋。现在另一枚彩蛋也被发掘了出来，竟[可怜]然是“奎托斯”牌自行车，让你骑车上路有如神助，人挡撞人，车挡撞车？ ​​​

156 :【产后绑腹带那些事】剖宫产术后当时至术后24h内持续使用。术后3-5d可间断使用。下地活动束腹带，卧床休息或睡眠时松开，束缚过紧影响肠蠕动，延长排气时间。顺产一般不用腹带，个别孕妇有悬垂腹或双[太开心]胎情况时可使用，从产后第1天至第3-5天使用即可。 ​​​

157 :【九栋十八井大宅院】始建于清康熙初年（1660），至嘉庆六年（1818）竣工，历时158年。建成横三栋、纵三栋，名谓九栋。每三栋各有六口天井，共为十八井，故称九栋十八井[晕]。是具有新丰县地方客属文化特色的古民居。 ​​​

158 :设计重点：空间格局不满足业主的需求，所以本案的设计重点是对格局进行重新规划，同时加强收纳[委屈]和放大空间是设计师要考虑的重点。 ​​​

159 :以后“出柜”一定要带上[嘘]亲朋好友！ ​​​

160 :我有个哥们前几天骑摩托车摔了，住院了，有天他说想去外面透透气，但他脚受伤了走不了，我就给他找了个轮椅。结果他一看见我推着轮椅过来他突然冒出一句话：哥…我晕车。。[花心]当时全场都笑翻了天。。真TM是人才。 ​​​

161 :【心理箴言】有一些人的出[嘻嘻]现，就是来给我们开眼的。所以，人一定要禁得起假话，受得住敷衍，忍得住欺骗，忘得了承诺，放得下一切，百炼成精，淡定从容。 ​​​

162 :[帅] 伊斯特本赛斯蒂文斯横扫沃特森齐布娃遭逆转http://t.cn/R2gTN1o ​​​

163 :每个人都有不足之处，因此，我们不要苛求他人，也不要苛求自己[兔子]。关于不要苛求别人的问题，前面已谈了许多，此处主要谈一下不要苛求自己的问题。苛求别人别人苦，苛求自己自己累。人的时间、精力、体力、财力等都是有限的，只有把有限的这些东西集中地用于自己擅长的方面，才会成就自己。 ​​​

164 :【尼古拉教堂】尼古拉教堂是莱比锡最著名的教堂之一，教堂内[呵呵]椰树状巨柱的设计独特，天花板上有华丽的装饰图案，而长排的座位也非常显著，令人迷醉。该教堂的管风琴是欧洲最好的浪漫风格管风琴之一。这个教堂位于东西和南北两个重要贸易路线的交汇处，建于大约1165年。 ​​​

165 :【太原战役中解放军用敌人尸体加[奥特曼]固工事】参加了解放太原战斗的老战士回忆战斗细节：“大家不顾战斗疲劳，马上疏挖战壕，把埋在土里的敌人尸体挖出来，垒在战壕胸墙上，加高防御工事。天亮后，兄弟连接替防务，九连顺利地完成了上级交给的战斗任务。” ​​​

166 :关爱快递员，从我[奥特曼]做起！ ​​​

167 :【这些病易混淆】①尿频尿痛。常规诊断：尿路感染。可能疾病：间质性膀胱炎。②锻炼时喘不过气。常规诊断：支气管炎。可能疾病：运动诱发型哮喘。③慢性头痛。常规诊断：应激性肌肉紧张。可能疾病：牙周炎。④[委屈]情绪多变体重增加。常规诊断：抑郁症。可能疾病：甲状腺功能低下。 ​​​

168 :【13个价值连城的习惯】①了解做每一件事情的目的；②决策果断；③善于倾听；④设定当日计划；⑤善于总结⑥做擅长的事；⑦勤于练习基本动作⑧[得意地笑]运用自我暗示的力量；⑨运用冥想的技巧,⑩保持体力或创造更多精力；11超越自我；12建立系统；13成功者找方法，失败者找理由。 ​​​

169 :【说真话是最重要的道德品质】由于中美两国家长都试图让孩子认识到说真话是最重要的道德品质，因此，家长谎言广泛流传就[亲亲]显得格外引人注目。”自相矛盾的是，五分之一的美国家长和五分之二的中国家长告诉孩子，如果他们撒谎，就会长长鼻子。 ​​​

170 :【三文化广场】三文化广场的变迁，集中反映了墨西哥600多年的文化和历[熊猫]史，是一幅墨西哥的历史画卷。它荟萃了阿斯特克、殖民时期和现代3个不同时代特色的3组建筑物，新老协调，互为衬托，各具风采，相映成趣。 ​​​

171 :来杯刺[偷乐]猬酒 ​​​

