远任妃正缨 女/福建         加关注
21 :【12星座恋爱最傻的地方--天蝎座】一旦相信就全信,宁可被骗。天蝎座一旦谈起恋爱时感性就会占上风，对另一半非常信任,只要对方说什么他都会相信，即使外面有人跟他打小报告，他也不为所动。 ​​​

22 :听说火星情报局新一季推出了 #火星任务# ，不知道是什么新玩法？ ​​​

23 :由日本公司masunaga设计的一个新产品，眨眼眼镜。主要是为了那些经常整天坐在电脑面前的人们准备，接入电脑的usb接口，如果过了5秒你还没有眨眼，眼镜镜片就会呈现出云雾状，你就看不清了，等你眨眼后，视线重新变得清晰了。对于保护我们的视力，这的确是一个很好的装备。 ​​​

24 :【目屿岛、球尾海上风景区】位于福清市沙埔镇东南部的目屿岛和江阴镇的球尾沙滩，自然条件优越，是海上旅游走廊的理想地带。目屿岛和球尾沙滩，隔水相望，相距约10公里，位轩优越，外贸海轮可从球尾沙滩与目屿岛之间通行。目屿岛风光独秀，海天一色，四周礁石突兀，岛上象形石争奇，植被良好。 ​​​

25 :【小米海鲜排骨】仔排斩小块洗净;葱和姜用温水浸泡葱姜水加入酱油、老抽、蚝油、南乳汁、盐、砂糖、芝麻油，抓拌均匀，小米洗净，拌入排骨，放冰箱冷藏腌渍2-4小时;腌渍入味后从冰箱取出;蒸锅内放足水量，蒸锅上气后放入小米排骨，中大火蒸制60-80分钟，根据自己喜欢的软烂程度来调整蒸制时间。 ​​​

26 :在职业生涯中要多给自己一点信心，对待事情用客观的眼光去发现问题，用积极地心态去解决问题,避免那些致命的不好的行为习惯，一定会让你的职业生涯更加顺风顺水。 ​​​

27 :【百鬼夜行】《百鬼夜行》一款暗黑系僵尸题材横版过关游戏。当年半夜醒来，发现自己独自卧倒在漆黑的森林中，手机无法开机，连手电筒也没有，到处是乌鸦哇哇的叫声。这时你已经饥寒交迫。你需要食物和一个落脚之处，眺望远方，你发现几个亮点，生存的本能告诉你，你要到达那里才能有希望。 ​​​

28 :【彩石溪】彩石溪景区位于泰山西麓，辖桃花峪、桃花源两个景区，面积1173公顷，森林覆盖率达85%以上，素有“泰山森林博物馆”、“泰山小江南”之美誉，是泰山休闲观光胜地。沿徒步游路，曲径通幽，乱石铺阶，浑然天成；随处憩息，石凳石桌，野趣盎然；亲水戏水，舒适惬意，别有洞天。 ​​​

29 :【养生黑木耳红枣汤】黑木耳和红枣一并熬汤，可健脾、驻颜祛斑、健美丰肌，并用于治疗面部黑斑、形瘦。食材：黑木耳10克，红枣10枚。做法：①将黑木耳用冷水泡开，洗净；红枣去核待用；②锅内加水适量，放入黑木耳和红枣，煮30分钟即可。 ​​​

30 :不要等待机会，而要创造机会；没有天生的信心，只有不断培养的信心。只有一条路不能选择——那就是放弃的路；只有一条路不能拒绝——那就是成长的路。态度决定高度，高度决定命运。对自己要狠一点，再狠一点，因为，你要的比别人多，就必须付出得比别人多。 ​​​

31 :【什锦炒饭】1.米饭过油翻炒至粒粒分开。将包心菜，香肠，玉米倒入继续翻炒半分钟左右盛出2.锅中加入少许油，油热将搅拌好的蛋液倒入锅中，半熟时把炒好的其它材料一起倒入锅中，使蛋液沾在米饭上，翻炒数下鸡蛋熟了出锅。 ​​​

32 :【换个样吃沙拉——脆皮水果沙拉】加入适量的沙拉酱水果丁里拌匀。鸡蛋打散备用。将少许拌好的水果沙拉放在威化纸上。卷起。两边包起，封口粘上清水或鸡蛋液，卷好。依次做好。粘上鸡蛋液。再粘上一层面包糠。依次做好其它的。把油烧热，放锅内炸至金黄出锅。 ​​​

33 :【睡前不刷牙小心惹病】如果睡前吃完东西不刷牙，口腔内的食物残渣会滋生细菌，从而导致牙周炎。而上呼吸道、口腔都属于一个“通道”，口腔内的细菌也会引发咽喉炎症。所以，千万别以为刷牙只是牙齿的问题，注意口腔清洁对预防咽炎也很重要哦。你晚上睡觉前会刷牙吗？ ​​​

34 :我也相信爱可以排除万难；只是，万难之后，又有万难。这是我更相信的。 ​​​

35 :【职场拒绝妙招】1.避实就虚法：采用似是而非的话，巧妙封住对方嘴巴。2.另作选择法：和对方商量另换方案,从侧面否定对方要求。3.幽默诱导法：用幽默的话语不露痕迹地拒绝对方要求，免得让对方尴尬。4.寻求谅解法：诚恳、耐心地解释，获得谅解。 ​​​

36 :武大郎上墙头——上不去，下不来 ​​​

37 :微笑在脸上泛滥，昰不昰就预示着不会悲伤。 ​​​

38 :学习就像爬山。爬上这一座头，还有另一座更高的山，永无终点。 ​​​

39 :那时候，他们挤在一间八平米的小房间。那时候，他们出入靠双腿和公交。那时候，他会忍着口水将碗里的肉挑给她。那时候，她会下班后在寒风中摆地摊只为给他买件体面衣服。……后来，他功成名就，锦衣玉食，有了年轻漂亮的新妻，一切如意……却再也没有过，那时的舒心。 ​​​

40 :自从几年前认识了你，我就深深爱上你。你那火辣的激情，时刻在我唇边回味！多谢你：麦当劳麦辣鸡汉堡 ​​​

41 :【凉拌麻辣牛肉】做法：1）牛肉焯水之后，放入压力锅内，放入老抽、花椒、八角等卤料，压半个小时。2）卤好之后，牛肉浸泡在卤水中越2个小时再拿出来切片。3）牛肉放入碗中，倒入蒜水，放入老抽、陈醋、小米辣。4）放入自制油辣椒，放入葱花、香菜、花椒粉。5）放入芝麻油拌匀即可。 ​​​

42 :红格子衬衫搭配皮草外套，温暖又时尚，再配上深蓝色牛仔裤和雪地靴，十分显瘦又亮眼。 ​​​

43 :照相要严肃点 ​​​

44 :【腰果饼干】1.黄油软化后分次加入糖粉搅拌均匀，再分次加入鸡蛋搅拌至完全融合，滴入香草精2.低粉和奶粉混合过筛后用刮刀翻拌均匀，倒入腰果碎拌匀即成饼干面糊3.把面糊倒入长方形的盒子里填满填平，放进冰箱冷冻半个小时以上4.取出切片，放入烤盘，入烤箱200度，10分钟。 ​​​

45 :这位童鞋......你的笑容实在太有内涵了！ ​​​

46 :合，敷在脸部15分钟(避开眼部周围)，然后用温水洗净。功效：让皮肤柔软、光滑、有光泽，牛奶有消炎美白肌肤的作用，适用于中性肌肤。 ​​​

47 :【米饭团去皱】取一些软的、温热的不会太烫的米饭揉成团，放在脸部轻柔，可以把皮肤毛孔内的油脂，污物吸出，直到米饭团变得油腻污黑，然后用清水洗掉，可以减少皱纹。 ​​​

48 :对领导者而言，不但要有春风化雨般的亲和力，打造敬畏力也尤为重要。敬畏力的源头来自于领导者对价值观的坚持，需要去通过展示权威的肢体语言可以加强领导者的敬畏力。 ​​​

49 :【“职”道】①空虚无聊的时候就读书，在低落和空闲的时候，你最能静下心来学习；②做一个简单的人，平和而执着，谦虚而无畏；③不庸人自扰，不玩弄心计，不打坏心眼，但偶尔可以现实和虚伪一下,因为大家谁都不喜欢硬邦邦的人；④懂得倾听别人的忠告，懂得分辨别人的赞美。 ​​​

50 :【红军山】青山埋忠骨，史册载功勋。中华人民共和国成立后，遵义人民不忘长征途中在这里牺牲的红军将士，在小龙山上修建红军烈士公墓，将烈士遗骸陆续集中迁至山上，同时把早已远近闻名的“红军坟”，从桑木桠也移到小龙山。从此，遵义人民习惯把小龙山称为“红军山”。 ​​​

51 :【飞饼肠仔卷】将飞饼皮从冷冻室取出，略微回温，稍变软后分割成约2.5厘米宽的条；将黄油刷在飞饼皮上；取一条，将肠仔1个卷成卷，放在铺好油纸的烤盘中；将所有切好的饼皮都卷好，放在烤盘中，上部刷上蛋液；烤箱预热至180度，烤盘放入，约10分钟表面金黄。 ​​​

52 :【凉拌海带丝】1.取泡发好的柔软的海带切丝，在开水中焯一下，沥干水分2.加蒜泥、葱末、盐、糖、酱油、陈醋、香油、味精芝麻拌匀3.另起油锅，下入切好的红椒，油热后迅速离火，热油和辣椒浇入拌好的海带上。 ​​​

53 :【杭州西湖】西湖美景五月天，刚进入夏天的西湖，总是用绿意盎然的样子来迎接每一个人。游西湖也是有讲究的。有句老话在杭州妇孺皆知：日西湖不如夜西湖，夜西湖不如雨西湖。如此看来，雨西湖在西湖该是最盛。 ​​​

54 :【韩式辣白菜豆腐汤】1.豆腐切块，白菜、辣椒切条;2.锅内放橄榄油烧热;3.放蒜爆香;4.放入辣椒翻炒;5.放辣白菜翻炒;6.豆腐放在白菜上面，加入清水;7.倒入辣白菜水，盖盖煮7八分钟;8.如味道淡，加盐，关火撒香菜。 ​​​

55 :女神和女屌丝的区别 ​​​

56 :【苍岩山】苍岩山群峰巍峨，怪石嶙峋，古树名木，清泉碧湖，构成了奇特、幽静、秀丽的自然景观。千年古刹福庆寺以悠久的历史和卓越的建筑艺术构成奇异壮观的人文之美，使之享有“五岳奇秀揽一山，太行群峰唯苍岩”之美誉。苍岩山位于河北省石家庄市西南50公里，地处井陉县境内，总面积63平方公里。 ​​​

57 :想排挤我~毛嗲嗲说了，不用管白猫黑猫，抓住老鼠就是好猫。 ​​​

58 :是慢动作 ​​​

59 :两只老鼠打架~打着打着就忘记了。。。 ​​​

60 :最酷的口语──只含一个单词的英文句子。我们也可以把英语讲到酷。 ​​​

61 :当你每天为养家糊口而奔走工作时，应该感谢上苍，因为你拥有家人；当你和TA发生矛盾争吵的时候，应该感谢对方，在茫茫人海中能够和你一起面对人生；当我们没有汽车代步而骑自行车的时候，我们应该感谢上苍，让你拥有健康；当你听到父母的唠叨而飞奔出门时，应该感谢上苍，因为你家中还有老人可以尽孝 ​​​

62 :北京草场地荔空间4月25日周三下午4时《黑与红：超越颜色》非洲裔荷兰摄影家安杰拉个人摄影作品展媒体会现场。 ​​​

63 :不可不知的9道解酒令：蜂蜜水→酒后头痛；西红柿汁→酒后头晕；新鲜葡萄→>酒后反胃、恶心；西瓜汁→酒后全身发热；柚子→酒后口气；芹菜汁→酒后胃肠不适、颜面发红；酸奶→酒后烦躁；香蕉→酒后心悸、胸闷；橄榄→酒后厌食。 ​​​

64 :孤独是我们心灵深处的影子，与思想同生，与灵魂共舞。孤独不可怕，没有了孤独，我们的思想就无法分娩，我们的灵魂就难以休憩。我们一路走来，在孤独中寻找着美，寻求着希望。沉陷在孤独中，我们把自己溶为雕塑，把黑夜酿成风景。不要拒绝孤独，有了孤独的陪伴，我们能够慢慢地成长并成熟。 ​​​

65 :只要在珠宝盒中放上一节小小的粉笔，即可让首饰常保光泽:-) ​​​

66 :十大润肤食物 吃这些能提亮肤色：1.蜂蜜 2.胡萝卜 3.三文鱼 4.海带 5.牛奶 6.大豆 7.猕猴桃 8.含胶原蛋白丰富的食物（蹄掌类、肉皮等） 9.西红柿 10.西兰花 ​​​

67 :睡前用最便宜的化妆棉加上化妆水完全浸湿后，敷在脸上20分钟，每周3次，你的皮肤会有想不到的水亮清透喔！ ​​​

68 :一个小时的车程，到达横店下车就是一家连一家的土菜馆，对面一条街都是宾馆木有出租车、黑车、三轮车。。。于是，步行前往影视城到路口发现，原来有好多好多不同景点，就如坑爹的小商品城！！路过第一个景点：明清民居博览城，见最后一张图，直接忽略掉#靓靓在路上# ​​​

69 :人性弱点就是想占有，想占有自己喜爱的一切东西。但人又是有思维的，这种思维随时都在变，没有一种情感是永恒不变的。所以，不要奢望你能拥有很多，用一种平常心态去欣赏一个人，就象欣赏一幅画一样，你会很快乐，也会很坦然。 ​​​

70 :心理成熟的标准：1.能与同龄人建立和谐的人际关系。2.在行为上能够扮演适当的性别角色。3.接纳自己的身体和容貌。4.情绪表达渐趋成熟独立。5.有经济独立的信心。6.能够选择适合职业。7.认真考虑选择婚姻对象。8.达到一个公民所需要的标准。9.乐于参与社会活动。10.建立起自己的价值道德。 ​​​

71 :有时候，明明自己心里有很多话要说，却不知道怎样表达；有时候，自己的梦想很多，却力不从心；有时候，别人误解了自己有口无心的一句话，心里郁闷的发慌；有时候，心里突然冒出一种厌倦的情绪，觉得自己很累很累；有时候，发现自己一夜之间长大，却看不到自己未来的样子，迷茫的不知所措。 ​​​

72 :李孝利做客韩国节目坦承与韩创作歌手李尚顺的爱情故事，公开两人清纯合照。且她表示对方越看越帅，是自己主动展开追求。而男友被韩国观众批太丑，两人也被韩媒体评为“美女与野兽”第一名。 ​​​

73 :爱情中最伤感的时刻是后期的冷淡，一个曾经爱过你的人，忽然离你很远，咫尺之隔，却是天涯。曾经轰轰烈烈，曾经千回百转，曾经沾沾自喜，曾经柔肠寸断。到了最后，最悲哀的分手竟然是悄无声息。 ​​​

74 :这只应该算是草泥马中的神兽。不但牙齿突破的地球引力，还弄了个时尚的离子烫！ ​​​

75 :看看，是不是应该肃然起敬！ ​​​

