若松会 男/其他         加关注
18 :【你洗对头发了吗】看起来简单的洗发动作，做错的人竟然出乎意料的多。1用宽齿梳梳通头发；2，温水冲洗头皮、头发；3，将洗发精搓揉起泡再涂于头顶，以免刺激头皮；4，用指腹按摩画圈的方式洗净头皮，不要大力抓挠；5，从发根清洗到发尾；6适中的温水冲净，水温过高会刺激头皮过度分泌油脂。 ​​​

19 :银染回宫后依旧每日赏花看月醉歌，可是渐渐的她发现母后看她的眼神充满了担忧，终极一日，母后将银染叫到身边，染儿，我们南国靠你了，父王母后无能，唐国攻打南国，快到江城了，最多不过10日，就要兵临城下。 ​​​

20 :一次我去食堂吃饭，看见一对小情侣。突然男的看见女的脸上有饭粒，于是问道：“你脸上有饭粒，我可以帮你去掉么？”女生脸红红的说道：“不行，除非有很多。”于是我站起来将那女生的头摁进餐盘里，飘然而去。加油吧学弟，学长只能帮你到这了。 ​​​

21 :“你爱我么？”她问。“只要你开心，我什么都愿意做。”他说。“你爱我么？”她问。“全世界都误会我我也不怕。”他说。“你爱我么？”她问。他良久没有说话，许多年后，她似乎想起他的低语，“我会拼尽全力保护你，可是我却不能拥抱你，这是爱吗？” ​​​

22 :接下来的时间花心思用真心去看明白才知道原来其实并不合拍 你后悔了才知道收不了手 ，所以说什么事都急不得 水滴才能石穿呢 ，一认识就能拉着你的手说要当一辈子的好朋友的人给你 你能信？ ​​​

23 :猫和猪是好朋友。一天猫掉进大坑，猪拿来绳子，猫叫猪把绳子扔下来，结果它整捆扔了下去。猫很郁闷的说：这样扔下来，怎么拉我上去?猪说：不然怎么做?猫说：你应该拉住一头绳子啊!猪就跳下去，拿了绳子的一头，说：现在可以了!猫哭了，哭得很幸福。有的人不是很聪明，却值得你终生拥有。 ​​​

24 :【痤疮（青春痘）】的主要临床表现为黑头粉刺、白头粉刺、炎性丘疹、脓疱、结节、囊肿，易形成色素沉着、毛孔粗大甚至疤痕样损害。影响美容，严重者可导致毁容，给年轻人造成极大的心理压力和精神痛苦。本病的早期发现、早期治疗很重要。及时规范的诊治，可以避免或减少皮肤的损害。 ​​​

25 :“哥，我饿了，做饭给我吃”，“哥，那件衣服好漂亮，买给我”，“哥，有人欺负我”，“哥…”，哥哥摸着妹妹头“你想要的，哥哥都会满足你的”，“哥哥我以后长大了嫁给你好不好”，“好啊”，直到有一天“哥，这是我男朋友”， ​​​

26 :“我是死都不会抛弃她。” ​​​

27 :战神梵兮，吾命你速去魔界，除去新一届妖王浮生，免去六界动乱！令下，不得有误。“梵兮，一个妖女怎可让你战神负了天下，负了六届！何苦落的这般田地，” ​​​

28 :　　女友：我们能分手吗？男友：不可以。女友：为什么？男友：就像这食堂的包子。你咬了一口，人家肯给你换吗？女友：可你没我想象的好。男友：就像这食堂的包子。你本来想吃肉包，拿错了，咬了一口是菜包，想换又不给你换，难道扔了？凑合着吃吧。女友：噢…… ​​​

29 :【卸妆油和婴儿油去黑头】用一些卸妆油或者婴儿油助于清除黑头，把卸妆油或者婴儿油擦在鼻头上，然后按摩鼻子，注意卸妆油不易太多，会堵塞毛孔。按摩中会有小颗粒被揉出来，这个时候用面巾擦拭掉即可，按摩后再次清洁肌肤。 ​​​

30 :哥，你有喜欢的人么？有啊。哥，他是做什么的？在同一个公司每天都能看见呀。哥，他是怎样的人啊？很漂亮，很可爱，很讨人喜欢。还有呢？跳舞很棒。还有呢？人气很高。还有呢？会给我煮拉面？还有呢？还有呢？……呀！死小子，成天变相让我表扬你，看我怎么收拾你。 ​​​

31 :黑色的呢子大衣十分修身，搭配紧身裤和针织衫，温暖又显瘦。 ​​​

32 :皮夹克是所有硬汉的首选，皮夹克总是带着一股硬朗的风气，将男人刚毅硬朗的一面完美的展现出现。与竖条纹的搭配更是在一种无形中塑造了一种精干的男人味，一双黑色的皮鞋让你这一身造型看起来更加的成熟稳重。 ​​​

33 :【毕业季面试之眼妆打造要点】1：将粉刷在上眼皮，增加甜美柔和的感觉。切记不要涂抹过度，否则会让眼皮肿肿的。2：眼线不要夸张化，描绘出让双眸更具神采又没有明显妆感的内眼线最佳。3：用自然纤长效果的睫毛膏刷两层来修饰即可。 ​​​

34 :有那么一个盲了的女孩，她一无所有，只剩下她男朋友，男朋友问她：“如果你眼睛好了，能和我结婚吗？”女孩答应了。很快，女孩可以移植新视角膜，也很快回复视力，但她发现她男朋友也是盲的。男朋友向她求婚，女孩拒绝了，最后男孩只下一句话:”Take care of my eyes.“ ​​​

35 :时尚点评：如果你的身材非常曼妙迷人，穿上印花的紧身套装也很不错哦，毕竟印花的紧身单品还真不多见。 ​​​

36 :【盐】盐具有消毒杀菌的作用，同时还控油，去角质化很有用。建议用浴盐去除角质化，因为食盐中含有钠会让肌肤变得干燥，这对鸡皮肤来说可不是一件好事。方法：1.准备好适量的浴盐。2.将浴盐加入到洗澡水中，混合溶解。3.选择温和型的沐浴乳来搓洗。建议：一月使用三次即可，太多会损害肌肤。 ​​​

37 :“你儿子在我手里，把钱打到……”我打断对方，“你是说上个月离家出走那小子？”“……对！”“你是说月考总考倒数第一那小子？”“……对！”“兄弟，撕票吧，真的！”“是亲爹吗？”“我妈要是知道我还在上高中就生了一个跟我一模一样的儿子，非把我撕票了不可！”“……” ​​​

38 :【消除眼皮浮肿:牛奶+醋】做法：用适量牛奶和醋加开水调匀，然后在眼皮上反复轻按3~5分钟，再以热毛巾敷片刻，眼皮瞬即消肿。简单一点的，可先将两片化妆棉浸以冻牛奶，然后敷在浮肿的眼皮上约10分钟，再用清水洗净即可。 ​​​

39 :“再见，等我四年。”“再见，放长假时，我会看你的，”在机场，他去送她，他们远隔千里，在不同大学。四年里，他一年比一年冷，最后一年里，他甚至不理她了，一毕业，她去找他，他处处躲着她，她终于明白，原来，他说再见是再也不见。 ​​​

40 :“你爱我么？”她问。“只要你开心，我什么都愿意做。”他说。“你爱我么？”她问。“全世界都误会我我也不怕。”他说。“你爱我么？”她问。他良久没有说话，许多年后，她似乎想起他的低语，“我会拼尽全力保护你，可是我却不能拥抱你，这是爱吗？” ​​​

41 :15岁那年他遇到了他。他比他大11天，却在不知情的情况下喊了他好久的哥哥。他说，被他从背后拥抱有恋人的感觉；他说，如果手断了我做你的手腿断了，我做你的腿；他在外人看来冷酷却只在他面前羞涩脸红；他在外人面前官方又坚强却只在他面前露出脆弱。十年二十年，平凡的日子里只做彼此的唯一。 ​​​

42 :她本是女儿身，却因为母亲从小便做男人。他与她是好友，欢喜她的妹妹。她问过他为何喜欢自己妹妹，他回答她妹妹从小就没人怎么关心她，大人都只关心她。所以，他要好好疼她妹妹。她满心苦涩：你只知她不受关注，又怎知我的辛苦。一日一日的扮着男子，连喜欢你都不能说. ​​​

43 :张起灵一生只哭过三次。一是西 藏喇嘛寺里，藏海花海中永恒的三日静寂。二是陨玉背后，终而看见自己全部过往时铺天盖地涌上来的绝望。三是长白山上，漫天飞雪里，在他终于狠下心转身，去前一秒，吴邪望着他满头雪花，突然伸手碰了碰他头发上的雪笑着说：“张起灵，我便是这样与你白头”。 ​​​

44 :奶奶回忆道:当年，他是班长，用暑假打工赚的钱买了一辆自行车，载着班花四处兜风……哦，我明白了，奶奶您是班花，爷爷是班长吧？！我插嘴道。奶奶没搭话，继续讲述:这辆自行车他仅仅显摆了两天，就送给了班里的兰瑛，他说，兰瑛家里穷，她家离校最远……哦，那一刻，我决定要嫁给你爷爷！ ​​​

45 :不想起身，你来拉我。 ​​​

46 :二货要整哪样 ​​​

47 :【冷茶包去除眼角纹】我们喝过茶就会将用完的茶包丢掉，其实将茶包好好地利用起来也可以去除眼角纹。每次泡完茶以后，将用过的茶包放凉冷却，然后用薄毛巾包好敷在眼睛上五分钟，也有去除眼角纹的效果。 ​​​

48 :看到这睡姿你想起了谁 ​​​

49 :【青椒炒玉米】1.将玉米棒上的玉米掰下来，也可以省事用现成的玉米粒，洗净待用，青尖椒、红尖椒洗净切成小丁待用；2.炒锅烧热，放油，烧至8成热时，放入玉米粒炒匀，一直翻炒将玉米粒炒到表面略微焦糊；3.放青椒、红椒粒一起翻炒半分钟，放入盐和糖调味即可。 ​​​

