凌家妹子很强大vpii 女/上海         加关注
10 :注册网站我有个习惯，要求写真名的时候，注册Sina我就填袁新浪，注册Yahoo我就叫袁雅虎，注册Baidu我就写袁百度，注册Google我就改袁谷歌。[话筒]今天接到个电话，问：是袁建设小姐吗？我知道，建设银行把我的个人资料卖掉了… ​​​

11 :【四物药炖排骨】1.当归，熟地，川芎，白芍各15克，药材无需先洗。2.猪肋排洗净，放入沸水中汆烫去血水，再次冲洗干净备用。3.大煲锅中加入1000毫升冷水，放入药材[害羞]，猪肋排，倒入米酒，大火煮开后转成小火，煲1个半小时即可。 ​​​

12 :【这样穿就对了】透视纽扣连[咖啡]衣长裙+平底凉鞋+细腰带。 ​​​

13 :没有金刚钻就别做小短裙，看介麻麻给孩儿做的衣服[呵呵]。。。话说应该很暖和。 ​​​

14 :真实，是人生的最高境界。人生的欢乐来[瞧瞧]自我们的新体验，生活从来不会刻意亏欠谁，人生就是一种承受。时间是一个过客，记住了，遗忘了；生活是一个漏斗，得到了，失去了；迷惘是一种态度，放纵了，收敛了；生命是一种坦然，也哭了，也笑了 ​​​

15 :#早安#幸福就如那一瓶普通的矿泉水，你在第一次喝的时候，没什么感觉，和其他的一样，但是当你尝过酸甜苦辣咸各种滋味之后，你再来喝那一口那个矿泉水，你会感慨，这就是幸[不要]福的感觉。 ​​​

16 :point：一件柔和风衣搭配，使得整[酷]体造型女人味立刻上升，即使是普通的卫衣也能穿出新意。 ​​​

17 :设计师把汽车上的安全带运用到了[睡觉]家里，通过在墙上安置一个类似安全带的东西，将钥匙串上的铁片插入进去，就可以牢牢的扣上了。把它放在醒目的位置，再也不用担心找不到钥匙或者出门忘记带钥匙了。 ​​​

18 :【DIY电饭煲蒸排骨】1.排骨洗净沥干，斩成寸断；2.入蒜末、盐、老干妈辣酱、生抽、料酒、红[太开心]尖椒腌1小时以上；3.腌排骨时把米洗净，等排骨腌后，把米饭放入电饭煲中，加好水，上面放入蒸格，把排骨放碗中连同腌的酱汁一同放入蒸格中；4.盖盖，按下煮饭键，等煮饭键跳起后焖15分钟。 ​​​

19 :上厕所也要拍，有没有拍[可怜]够啊~~ ​​​

20 :某学校召集全体教授大会，这学校有一个习俗，不[熊猫]喜欢称呼什么教授，都简称什么授，大会开始，主持一一邀请教授上去演讲，当请到某位教授上去演讲时，全场在坐的捧腹大笑，请问为什么？因为主持人说：下面有请秦授（禽兽）！ ​​​

21 :某个想摆脱女友的人找到凶杀顾问：“有什么好办法摆脱女友？”“有啊！只要使洗衣机，电冰[雪人]箱短路就行了。用湿手一沾，立刻完蛋。”“这可不行。家里做饭洗衣服都归我干。” ​​​

22 :生命之宴该是如此吧！我对生命中的涓滴每有一分赏悦，上帝总立即赐下万道流泉；我为每一个音符凝神，他总是倾下[熊猫]整匹的音乐如素锦。生命的厚礼，原来只赏赐给那些肯于一尝的人。 ​​​

23 :【后藤圭二监督原创[good]动画「超时空机器人MEGURU」企划始动】由后藤圭二监督的原创动画企划「超时空机器人MEGURU」宣布始动。后藤圭二因出任过「机动战舰」等作品的作画监督而知名。而动画制作将由曾制作「无头骑士异闻录」「一周的朋友」的Brain'sBase公司负责。 ​​​

24 :【12星座的爱为何变质】白羊：只想新鲜刺激，没耐性；金牛：有物质基础了再恋爱；双子：爱情没啥大不了；巨蟹：爱情不能带来家的温暖；狮子[馋嘴]：不能没尊严；处女：眼里容不得沙子；天秤：物质欲望强；天蝎：激情逝去；射手：自由；摩羯：贪财；水瓶：友情更稳定；双鱼：被现实打败。 ​​​

25 :【《300英雄》新内容曝光三位新英雄加入】入宅永无悔，动漫一生推！全球首款人气动漫英雄对战网游《300英雄》，5月30日开[帅]启圣杯测试，新区“圣杯战争”同步开放。此次测试将新增三名新英雄，分别为完美从者十六夜咲夜、白夜叉坂田银时、机巧少女夜夜。 ​​​

26 :鑫，的头像一直[飞机]都是个雪天里堆积出来的雪人，朋友都说他幼稚，他一笑而过。 ​​​

27 :处女座12月13日周六：今天的你受到月亮入宫的影响，内在满满是能量，也充满了温馨的情怀，对於你爱恋的对象你特[萌]别体贴呵护，和他有甜蜜的互动，爱情运好到令人十分满意。你也对於很多事物产生关怀之心，适合帮助别人担任倾听和诉说的角色。幸运颜色银色幸运数字5速配星座牡羊座 ​​​

28 :【洋葱还有这些亲戚】大葱，它的辣味比洋葱淡，煮熟后味道更加柔和。细香葱，在摊蛋饼、做汤的时候放一点，能带出一点洋葱味，并有鲜香味。大蒜，比洋葱的水分低，糖[咖啡]分更高。它们在风味和保健价值上和洋葱都有相似之处。 ​​​

29 :【留意β胡萝卜素】β胡萝卜素是一种有效的纯天然抗衰老的抗氧化物，[顶]它是新鲜的黄色和红色食物中的一种色素，在人体中转化成维生素A已生成新的细胞。可以从杏、桃子、油桃、甘薯、胡萝卜和绿叶蔬菜中摄取。 ​​​

30 :喵星人又多管闲[赞]事了居然给小哈当麻麻 ​​​

31 :【西施生死之谜】西施是中国古代四大美女之首，也是中国第一位女间谍。而做为越之功臣，吴之罪人的西施最后的结局如何，则众说纷纭。有人说被勾践沉江。而民间传说较多[神马]的是被越国大夫范蠡暗暗接走。而在《史记》这部具有权威性的史书里，尽管有范蠡的详尽记载，却找不到有关西施的只言片语。 ​​​

32 :枕着好基友的胳膊，[ok]睡得好 ​​​

33 :【二条城】二条城，一座坐落在日本京[赞]都的历史古城，曾经是幕府将军在京都的行辕，是德川幕府的权力象征。如今，二条城也被联合国教科文组织定为世界文化遗产。每年，都会有数以万计的游客前来目睹这座曾经的日本中央集权机构所在地。该城修建于1603年，直至1939年时，二条城才正式属于京都管辖。 ​​​

34 :【注意最佳时间】巧干可以减少时间的消耗和精力的消耗，所以巧干这一方法在执行的层面里，要巧干难免是要提[兔子]到一个重要的因素就是选择最佳时间。在"合适的时间做合适的事情"本就是中国一句老话，其实这句话也是适用于今天的办公室生活。 ​​​

35 :一个人的心原是世界上最寂寞的地方，每个[耶]人都渴望被爱，如果没有爱别人，则没有人会被爱。 ​​​

36 :在工地吃饭，整天水煮萝卜、水煮白菜的，就吃了一顿[害羞]带肉的，后来听说是大厨师傅切到手指了…… ​​​

37 :身着月下云锦，款款而来。眉间一抹朱砂，在纯净中映出了些许妖冶。她美得似九天之女。看着他震惊的眸，她笑问：我可否与你回家？　他毫不犹豫牵起她手。一步一步，他的府邸衰退，直至颓败。她看着他的落魄，凄惨一笑：当初你弃我而去，我的[委屈]十里红装换成了你的左握重权，右拥美人。 ​​​

38 :你的员工是否只是使用不同的方法做事，但是效[给力]果是一样的,批评某人或某人的工作之前，你应该做的第一件事就是问自己,真的有必要吗？要决定你感觉需要说或做的事情，真的能保证得到改正。 ​​​

39 :【紫菜凉拌白菜心】1.紫菜手撕成条；用开水泡开；捞出沥干水分，摊凉2.白菜心切丝和紫菜混合，添加盐、糖、生抽、香醋和香油拌匀；姜切丝、大蒜剁成[ok]末；起油锅，用小火炸香姜蒜末，趁热浇在紫菜上即可。 ​​​

40 :无论爱带来多少伤害，我都将熬成勇气的源泉，在下一个天亮之际，遇见更美好的人。其实，对于我们，最好的爱情是，所有的结局都写好了，我们的故事却永远不会开始。只是关于你，我只想说，我[月亮]们相遇的地方有点窄，而在这韶华光阴里，有太多美好的女孩，来与我一同路过，来与你相遇。仅此而已。 ​​​

41 :流量，而且这也是[可爱]包月的！ ​​​

42 :【不要传播仇恨】离婚这是大人之间的事情，不需要也最好不要把你们彼此得恨灌输给孩子，让孩子从小就产生心[来]理上的负担，让他去敌视一方，这样是伤害彼此之前亲情的做法，这样的孩子长大后，很大一部分出现心里上的疾病，从此走上一条不归路。 ​​​

43 :天秤座有善辩的口才，被别人误会的时候却不爱解释。不要问为什么，就是不爱解释。不喜欢伤害任何人，宁愿伤害自己。前景不乐观时会对喜欢的人冷静的说恨话，会口是[泪]心非。吃软不吃硬的一族。你软，秤子就对你没脾气。你硬，秤子就比你还横。 ​​​

44 :【好事多磨？游戏「侠盗猎车手5」PC版再跳票至4月14日】一直期待着在PC上玩「侠盗猎车手5」的朋友们看来还是需[奥特曼]要再多等待一些时间了。近日，R星官方表示PC版「侠盗猎车手5」将要将发售日期由原来的3月份延后至4月14日。 ​​​

45 :【这几件事记得告诉孩子】1平安成长比成功更重要；2背心，裤衩覆盖的地方不许别人摸；3生命第一，财产第二；4小秘密要告诉妈妈；5不要[嘘]喝（吃）陌生人饮料和糖果；6不要与陌生人说话；7遇到危险时可打破玻璃，破坏家具；8遇到危险时可自己先跑；9不保守坏人的秘密，坏人可以骗. ​​​

46 :彼岸花开的妖艳、此岸人活的苍白。路，走过才知长短；人生，经历过才懂悲喜。底气有多足，没有人比你自己更清楚。去[干杯]走自己的路，输要输得清清楚楚，赢要赢得理所当然。 ​​​

47 :【清炒竹笋】竹笋剥去皮，除去老的部分，切成薄片或丝，备用；烧热锅，放植物油，烧至九成热时，放葱（切末）入锅内煸香；将竹笋、姜切末、盐放入锅内，翻炒至笋熟时，加味精，再[汽车]翻炒几下，起锅装盘。 ​​​

48 :【女性易吃醋的真正原因】婚姻关系中，适当吃醋能吸引对方地注意，也能促进双方沟通情感，并无大碍。但当醋坛子被打翻，醋意大发时，就要警惕了[奥特曼]。当伴侣出现失眠、烦躁等症状时，可能就会影响双方感情，伤害婚姻关系了。女人吃醋4个原因：较强占有欲；缺乏安全感；后天因素影响；缺乏自信。 ​​​

49 :【心理文摘】一个明媚的微笑就能成就一段动人的爱情，可婚姻却是实在的，生活与电视剧最大区别在于，电视剧中男女主角历经千辛万苦终于结婚了，此时这幕戏即已闭幕。而生活中男女主角走进婚姻[赞]，这幕戏才刚拉开序幕。 ​​​

50 :【纯味土豆泥】1.准备材料，土豆，胡萝卜。2.将土豆去皮洗干净，切成薄片，上蒸锅蒸熟。3[吃惊].将蒸熟的土豆迅速拿出，放入容器中压成泥，热的时候土豆泥比较好压。4.将胡萝卜切成小块加入土豆泥中。5.将盐，味精，放入土豆泥中搅拌均匀。最后加入小葱和香菜，即可食用。 ​​​

51 :编辑点评：空间虽然相对较小，但一张超人漫画的壁纸，为空间增添了不少活力以及热情。儿童房的特质通过这张热血漫画彰显无[草泥马]遗。 ​​​

52 :【如何让员工心怀梦想】1）目标必须具体鲜明：即使半夜叫醒员工他也能回答；2）必须坚持不懈谈论组织梦想,要说到被当成废话为止；3）要对每个人传达企业梦想[心]，尤其是基层员工，而非只同自己最接近的同事交流；4）员工酬劳一定要和实践企业的梦想挂钩，别拿“面包总会有”糊弄人。 ​​​

53 :【财源[浮云]滚滚】莲藕切薄片泡在水里防止氧化变黑；姜、蒜拍碎，淋入白醋，葱撕成细丝泡在水里；用红绳把藕片穿上；锅下水烧开，把藕串放入煮片刻；把藕串放在凉水中过冷河；藕串沥干水份；沥干水份的藕串放下盘中摆好形状；把含有姜蒜醋汁、泰式甜辣酱、盐、鸡精、的酱汁淋在莲藕上，撒上葱丝，淋上 ​​​ 全文

54 :????人家孩子都是抱着玩具、布娃娃睡[咖啡]觉，我女儿都是搂着面包、饼干、娃哈哈睡。睡到半夜起来大哭：“小梨，我的小梨。”去厨房拿了下午买的梨给她，马上安静地搂着睡到天亮。看来吃货是天生的！???? ​​​

55 :【DolphinPa[握手]radise】3D的游戏画面华丽而绚烂,在一片虚拟的环礁湖下，玩家可以体验喂养、训练海豚与鲸鱼的逼真感受。并且还可以给它们起名字、指挥它们做各种动作。游戏操作简单，你可以上传自己饲养的海豚照片到Facebook与好友分享。 ​​​

56 :【首乌炖蛋】1.首乌加清水500毫升，文火煮1小时2.[睡觉]弃药留汁，与鸡肉姜倒入蛋中加盐、黄酒、味精适量，搅匀，上笼蒸熟。 ​​​

57 :真正好的爱情，就[钟]是＂不费力＂。不需要刻意讨好、努力经营，两个人已是顺其自然的舒服。如果一段情、一个人，得让你耗费巨大的精力来取悦，这已注定不是能陪你到最后的缘分了。最爱你的人，不会舍得你如此辛苦 ​​​

58 :【超能动物联盟】天马行空的奇思妙想，漫威式的英雄人物，《超能动物联盟》让你边玩塔防边看漫画。故事的起源竟然是一块来自外星的神奇晶石。贪婪邪恶的博士Walter意外[握手]得到这块晶石，利用晶石对动物进行生化实验，妄图用变异动物军队统治世界。 ​​​

59 :【我需要支援】刚开始其实是教学关卡，所以小士兵要向前[花心]走很久，很久除了不断召唤、收集身边的队友之外，我们都看不见障碍，也看不见敌人，这的确会让人陷入迷茫，不过当走过这段空白过后，又是一片新的天地，满屏幕的障碍、敌人在不远处等待着大家。 ​​​

60 :【厨房小技巧】[绿丝带]1、煮水饺时，水开后加点盐，饺子就不粘连；2、炖肉时，加几块桔皮，可除异味和油腻；3、煮骨头汤时加一小匙醋，可使骨头中的磷、钙溶解于汤中，并可保存汤中的维生素；4、煮牛肉时，加点醋可使其软化。厨房中的小技巧会帮你不少哦！ ​​​

61 :【培根土豆焖饭】1.大米洗净沥[奥特曼]干，土豆去皮切粒用水浸泡。2.培根、南瓜、胡萝卜切粒。3.炒锅倒橄榄油，入培根炒出香味，放土豆炒片刻。4.加南瓜和胡萝卜炒，加生抽、鸡精炒匀关火。5.大米和炒过的食材入电饭锅，加水，按煮饭键焖20分钟，开盖淋入香油拌匀。 ​​​

62 :【应聘者的[江南style]7大指标】1.沟通技能。能通过书面和口头语言有效地影响他人；2.进取心和热情,有动力和雄心、能够证明自己的确出色；3.成功经历；4.理性思考过程；5.成熟度，能应付复杂的局面；6.面对压力，并能在压力下焕发勃勃生机；7.计划与组织能力，以及控制自己行为的能力。 ​​​

63 :【《盗墓笔记》动画启动！南派三叔欲打造最强国产动画系列】《盗墓笔记》可以说是盗墓题材小说中人气最高也是最为经典的一部，自同名改编电视剧开拍以[泪流满面]来就受到大量粉丝的关注。而日前，又有一个重磅消息公布：《盗墓笔记》动画正式启动！ ​​​

64 :【10招让你拥有最佳工作日】1、以15分钟的思考开始一天,2、把工作和生活目标紧密结合,3、明智地使用上下班时间,4、让微笑定格在你的脸上,5、表达积极的心态。6、首先做那些重要的事情。7、避[偷乐]免消极的人。8、不要工作太长时间。9、平静下来，放松。10、以每天15分钟的感恩结束每天。 ​​​

65 :【酸奶的营养价值】酸奶除含有牛奶的营养素外，突出的特点是含有丰富的乳酸，能将奶中的乳糖分解为乳酸。对于胃肠道缺乏乳酸酶或喝鲜牛奶容易腹泻的人，可改喝酸奶。[嘻嘻]乳酸能抑制体内霉菌生长，预防使用抗菌素类药物所导致的菌群失调，还可防止腐败菌分解蛋白质产生的毒物堆积，有防癌作用。 ​​​

66 :【早教践行】美国学者JohnGottman博士观察大量亲子沟通发现，“情绪教导型”父母所养育的孩子，其情绪管理能力较强。这类父母的特点是：1.自身表现出较多的积极情绪；2.能觉察到孩子的情绪；3.能接纳孩子的消极情绪；4.重视与孩子之[馋嘴]间情绪沟通，讨论心情成因；5.引导孩子解决现实问题。 ​​​

67 :【舒适度第一！国外厂商推廉价虚拟现实眼镜--Viewbox】虚拟现实设备在2014年一下子火了起来，有媒体[哼]预测VR设备将在2015年成为游戏行业的一个主流。日前，又有一家厂商推出了自己的VR设备--Viewbox。这款设备其实并没有什么过人之处，最大的亮点就是其舒适度和低廉的售价。 ​​​

68 :【乔治城】华盛顿市的一个组成部分，那里保留了不少十八、十九世纪的建筑物，是个非常有情调的地区。这一带不仅是有名的观光区，还集中了许多小型餐厅和服饰店，中心地带的威斯康辛大道更是华盛顿的购物天堂。游客要来乔治城最好是在午后，先沿着河[得意地笑]岸漫步，欣赏沿途风景，随后找家小咖啡店坐 ​​​

69 :【奥迪11月20日四款新车发布】从一汽大众奥迪官方获悉：全新奥迪Q7将在广州车展中正式亮相，随后于年内在[草泥马]中国上市。另外奥迪还将带来TypeD“银箭”和R18e-tronquattro两款赛车，以及一款TTconcept概念车。 ​​​

70 :【爽口木耳】1.泡好的云耳，芥末，醋，一品鲜2.把云耳倒入一个盆里，用开水把他烫熟，不用烫太久二十秒就能熟，久了就没口感3.熟了把水沥干4.拿个碗，加入一品鲜酱油[吃惊]，香醋，香油，芥末膏5.把芥末打膏打化6.淋在木耳上即成。 ​​​

71 :他削竹成箫，拾木为琴，吹尽逍遥，奏尽静好。时常烹茶煮酒，对空举杯，饮尽一世纷扰；时常挥毫作画，执笔攥书，绘尽山清水秀，谱尽气象万千。鲜有人知他，亦鲜有人寻他，唯友人常対弈与他。寒舍外一地落红无人打理，他却自醉其中，袖中淡淡竹香抵[太阳]过了乱世中纸醉金迷。眠时与皎月道安，起时与流霞 ​​​

72 :酒驾男子为逃避处罚当众脱裤假装“方便”！5月1日下午，当涂一驾驶员酒后驾[困死了]车被查后一路狂逃，见前方一条沟渠无法越过，竟立即解开裤带，就地上起了厕所，企图蒙混过关，结果被民警当场识破。 ​​​

73 :【圆子红豆羹】糯米粉中[太阳]逐渐加入40ml清水，和成不黏手的面团，分成1cm大小揉成圆子，入沸水中煮熟3分钟左右，捞出后泡在凉水里;红豆清洗干净放入锅中，倒入1500ml清水煮沸，小火慢煮70分钟左右，要不停搅拌以免糊锅;煮至红豆开花软烂后加入冰糖，大火催煮10分钟，使其翻沙变浓稠，加煮好的圆子关 ​​​

74 :【巫术3】《巫术》系列是基于国外人气游戏书战斗幻想系列《战斗幻[囧]想》（FightingFantasy）创作而成的冒险解谜游戏，有着浓厚的美式风格，拥有庞大的3D地图和专为移动设备触屏功能而设的战斗系统。 ​​​

75 :【jdm64离开mouseSpaz俱乐部】Josh"jdm64"Marzano在其个人推特透露已经离开mouseSpaz俱乐部。mouseSpaz在FACEITjohnWickCSGO邀请赛决赛上不敌Denial，最终收货亚[花心]军。随着CEVO第六赛季的临近，mouseSpaz对阵容进行改变，jdm64透露自己已经离开了队伍。 ​​​

76 :【注意场合】经常会看到一些人在电梯里跟同事或朋友说公司里面的事情，这个是一个很不专业的行为，[转发]因为不管你是在你办公室的电梯还是在客户公司电梯，跟你一起乘坐电梯的人有可能是你上司的朋友，重要的客户，你称赞公司可以，但是反对或不满的话语千万不要在电梯里面说。 ​​​

77 :【心理测试：12星座的隐形特性】你[咖啡]知道自己星座隐藏着哪种特性么？快来看看吧。 ​​​

78 :【游戏陪玩女为何提供线下服务？中介：单纯陪玩会赔本】现在玩游戏的人越来越多了，其中男性玩家的数量也是日益在增长，于是出现了一个叫做[沙尘暴]“游戏陪玩”的新职业。那些游戏陪玩女郎十分受宅男们的喜爱，而且陪玩价格不菲。 ​​​

79 :红旗展[最右]台上的靓丽车模! ​​​

80 :【对付慢性子宝宝的5个对策】1.孩子动作慢,可以通过游戏加以改变.2.让孩子与自己比赛.3.父母可以采用记数法来督促孩子抓紧时间完成某件事情.4.如果给孩子表扬的方法没有效果,就可以使用硬性规定的办法来达到改变动作慢[good]的目的.5.通过合理安排时间的办法提高时间的利用率。 ​​​

81 :【木瓜银耳汁】1.银耳用清水浸泡至少2小时，泡发后摘去老根，洗净撕成小片;2.木瓜去皮去籽切小块;3.将银耳和木瓜倒入豆浆机，加水至水位线，用米糊功能或是五谷功能都行;4.打好的银耳露加入冰糖搅至溶解，冷却后再挤入一个柠檬[呵呵]的汁;5.冰镇味道更好。 ​​​

82 :"茶花不衰鹤长情，本 是天长地久配"。 ​​​

83 :二段横踢第四张Project专辑发表，主打曲《香水》由K.Will和Noel全宇成共同演唱！李昇基出演MV，歌曲将无法忘记离开恋人的记忆，和她的香气比喻为香水，缓缓的钢琴旋律与雄壮的弦乐完成抒情曲风。 ​​​

84 :游戏王 怪兽之决斗：第2集。 ​​​

85 :托蒂连忙抬起头，用手挡在前额上朝着空中眺望，嘴里还不停的叫着在哪儿？在哪儿？…… ​​​

86 :“最强音”刘明辉《我所幻想的未来》MV，世界太浮躁，未来太渺茫，但这份追求幸福的心一直在！ ​​​

87 :杜淳助阵叶蓝新书《请叫我女王之秘密》发布会,称李晨已走出失恋阴霾。 ​​​

88 :最搞笑的美女跨栏比赛，钻栏底推倒栏架各种欢乐，这比赛可是充满了娱乐气氛啊！！ ​​​

89 :【英雄联盟之每日悲剧TOP3第294期 卡特惨遭野怪秒杀】 ​​​

90 :之后他父母就会对我说：“给你一千万离开我的女儿，够不够？ ​​​

91 :飞碟说年终盘点第一弹！任性的人啊···那么多，为何不能多我一个？哦~~没钱！ ​​​

92 :傲霜《跟着感觉走》，老歌新唱，唱出新感觉、新味道，值得一听哦！ ​​​

93 :【两岁的足球宝宝】切尔西队后继有人啦！守门员Ross Turnbull的两岁宝贝儿子Josh Turnbull在众人助威声中打入个人金球一枚。小家伙听到全场的欢呼还有点儿楞了，随后果断举起双手庆贺！这是要萌死谁啊？！哈哈~ ​​​

94 :“总是听你说，她有一双爱笑的眼睛，和一颗温暖的心，你为她深深吸引，我看在眼里，你的爱不用说也能猜···”---万芳《割爱》。 ​​​

95 :群星悬疑错位恶搞《人身密码》错得离谱。明明是贾宝玉的身，怎么就变成了周星驰的声音？明明是唐僧的身，怎么变成了他的声音？离谱搞笑的群星悬疑错误··· ​​​

96 :室友：从我的角度来说——关我屁事！ ​​​

97 :《我是歌手》茜拉早前翻唱adele《Rolling in the deep》曝光！真是亚洲罕见的欧美嗓，真心赞爆！ ​​​

98 :军哥低着头小声地说：“我昨晚吃的是鲍鱼……” ​​​

99 :Jay Park朴宰范最新单曲专辑歌曲《JOAH》完整MV公开，Clara出演女主角。美丽的西雅图，感性音乐配上梦幻氛围，一切太美好喽！ ​​​

100 :【华语音乐最值得收藏十五首演唱会LIVE合集】梅艳芳-夕阳之歌、梁静茹-问、beyond-光辉岁月、张学友-我真的受伤了、王杰-谁明浪子心 、李宗盛-爱的代价、陈奕迅-好久不见、张宇-给你们、张惠妹-如果你也听说、王力宏-如果你听见我的歌…… ​​​

101 :当粑粑偷了宝宝的鼻子以后···小家伙太可爱了，爸比~~你怎么可以这样对我呢？！ ​​​

102 :神奇的纸雕刻~~翻开那一刻我和小伙伴们都惊呆了！不是最新，但绝对屌炸天啊！！ ​​​

103 :真的碉堡了，网友上海话歪批ChinaJoy，好狠好犀利好霸气啊，又一屌丝神作！快来看看吧！ ​​​

104 :“你是我草原最帅草泥马，高富帅请你快点来，快点过来，悠悠地啃着最炫草原风，让幽幽的草泥马爆开……”如此最炫民族风恶搞，听过么？四个雷人女生的最炫民族风恶搞，草泥马呀！ ​​​

105 :新技能get，如何把自己化妆成人见人爱花见花开车见车载的甜心小辣妹~~学好后下半辈子有块镜子就能过活了！ ​​​

106 :由Infinite南优贤和SHINee Key结成的Toheart组合首张迷你专辑收录曲《Tell Me Why》MV公开！Infinite李成烈的亲弟弟李大烈出演，歌曲讲述男人拒绝离别的心情，此外Toheart将以该曲继续活动。 ​​​

107 :魔兽6.0随从新手向视频：获取及任务分配 ​​​

108 :悬崖上的金鱼公主。 ​​​

109 :【英雄联盟之米时米刻62期 女朋友再也不能融符文了】 ​​​

110 :苏打绿演唱《The Lonely Goatherd》+《山顶黑狗兄》的live版！《The Lonely Goatherd》是电影《真善美》中最著名的插曲，而《山顶黑狗兄》则是一首台语经典歌曲，早期由台语歌大师洪一峰翻唱，后开因为哈林庾澄庆的改编而大紅。 ​​​

111 :这个火辣辣的夏天，或许又会别样的心跳回忆！你准备好迎接了吗？叉系翻唱一首《夏天的味道》，送给大家！~ ​​​

112 :睽违三年的麦子霸气归来，Miley Cyrus新歌“We Can't Stop”MV首播！眼看这小妮子出落得越来越前卫大胆，诱惑性的肢体动作尽显诡异，骄奢的派对风潮，骇人的重口味，单纯的孩子要小心了！~ ​​​

113 :悲催！橄榄球猛男掉进树丛难以自拔，众队友来帮忙，人生处处有意外啊，下次可得小心喽！ ​​​

114 :“我，眼中的自己，每一天，都相信，活的越来越像我爱的自己；我，心中的自己，每一秒，都愿意，为爱放手去追寻，用心去珍惜...”李玟的《自己》，清澈的声音，好美的感觉~ ​​​

115 :林志玲参加节目录影北漂保安强抱，尴尬露强笑，亲切和男子自拍，让不少粉丝超嫉妒。 ​​​

116 :有着美妙的声音的韩国DSP公司重点打造的甜心美女组合KARA，用声音传达一种喜悦，用舞蹈诠释一种青春活力！~——Kara《バイバイ ハッピーデイズ》舞蹈版 ​​​

117 :【《十二生肖》主题曲MV 成龙跳“二字舞”】画面中，王力宏不仅延续一贯的阳光帅气形象，而且卖萌耍宝，戴上胶框眼镜与十二名小学生一起上“生肖课”。 ​​​

118 :家里面有个小孩子就是很欢乐，对不对呢？哈哈哈~不开心时看看！烦恼和忧愁很快就会没拉！超级可爱宝宝搞笑视频！ ​​​

119 :《相亲相爱》天下相亲与相爱，动身千里外心自成一脉，今夜万家灯火时，或许隔窗望梦中佳境在 。。。浓浓的情谊，浓浓的幸福。 ​​​

120 :萌宝打电话，笑死个人！宝贝~~你这说的是火星语吗？跟我们说说，电话那头到底是谁啊？ ​​​

