0wiuj8e4 女/云南         加关注
31 :付出真心，才会得到真心，却可能伤的彻底；保持距离，才能保护自己，[挤眼]却注定永远寂寞。 ​​​

32 :多少次听我们听过的[good]歌，多少回走我们走过的路。 ​​​

33 :该不[弱]该只有我决定 ​​​

34 :中科院最新研究成果表明，使用手机前将其在[抓狂]纯净水中泡上1分钟，可完全避免手机电磁波对人体的辐射！ ​​​

35 :我警告你离他远点，我已经很收敛了，等我爆发的时候你就得准[耶]备变成碎渣子了。 ​​​

36 :明明看透[坏笑]了很多人却不能轻易翻脸. ​​​

37 :跌倒不算是失败，爬不起来才[委屈]算是失败。 ​​​

38 :大师傅打蛋[笑cry]——各个击破 ​​​

39 :喜欢你是冲动[爱你]拴不住的狗 ​​​

40 :有一种思念让天涯不在遥远，有一种牵挂让旅途不再孤单，有一种祝福让[吐]寒冷变得温暖，有一种幸福就是和你相识的那一瞬间！ ​​​

41 :射箭没靶子——无[泪]的放矢 ​​​

42 :扳不[右哼哼]倒坐到烧饼上——面上人 ​​​

43 :老鼠偷饺子—[摊手]—一个个来 ​​​

44 :喝最烈的[神马]酒去最好的医院抢救。 ​​​

45 :诚实是一个人得以保持[哈欠]的最高尚的东西。 ​​​

46 :已立志[怒骂]为君子，自当从事于学。凡学之不勤，必其志之尚未笃也。 ​​​

47 :女人这一生，最看重的永远是婚姻。女人会把婚姻的成功当成是人生最大的成功。其实，很多姑娘，并不是不敢裸婚，只是害怕柴米油盐浸透浪漫，爱情在贫贱面前无处容身。一个男人，可以不[嘻嘻]够有钱，但一定要给你爱的女人信心。 ​​​

48 :其实一个人也很好，可[猪头]以哭可以笑可以没烦恼，可以吵可以闹也不要依靠。 ​​​

49 :思念像关不上的门，风吹时总是摇曳作响[亲亲]，空气里有幸福的味道，才会那么疼那么想念。 ​​​

50 :有时候真想把疏[左哼哼]远的人拖回来问句为什么。 ​​​

51 :把手[悲伤]机扔了，抱上我吧！ ​​​

52 :骄傲的活着[悲伤]，这才是我们每一个人应该要做的事。 ​​​

53 :可怜的[睡]小白兔。。。。 ​​​

54 :房上的草——刮[伤心]来的种儿 ​​​

55 :今天在小区看见几个后的小盆友过家家，一小男孩说：我当老公，一小女孩说，我当老婆，另一个小女孩想想后说，那我只能做小三了！…我和我的小[哈欠]伙伴们都惊呆了，现在的小盆友真彪悍 ​​​

56 :想要成功你!必须自己制造机会，绝不能愚蠢地坐在路边，等待有人经过，邀请你同往财富与[睡]幸福之路。 ​​​

57 :说有上辈子的人那是在骗自己；说有下辈子的人是在[可怜]骗别人。 ​​​

58 :当你能飞的时分就不[钱]要抛却飞。 ​​​

59 :带着感恩的心启程，学会爱，爱父母，爱自己，爱朋友，[话筒]爱他人。 ​​​

60 :相爱的人会在感情的曲折里一起成长，相爱的人不会因为一句分手而结束，更不会因为一个错误就真的做到一次不忠百次不容。一路下去爱越来越深，只会深深的相爱着，牵手一直不[可爱]分开。 ​​​

61 :假如你是一棵仙人掌，我也愿[闭嘴]意忍受所有的疼痛来抱着你。 ​​​

62 :爱是人世间最美好的情感，也是人世间最迷人的渴望。男人倘若被一个女人执着的爱，[心]那是一种福气。 ​​​

63 :我告诉自己，要独立，要坚[耶]强，要勇敢，要活的漂亮，要让自己永远善良。 ​​​

64 :一个人走在街头，想着温柔的某某某[赞]，你离开了我，我该怎么做? ​​​

65 :土地爷下水——自[亲亲]身难保 ​​​

66 :你笑着流泪放我走，突然我感觉天[馋嘴]塌了。 ​​​

67 :我们都已回不去了，回不去那年青葱岁月，回不去那单纯美好，回不去那天真[思考]骄傲。 ​​​

68 :上山砍柴卖[威武]，下山买柴烧——多一道手续 ​​​

69 :如果你想我哭，凭恐吓就能够，而你其实不必真[喵喵]的走。 ​​​

70 :宠利毋居人[钱]前，德业毋居人后。 ​​​

71 :如果理智[哆啦A梦微笑]的分析都无法支持自己做决议的时候，就交给心去作主吧！ ​​​

72 :火烧裤裆——痛不可言；说不[二哈]得；坐不住；坐不稳 ​​​

73 :投资对于我来说，既是一种运动[二哈]，也是一种娱乐。 ​​​

74 :有钱男子汉，没[弱]钱汉子难！ ​​​

75 :男女性内[左哼哼]涵符号~~ ​​​

76 :有事直接奔主题，不要拿你[喵喵]的无知，挑战我的黑名单 ​​​

77 :人们说：爱一个人是不求回报的。但是我却要你给我回报让我在有生之年把我的爱全[话筒]部送给你！ ​​​

78 :今天给我剪刘海的帅哥老叫我闭着眼睛，感觉要准备接吻似[生病]的！ ​​​

79 :猴子吃麻搪——[太开心]扒拉不开 ​​​

80 :伞兵跳[兔子]伞——一落千丈 ​​​

81 :老虎吃羊羔——[抓狂]不吐骨头 ​​​

82 :水道眼贴对子——门[哆啦A梦花心]头不高 ​​​

83 :让你进入完美意境的音乐《Calling》，一首十分悦[兔子]耳的歌曲，温柔的思念让人爱怜，一声声呼唤动人心魂；同时，又不是一味的消沉，Geri Halliwell游走在感性与知性的边缘，音色中偶尔掠过的沙质感更为这首歌多添几分意韵。 ​​​

84 :韩国粉红系[鼓掌]新女团Tint卖萌出道曲《一见钟情》MV公开，歌曲用轻快的电子旋律来表达恋爱中少女的心情。 ​​​

85 :好听的轻音乐，《最终幻想[奥特曼]》钢琴曲。 ​​​

86 :人类无法阻止00后KTV飙歌，夜店小天后，超萌眼镜娘，还献上完美舞蹈，我完全被H住了[雪人]！！！！ ​​​

87 :后街男孩Backstreet Boys六年后重聚深情献唱经典情歌I Want It That Way！大合唱！唱起来！！！看[干杯]到Kevin唱的时候，全场一片尖叫！！！飙泪啊！！ ​​​

88 :我想，在爱上你之前离开你[温暖帽子]，就不会难过了吧。 ​​​

89 :【天降之物】 第二季：第6集，被美丽的自然所包围的小镇，空美町。住在那里的樱井智树是一名将“和平第一”作为标语的普通学生。不过，自从某日从天空中掉下一位名为伊卡洛斯的女孩，他平静的日常生活开始脱轨了。自称 “娱乐用万能天使”的她，将降落后见到的第一位人类，也就是智树称呼为“主[喝多了 ​​​

90 :DOTA2离[雪花]子解说 iceiceice风骚机智的大哥炸弹人 ​​​

91 :【放开那小狗 它要睡觉觉！】艾玛这小汪星人昨晚[思考]干啥了，居然困成这样！主人快去治疗吧，让伦家碎会觉！！ ​​​

92 :世上再没有别种类型的音乐能像凯尔特音乐能激发如此广泛的情感，这就是凯尔特音[太阳]乐勾人心弦的特殊魔力，舒缓动人的爱尔兰风笛Flowers，笛声悦耳，美不胜收。 ​​​

93 :【OGN每周英雄[嘻嘻]联盟TOP10第1期 大魔王新队友萌萌哒】 ​​​

94 :大热真人秀节目“裸身约会”的一名参加者起诉VH1母公司Viacom，要求赔偿其1千万美金，因为该网络在播出一场摔跤场面时没有在她的私处打上马赛克。 ​​​

95 :【5个好习惯让皱纹晚出现】随着年龄的增长，皱纹会找上我们，皱纹的出现和生活习惯保养密切相关。看看5个习惯，能帮我们延缓脸上皱纹的出现：①防止皮肤表面干燥②防止过量的紫外线照射③足够的睡眠④防止过分刺激⑤保持平静恬淡的情绪。 ​​​

96 :【亲子关系中应严守10要诀】1没有两个人是一样 2一个人不能控制另一个人 3沟通意义取决于对方回应 4孩子学习来自家长行为和情绪，而非指令 5所有行为必有其正面动机 6有更好方法，每个人定会追随 7凡事总有至少三个解决方法 8成长是学习过程 9帮孩子成长而非替孩子成长 10爱不可作为筹码。 ​​​

97 :【CivCrafter】本作有点像一个模拟经营的游戏，因为你的主要任务是收集资源并善加利用，不过在此基础上，又融入了更多新鲜有趣的玩法，比如你可以打造自己的军队，与其他阵营展开激战,抢夺地盘。此外，游戏主打呆萌可爱的画风，令人倍感亲切。 ​​​

98 :Amorous Amazon Dragon’s Crown Ero-Cosplay。 ​​​

99 :示范搭配：蓝色透视网纱层叠连衣裙+短款牛仔夹克+厚底鱼嘴凉鞋，厚底鱼嘴凉鞋这个搭配比较失败，换一双清爽的高跟凉鞋或者高跟鞋那就完美了。 ​​​

100 :一秒钟变小熊！萌翻了有木有啊？ ​​​

101 :【吃得咸】食盐是经肾脏通过尿液排出体外的。摄入太多盐会加重肾脏负担，诱发肾病。世界卫生组织建议一般人群每日食盐量不应超过6克，在此周主任提示，6克的量我们很难精确衡量，所以推荐大家每天的食盐量比以前减少一半为佳。 ​​​

102 :【荣华龙凤礼饼菌落总数超标 李禧记一款杏仁饼含致癌物】8月20月广东省质监局组织对生产环节食品及食品相关产品进行专项抽检。检测结果公布，共抽检产品1381批次，质量不合格产品81批次。81批次的食品中有9个佛山品牌食品不合格，其中包括粤港澳老字号李禧记和荣华。 ​​​

103 :巴哥犬的孩子被人抱走；小猫的妈妈吃了耗子药。小猫饿得喵喵叫，很是凄惨。看见晒太阳的巴哥犬，悄悄往前凑，试探地含住乳头。巴哥犬爱抚地舔着小猫的身子、头。吃饱了的小猫，在太阳下撒着欢；巴哥犬不错眼珠地盯着。偶尔，还和小猫一起嬉戏。 ​​​

104 :【培养有主见孩子:让孩子学会提要求】父母都把孩子教育得过于听话乖巧,会使孩子变得胆小依赖,甚至没有主见.家长应鼓励孩子提出自己的想法,多问问孩子“你;觉得怎么办好”“你认为怎么样?”,不一定顺从他的意思,但要给孩子发表意见的机会.同时生活中避免使用严厉的词汇挫伤孩子自主性。 ​​​

105 :有些人再喜欢也不是你的，再留恋也得放弃。 ​​​

106 :很多事情，之所以最终没有办成，不是能力不足，不是时机不好，而是稍有挫折就产生畏难情绪，然后就不了了之。 ​​​

107 :【川岸殴鱼小说《人生》TV动画化确定 今年7月开播 】此前宣布动画化企划中的川岸殴鱼原作轻小说《人生》今日确定为TV动画，并预定2014年7月开始播出，消息来源于第7章封面。《人生》是由曾以《邪神大沼》系列荣获第3回小学馆轻小说大奖的审查员特别奖的川岸殴鱼创作的轻小说。 ​​​

108 :merve kahraman 设计的Regenerator是一款泡泡灯具，木质底座里面有一个泡泡机，灯具开启后，会不断的冒出各种形状的泡泡，在灯光的照射下格外美丽。灯具关闭后，泡泡会变成液体，流入底部收集杯中，下次启动时重新使用。 ​​​

109 :【参与人数最多的“多人绑腿跑”游戏】日本福冈市，共有1,039名参与者一起参加“多人绑腿跑”游戏。该项纪录是由(0946) G-challengers（日本）完成的！！ ​​​

110 :【极速枢纽】《极速枢纽 Pivvot》是一款“极简”风格的作品，这一点表现在游戏内容的方方面面。游戏的画面主要由三部分组成：或曲或直的轨道、移动的小圆点及它投射出的大圆点、形状不规则的障碍物。 ​​​

111 :【全国70％钻石批发价仅3折 外国工艺实为深圳制造】同样一枚钻戒，在大连买，比北京和上海贵了1倍，差价十分惊人。钻戒的底价到底是多少？珠宝商家们的利润有多少？笔者在本地暗访的同时，笔者的同事赶赴全国珠宝加工基地深圳，从钻戒加工和生产源头，为市民揭秘钻石的价格真相。 ​​​

112 :【引爆福克斯赛车】新福克斯CTCC赛车的驾驶舱把原车上的所有内饰都拆除干净，并加焊了赛车用防滚架，安装了赛车座椅，并后移至B柱位置。全车的用电设备都被有序的置于驾驶舱内，让新福克斯CTCC赛车的驾驶舱充满了战斗的气息。 ​​​

113 :【美国自然历史博物馆】世界上规模最大的自然史博物馆，占地面积为7公顷，位于美国纽约曼哈顿区。该博物馆始建于1869年，迄今已有100多年的馆史。此外，这里还是《博物馆奇妙夜》、《侏罗纪公园》等电影的拍摄地以及《老友记》中Ross工作的地方，所以每年吸引着无数自然、电影爱好者前来游览欣赏。 ​​​

114 :【灰烬之旅】在游戏当中玩家索要控制的是一个发光的小正方体，由于整个游戏的场景几乎都是处于黑暗当中的，所以这个小正方体就成为了场景当中唯一的光源，可想而知作为一款横版闯关游戏，如果视线受到影响，不能看到场景当中机关的设置，那游戏的难度将会更高。 ​​​

115 :电影《我的野蛮女友2》主题曲《可不可以做你男朋友》，是由华语乐坛最优秀的一线词人、被称为内地“林夕”的崔恕作词，赖伟锋编曲，朱一玮动情演绎，三人混搭全力打造出具有国际水准的听觉盛宴。 ​​​

116 :【鹅湖公园】萍乡市鹅湖公园地处市区北桥外1公里的河州上，占地面积近280亩，水面80亩，于1993年10月1日向市民开放，2003年6月起免费向市民开放。经过10余年的建设，公园内树木葱笼，绿草茵茵，亭桥遍布，园景秀美，是市民健身、休闲的好去处。 ​​​

117 :非常简洁的开头，给人以一种十分明朗的感觉，仿佛置身于天气晴好的秋日午后的花园中，一束阳光透过金黄色的树叶泻下来，轻轻地铺在一地落叶上。《Self Portrait》版本龙一。music.sina.com.cn/yueku/i/1237351.html ​​​

118 :【第六驱逐队姐妹登场！寿屋推出舰娘可动系列——雷、电】这次的两只分别是驱逐舰「雷」和驱逐舰「电」，她们都来自「舰队Collection」中的第六驱逐队。两作将雷与电的相反性格表现得十分充分，不过无论哪个都显得特别可爱。 ​​​

119 :【腐竹拌黄瓜】1.腐竹先用凉水泡发，将腐竹放入沸水焯熟，捞出用凉水过凉，挤干水分后切成小段；2.黄瓜洗净后切成细条，把腐竹和黄瓜放入碗中，加入醋、酱油、白糖、盐和香油搅拌均匀。 ​​​

120 :厨房更像是另一个工作台，查一道菜谱，煮一杯咖啡。每一件电器存在摆放的位置都有它的合理性。 ​​​

121 :阳光的味道，就是幸福的味道。阳光的境界，就是佛的境界。你喜或不喜，阳光就在这里，不垢不净。你赞或不赞，阳光就在这里，不增不减。你骂她也好，咒她也罢，她就是这样默默地奉献。你憎她也好，辱她也罢，她就这样静静地给予。因为她奉献，从不记得失，我们只当是习惯。 ​​​

122 :【准备睡了各位，睡前不要喝太多的水喔】做个鸡蛋蜂蜜面膜，给自己换换心情。用新鲜鸡蛋一枚，家蜂蜜一小汤匙，将两者搅和均匀，用干净软刷子将面膜涂刷在面部，其间可进行按摩，刺激皮肤细胞，促进血液循环。待一段时间风干后，用清水洗净。 ​​​

123 :人生不在年龄，贵在心理年青；养身不在刻意，贵在自然顺心；锻炼不在朝夕，贵在持之以恒；作息不在早晚，贵在规律养成；情趣不在雅俗，贵在保持童真；家庭不在贫富，贵在和睦温馨；生活不在显达，健康快乐就成；朋友不在贵贱，知音胜过黄金；距离不在远近，常来常往最亲。 ​​​

124 :【世界乒乓球赛】本作支持包括简体中文在内的11种语言，正式进入比赛，精细的3D图形效果让我们的玩家离球台更亲近了一步，己方的球拍为半透明的处理，虽没有标准花哨的发球动作，但发球时乒乓球的上下拟动却可以让玩家掌握发球的策略。比赛采取的是11分制，输赢只此一局，好好把握吧！ ​​​

125 :【行车稳字当先】行车时尽量保持匀速行驶，即使在加速时也尽量缓慢加速，如果重踩油门，耗油量将会成倍增加，且猛烈加速也会造成与前车距离缩短，安全亮起红灯，行走江湖，大家“轻”才是真的亲。 ​​​

126 :她和她是朋友，她喜欢她，是对恋人那种喜欢，可惜她不知道。她曾几次想向她表白，可是她有喜欢的人了，所以她只好把自己的喜欢暗藏在心里。后来，她要离开了，她不甘心什么都没说，于是，她告诉了她，她爱她，可是，她狠心拒绝。临走前，她终究还是找到了她，只求一吻。她不忍，吻上她额头，最后告别。 ​​​

127 :【吃出美丽】1.豆芽：可以防止雀斑、黑斑，使皮肤变白。冬天服用可以预防冷感和脸色变紫。2.莲花：能镇心益色，驻颜轻身，使皮肤变白，防止衰老。莲花加莲子加藕阴干，共研细末，温酒送服，能驻颜延年。 ​​​

128 :运气就是机会碰巧撞到了你的努力。人脉要远些，人际要近些，利益驱使的并非深交，心神相映的方是至友；事业要远些，事情要近些，愿谋细微者，方可成大器。 ​​​

129 :岁月有春夏秋冬，母爱却四季如春；天气有风雨雷电，母爱却永远灿烂；世事有悲欢聚散，母爱却从不改变；人间有阴晴冷暖，母爱却一直温暖。母爱简单，始终如一，默默关怀，悄悄关注；母爱伟大，不求回报，潺潺流淌，绵绵不断。母亲节，愿亲爱的妈妈多保重，幸福快乐！ ​​​

130 :【兰博基尼在华销量持续下滑】2014年在华销量却同比下滑约11.6%。日前，从兰博基尼官方获悉：兰博基尼汽车有限公司宣布，任命Francesco Scardaoni先生为兰博基尼汽车中国总经理，自2月1日起生效。Francesco Scardaoni先生将全权负责兰博基尼汽车在中国的销售、市场推广以及售后服务工作。 ​​​

131 :【夏季新生儿护理 ，三准三不准】：夏季炎热潮湿，在护理新生儿的时候，妈妈们更应该格外小心。一准：坚持喂养母乳;二准：用温水给宝宝洗澡;三准：适当使用空调。一不准：不开窗户；二不准：将宝宝裹得严严实实；三不准：忽视洗澡细节。准妈妈的你，做到了吗？ ​​​

132 :原?来?黄?大?仙?也?是?短?腿?卖?萌?系?物?种?昂！ ​​​

133 :邓超起诉“出轨”造谣者 北京朝阳法院已立案 t.cn/R2kkzWh ​​​

134 :推荐理由：由于空间不大，床头柜也相应小一些，因此床头安置吊灯而不是放置台灯于床头柜，这也是充分利用空间的设计。 ​​​

135 :【39999元小米代号米斯拉智能汽车曝光】据悉这款汽车已经开始量产，代工的是国内某大型B开头厂家，后者拥有丰富小型车制造经验，电池技术更是获得巴菲特认可，数年前开发的A0级小车曾经占领国内第一的位置。另有传闻称米斯拉的起步价可能低到39999元。 ​​​

136 :吃花生酱方法正解哦~ ​​​

137 :他给她讲了几年的微小说，基本每次都有一个蹩脚的痴情男呆萌女。有为了主角放弃了一个江山的、有用生命的代价挡住射向她的子弹的、甚至有一个玩具熊守候了她一辈子的。看着她每次笑故事里的人好蠢，他都会满足。因为他知道这都是他几辈子里对她的几辈子里做过的熹微的事。 ​​​

138 :牛人教师用ipod演奏加勒比海盗插曲！尼玛！一定是我打开视频的方式不对！这也太牛叉了吧！民间高手多啊！看到后面我就彻底的震惊了！~ ​​​

139 :威尔拜纳姆2014——2015赛季CBA个人集锦，精彩的球场技艺，一场视觉盛宴火热上演。 ​​​

140 :【塔云山】塔云山位于镇安县城西南35公里处，主峰海拔1665米。山上十余处古朴奇巧的殿堂楼阁，始于明万历年间。登塔云观奇景，绝妙处在金顶。这座不足6平方米的小庙，建筑十分险厄,它居于塔云山顶，三面悬于万丈深渊，黄铜顶经阳光照耀，闪烁出万道金光，故有金顶之说。 ​​​

141 :女友问男友：“如果你飞上太空，最想干的是什么？”“看看外星球的女人什么样……”男友说。女友没说话，拿起桌上茶杯，手一松，杯子落到地上摔了个粉碎。“这是干什么？”男友惶恐地问道。女友说：“没什么，我看看地球还有没有吸引力……” ​​​

142 :编辑点评：灯光与盆栽配合，盆栽装饰了餐厅的浪漫，灯光营造了餐厅的梦幻。 ​​​

143 :话说楚地某著名辩手，属于千年老妖阴魂不散那种，结果研究生阶段还上场，在复赛被干了。巧的是，干掉他的恰恰是前女友的队伍。老妖气不过，又去帮外语学院，终于在决赛复仇成功。老妖得意洋洋地说，我的队伍打败了你的队伍。前女友冷笑道，但是我的队伍打败了你。 ​​​

144 :周董的歌，轻快活泼！爱上公主病的女生很无奈的哟！~创小创CxC翻唱周杰伦的《公主病》！~ ​​​

145 :因为我们的皮肤和手链上的金属板之间有一定的温度差。这款手链就是利用了塞贝克原理来为手链充电，在紧急时刻可以将手链上储存的电量通过手链的自带接口冲到手机上。 ​​​

146 :他是游手好闲的无业游民，却喜欢上了白领丽人的她。她说：等你赚够一百万，我就嫁给你。他说，你等着。从此一个人独闯商界，时间弄皱了他的额头，却没有弄皱他的心。他从一个懵懂小伙变成了商界大鳄。回到家乡，她却已经嫁为人妇。他见了她，她已经没有了当初俏丽摸样。转身离开没有回头，终生不娶。 ​​​

147 :【职场人生精品哲言】1、知道自己能够做些什么,说明你在不断地成长；知道自己不能够做些什么,说明你在不断地成熟。2、每一个黎明看作是生命的开始，每一个黄昏看作是生命的小结。 ​​​

148 :歌手徐佳莹发行新专辑《寻人启事》，蔡依林传授性感秘方，徐佳莹娇认感情稳定。 ​​​

149 :【车师古道 跨越天山】走进他，也就走进了历史。走在一条跨越天山南北的古道上，似乎，耳边会传来喃喃的低语声，仿佛历尽沧桑的老者，在讲述着车师王国的兴衰，当古往今昔的一幕幕呈现在眼前，我们不由自主的会兴奋、低落既而万事感伤…… ​​​

150 :“鸟”吐出来的东西有甚好吃的！ ​​​

151 :【武汉市将规划新能源公交车专线】武汉市推广新能源车应用、助推新能源车产业发展再加力度。近日，武汉市长部署下阶段新能源车相关工作，要求大力助推纯电动车应用生产。据悉，武汉市将规划新能源公交车专线，多家新能源车企也将放量生产，预计明年武汉新能源车市场将呈现供需两旺态势。 ​​​

152 :同事上班开小差被发现，老板给他换了个超大的显示屏。。。 ​​​

153 :【眼药水开瓶4周就得扔】眼药水的“保鲜期”只有4周。眼科医生提醒，眼药水包装上的保质期通常指未开封的状态，一旦开封使用，如4周内未用完，应立即丢弃。眼药水开封后，保存环境发生了改变，药效会逐渐减弱；在使用时药液还可能被空气中的微生物污染，带来健康隐患。 ​​​

154 :【初入职场应具备的6张底牌】1.忍——有容方为大，忍者无敌；2.藏——藏锋藏巧，胜者总是会笑到最后；3.防——强者都是弱点最少的人；4.稳——稳扎稳打，不走弯路便是捷径；5.变——变则通，通则久，求变就是赢；6.牵——暗中牵制好过明面的强制。 ​​​

155 :由Kim Dae Young设计的纸杯加湿器（Paper Cup Humidifier），当水汽从纸杯顶部徐徐升起的时候，如同正在爆发的火山。 ​​​

156 :突然想看看手机几点了，往口袋一模，手机不见了。 ​​​

157 :【东风标致2008 1.6T官图 将上海车展发布】日前，东风标致公布了2008 1.6T车型的官方图片，据之前的消息称，这款车型将会在本月的上海车展上正式发布。标致2008是一款基于208所在的PF1平台打造的小型SUV车型。 ​​​

158 :【去眼袋和黑眼圈方法五：食疗】苹果3只，生鱼1条，红枣10枚，生姜2片。 ​​​

159 :It’s up to you是一款由Liping Lin 等人设计的杯子，将杯子内胆一分为二，一半可以用来放置热水，另一边则放置冷水，旋转杯盖可选择出水口，通过杯口颜色区分冷热。 ​​​

160 :网吧厕所贴了一张纸，第一天上面写着：“上厕所不冲是狗生的”，这没什么冲就是了。过了几天“不”字被人划掉了：“上厕所冲是狗生的”，这也没事不冲就是了。又过了几天“冲”字被人划掉了：“上厕所是狗生的”，瞬间十万个草泥马呀，这到底是上还是不上呢！ ​​​

161 :想摸摸这个小肉爪的举手~…… ​​​

162 :这小家伙不会是长江八号吧？ ​​​

163 :【豌豆茄汁炒蛋】番茄洗净切丁。香菜洗净切段；豌豆洗净焯熟；鸡蛋打散成蛋液，搅匀；热锅放油，倒入鸡蛋液，炒至刚刚凝固即盛出；锅内再放油，下番茄边炒边用锅铲碾压，将番茄炒出红油炒软成酱状；加入豌豆和鸡蛋翻炒均匀，盐调味；最后倒入香菜段，淋上香麻油，兜两下盛起。 ​​​

164 :【产妇在月子里一定要刷牙漱口，否则牙齿反易被损害】月子里每天要进食大量糖类、高蛋白食物，这些食物大多细软，失去了咀嚼过程中的自洁作用，容易为牙菌斑形成提供条件。如不刷牙，会使这些食物的残渣留在牙缝中，在细菌作用下发酵、产酸、导致牙齿脱钙，形成龋齿或牙周病，并引起口臭、口腔溃疡等。 ​​​

165 :这是由日本大阪Rhiga皇家酒店的L’éclat巧克力店推出的以太阳系8大行星为主题的巧克力套装，口味有奶油柠檬（金星）、香草（木星）、卡布奇诺（海王星）等，下面则是陨石系列，巧克力不仅接近真实陨石的色彩，并且每一枚都特别注明了陨石的发现地点和时间。 ​​​

166 :【东风雪铁龙新爱丽舍售价微增】从东风雪铁龙官方了解到，东风雪铁龙2016款爱丽舍正式上市，新车依旧推出5款车型，厂商指导售价为8.38-12.08万元。作为年度改款车型，2016款全新爱丽舍最大的变化是自动挡车型以6AT变速箱取代了现款车型所匹配的4AT变速箱，虽然售价上调2千元，但油耗大幅下降20%。 ​​​

167 :1960年，周总理在北京新街口总政排演场观看《霸王别姬》。总理在剧情不同时段分别用四字概括：“一人言堂”“一家之长”“一筹莫展”“一曲挽歌”“一败涂地。” ​​​

168 :人生如路，要有耐心。心中坦然，所以自在。幸福是相对的；痛苦是经常的；生命是倒计时的；日子是顺着过的；人生是说不清的；霉头总会有的；命是必须信的；运是可以开的；人生是需要悟的；生命是需要爱的。 ​​​

169 :【红崖天书之谜】在贵州关岭县龙爪村晒甲山的一岩壁上，分布着20多个怪异而神奇的古文字，其内容无人能解，人称“天书”，因刻有“天书”的岩壁呈红色，又被称为“红崖天书”。是谁在这荒山野岭开凿石壁？是谁在壁上写下了如此文字？这些文字记录了什么故事？人们对此展开了无尽的猜想。 ​​​

170 :【称赞孩子做事】父母让孩子知道“我有多好”，不如让他懂得“我能做到什么”“我能把什么做好”，比起良好的自我感觉，来自对个人能力的自信更为可靠。孩子做了事情，不要急着夸奖他是“能干的孩子”，试试夸奖他把事情做得如何。 ​​​

