刘蛋蛋o0策成 男/江苏         加关注
35 :他因她而玩炫舞。一直跳不好的他天天努力练习。她知道，他很爱她。与他一起玩时，她点击了一个动作，看着屏幕上的两个人拥抱着对方，亲吻。她想[伤心]，他一定很开心。他想，我很幸福。 ​​​

36 :“别听老歌，别想故人，别沉[给力]迷伤悲，别喝酒，别故地重游，别站在分别的路口迟迟不肯走。” ​​​

37 :有时候会觉得，一根绒毛漂浮的姿态比一只鸟更[偷笑]像是飞行。 ​​​

38 :无论路[去旅行]上过程如何，只要最后是你就好。 ​​​

39 :他给旳[太开心]承诺是谎言，我给旳承诺永远看不见。 ​​​

40 :你说放弃一个在乎的人得攒够多[馋嘴]少失望才舍得放手。 ​​​

41 :如果不能勇敢地爱，就勇敢地离开；如果不能宽容，就大胆地去恨。恨不是不爱，冷漠才是不爱[蜡烛]。爱，好象很酸的字眼，我视它为一切美好的正直的善良的可爱的情感的统称。因为它太可爱，往往成为幌子，背后隐藏着贪欲和占有…… ​​​

42 :你若不想做，会找一个或无数个借口；你若想做，会想一[闭嘴]个或无数个办法。 ​​​

43 :时间在走，心在痛，最后我发现连配角也[可怜]不是。 ​​​

44 :我想當個歌頌者，[笑cry]在溫陽柔風中輕吟著。 ​​​

45 :“愿有人[嘻嘻]待你如初疼你入骨从此深情不被辜负” ​​​

46 :小三，除法中的余数[抓狂]而已 ​​​

47 :不去读书就没有真正的教养，同时也不可能有[吃惊]什么鉴别力。 ​​​

48 :月儿呀！你可知我心？月儿呀！你可知我情？愿月儿给你带去我真诚的祝愿：知[可怜]诉你，我是真的爱你 ​​​

49 :朋友来，怎么办？先订旅馆，后进饭店，再到[生病]歌厅练一练，去桑那涮一涮，找小姐按一按。老婆发现咋办？克林顿咋办咱咋办！ ​​​

50 :你不用向任何[坏笑]人打听我，因为我对每个人不一样。 ​​​

51 :“你为什么会喜欢她”“一个大大咧咧的人突然有一天[舔屏]安安静静的坐在那里看着心疼” ​​​

52 :爱累了，停下来看看他们[哈哈]颓废的影子，眼泪忍不住流 ​​​

53 :手工制作陶盆[微笑]再种上植物制作而成的盆栽字体，好清新。 ​​​

54 :水泡豆子——[耶]自大；自我膨胀 ​​​

55 :昨天，略去。今天，珍惜。明天，争取。对的[蛋糕]，坚持。错的，放弃。 ​​​

56 :不论你是哭着思[太开心]念，还是笑着思念，在思念的时候，你都会心无旁骛。 ​​​

57 :在市场上[哆啦A梦吃惊]常常可以看到一种情况：那个叫喊得最凶的和发誓发得最厉害的人，正是希望把最坏的货物推销出去的人 ​​​

58 :别把自己想的多么[偷笑]伟大、其实你跟动物一样，一样需要食物 ​​​

59 :收纳区OR休憩空间?只要你想，它可以灵活变身为你所期待的形态。这是专门为小门厅打造[污]的多功能家具，根据墙面尺寸来定制的玄关架，惊人的存储量可以收纳起家人满满的衣物，同时，还将从基本的衣物收纳到阅读功能区的晋升都一并包揽下。 ​​​

60 :屎壳郎[围观]推车——滚蛋 ​​​

61 :张飞卖肉—[互粉]—一刀切 ​​​

62 :我们必须有恒心，尤其要有自信心，我们相信我们的天[可怜]赋是用来做某种事情的，无论代价多么大，这种事情必须做到。 ​​​

63 :现实告诉我[兔子]们，靠自己比什么都强。 ​​​

64 :难道你真的不爱我了吗？我真的很伤心！就当我以前说的话不算好了！[浮云]这样可以了吧！ ​​​

65 :在每一个时代里总有一些人有足够的个性和勇气来支持自己的信念，[蜡烛]这真是一件幸事。 ​​​

66 :幸福是一个动[嘻嘻]作，你给的只是个概念。 ​​​

67 :如果你变得越来越像一个孩子，那说明你遇到了一个值得你依靠一辈子的好男人。如果你变得越来越坚强，你就可能是让你男人依靠你一辈子的苦命女人。选择了什么样的男人，你就选择了什么样[兔子]的人生。 ​​​

68 :想你，从嘴到心，从早到晚，无时没有，无处不在，我在想念你！一种欲望无比强[给力]烈——想要和你在一起！ ​​​

69 :别人再好，我[右哼哼]都看不上眼，你再不好，依然在我心上。 ​​​

70 :五一某家团聚,小孩对婆婆说，婆婆烧的鱼要是不放刺[左哼哼]就更好吃了? ​​​

71 :你这个没良心的，老实交待，昨天半夜在你房里[蜡烛]接电话的那个女人是谁？她居然跟我说……您拨叫的号码正忙，请稍候再拨 ​​​

72 :总是在自导自演着那[赞]些所谓的肥皂剧，越来越难以释怀。 ​​​

73 :人不可以为恶。一失其身。纵有善[吃惊]不足以自赎。 ​​​

74 :半路上[爱你]的新闻——道听途说 ​​​

75 :站在山顶赶大车——鞭[抓狂]长莫及 ​​​

76 :人生就像一个空荡荡的[挖鼻]巨大的坑，我们把时间丢进去，丢完了就完了！ ​​​

77 :努力爱春华，莫忘欢乐时，生当[熊猫]复来归，死当长相思。 ​​​

78 :他让你红了眼眶，你[猪头]却还笑着原谅，这就是爱情 ​​​

79 :头破血流又任何，至少我争取过，比后[钱]悔好的多。 ​​​

80 :眺望，在[偷笑]黑夜里眺望。 ​​​

81 :鹦鹉真是[偷乐]一种超贱的生物！装得了死，卖得了萌 ​​​

82 :狗不是[威武]你的一辈子,但你却是狗的一生。 ​​​

83 :架高四十[可怜]公分地台的和室，中间是升降桌，前三格运用走道空间作抽屉收纳，后面五格则是上掀置物。 ​​​

84 :【除非你是想玩漂移，高速行驶时切勿拉手刹】在高速行驶时拉动手刹很容易使其中一边的[江南style]后轮抱死，发生侧滑，正确的做法是通过降挡来减速，到车速很低时才拉动手刹将车子刹停。当然不巧再刹车系统坏了，还可以间歇、缓慢、不停地拉紧、放松手刹，让车缓慢停下来。 ​​​

85 :【育儿常识】1、保证宝宝睡眠充足。2、夏日吹空调空气容易干燥，易\\上火\\，应该注意及时补充水分。3、对于刚出生不久的宝宝，出生后最好给予母乳喂养并保证足够的母乳量。4、让宝宝养成良好的排便习惯。5、根据日夜温差变化及时增减衣物，避免受凉。注意夏日不要给宝宝穿[馋嘴]得过多。 ​​​

86 :在我们的脑海里保险箱都是用金属做成，笨重而又坚硬，国外某设计师设计的这款橡木保险箱就打破了我们对保险箱的了解。它的内部[最右]零件构造与传统的保险箱基本相同，每个龄轮都是用数控车床加工而成，不同的是它的材料是橡木。 ​​​

87 :装饰TIPS：简单的木质[耶]搁架上摆放上干花和夫妻俩的画作装饰，没有繁杂的色彩，让心境归于平静。 ​​​

88 :广场边，一杆“卖各种手机”的旗下坐着一个神秘男子。 路人问：哥们，你卖手机，手机呢？ [织]神秘男：就这广场，你随便看，看上哪款我去给你拿！ ​​​

89 :【2-3岁可以学习说话】在孩子2-3岁的时候差不多可以学习说话了，语言上需要父母[偷笑]们慢慢教，他们会偶尔碰些话出来，但是并不准确，需要父母们引导教育。 ​​​

90 :【本田新一代思域正式下线】新一代本田思域在现款基础上进行了深度进化，外观设计更运动、底盘采用了[噢耶]硬度更强的材质打造，内饰也进行了升级。动力上最大的亮点就是新一代思域搭载了一款全新1.5升四缸涡轮增压引擎，最大功率输出129kW，最大峰值扭矩219Nm，标配CVT无级变速箱。 ​​​

91 :【豆豉鲮鱼油麦菜】1.油麦菜洗净，鲮鱼罐头取出，切成小块；2.锅中烧油，炒香葱姜蒜，将油麦菜下锅；3.炒至油麦菜变软，加盐、糖、鸡精、胡椒粉调味，炒匀后捞出盛[转发]在盘中；4.烧油，将鲮鱼罐头下锅炒香，加少量水，再用水淀粉勾芡；5.浇到炒好的油麦菜上。 ​​​

92 :不是所有的人都[汗]能知道时光的涵意，不是所有的人都懂得珍惜；这世间并没有分离与衰老的命运，只有肯爱与不肯去爱的心。——《独白》 ​​​

93 :编辑[酷]点评：工作台的设计非常有趣，亮黄色的外观显得鲜艳活泼，看上去立刻精神百倍，配合地上黑白格子的地毯更是如此。 ​​​

94 :浅色花纹的大理石地砖[雪花]在卫浴间里大面积运用，卫浴整体空间很大，大理石花纹清新雅致，更易衬托出大空间的温润明媚感。 ​​​

95 :天蝎眼中的自己是双商爆表，智商问鼎状元无压力，情商玩转人际so easy；[蛋糕]颜值高不可攀，每天一照镜子自己先醉一次，对方只有赞美的份儿；床上霸主，舍我其谁，三天三夜，三更半夜，papapa，papapalei……正因为一只天蝎这么优秀，所以当两只天蝎在一起的时候，他们才会互虐然后双双死的辣么惨。 ​​​

96 :【青豆玉米炒腊肉】1.将腊肉洗净切成片；2.锅内倒油后放入葱和红椒爆香，放入腊肉翻炒；3.翻炒后[偷笑]加青豆和玉米粒加少许水加盖焖一会再翻炒熟；4.加入黑胡椒和少许食盐调味出锅即可。 ​​​

97 :小小年纪就要出来讨生活，真是[围脖][手套]不易……话说你挣的好多哇。 ​​​

98 :1826年五月初六[嘘]上午九点，北京东郊发生了一场神秘大爆炸，影响面积约为三平方公里。据记载，有户当官的家中，桌椅翻滚，因当时天黑地动，妻妾丫环们互相碰撞，昏倒在地。最令人百思不得其解的是在这次大灾难中，当事者全都一瞬间被剥光了衣服，赤身裸体，一丝不挂。 ​​​

99 :另外可以选择浮雕式的壁纸，形象更加生动，更具立体感。宝宝伸手就能触摸到墙壁上的小动物。但是在壁纸的选择上要格外注意[话筒]安全性能，注意壁纸的材质。 ​​​

100 :据日本媒体4日报道，京都大学灵长类研究所教授高田昌彦发布消息称，在日本猴当中发现世界首例与真实年龄相比，快速老化的“早衰症”猴子。灵长类动物中，除人类以外，至今还未发现其他“早衰症”案例。高田表示，查明其中的原因，将有助[兔子]于研究早衰。 ​​​

101 :【大米怎么吃最滋补】其[织]实健康吃大米的关键不在于吃多贵的米，不在于吃功能性大米，而在于吃的方式。原材料选粗加工的大米其实就很好，不过吃的方式就很有讲究了：一、多吃饭少吃菜。二、现煮现吃才有效。三、喝米汤。 ​​​

102 :【济州民俗村博物馆】再现了1890年代末至今，济州岛的传统文化和民俗风貌。这些传统房屋内展列着当时的生活用具、农具、渔具、家具、石物等8千多件民俗资料。博物馆内还保存了完整的巫师村、济州衙门、集市、无形文[围观]化遗产之家和农具陈列馆等117座建筑。 ​​​

103 :这就叫做躲猫[顶]猫烟花。 ​​​

104 :Hsing Min和Xia Lou设计的吹泡泡体温计，是一款全新的幼儿测量体温的体验概念设计，产品的感[威武]官测量口通过对幼儿呼出的热气进行收集评测，准确得出相应数据，使用方式犹如孩子喜欢的吹泡泡，安全方便使用的同时，充满童趣。 ​​​

105 :暴走词语新解[帅]之一无是处！ ​​​

106 :【少吃肉的[同意]十好处】1.减轻体重。2.不易得心血管疾病。3.血压降低。4.患糖尿病的风险降低。5.患癌风险降低。6.改善消化功能。7.皮肤更光泽。8.身体味道更好。9.感觉更开心。10.身体能量水平会增加。 ​​​

107 :据英国《镜报》8月31日报道，塔克（Tucker）是一只[得意地笑]遭遗弃的美国小猫。因先天健康原因，它的表情总是很惆怅，如同“面瘫”。如今，塔克正寻找新主人，其“悲伤”的表情扣动了世界各地人们的心弦，甚至有网友在推特上对其表白，称“我爱它”。 ​​​

108 :阮咸西晋陈留尉氏人，字仲容。与嵇康、阮籍、山涛、向秀、刘伶、王戎并称“竹林七贤” 。阮咸是阮籍之侄， 与籍并称为“大小阮” 。历官散[江南style]骑侍郎，补始平太守。为人旷放，不拘礼法。善弹琵琶。他所用的琵琶与后来从龟兹传来的曲项琵琶不同，唐时以他的名字为他所弹的乐器命名为“阮咸”，宋 ​​​ 全文

109 :【慎用药物或香味卫生巾】香味成分并不代表清洁度。药物卫生巾更应谨慎使用，药物卫生巾也许在一定范围和程度上对女性阴部保洁、防治各种妇科[馋嘴]疾病发挥了作用，但并非人人皆宜，因为人的体质差异很大，有的人接触某些物质就会过敏，反而出现外阴瘙痒。平时属过敏体质要慎用或不用。 ​​​

110 :【莱西】初见莱西，这是一个坐落于胶东半岛上，距离海很近却看不见海的地方。按照现在的行政区划，莱西是青岛的县级市，莱阳是烟台的县级市，而现在的莱西就是古代所说的莱阳，现在的莱阳虽然更有名，但是历史却远[可爱]没有现在的莱西长。 ​​​

111 :服务业和销售业非常看重从业人员的三个分量“友[嘘]善”、“合群”、“自信”，三个分量的高分者,常常会在服务业和销售业取得成功,因为服务业和销售业，是需要大量的对外交际和联系。 ​​​

112 :【接纳孩子的情绪】孩子情绪不好时大人应1.认可孩[落叶]子的感觉;2.搞清楚孩子为何这样;3.帮孩子心情好起来;4.启发孩子自己解决问题.儿童对自己情绪的认识和掌控是一个漫长过程,每次的情绪体验都是他成长的机会.不要因孩子不高兴就觉得自己很失败.我们能做的,就是完全接纳孩子的情绪. ​​​

113 :【油性肌膚不適合按摩吗？】按摩會促進皮脂腺分泌，但不是說愛出油的油性肌膚就不可以按摩，只是注意不要按太久，或改用穴道按壓的按摩方式。另外要注意的是，如果痘痘問題比較嚴重，長[温暖帽子]痘痘的期間也暫時不要用滑動、推按的方式按摩，以免刺激肌膚。 ​​​

114 :【牛肉杏鲍[赞]菇烫面蒸饺】牛肉剁成茸，葱姜切末，混合放入盆中，加上酱油、料酒、盐、食用油，边点水边顺着一个方向搅打上劲；杏鲍菇洗净切成小粒，放入肉馅中搅匀；面粉中加适量热水，揉成面团饧半小时；揉好的面下剂子擀成饺子皮，包成饺子；入蒸锅蒸10分钟。 ​​​

115 :做过的同学举[泪流满面]下手~ ​​​

116 :不是所有的事，都需要你弄清，亏时费神不说，多[握手]是徒劳无益；并非所有的人，都必须你搞懂，伤心悲情不说，常是曲终场散。看不到的，就别为难了，人生本是单行线，属于你的景色不多；看不懂的，就别追究了，凡事还是糊涂好，不必让自己太累；看不惯的，就别逞强了，就算是头破血流，也未尝有好的结 ​​​ 全文

117 :【女人一生的[熊猫]哭泣时间】女人由出生到70岁，有超过1.2万小时在哭泣。原有包括婴儿时肚饿、青春期的恋爱和长大后看悲情电影等。4岁至成人阶段每周约哭2小时13分钟。另又发现，婴儿及成年女性最常因为疲倦而哭泣。 ​​​

118 :【拉市海[可爱]旅游风景区】拉市海每年都引来越冬的水鸟，有调查显示，这片水域每年有3万只左右的水鸟来此越冬，其中包括斑头雁、中华秋沙鸭、黑颈鹤、天鹅、白鹭等57种鸟类和珍稀濒危鸟类。这里已建立了包括拉市海在内的4个高原湿地自然保护区。 ​​​

119 :在很久很久以前（爱迪生发明灯泡前），蜡烛是人们日常生活中不可或缺的用品。自从有了灯泡后，蜡烛就渐渐离我们远去了。不过，如果你跟我一样热衷于怀旧，而又喜欢享受现代生活，这个蜡烛灯泡就是个很不错的选择。把烛台设计成灯[同意]泡的形状，拧在插口上，点燃它，让蜡烛发出像灯泡一样的光芒吧。 ​​​

120 :爸爸出去应酬喝醉了回家，躺床上一直虚弱的叫着我的名字，突然来一句“快，我要吐了！ ”我一愣，妈妈幽幽的说道“你看你爸对你多好，出去吃饭还不忘记给你带吃的回来，快去接着。” 我“……[钟]呵呵。 ​​​

121 :"I hate the way I don't hate you." -10 Things I Hate About You (1[最右]999) “我恨自己不恨你这件事。”——《我恨你的十件事》（1999） ​​​

122 :金牛座很骄傲，可是不狂妄，金牛内心都很细腻，很在意别人对自己的看法。金牛很死要面子活受罪，即使内心知道错了，嘴上依旧渴望别人给TA台阶，给TA台阶，TA也还是很骄傲地走下来。金牛在用钱方面非常大方和慷慨，只要有钱，绝对不会去斤斤计[右哼哼]较。即使没钱，让别人请客了，下次有钱了，也绝对会 ​​​

123 :【红豆酒酿圆子粥】红豆洗净用水浸泡半天；加清水放入锅中，文火煮至汤变红，红豆熟透但没破皮儿，把红豆捞出单放，红豆汤备用；另起锅烧水煮沸，加入小圆子煮至全部漂浮即可， 捞出移至冷水过凉；甜酒酿倒入[喝多了]红豆汤锅中，然后加入小圆子煮开，最后倒入红豆再次煮开。 ​​​

124 :所谓走时无人送别，归时无人接风，都是再平常不过的事情。然后在些许的遗憾和失落中学会了释怀，懂得了[得意地笑]自爱以及如何去爱。 ​​​

125 :【喜欢吃窝边草的星座男】冠军（狮子座：喜欢高高在上左拥右抱的感觉）、亚军（双子座）、季军（双鱼座）、第四名（射手座）、第五名（水瓶座）、第[可爱]六名（处女座）、第七名（金牛座）、第八名（白羊座）、第九名（天秤座）、第十名（天蝎座）、第十一名（巨蟹座）、第十二名（摩羯座）。 ​​​

126 :离职原因，对于职业操守问题、社会公德问题、违法判刑问题等方面，坦诚那也是一种态度，有时反而是好事.有人喜欢坦诚。如果不坦诚，一旦录取后[来]，等被查出来，或被利益冲突者揭露出来，反而被动。 ​​​

127 :【孩子感冒发烧要留心】孩子感冒发烧问[织]题不大，但是一旦感冒发烧期间这个孩子出现精神比较差、整天就是吐、整天不睡觉或者整天睡觉、整天烦躁、整天昏昏欲睡等等，家长觉得这孩子跟平常不一样，这种时候一定要及时去看医生。 ​​​

128 :There is a time in life that is full of uneasiness.We have no other choice but to face it.~~~ [悲催]生命中总有那么一段时光，充满不安，可是除了勇敢面对，我们别无选择。 ​​​

129 :这是由YEDUO葉朵设计的海豚衣架，将可爱的动物造型与儿童[好爱哦]衣架结合，仿佛优雅的小海豚纵身一跃，在衣海中自在悠游，让小小空间成为精采的表演场。 ​​​

130 :　　奇怪的是，如果人站在湖边高声讲话，本来晴朗明丽[兔子]的湖面上空就会突然乌云密布，甚至立即下起雨来。讲话声音越高，雨就落得越大。 ​​​

131 :【嚼口香糖法】大概你还不知道原来吃口香糖也可以去鱼尾纹吧！科学证明每天嚼口香糖5到20分钟左右可以有效锻炼脸部肌肉，有效的改[熊猫]善面部血液循环，从而增强面部细胞的新陈代谢，让鱼尾纹渐渐消退，这可是一个超级好的简单方法哦！ ​​​

132 :【会害孩子的口头禅,你说过吗】孩子总是很敏感,有些不经意间冒出来的口头禅会让孩子受到伤害,你[蛋糕]有注意过吗?如1.“哎呀,你怎么又…”2.“别给我添乱,一边玩去”3.“别人家的孩子都能,你怎么就不会”4.“男子汉大丈夫,至于吗” 5.“听见了,别再叫我啦”6.“你还像不像个男孩儿/女孩儿。 ​​​

133 :明明感受到深深[萌]的恶意！ ​​​

134 :装饰Tips：走进卫生[威武]间，同样是优雅而简约的风格。白色的洗手台优雅而简单。墙的侧面设计有收纳柜，让空间显得更加有序和洁净。 ​​​

135 :白色大众与娇艳美[萌]女的饕餮盛宴！ ​​​

136 :“人到了二十多岁之后，上帝就会给你做减法。拿掉你的一些朋友，拿掉你的一些梦想。有些人跟你分道扬镳你们或许都不见得会吵架，你们或许也有着彼此的联系方式可不知道该[奥特曼]怎么去联系了。有些人或许已经跟你见过最后一面了，只是你还没发觉。生活其实归根结底就是五个字：珍惜眼前人。”珍惜了才 ​​​

137 :一个人只要不再想要[神马]，就什么都可以放下。 ​​​

138 :2014年2月26日晚上[委屈]，今年60岁的老郭突然身感不适，被送到当地医院救治，这时医生发现了个怪现象：“本应长在左边的心脏，老郭长在了右边;本应长在右边的肝脏，老郭长在左边。”而且其他脾、胆囊、十二指肠等脏器也都长到了反向，基本是五脏六腑全对称调个儿。 ​​​

139 :看喵咪的奇葩睡[钟]姿 喵星人你们逆天啦 ​​​

140 :【五类人群适宜膏方保健】①易感冒，长期劳累或压力负担过重而致身体虚弱的人 ②中老年人群③早衰人群④慢性疾病人群⑤反复呼吸道感染儿童、支气管哮喘儿童、生长发育的迟缓儿[转发]童、其他疾病的康复期的儿童。 ​​​

141 :2013年4月2日，林伯渠骨灰安放仪式在常德临澧修梅镇[xkl转圈]林伯渠故居铜像广场举行，林伯渠的儿子林用三代表亲属讲话。“差不多一半多，都从八宝山回到老家去了。大家都回去了，我们就跟着回去。这也符合咱老百姓落叶归根的思想。”林用三说。 ​​​

142 :课堂上每次学不下去，我同桌妹子就拉开衣服低头看[飞机]看自己的胸，然后心里暗暗告诉自己：“像我这种平胸的，只能好好学习。” ​​​

143 :【广汽本田新锋范动力全面升级】广汽本田全新一代锋范在今年4月份已发布[嘻嘻]，新车在轴距加长50mm之余，首次采用了“地球梦科技系列”动力中的1.5L自然吸气直喷发动机，该引擎目前已在飞度、缤智等车型上成功搭载。日前了解：由于新动力的匹配，全新一代锋范动力得以大幅提升，新车将于今日正式开始 ​​​

144 :一路走来，每一个季节都有残缺，每一个故事是都有暗伤。情感虚虚实实，光阴明明灭灭，要让自己做到清醒，真[右哼哼]的不易。你想要的未必属于自己，你得到的却未必是所期待的。天有阴晴，人有祸福。你怎样看待生活，生活就怎样回应你。 ​​​

145 :【速腾mk5变脸GTI】像大众旗下的大多车型一样，似乎HF风格的改装总是最[给力]为适合它的风格，国外的改装车友便针对它的速腾MK5进行了气动避震的改装，并搭配了非常罕见但是绝对夺目的雪花毂。最有意思的是这辆速腾MK5进行了车头移植，整个前脸完全变身为一辆Golf GTI。 ​​​

146 :【江湖上流传的胎儿性别鉴定大法】神马酸儿辣女；神马测胎动；神马怀女儿妈妈变漂亮;神马准妈妈肚子形状的不同；胎儿性别监测试纸；麻麻们你们当时用[加油啊]的了吗? ​​​

147 :【别给小孩买丑陋及宣泄性[绿丝带]玩具】宣泄性玩具如仿真 枪大刀宝剑之类，可能会增强孩子的攻击性。一些丑陋玩具，孩子一见就厌恶害怕甚至发气般敲打猛摔，这种“虐待”行为可能让孩子产生欺负弱小的欲望，也易养成好斗、攻击行为。性格孤僻不合群的孩子更容易迷恋上这类玩具，但结果只会助长其孤僻 ​​​

148 :Love is when you take away the feeling, the passion, the romance, and you find out you still care for that person. ~~爱情是：当感觉、热情[鼓掌]和浪漫统统拿掉之後，你仍然珍惜对方。 ​​​

149 :美艺术家残害动物创造各类"杂交新物种" 活体截肢混接！美国艺术家莫利纳博士通过在动物尸体上拼接其它动物，创[害羞]造了一系列惊人的混合体雕塑，而他本人却将面临最高5年刑期以及25万美元的罚款。 ​​​

150 :时尚圈岂是我等凡夫俗子[可爱]能懂的！！ ​​​

151 :【6-12在活动中培养孩子语言表达能力】我们要为孩子提供各种各样的活动机会，任何[右哼哼]能力都是在活动中得到锻炼的，比如鼓励他和同伴去游戏、交往，参加竞赛、演讲、辩论、公益活动等等，培养他们的语言表达能力和人际交往能力，并且提高生活中的娱乐性和趣味性。 ​​​

152 :【生爆盐煎肉】1.五花肉切片，蒜苗洗净斜刀切段，老姜切成指甲片状， 豆豉剁细2.油锅放入生肉片、姜片煸炒至吐油时烹入料酒3.锅中下豆豉、白糖、盐、豆瓣炒至肉片上色4.放入蒜苗炒至断生，调入味精，推均起[给力]锅盛盘。 ​​​

153 :【葱香蟹】1.梭子蟹买回来先把蟹脚折断，然后拿牙刷把蟹全身刷干净，把蟹盖掰开，清理掉它的腮，然后选掉脏东西不要，再把蟹身对半切块[熊猫]。2.葱切段，锅里热油放入葱段炸香，然后倒入蟹块翻炒，调入盐和酱油，焖十分钟入味即可。 ​​​

154 :【丽水·遂昌大柯村】层层梯田包围着的大柯村，炊烟袅袅，雾气蒙蒙，别有番风味。上下梯田和中间黑瓦黄墙的民居，风格独特，又充满着人间烟火的生活气。各种绿色叠加的山头，有黄色土[鼓掌]墙屋子点点落地，煞是可爱。那样动人的场景，当炊烟升起，时光就在这里静止。 ​​​

155 :公司里，2货同事，今天吃饭，突然见他流鼻血了，然后他[不要]说了一句："不好，菜里有毒"然后就趴在桌子上了，当时差点把我吓尿了。正准备把嘴里的饭喷出来，然后他起来了说了一句：“好像营养过剩了”尼妹啊！ ​​​

156 :【天地渊瀑布】天地渊瀑布位于天地渊溪谷深处，洋溢着为温带林围绕的热带风情。瀑布[害羞]周围风景优美，是济州岛保护自然原形的标本地区，因此在该地区禁止垂钓和收集植物等破坏生态环境的一切活动。每天前来这里观光的旅游者络绎不绝。天地渊溪谷整个被指定为文化遗产而受到保护。 ​​​

157 :【大寒养生防“上火”】冬天人们只知道食疗进[同意]补，火锅、油腻饮食吃的太多；天气寒冷人们运动减少，消耗下降；加上降雪少又刮风，天气干燥，室温偏高，所以，冬天更容易上火。预防：多饮水、室内使用加湿器，多吃蔬菜、水果如：芹菜、油菜、菜花、白萝卜、苹果、梨。食疗：赤小豆粥。 ​​​

158 :漂浮在空中的风力发电机，能够在距地面约合100米的高度发电，利用高空强风发电，风力可达到传统风力塔的5倍。借助一个充满氦气的充气壳进入高空，利用绳索固定，而后将所发的电传输到地面。这款风力发电机可应用于偏远的工业和军方设施以及乡村[右哼哼]，取代用于驱动柴油发电机的昂贵燃料。 ​​​

159 :doing what you lik[绿丝带]e is freedom. liking what you do is happiness. ​​​

160 :一枚来自英属圭亚那的19世纪邮票17日在美国纽约以950万美元(约合人民5920万元)价格成功拍卖。这枚伴以浓厚历史色彩[雪人]的邮票，也成功刷新世界纪录，成为世界上最昂贵的邮票。 ​​​

