徐晓艳_介 男/江苏         加关注
32 :手机静静地躺在桌上，[吐]梦用手支撑着下巴死死地盯着，期待下一秒屏幕会亮起。她已经把手机铃声调到最大，可还是害怕自己听不到。但是发过去的信息他很久都没回，梦想，他应该很忙，或者碰巧没看到。她一直等，一直等，什么事都不会做。 ​​​

33 :是不[馋嘴]是说一句我爱你就可以一直在一起。 ​​​

34 :一个指着神圣的名字作证的恶人，就象一个脸[左哼哼]带笑容的奸徒，又象一只外观美好中心腐烂的苹果。 ​​​

35 :别让自己的[神马]未来看别人脸色好吗,开始努力好吗 ​​​

36 :人世光阴花[嘘]上露。 ​​​

37 :我知道被疼是一种运气，但我还[可怜]是无法完全交出自己 ​​​

38 :理科男的[拜拜]恋爱表达…… ​​​

39 :我不会让你[抱抱_旧]伤心如果有一天我不小心伤了你的心你一定要相信我会比你更伤心 ​​​

40 :惟孝顺父母，可以[good]解忧。——孟子 ​​​

41 :诗是至上的幸福，至善的精神，至佳[泪]而且至高的瞬间幸福的记录。 ​​​

42 :方寸地，不贮纤[蜡烛]埃，仍须信，金坚石确，一志断无回。 ​​​

43 :醋泡辣椒—[亲亲]—又酸又辣 ​​​

44 :你曾[doge]经有没有把某人的说说全部看完却从不评论、、、17.一恋爱就老婆老婆的。负责任的又有几个？！ ​​​

45 :没有谁瞧不起你，因[二哈]为别人根本就没有瞧你，大家都很忙的。 ​​​

46 :“一劳永逸”的话，有是有的，而“一劳永[吐]逸”的事却极少……——鲁迅 ​​​

47 :黑白森林图案的抱枕十分有创意，而小桌上的插花毛茸茸的可爱感，引人注[神马]目其上。 ​​​

48 :待你长发及腰我[委屈]定送你一把剪刀。 ​​​

49 :你贱的大有出息[舔屏]，骚的太够洋气。 ​​​

50 :生命是一段望不见尽头的路我们在行走中相[哼]遇然后你我携手 ​​​

51 :明明不爱.[熊猫]却又犯贱旳想着对方 ​​​

52 :我喜欢现在的自己，我怀念过去[抱抱_旧]的我们。 ​​​

53 :有一种心情，叫喜怒哀乐；有一种味道，叫[摊手]酸甜苦辣咸；有一种智慧，叫深谋远虑；有一种缘份，叫天长地久。 ​​​

54 :依然还是[挖鼻]看见你时，心会越发的疼。 ​​​

55 :拿着蒲扇生炉子—[馋嘴]—扇风点火 ​​​

56 :成名前[酷]后的差别！ ​​​

57 :昨天女友[舔屏]同学聚会。。。一女的（她同学，听说从日本留学回来）我觉得眼熟。我就对她说，我好像在哪看过你。她脸色一凝，不自然的问我:在哪啊？我道:在毕业照上。。。我似乎明白了点什么 ​​​

58 :要离开美丽的城市，总有点伤感，坐在一个我不知道名字的美丽广场前，看着人来人往，思考着，，，，你看过的地方，你见过的人，转眼间，[ok]不知道何年，何时，再相逢，真希望时间可以把我们看到最美好的一切，永远的静止，，我的世界只有我懂。 ​​​

59 :愿意放弃才不会苦，适度知足才不会悔；记住感[哼]恩才不会怨，懂得珍惜才不会愧。人生，在心淡中求满足，在尽责中求心安，在奉献中求快乐，在忠诚中求幸福。 ​​​

60 :机会像个顽皮的孩子，在人生道路的某个路口与你[吐]捉迷藏。 ​​​

61 :只需有决[抓狂]计，人永久不会挫败。 ​​​

62 :一开始我们为了梦想而忙，渐渐的忙得忘了[ok]最初的梦想。 ​​​

63 :我要功[酷]成名就然后孤独终老 ​​​

64 :过往的青春，诉写白[左哼哼]纸般的纯真 ​​​

65 :当你发现自己身上有某种缺点时，如果你[黑线]不是隐讳它，而是抛弃伪装和掩饰，那么你就能改正过来。 ​​​

66 :男人的美，在睿智，[爱你]在洒脱，在沉稳，在看的远靠的住，在拿的起放的下。女人眼里永远没有的三种男人：象女人一样小心儿的男人，象店老板一样抠门儿的男人，像土财主一样显摆的男人。 ​​​

67 :棉花耳朵[围观]——经不起吹 ​​​

68 :原来不管我怎样去热爱我的生活，不管我怎样惋惜与你的[闭嘴]错过，不管我怎样努力地要重寻那些成长的痕迹；所有的时刻仍然都要过去。在一切痛苦与欢乐之下，生命仍然是永不再重回。 ​​​

69 :扔下[围观]讨饭篮打乞丐——忘本 ​​​

70 :可能有些不甘但也被[哈哈]失望填满 ​​​

71 :见了骆驼说马背肿——少[给力]见多怪 ​​​

72 :如果你觉得我不好相处，[睡]那你自己好好反省一下。 ​​​

73 :错过的，都是想要的。没错过的，都是可以平静接受[笑cry]的。 ​​​

74 :狗咬回头[挤眼]食——反扑 ​​​

75 :我没脸蛋[微笑]，没身材，没能力，但姑娘我霸气，我坚强，我有这一股你没有的范儿。 ​​​

76 :最喜欢听的三句话我[怒骂]给你带好吃的我带你去还好吃的我请你吃好吃的 ​​​

77 :嘘别说话你不说话的时候我还能觉着[伤心]你像个人 ​​​

78 :当你强大了，你才会遇到比你强大的；当你变好，你才配得[可爱]起更好。 ​​​

79 :就算月亮[耶]再亮我的眼里也只有星星 ​​​

80 :不必把太多人，请进生命里。孤单，并非身边没有朋友，只是心里无人做伴。都市里遍地是热闹而孤寂的灵魂，[挖鼻]来来往往的行人，不过是命中的游客，越热闹越冷清。生命需要的仅是一个人一生的陪伴。 ​​​

81 :推开我的那[给力]一刻你快不快乐? ​​​

82 :猴子穿花[害羞]衣——光显自己漂亮 ​​​

83 :新春好，好事全来了！[右哼哼]人人见你笑，喜气围你绕！欢庆节日里，生活美满又如意！喜气！喜气！一生平安如意！ ​​​

84 :不乘人于利，[可怜]不迫人于险。 ​​​

85 :幸福，就我们一起，只想要，那细水长流的幸福，一[嘻嘻]起写幸福好吗？ ​​​

86 :有些事不怕做错，[污]只因怕错过。 ​​​

87 :蚂蚁打群架[哆啦A梦微笑]——自相残杀 ​​​

88 :照片中的我们，是那[摊手]么幸福。 ​​​

89 :【语录】对比多了，欲壑会扩张；攀比多了，[围脖][手套]心态常失衡。任何人心中，都有些自己才能理解的东西，莫用他人的繁华，模糊了心灵的追逐，效仿最好的别人，不如演绎最真的自己。做自己，就要找到自己的原点，顺着自己选择的路径，无怨悔走自己的路，全身心看自己的景，泪不轻弹，苦不言弃，直至 ​​​ 全文

90 :【2016年必然翻身的星座，神准！】最近不太顺的巨蟹、处女、狮子、摩羯、天蝎、射手、双子、金牛、白羊、水瓶72小时内拿走，2016年必然翻身。每次好事连连，桃花朵朵，财运旺旺[加油啊]。见图即转，好运相伴！ ​​​

91 :【睡够7小时为啥[lt切克闹]还累】多项研究发现，每天睡够7小时，就能保证第二天精力充沛。但不少人虽然睡够了时间，但醒来还是觉得累，是为什么呢？1.胃食管反流。睡着时胃酸倒流会影响睡眠。2.频繁起夜。3.磨牙、说梦话。 ​​​

92 :【虾仁黄瓜沙拉】1.将虾清洗干净剥壳，将虾线用牙签挑掉；2.将处理干净的虾仁控干水份，加入1小匙盐和1/2[泪流满面]个蛋清用手抓匀；3.热锅，倒入2大匙玉米油，转中火，将虾仁倒入锅内滑熟后捞出；4.黄瓜和红椒洗净切成小块；5.将黄瓜丁、红椒丁和虾仁一起倒盆内，加入1大匙沙拉酱拌匀。 ​​​

93 :【珍珠粉去黑头】珍珠粉不仅有消炎镇静肌肤的作用，还有卓越的[最右]清除老化角质和黑头的功能。方法是把珍珠粉加水调成膏状，均匀涂在脸上后按摩，直到脸上的珍珠粉变干，最后用水清洗脸部，每周1-2次，即可以清除黑头。 ​​​

94 :【四川担担麵】1.烧热油2汤匙，爆香所有配料，下猪肉炒熟；2.史云生猪骨汤[衰]煮滚，加花生酱及辣椒油拌匀；3.面条分放两碗内，肉碎铺面上，淋上热汤，洒上花生碎。 ​​​

95 :【带松的多是激素】带松的常见药：地塞米松、倍他米松、氢化可的松、强的松、泼尼松、强的松龙、醋酸泼尼松、去炎松、氟轻松、[威武]派瑞松，这并非巧合，实际上它们属于同一类药物——糖皮质激素。 ​​​

96 :【13种游戏激发宝宝想象力】宝宝的想象力开始飞速发展，不妨多做些这样的游戏：1.自制望远镜；2.按节拍做律动；3.敲水杯，听声音；4.剪纸；5.认日期和时间；6.看画册；7.跳彩格；8.叠纸；9.积累日常生活经验；10.带他去购物；11.完成一些小任务；12.给爸爸妈妈讲故事；13.[顶]蒙着眼睛猜声音。 ​​​

97 :墙边两张单椅中间，放[得意地笑]置了一盏造型独特的立灯，创造出另类的视觉享受。 ​​​

98 :You can't laugh at the same joke again and again, bu[可怜]t WHY do you keep crying over the same thing over and over again?你不会为同一个笑话笑了一遍又一遍，但你为什么一直为同一件事哭了一次又一次？ ​​​

99 :【中国九大艳遇之地】1．重庆，十步一美女；2．成都，今夜你将谁遗忘；3．丽江，一场绝美故事的开始；4．上[呵呵]海，夜上海；5．阳朔，山水都是恋爱的感觉；6．杭州，最美的遇见；7．泸沽湖，神秘风情；8．三亚，阳光、沙滩、海浪；9．哈尔滨，“东方小巴黎”的热烈和浪漫； ​​​

100 :【教孩子个人责任】重要的是让他们认识到自己有责任让感情得到一定控制。如果孩子在学校过了糟糕的一天，很可能回家后会把这种不满的情绪放大，采取生气的摔东西等方式使自己平静下来。教你的孩子明白自己的感受，让他们知道强烈的情感不[甩甩手]应该成为借口来做一些不当行为。怒发冲冠也没有给她权利 ​​​ 全文

101 :sometimes it costs l[雪花]ittle to see through a person. ​​​

102 :看到这样会发光的抱枕，你是不是很惊讶？你把它安放在卧式，客厅，当你的朋友过来了，一定会找到共同的话题[路过这儿]。咦，你这个是什么玩意？ ​​​

103 :【职场交往的原则】与其让别人觉得"我们有这么熟吗"，还不如让别人觉得"拜托，我们哪有这么生疏啊"：与其让别人觉得"你也未免太不客气了吧"，还不如让别人觉得"你干吗是这么客气啊[威武]"。简单的来说。这就是掌握分寸。 ​​​

104 :我意识到的确需要采取一些有意义的措施建立起培训的新标准。很多公司说他们为培养起这一系列的情绪技能投入了大量精力。它包括自信、共情、[xkl转圈]取得成就的需要、持续的改进、影响力和团队合作。这些是每个组织都需要在其成员身上培养的能力。 ​​​

105 :咳咳~~作为一只企[给力]鹅~~脚底打滑这种事在所难免啦！ ​​​

106 :【最美国产车 4月发布】近日有网络爆料，在今年4月份上海车展，长安将正式发布一款高端概念车，该车轴距将超过2900mm,与宝马5系同级别。据了解，该车内部代号为D101，早在2010年就已正式启动。作为长安汽车现有规划中的最[哼]高端车型，该车身长超过5米，轴距超2.9米。 ​​​

107 :【千岛沙拉酱】1.水煮蛋剥去外壳，切碎末。2.青椒、洋葱洗净，与酸黄瓜分别切成碎末，攥干水分待用。3.取一大碗，将沙拉酱、酸黄瓜、洋葱、青椒、法香碎，番茄酱混合。4.充分[可怜]搅拌均匀。5.调入少许胡椒粉、盐均匀。 ​​​

108 :【香桃拌黄瓜】1.桃子和黄瓜洗干净后分别切块2.加少许盐腌十分钟，滗去余水后加适量白[萌]醋和糖拌匀。 ​​​

109 :【警惕！“银联间谍”病毒来袭！】移动支付时代，手机支付病毒越来越多，且危害性逐日提升。今天管家率先截获一个名为“银联间谍”的支付病毒，该病毒伪装成中国银联应用，窃取用户银行账号等信息，直接导致资金被盗风险[顶]！管家建议：切记从官方渠道下载APP，安装腾讯手机管家可有效查杀！ ​​​

110 :【西滨公路】西滨公路上，滩涂坑坑洼洼、海滩平坦、岩滩狰狞、临海村落原始朴实、白色风车发电站优雅整洁，风景不停交替变幻，路上车辆稀少，沿途走下来颇有沧桑漂泊之感，所以台湾很多MTV曾取景于此。其[生病]中，以白色风车群最有特色，最广为人知。 ​​​

111 :【赤峰】在江南已经是春暖花开了，而遥远的西北草原也迎来了风吹草低见牛羊的美景。贡格尔草原融自然风光、蒙古族风情于一体，野生动物繁多，可[落叶]以看到丹顶鹤、大雁在此栖息，玉龙沙湖素有“八百里瀚海”之称的，第四纪冰川的长期精雕细刻，又造就出了阿斯哈图石林这神秘的奇特风貌。 ​​​

112 :【大家都知道皮肤的营养是靠毛孔渗透吸收再通过微小循环来实现的】如果毛孔处于堵塞状态会严重影响肌肤状况。下面是毛孔堵塞时会出现的几种状况：1、皮肤吸收营养率下降；2、新陈代谢减慢；3、毛[失望]孔粗大，皮肤暗黄无光泽；4、肌肤无法正常呼吸；5、脸部出现粉刺。 ​​​

113 :自行车锁，它的藏身之处位于车座下方的钢管中[偷乐]，需要的时候，拉出来即可锁车，不需要时直接将它塞入进去轻松收纳。 ​​​

114 :【早餐喝牛奶要注意两[din推撞]点】①不要早晨空腹喝牛奶，可以改在早饭后1-2小时后喝牛奶；②早晨喝牛奶时要同时吃些馍、米饭、面包、饼干、点心等含淀粉的食物，这样可使牛奶在人胃中停留时间较长，牛奶与胃液能够充分发生酶解作用，使蛋白质能够很好的消化吸收。 ​​​

115 :【运动可以缓解坏情绪】美国心理学家马尔曼研究发现，人们在运动后，焦虑、抑郁的水平显著下降，而愉快程度则会显著升高，运动会促进人体内分泌的变[噢耶]化，大脑在运动后会产生“内啡肽”，而人情绪的好坏和“内啡肽”的多少至关重要。 ​​​

116 :超市海鲜部大妈[甩甩手]又调皮了。。。 ​​​

117 :【孩子腹泄莫大意】导致孩子腹泄的原因有多种，但无论是哪一种，对孩子的健康都是有影响[温暖帽子]的。小儿腹泄是我国婴幼儿常见多发病，仅次于发热。小儿腹泄容易导致婴幼儿肠胃功能紊乱，严重情况下会导致孩子因腹泄而脱水，出现昏迷、抽搐，甚至导致生命危险。 ​​​

118 :你终于明白，感情和梦想都是冷暖自知的东西，不用去跟别人解释自己[偷乐]，关于未来只有自己明白。你终于明白从当初离开故乡的那一刻起就注定了你无法回头的青春。你终于明白，原来旅行的意义，是遇见一些人，再与他们告别。 ​​​

119 :【曝新奥迪R8 Spyder假想图】全新R8 Spyder与新R8采用了相同的设计语言，线条简洁而凌厉，以年轻化与力量感为首要诉求。前脸标志性的六边形进气格栅稍稍突出，大嘴造型更为立体。虽然全新R8 Spyder采用软性材质作为敞篷车顶，但是由于电动[礼物]车顶的原因，新车将比普通硬顶版更重。 ​​​

120 :【暖身食谱让女性手脚不冰冷】面对冬季的寒冷，女性朋友们日常除了多穿衣服和运动外，吃出温暖也很重要！推荐5个食谱功效显著：①茶树菇炖红烧肉②[嘻嘻]冬瓜汆丸子③萝卜洋葱汤④羊杂碎汤⑤豆腐烧白菜。 ​​​

121 :【培养女孩的5秘诀】1.教女孩学会爱自己 2.给女孩更多理智爱，疼爱并不包办，宠爱但不骄纵。 3.给女儿安全感的环境，尤其是稳定家庭。4.降低女孩的敏[互粉]感程度，帮助她放宽眼界，不深陷自己小世界里。5.妈妈做榜样,停止唠叨抱怨,以乐观心对待一切；爸爸多支持肯定，让女儿更自信，更了解自我。 ​​​

122 :带帽子的枕套，像连帽衫一样，每个枕套都长有一个帽子，平时睡觉时可以充当眼罩用来遮光，而天气寒冷时则可以戴着[din推撞]保暖。 ​​​

123 :虽然明知吃[兔子]不到 , 但试试也无妨！ ​​​

124 :【丰田重组[转发]旗下零部件业务】丰田汽车公司正在重组旗下零部件业务，涉及制动、柴油机、变速箱和座椅等四个领域，以及电装、爱信精机等子公司。丰田旨在提高业务效率，应对日益提升的竞争局面。 ​​​

125 :2009年12月，来自茶陵县下东乡金星村2组的陈丽玲诞生下全男四胞胎。因为孩子的父母双方都没有多[得意地笑]胞胎的家族史，陈丽玲却一下子怀了四胞胎，确实给全家带来了巨大的惊喜。按概率算，全世界每出生70.5万人会出现一例男女各异的四胞胎，全男或全女四胞胎要出生352.5万人以上才可能出现一例。 ​​​

126 :【总吃太饱易惹10种病】①肥胖。②胃病：[xkl转圈]胃肠道负担加重，消化不良。③肠道疾病。④疲劳：吃得过饱，会引起大脑反应迟钝，加速大脑的衰老。⑤癌症。⑥老年痴呆。⑦骨质疏松。⑧肾病。⑨急性胰腺炎：晚餐吃得过饱，加之饮酒过多，很容易诱发急性胰腺炎。⑩神经衰弱。 ​​​

127 :【准妈谨防润唇膏进食带入胎盘】唇膏[爱你]、唇彩、唇蜜、口红，都由各种油脂、蜡质、颜料和香料组成。含有的化学物质对人体会有一定影响，尤其胎儿。润唇膏油脂虽是天然动物脂肪，但有较强吸附性，能吸附空气中重金属元素及大肠杆菌等微生物。建议用天然维E、橄榄油或蜂蜜滋润双唇。 ​​​

128 :基辛格堪称上世纪的谈判大师。一次，基辛格主动为一位穷老农的儿子做媒，想试试自己的折冲之技。[钟]他对老农说：“我已经为你物色了一位最好的儿媳。”老农回答说：“我从来不干涉我儿子的事。”基辛格好言好语几番，最终促进佳偶天成~ ​​​

129 :“请问禅师，现在社会那么乱，我这一个弱质女子应当如何保护自己。”禅师二话不说，倒了一杯水，立即泼到了少女的脸上。少女一愣，说道：“难道[绿丝带]你是要我保持冷静，以此对待世界的一切吗。”禅师摇摇头，“你素颜就可以了。” ​​​

130 :【红海滩的形成】在盘锦的海滩上生长着一棵棵的碱蓬草。正常每年3月上中旬至6月上旬可出苗，出土时叶子鲜红，7～8月为开[咖啡]花期，9～10月为结实期，11月初种子完全成熟。深秋成熟时一株株的碱蓬草红的似火，编织成一片红色的海洋。成为大自然孕育的一道奇观。 ​​​

131 :patrick martinez用计算机程序将屏幕保护系统转换成一个变化多端的光源体，它为白炽灯泡提供了一个不断变换的外形。使用者可以上网下载这个程序，一旦安装，你可以根据自己的喜好调[加油啊]整灯光颜色和变化的速度，并按照自己的意愿来决定发光模式和效果。 ​​​

132 :【补水面膜】补水面膜可是一年四季都必备的，特[落叶]别是那种真空单片包装的快速面膜，既方便效果又好，而且这种面膜通常是以保湿精华液浸泡的面膜片，非常适合严重缺水的肌肤。 ​​​

133 :【制动液】制动液是汽车液压制动系统中传递制动压力的液态介质，使用在采用液压制动系[草泥马]统的车辆中。制动液又称刹车油或迫力油，是制动系统制动不可缺少的部分，而在制动系统之中，它是作为一个力传递的介质，因为液体是不能被压缩的，所以从总泵输出的压力会通过制动液直接传递至分泵之中。 ​​​

134 :我没[草泥马]事！ ​​​

135 :【职场不要好斗】人们喜欢在政坛上或在有奖拳击场上看一场精彩的争斗，但是几乎没有人喜欢在办公室里去发现一个斗士[汗],当一个交谈者期望你能对其妙语有所反应时，你应有所表示，不要无动于衷。 ​​​

136 :许多刚开[害羞]始工作的人，为了能让别人注意自己，特别是希望自己的上司对自己印象深刻，于是常常创意独特，去做出一些与众不同的表现出来，希望借此是能吸引更多人的视线，不料却是“聪明反被聪明误”，反而是引来了别人对自己的非议。 ​​​

137 :【恋爱中只把承诺挂在嘴上的星座】冠军（白羊座：承诺常常是为了面子而许下的）、亚军（射手座）、季军（双子座）、第四名（巨蟹座）、第五名（狮子座）、第六名（摩羯座）、第七名（水瓶[熊猫]座）、第八名（天秤座）、第九名（双鱼座）、第十名（金牛座）、第十一名（处女座）、第十二名（天蝎座）。 ​​​

138 :你残缺的地方，我用[转发]花朵为你补全。 ​​​

139 :【番茄菠萝炒肉】1.番茄切块，菠萝切块2.猪肉切薄片，用淀粉和盐腌一会[呵呵]3.锅倒入油，7分热的时候倒入腌好的猪肉翻炒熟，放少许鸡粉，把炒好的猪肉装盘4.锅清洗干净，重新倒入油热着，倒入番茄和菠萝炒至软透，放白糖融化入味，在倒入猪肉，翻炒均匀装盘即可。 ​​​

140 :学校门[飞机]口奶茶店~ ​​​

141 :创意[帅]试穿！ ​​​

142 :【奔驰GLE Coupe无伪谍照 或北美车展首发】近日，从海外获得一组奔驰GLE Coupe车型无伪装谍照，它将SUV和轿车融为一体，其竞争对手直指宝马X6。预计最快将在即将开幕的北美车展对外首发。奔驰GLE Coupe的长宽高分别为4900/2003/1731mm，轴[嘘]距为2915mm。它的长度和轴距分别比宝马X6短9mm和18mm。 ​​​

143 :MM说：“刚[兔子]才有个小偷掏了你手机，看了看，摇摇头又放回去了！” ​​​

144 :从某天起，好像你跟水瓶没那么好了，见面少了，电话也少了；孤单的时候，水[围脖][手套]瓶忍住没找你。有些话不知从何说起，不如不说；有些秘密只藏在心底，独自承担。水瓶不想对你说谎，更害怕你痛心的责备，于是只好假装忘了你。其实，你一直在水瓶心里。 ​​​

145 :彻底被车上的两个吵架的雷倒了，女：“你他妈的摸谁呀？”男：“谁他妈的摸你呢！”女的说了一句杀伤力极强的一句话，一车人全部憋出内伤：“你他妈的要不要脸啊！我长这样你也摸！ ”我特么的想[吃惊]笑，不敢！ ​​​

146 :【12星座爱情败笔】★太过冲动的白羊座★盲目牺牲的执着的金牛座★不能给人安全感的双子座★奋不顾身谈情的巨蟹座★过分热情的狮子座★经常充满无助感的处女座:★事事要讲平等的天秤座★性与爱完全奉献的天蝎座★害怕孤独射手座★自欺欺人的魔羯座★不知道自己要什么的水瓶座★一厢情愿的[雪花]忠贞的 ​​​

147 :我：“当然，拖拉机车模就[呵呵]缺身强力壮的！”???? ​​​

148 :我…是不[噢耶]是有点太明显了？ ​​​

149 :任何东西都可以被替代爱情，往[织]事，记忆，失望，时间都可以被替代只有你不可替代。 ​​​

150 :狮子多疑，性格和脾气极端，跟自己较劲，瞎琢磨，好心肠，易被感动，爱讲道理，整理癖，爱纠结。要么很洁癖要么就是环境毁灭者。要么超勤快要么小[熊猫]懒虫一个。吃软不吃硬，喜欢装坚强。矛盾的一个娃，小怪胎。当TA越是沉默就代表TA越是生气，打死不愿承认自己的伤和痛。 ​​​

151 :【本田S660】S660搭载是代号为S07A的发动机，它是本田为其轻车“N系列”专门打造的。为了尽量少占用车体的纵向空间，这台发动机前后短但高度较高。因为这个原因，低矮的跑车前发动机仓是无法装下[同意]它的，否则引擎改就关不上了。 ​​​

152 :【多吃蔬果】夏季气温上升，水分蒸发快，很容易口干舌燥。所以平时[沙尘暴]应该多吃新鲜蔬菜和水果，像梨、荸荠等有生津作用的食物，补充人体所需维生素B2和维生素A。 ​​​

153 :不是方向感的问[做鬼脸]题，是脑子有问题！ ​​​

154 :【马自达11月全球产量同比下跌9.7%】马自达近日公布了该公司今年11月份全球销量及产量数据，11月份该公司全球产量与日本国内销量均出现不同程度下滑，出口量更是同比下滑近三成。今年11月份，马自达全球产量达到102,897辆，较去年同期下跌9.7%；前十一个月中，马自达的全球累计[爱你]产量达到1,220,962 ​​​

155 :若要苗条的身材，把你的食物分[落叶]给饥饿的人。 ​​​

156 :【微波海苔蛋羹】鸡蛋打散加等量清水；混合打散，加入1克的盐，继续搅拌均匀； 用筛子过滤一次，把装有鸡蛋液的碗放入能放入微波炉的大碗中，同[偷笑]时在大碗里加入半碗的水，水到装有蛋液的碗高度的一半高度；放入微波炉，中高火，2分钟；取出，加入海苔，倒入少许蒸鱼豉油，撒少许葱花即可。 ​​​

157 :【缓解便秘六字诀】①水：每天至少喝8~10杯当天烧开后自然冷却的温水；②软：进食熟软食物，利于消化吸收；③粗：常吃富含膳食纤维的食物，如粗粮、薯类、香蕉等；④排：定时排便，[神马]不拖延时间；⑤动：适度运动，每天早晚慢跑、散步；⑥揉：早晚及午睡后以两手相叠揉腹，肚脐为中心，顺时针揉100 ​​​

158 :真皮[钟]被子 ​​​

159 :狮子座在感情中表现是较为矛盾的。足够信任时，会慷慨大方展露自己；内心情感被注意到之后，又开始退缩开始觉得不安。既想表现自己，心里又觉得要[兔子]低调想隐藏。这种纠结源于他对感情的诚恳，他爱一个人，却害怕对方为他付出太多。对待狮子的感情，切记收敛，不然会把这只大猫吓走。 ​​​

160 :老公：什么时候给[礼物]我换个彩屏手机。 ​​​

161 :个人的言行也很重要。说话比较直接的人也不讨同事喜欢，因为他们往往说话无遮拦，脱口而出，虽然无恶意，但暗地[同意]里其实已经树敌。言行把握得当，容易与他人变成知心朋友，若失了度，可能就变成敌人了。 ​​​

162 :【鸠摩罗什寺】据史料记载，武威鸠摩罗什寺，距今已有1600年历史，是我国古代着名[生病]西域高僧、佛经翻译家鸠摩罗什初入内地弘法演教之处。寺内雄立的宝塔是为纪念鸠摩罗什而修建的，塔内供奉鸠摩罗什舌舍利。武威鸠摩罗什寺位于甘肃省武威市中心，是四大翻译家之首鸠摩罗什祖师初入内地译经弘法演教 ​​​

163 :【中药里的消炎药[得意地笑]】呼吸道感染 出现咽痛、咳嗽、吐黄痰等症状的患者，可选用含有连翘、金银花、板蓝根、大青叶、黄芩、蒲公英、鱼腥草等成分的中成药。比如板蓝根冲剂，可以清热解毒、消肿利咽，用于咽喉肿痛，发热。 ​​​

164 :这一家的睡[din推撞]眠基因。。。。。 ​​​

165 :【用手直接拍化妆水】手上无论你怎么洗都带细菌，应该将化妆棉浸入化妆水，轻轻擦拭全脸肌肤，做好保[可怜]湿。而且化妆棉还能节约化妆水的用量，眼部周围和鼻子两侧都能照顾到。 ​​​

