君临磊少_in 女/四川         加关注
37 :想你，我就来看你！比如，今晚！ ​​​

38 :自己参与的故事，自己导演的结局，伤痛都是自找的 ​​​

39 :煤面子捏的人——黑心肝 ​​​

40 :能与初恋情人挥一挥衣袖，不带走一片云彩，也是一种境界。 ​​​

41 :心情短语这些年，我被别人骂过，我被别人嘲笑过，我被别人冷落，过我被别人耍过。我一个人躲在被窝里哭过，我一个人喝过酒，我扇过自己，我被别人骗过，我失望过，我绝望过，我难受过，我生病过，我也心痛过！我管它叫挫折，可生活却叫它成长。 ​​​

42 :驾车违章被扣逃脱密诀——你非常诚恳地说：警察同志，您就大人不记小人过，把我当作屁给放了吧 ​​​

43 :给自己取名逝，于是时光真的逝去，我与念念不忘的人就此，终年不遇。 ​​​

44 :那样的你，在我眼里；那样的情，在我脑里；那样的伤，在我心里 ​​​

45 :失掉了现在，也就没有了未来。 ​​​

46 :从早晨到傍晚，你反问自己一天拍了什么？有什么创意?或许对第二天有更多的触动。 ​​​

47 :在没人知道自己的付出时，不去表白。在没人懂自己的价值的时候，不去炫耀，在没人理解自己的志趣时，去活着自己的执着，活着自己的单纯，活着别人读不懂的痴醉，活着自己美丽的梦想。 ​​​

48 :等待，并不是期待你能回来。只是，找一个借口，不离开。 ​​​

49 :成功的信念在人脑中的作用就如闹钟，会在你需要时将你唤醒。 ​​​

50 :多久才释怀这份旧爱。 ​​​

51 :学则智，不学则愚。 ​​​

52 :失恋，不是想换一个人再爱一次，是等一个人真正开始。将手丢在一个人的手心，扣紧十指的温度，感受他的茧，感受他生活里的来之不易，像个突然成熟的女人，心疼品味他的细腻。 ​​​

53 :从爱上他那天起， ​​​

54 :牵着骆驼数着鸡——高的高来低的低 ​​​

55 :一身傲骨誓天地，心跳不停怎能屈。 ​​​

56 :许国虽坚鬓已斑，山南经岁望南山。横戈上马嗟心在，穿堑环城笑虏孱。 ​​​

57 :可惜我在梦内遗失了水晶鞋，让前来相认的王子失去了唯一的重要线索。 ​​​

58 :您是一棵大树，春天倚着您幻想，夏天倚着你繁茂，秋天倚着您成熟，冬天倚着您沉思。 ​​​

59 :厨师熬粥——难不住 ​​​

60 :你身上有她的香水味一闻就没我的贵 ​​​

61 :我的心紧缩成一团，眼前晕染开来的黑暗，让我思念那年少时 ​​​

62 :现实社会低调人,低调小伙最迷人。 ​​​

63 :男人最大的骄傲不是你有多少个女朋友，而是有多少个兄弟愿意挺你到最后。 ​​​

64 :“你发匿名说爱我?”“别闹了怎么会!”“你才别闹QQ就你一个”。 ​​​

65 :三更月，中庭恰照梨花雪；梨花雪，不胜凄断，杜鹃啼血。 ​​​

66 :黄连树上雕字——刻苦 ​​​

67 :不知为什么，只要有你在我身边，我的心便不再惶惶不安。 ​​​

68 :天下无难事，唯坚忍三字，为成功之要诀。 ​​​

69 :花心萝卜充人参——冒牌货 ​​​

70 :不要叫我宅女，请叫我居里夫人 ​​​

71 :这个世界并不是掌握在那些嘲笑者的手中，而恰恰掌握在能够经受得住嘲笑与批评，并不断往前走的人手中。 ​​​

72 :岁月带走了你的容颜，却积攒了我对你的思念。 ​​​

73 :学如弓弩，才如箭镞，识以领之，方能中頶。 ​​​

74 :没有人值得你流泪,值得让你流泪的人不会让你流泪。 ​​​

75 :猪八戒见了白骨精——垂涎三尺 ​​​

76 :其实在爱情问题上，男人比女人更清醒，他们会把感情问题放在合理的位置，而女人很容易把感情当成生活的全部。伤什么都别伤心爱人的心。伤了之后，你就真的没有机会了。 ​​​

77 :一样的月光，洒在你我的身上...... ​​​

78 :青春只有一次，别让自己过得不精彩。 ​​​

79 :他和她并肩走在操场。他和她牵手压着马路。他和她躲在公园接吻。他爱极了她穿白色婚纱走向他的模样。只是，物相似，人已非。婚礼的前两天，为了取婚纱，她出了车祸。 ​​​

80 :人生只要两次幸运便好，一次是在我最好的年华遇到你，一次是直到白发苍苍，你也陪我走到底。 ​​​

81 :你就是我生命里的烟火。 ​​​

82 :回忆是多余的，只怪自己，爱你所有的错。 ​​​

83 :只愿每天早上，能看着你醒来。 ​​​

84 :每一点对其他人的厌恶都把我更推向你 ​​​

85 :大面积的L型格子窗户让原本就宽敞的餐厅空间更加开阔明亮。黑板天花让客人可以在此留言或写下祝福语，别出心裁的设计让餐厅更有个性。 ​​​

86 :当我们胆敢作恶，来满足卑下的希翼，我们就迷失了本性，不再是我们自己。 ​​​

87 :君子不失口于人，故言足信也。 ​​​

88 :知道你从未认真，所以一直都不敢当真。 ​​​

89 :你不能改变过去但你可以改变未来 ​​​

90 :我不喜欢酒的味道,但我喜欢酒醉的感觉 ​​​

91 :窝窝头进贡——穷尽忠 ​​​

92 :天不给我路走，我自己找路走；地不给我路平，我自己踏平。 ​​​

93 :原来我的手机是俄罗斯皇族血统，只能玩俄罗斯方块。 ​​​

94 :爱情，你爱着被他冷落被他粗暴的教训的酸涩，爱着因为他喜欢众多女人和众多女人喜欢他而引发的醋味。你沉迷在这种爱的痛快之中，无法自拔。这，其实是爱的错觉。 ​​​

95 :无论多么落寂和苍茫，那些身影总会过目不忘。 ​​​

96 :我不爱你的话你操遍整条街的女的都不管我的事懂么 ​​​

97 :退网幕后只做凡人 ​​​

98 :想你时，在纸上写着你的名字，一张一张的，上面全都是你-xxx ​​​

99 :你可以一无所有，但绝不能一无是处。 ​​​

100 :世界上最远的距离，不是爱，不是恨，而是熟悉的人，渐渐变得陌生。虽然最好的时光，总是特别短，但曾有过的感动，我们都会记得。 ​​​

101 :49.好女人就像汽油，一旦拥有就有动力：坏女人就像气囊，一旦用上就有危机。 ​​​

102 :输了你，赢了世界又如何？ ​​​

103 :交通局温馨提示您：天气寒冷，小心车祸。 ​​​

104 :攻如燎发，战似摧枯。 ​​​

105 :只寻求个人的利益，这是个人和团体进步上最大的障碍。 ​​​

106 :一个人最伤心的事情无过于良心的死灭。 ​​​

107 :超级欠扁的恶作剧大整人---令人毛骨悚然的可怕雕塑恶作剧，熊孩子你又不乖了！ ​​​

108 :????甲：“听说女生一起呆久了，大姨妈会同时来，那古代取三妻四妾有啥用啊？”乙：“真是傻，这就是古人为啥要分东宫，西宫。”???? ​​​

109 :编辑点评：开放式的厨房是室内中心，四通八达。从这个角度可以看到，一条过道连接了厨房与室外树林，太阳好时可以看到一抹阳光照入厨房，令人心神向往。 ​​​

110 :老成都的档案：百年前过春节成都不准打麻将。1921年春节，四川省会军事警察厅布告成都市民，“现值阴历春节禁止聚众赌 博及一切类似赌 博营业。”据成都市档案局透露，百年前春节的禁忌比较多，打麻将等各种赌 博行为都是不允许的。发现有赌 博行为后没收赌具，并处以罚款。 ​​​

111 :????我一朋友叫王根基。他第一次去老丈人家里，老丈人热情的招呼道：“你就是根基吧！”丈母娘白了一眼老头子说：“叫的什么玩意儿，还是叫小基吧！”这时，朋友一脸黑线说：“叫我小王吧！”???? ​​​

112 :【辣烤章鱼串】章鱼用盐仔细揉捏、洗净，去掉章鱼头里所有的东西，改刀小块；洋葱切块和章鱼块一同放入碗中，加适量蚝油、生抽、料酒、辣椒粉、孜然抓捏腌制15-20分钟；将章鱼穿在泡过水的竹签上；穿好的章鱼串，均匀刷上油，撒上孜然,烤箱上层开Broil档(最大)预热好 ，放中层5-10分钟即可。 ​​​

113 :我的自拍 ​​​

114 :【勤晒太阳】从不在夏天晒日光浴的女性，因各种原因死亡的风险增加两倍。《癌症》杂志发布的一项研究则表明，经常晒太阳的男性，患肾癌的风险降低了24%～38%。卫计委首席健康顾问洪昭光说，上午10~11点、下午4~5点晒太阳最好，每次晒15~20分钟为宜。 ​​​

115 :【靖西通灵大峡谷】位于百色市靖西县湖润镇，通灵大峡谷原来是一个盲谷，由于地壳运动的影响，天行地运，形成一个大天坑，四周悬崖峻峭，气势壮观。畅游通灵大峡谷的最佳方式是徒步。峡谷四季苍翠欲滴，顺着六级Z形阶梯进入峡谷，林木繁茂，遮天蔽日，鹅卵石林荫道从中穿过。 ​​​

116 :第二次世界大战末期，罗斯福总统提出了著名的四大自由，即言论自由、信仰自由、免于贫困及免于恐惧的自由。晏阳初补充了一条，就是人民要有“免于愚昧无知的自由”。 ​​​

117 :【和恋人去云南一定要做的事[心]】①去罗平看油菜花海；②去束河坐一下午；③一顿双廊洱海边的晚餐；④租电瓶车让他载你环泸沽湖拍照；⑤去丽江泡吧，彼此搭讪装不认识；⑥西双版纳逛夜市各种吃；⑦去大理才村看日出；⑧徒步雨崩，去玉龙雪山拍婚纱照；⑨去最接近天堂的香格里拉。 ​​​

118 :【奥塔湖】奥塔湖，位于意大利西北部，它的名气不是特别响亮，没有大湖的磅礴气势，但奥塔湖小家碧玉的精致景致，让不少文人墨客赞叹不已。湖中的圣朱利欧小岛上的建筑错落有致，法国19世纪小说家巴尔札克称之为翠绿珠宝盒上的黑珍珠。 ​​​

119 :女业主喜欢浪漫的爱琴海风格，男业主喜欢简约中式，所以最后确定了主题风格是地中海混搭休闲中式。 ​​​

120 :消毒液公司请美女上街"偷袭"男路人下体 以宣传防癌的名义！一家法国的消毒液公司雇请了3位美女走上大街“偷袭”路人下体以宣传防癌的重要性。近日一群美女走上大街对来往的男性路人做“猴子偷桃”的动作。这项大胆的活动由一家法国的消毒液公司发起，旨在宣传预防前列腺癌的重要性。 ​​​

121 :户外音乐盛会或是Party 常常会乱扔大量垃圾，为了解决这个问题，并为这些户外活动爱好者提供临时住所，这款名为 Glad 的垃圾袋帐篷由此诞生。它主要设计为单人使用，采用该公司的弹性抗力垃圾袋材料打造，具备轻质便携的特性。 ​​​

122 :【早教践行】我们的所见，源于自己的内心的视角。张爱玲说，面对一个不再爱你的男人，做什么都不妥当。衣着讲究就显得浮夸，衣衫褴褛就是丑陋。沉默使人郁闷，说话令人厌倦。而面对缺乏爱的能力的父母，孩子怎么做都是错：独立被视为叛逆，诚实被视为木讷，善良被视为软弱，坚持被视为固执…… ​​​

123 :【独生子女迷思：四口之家更和谐？】由于独生子女政策限制，许多中国父母各显神通，务必一圆儿女双全之梦。然而，这一相对传统的家庭观是否经受得住现代生活方式的挑战？一位心理学家称：要几个孩子和要不要孩子本质相同。关键在于，身为父母的你和孩子相处的时间和质量。 ​​​

124 :马克思的《资本论》是本伟大的巨著，我们当然要时时刻刻将它带在身边。国内设计团队惊蛰将资本论设计为一款创意钱包，让携带变得更为简单有趣。你可以往里面塞入百元大钞，常用的卡等，拿出来使用的时候，必能赢得100%的回头率。 ​​​

125 :【虾皮拌苦菊】苦菊洗净切段、胡萝卜切丝后热水烫一下备用；把苦菊、胡萝卜、虾皮加入盐、味精、红油、香油、酱油、醋充分拌好即可。 ​​​

126 :白色壁面配上粉嫩的花瓣，充分展现出女孩房的甜美气息;收纳层板以圆弧来修边，不仅美观也更加安全。 ​​​

127 :全球令人瞠目结舌的性爱风俗之海达特撒族：妹妹代姐姐性服务！看看这里的男人受到了什么样的优待：当海达特撒族孕妇到达临产最后一段时期并且不能和其丈夫进行正常房事时，她实在舍不得丈夫的“干火空烧”，干脆就请来自己的胞姐或胞妹暂时“帮忙”对付一阵子。 ​​​

128 :编辑点评：墙体线条清晰而不呆板，给卧室带来了律动感。在墙壁上还有一处凹槽，用来放置书，设计巧妙。两张深褐色的椅子在旁边显得对称，进一步强调了规整感。另外红白相衬的被褥也让卧室看起来温暖舒适。 ​​​

129 :【哪些星座男的伴侣最难做】冠军（天秤座）、亚军（处女座）、季军（摩羯座）、第四名（天蝎座）、第五名（水瓶座）、第六名（金牛座）、第七名（双鱼座）、第八名（白羊座）、第九名（双子座）、第十名（巨蟹座）、第十一名（狮子座）、第十二名（射手座）。 ​​​

130 :这个真神了，牛人用木头做成的“水滴我们大概都知道水滴滴落水面时，会是多么复杂的一个过程——但英国设计师Dean O’Callaghan却真的是一个牛人，他用一套精巧的手摇机构，用几个木头圆环就模拟出了水滴入水的全过程，叹为观止。 ​​​

131 :【宝马F82 M4】改装项目清单：3DDesign碳纤维轻量化套件，碳纤维前下唇，碳纤维侧裙，碳纤维后下扰流，碳纤维鸭翼，碳纤维后视镜盖，可调高低避震器，铝合金踏板。 ​​​

132 :【8种食物让你容光焕发】①豆类，稳定女性的荷尔蒙。②绿茶：抗氧化。③西红柿。④醋。⑤葡萄：葡萄籽富含一种营养物质“多酚”，长期以来，人们一直相信维生素E和维生素C是抗衰老最有效的两种物质，可葡萄籽中含有的这种多酚的特殊物质，其抗衰老的能力是维生素E的50倍。⑥红酒。⑦蜂蜜。⑧酸奶。 ​​​

133 :比利时设计师vanessa hordies设计了一款能够伴人入眠的沙漏台灯。他借用了沙漏的形式，将真正的灯泡埋在沙子下面，当你把沙漏倒转，其中的定时器就会启动，并将时间设定为15分钟，沙子逐渐将灯光淹没，并制造出朦胧的效果，15分钟后台灯就会自动关闭，让使用者可以高枕无忧的进入梦乡。 ​​​

134 :在与窗户成90度角的墙壁上打造一个书柜，书柜主体三分之二处，分别设计了一个款式相同的柜体，用以放置音响或者贵重书籍，大大扩充了书柜的收纳功能。 ​​​

135 :【法拉利将推F12性能版】法拉利将推出一款高性能车——F12 tdf，新车基于F12 Berlinetta打造，并将搭载重新调校的6.3L发动机，最大功率较之现款提升了29kW。得益于车辆大幅减重110公斤的轻量化设计，新车仅需2.9秒即可破百。 ​​​

136 :【成功】1、知识,辨别力,正直,学问和良好品行,是成功主要条件，仅次于兴趣和机遇。2、只有胜利才能生存,只有成功才有代价,只有耕耘才有收获。3、胜利者往往从坚持最后五分钟时间中得来成功。 4、如果你问一个善于溜冰的人怎样获得成功时，他会告诉你：“跌倒了,爬起来”，这就是成功。 ​​​

137 :神庙逃生！ ​​​

138 :“当你爱情婚姻不幸时，不要找同类，不要找更惨的人，除了不幸，他们无法给你更多，甚至会仇恨你想改变的念头，因为那样让他们痛苦。不幸的人，倾向于麻木自己，好让自己接受不幸，他们最常说的一句话是：人，都是这样的！” ​​​

139 :爱因斯坦的“相对论”发表后，有人曾炮制了一本《百人驳相对论》，网罗了一批所谓名流对这一理论进行声势浩大挞伐。可爱因斯坦自信自己的理论必然胜利。他说:“假如我的理论是错的,一个人反驳就够了,一百个零加起来还是零。”他坚定必胜的信念,终于使“相对论”成为20世纪的伟大理论,为世人所瞩目。 ​​​

140 :【测迈巴赫S 600】迈巴赫S级基于奔驰S级打造，在车身尺寸、功能配置等方面都比奔驰S级有所提升。外观设计方面保留了奔驰S级的整体风格，不过车身长度和轴距都有比较明显地加长，5457mm的车长带来的视觉冲击力还是比较强的。内饰设计跟奔驰S级完全一致，迈巴赫S 600把更多注意力放在后排的舒适性上。 ​​​

141 :【培养孩子特长的最佳年龄段】家长都希望自己的孩子学一些才艺特长，除了尊重孩子的兴趣以外，还应根据儿童生理发展的特点，理智安排学习时间，以下供大家参考：1、小提琴：5-6岁；2、钢琴：4-5岁；3、绘画：2-4岁；4、书法：5-7岁；5、棋类：3-4岁；6、舞蹈：3-5岁；7、溜冰：4-6岁；8、珠算：7-9岁。 ​​​

142 :呵呵，当我连飞机都折不太好的时候，人家已经拿纸折出这些了（德国艺术家Simon Schubert作品）。 ​​​

143 :就在刚才，我一个同事被经理打电话骂了。因为他把彩铃设为：对不起，您的电话已欠费，请您续缴话费。这么大雨，你懂的，经理去缴费路上，他摔了一跤。。。 ​​​

144 :天秤座对待自己在乎的人，大部分的话都能记得。天秤座不在乎的人，很大条的，走路都能撞墙的那种。 第一眼认为还不错的，会有发展的可能，如果第一眼都不顺眼，连做个朋友都困难。 面对爱情很洁癖，只挑自己喜欢的。 ​​​

145 :【足球拉力赛2】游戏的画面很好，并且从各类汽车品牌商的支持来看，绝对是大成本大制作，在车库模式里可以360度尽情的观赏自己的爱车，还能够自定义部件，涂装等功能，把自己的汽车改装成性能强劲的同时,再把自己的汽车打扮的漂漂亮亮的。 ​​​

146 :1954年4月7日，著名影视明星成龙出生于香港。他以主演惊险动作电影为主，其中主演的《警察故事》便获得了香港电影金像奖最佳故事片奖。其与周星驰和周润发并称“双周一成”，意为香港电影票房的保证。2009年刘媛媛和成龙一起走进录音间，开始录制一首为国庆献礼的歌曲《国家》。 ​​​

147 :端午节到了，记得吃粽子，我的祝福就是那翠绿的棕叶，包裹住幸福和甜蜜；你的快乐就是那饱满的香米，数不清到底有几粒。愿你的生活开心又如意。 ​​​

148 :失误了就卖萌来掩盖的喵星人~~~ ​​​

149 :恩 ​​​

