海倒影下的蓝hy 男/广西         加关注
12 :【口袋枪手】《口袋枪手》在游戏的表现形式上颇有《水果忍者》的风格，依[织]然是疯狂的划屏方式，差别在于武器是枪而已。玩家在游戏中需要召集不同的枪手，然后以RPG游戏的方式来升级这些角色。其中这些枪手的角色都是根据电影角色加工而成，卡通风味十足。 ​​​

13 :【你一辈[温暖帽子]子难戒的恶习】每个人都会有很多自己的习惯，有些习惯却并非好习惯，但是要戒除却十分艰难。你一辈子最难戒除的恶习是什么（测试如图）。 ​​​

14 :【美律所对迅雷展开集体诉讼】6月9日，全球投资者维权律所罗[耶]森律师事务所日前宣布，它已经代表迅雷有限公司的股东对该公司展开集体诉讼。他们希望按照美国联邦证券法案规定，帮助迅雷股东索赔。 ​​​

15 :【冬季清晨有时车门钥匙不能旋转】判定：假故障。分析：[生病]冬季洗车后，放在露天的车辆经常出现车门钥匙不能旋转的现象。这不是故障，是由于洗车后残留的水进入钥匙孔造成的，出现钥匙无法拧动。应采取使用遥控器开启车门或是给门锁加热的方式打开。 ​​​

16 :具有怀旧感的简单桌椅配套，几棵悬空在外[心]的植物，虽然不比大阳台的宽敞，倒也别致。 ​​​

17 :处女座爱上一个人时，即使身边的人警告他这是一份不可能的感情，处女[哼]座也义无反顾的一头栽进去，被爱情迷的神魂颠倒，他一心一意的想把恋爱谈的完美无暇，所以他会改变自己来配合，想尽办法想要把恋爱谈好，直到最后人财两失之后才会清醒。 ​​​

18 :【生气10分钟等于跑3000米】生活中，有些老人爱生气，因为一点小事就大发脾气，既伤感情又伤身。美国生理学家爱尔马研究发现，人生气10分钟耗费掉的精力不亚于参加一次3000米赛跑，而且生理反应[害羞]剧烈，分泌物比在任何时候都复杂，且有一定毒性，伤人伤己。 ​​​

19 :蓝天为纸，清风为笔，祝福为星，点上真诚星星，描上白云，奉上月亮，送给正在看短[囧]信的你，新年快乐、生活如诗如画、好事连连、好梦甜甜！ ​​​

20 :【你曾经历怎样的爱情】形容生活经历对人的影响，最贴切的话莫[钱]过于“一朝被蛇咬，十年怕井绳”，无论好的还是不好的经历，都会在记忆深处留下痕迹。从你的小习惯看出你的爱情经历吧。（测试如图）。 ​​​

21 :灭火器改造而成的立灯，很有[嘻嘻]工业感！ ​​​

22 :【松茸乌鸡汤】1.干松茸、干笋尖用温水泡开，切段；2.香菇洗净，切片；3.乌鸡洗净，斩块，冷水下锅，焯水；4.乌鸡放入砂锅中，加入适量清水，再放入松茸、笋尖、香菇；5.放入香葱[心]，姜片，大火烧开，转小火，煲2小时左右调味出锅。 ​​​

23 :【换季建议更换4保养品】1洗面乳要选择氨基酸为基底泡沫细密的2化妆水尽量选择不含酒精人工香精易敏感成分的3乳霜气温上升，肌肤出油量增加可选质地较为清爽的乳/霜5沐浴[委屈]乳沐浴乳、甚至洗发水也应适时调整，在保持滋润度的同时提高清洁力度。保养品不要一次更换全部，逐步替换，以免不适！ ​​​

24 :【男女最佳婚姻年龄差是多少】研究发现，若丈夫比妻子大4—6岁，生育的子女最多；而丈夫比妻子大15岁，虽然生育子女数量不多，但婚姻生活最美满。[ok]一些姐弟恋的家庭也很幸福，有的男性年龄小，但心理年龄很成熟，妻子心理年龄却还像个妙龄少女。 ​​​

25 :Penitenceissomethingthatenervatesourspi[雪花]rit,causingagreaterlossthanlossitselfandabiggermistakethanmistakeitself.后悔是一种耗费精神的玩意儿.会造成比损失本身更大的损失,比错误本身更大的错误。 ​​​

26 :女生看到喜欢的戒指，拉著男友过去看。男生问店员∶“请问，这个戒指多少钱呀？”店员说∶“打过折，8888元”男生正有点迟疑要付钱，这时候他女朋友竟然说∶“老公，看你那么体贴，我也付一半钱。”于是，他老[耶]婆掏出了88元，说道:“老公我出一半了，剩下的交给你……” ​​​

27 :她帮他追女孩，从初中，高中，到大学。最近，他又单身了。终于，她在网络上问他：“我是你的什[晕]么？”“爱情顾问”他回复说。她趴在键盘上哭了，哭的泣不成声。过了一会儿，才看到一直闪烁的头像，上面一行红色的小字，“你教会了我，爱你。” ​​​

28 :这就是现在的你：三分钟热度没有毅力，做事情推三阻四懒惰大于决心，激励自己的话说了太多却说说就过，计划定的很完美却总是今天推到明天明天推到后天什么也没做，激起了奋斗意识准备好好学习却还没有坚持几天就[xkl转圈]放弃了，而且你还知道这样下去只会害了自己。 ​​​

29 :喵滴~~[不要]妖孽啊 ​​​

30 :【让孩子自主选[失望]择】在家庭教育中，充满民主的家庭教育，要求家长尊重子女“选择”的权利。在家庭中，子女与父母当然会有不少分歧，而且中学生与父母的分歧会更多。而对孩子的不同见解，家长们应高兴而不应愠怒，因为这说明孩子试图用自己的大脑进行思考并尝试不依赖大人的搀扶而自己独立前行。 ​​​

31 :【世界最快沙发车】澳大利亚悉尼市的卡姆登机场内，一辆沙发车以163km/h的速度打破了由来自英国所创下的148km/h最快沙发[哈哈]车陆地纪录。沙发车前方茶几上放着一盆水果，一个杯子和一本书，向前冲刺的时候还能确保这些东东保持平稳。 ​​​

32 :【蓝汛通信拟一年内回购600万美元ADS】8月25日，据外媒报道，蓝汛通信日前宣布，该公司董事会已经批准了一项股票回购计划。根据此计划，蓝汛通信已获授权，将在未来12个月内将[din推撞]通过公开市场或私下谈判等方式回购价值上限为600万美元的流通在外的公司美国存托凭证(ADS)。 ​​​

33 :《七大罪》伊丽莎[噢耶]白公主cosplay. ​​​

34 :【弗莱堡】弗莱堡位于德国、法国和瑞士三国的交界处，是前往黑森林、法国阿尔萨斯州和瑞士郊游和旅行[思考]最理想的出发点。弗莱堡充满着活力，近550年悠久历史的弗莱堡大学坐落这里,精湛的文体活动比比皆是，美食佳肴令人流连忘返。 ​​​

35 :【不管成败领导别吝啬给反馈[good]】有些领导会说你不能干，什么都不让人去尝试，有些领导会说你干吧，结果没有任何反馈。这些都不是正确的教导方式，每一次的成功和失败都需要反馈与总结。 ​​​

36 :让人怦然心动[吃惊]的车模！ ​​​

37 :吃货的[浮云]眼泪！ ​​​

38 :【龙头岩】龙头岩位于济州市中心的龙潭洞的海边，形似神话传说中的一条巨龙。它是由汉拿山火山口喷出的熔岩在海上凝结而成，模样有如[顶]龙头。龙头岩露出海面的部分有10米高、沉在海底的部分约30米。离这儿200米多远的地方有龙渊，满月时的龙渊风景使人赞不绝口。 ​​​

39 :【死亡效应】游戏讲述人类组织在[兔子]未来建造了一艘巨大的军事/科学飞船，利用穿越技术来到一颗名为“TauCetif”的外太空星球并企图对其进行殖民，数年后，作为船员的主角从低温睡眠中醒来，发现自己孤立一人并且面临着未知生物的死亡威胁，玩家在游戏中将跟随主角的视角探索并解开事件的真相。 ​​​

40 :他看着阳光照射下的他，只是静静地看着。直到他睁开双眼，“你在看什么？”“没什么，在看阳光。”他回过头，你是看不到自己脸上的阳光的。“好看吗？”“恩。”你不知道，阳光下的你有多大的吸引力。“那你继续看吧”说完，他倒头睡下，他苦笑，你也不知道，你[兔子]就是我心中的那抹阳光。 ​​​

41 :【男女最佳婚姻年龄差是多少】研究发现，若丈夫比妻子大4—6岁，生育的子女最多；而丈夫比妻子大15岁，虽然生育子女数量不多，但婚姻生活最美满。一些姐弟恋的家庭也很幸[呵呵]福，有的男性年龄小，但心理年龄很成熟，妻子心理年龄却还像个妙龄少女。 ​​​

42 :【柠檬水别在早上喝】柠檬水美白广为流传，但最好别在早上喝，因为柠檬中含有[蛋糕]光敏性成分“补骨脂素”，摄入体内后，皮肤会对紫外线更敏感，不过这个成分会在几小时后消失，所以还是晚上喝比较好。 ​​​

43 :她偷偷的喜欢他，一年，两年，三年…数年后，她结婚，[江南style]新郎不是他。无人知道，她一年前拒绝了他。不是不喜欢，不是等待的疲倦，只是，作不了独一无二，喜欢又如何。 ​​​

44 :卧室同样是以白色为主色调，且绝大多数的卧室用品均为白色，包括床架、席梦思、衣柜，连墙[生病]面以及天花板、地面都是白色。亮点就在于一盏泛着蓝光的床头灯，幽静典雅，充满艺术感。 ​​​

45 :不要那么敏感，也不要那么心软，太敏感和太心软的人，肯定过得不快乐，别人随便的一句话，你都要胡思乱想一[汗]整天。 ​​​

46 :【最简单的运[亲亲]动】没时间，或者懒得动？有个动作你一定不会排斥，那就是伸懒腰！伸懒腰可以带动几乎全身的肌肉紧张。持续几秒钟的伸懒腰可以改善血液循环，缓解肩颈、腰部的痠痛，消除疲劳噢！上午工作累了，伸伸懒腰吧~ ​​​

47 :【超音速大冒险】许多玩家听到是科幻为主题的游戏，先入为主的思想就是画面一定是很酷炫的科技风，那就大错特错啦，科幻主题有时[话筒]候也是需要卖萌的，本作将它打造成3D的卡通梦幻风格，整体色调丰富，但又有些许的浪漫梦幻味道，一望无际的科技隧道。 ​​​

48 :【神车昂科威推1.5T】日前，根据最新消息称，别克昂科威将会推出1.[疑问]5T版本，且仅有前驱车型，预计将于2015年上市。别克昂科威1.5T车型将搭载一台1.5T发动机，尽管预计其数据会比新科鲁兹的1.4T高出一些，但是面对昂科威这么一款中型SUV而言，让人不免担忧会不会出现“小马拉大车”的感觉。 ​​​

49 :前几天在网上看到一个很有意思的提问，你觉得一辈子有多长？众网友回答的五花八门什么长命百岁、未知数……我想了想，写了一个答案：一年因为有个人答应要爱我一辈子的，结果[呵呵]一年就分手了。是一辈子太长，还是你的承诺经受不起？ ​​​

50 :在生命中，许多事情在于自己，很多感受在于个人，心大路则宽，心小事则难。做人需要用心，做事需要埋头。心胸需要拓宽，心态需要放平！珍惜身边的幸福，欣赏自己的[熊猫]拥有，背不动的就放下，伤不起的就看淡，想不通的就丢开，恨不过的就抚平。 ​​​

51 :水瓶、双子对感情的态度就是旧的不去，新的不来，弱水三千我只取两千九。处女、金牛的爱情观是，嫌弃才是爱一个人的表现。天蝎、白羊认为打是亲骂是爱，床上战绩最重要。狮子、双鱼呢是想让对[加油啊]方活成自己想要的样子。而射手是跑都来不及呢，爱个毛线！！ ​​​

52 :【烤红薯的健康隐患】①二氧化硫污染，煤在燃烧过程中产生大量二氧化硫，从红薯的表皮进入内层中；②重金属污染，煤炭中的重金属可以通过煤炭燃烧随烟进入红薯，包括铜、汞、[得意地笑]砷和铅等重金属；③其他污染物，如雾霾天气和汽车尾气的污染。 ​​​

53 :【如何让狗狗长寿】1）保证狗狗牙齿健康：多吃些有助于消除[给力]牙垢硬干粮，不要长期进食软食或泡过食物；2）饮食健康：主要让狗狗吃营养均衡的狗粮。零食、肉干、自制食物为辅。千万不要吃人类剩饭，高糖高油；3）注意运动。大部分狗狗都在都市喂养，容易肥胖，一定要保证狗狗运动量，可延长寿命。 ​​​

54 :班里有个女生，特懒，每天上课都在睡觉。老师终于受不了了，走过去将她叫醒：“每天就知道睡[哼]睡睡，你还知道点什么？”估计刚睡醒，不知道中了什么邪，从抽屉里拿出一瓶酸奶：“我还知道吃呢！” ​​​

55 :说！这个臭[偷笑]男人到底是谁？！ ​​​

56 :【挑男人总瞎了眼的星座女】NO.1:双鱼座,:找坏男人方面坚定不移.NO.2:巨蟹座:自己培养起来的坏男人.NO.3:狮子座:总对自己眼光自信爆棚NO.4:白羊座:[神马]还没看清楚就急着以身相许.NO.5:双子座:对男人生冷不忌,来者不拒. ​​​

57 :搭配要点：白色微透衬[亲亲]衫+白色格纹背带裤+几何图案高跟鞋+墨绿色手提包。 ​​​

58 :【曼德勒山】著名的缅甸母亲河-伊洛瓦底江从天边宛然而来，弯弯曲曲绕过曼德勒山，向肥沃的平原流去，从山脚下沿着山坡逐级而上。清晨太阳从曼德勒山后冉冉升起。山顶的塔尖以及绵延下来的塔廊，仿佛是一个剪纸的造型。从山上眺望，曼德勒全[左哼哼]城和伊洛瓦底江景色尽收眼底。 ​​​

59 :仓鼠也[晕]这么会卖萌~~天生萌物。 ​​​

60 :【父母做这6件事影响孩子安全感】1、父母之间关系紧张，经常吵架；2[xkl转圈]、父母双方或一方缺乏安全感，情绪多变；3、孩子的基本生理、心理需求未得到满足；4、父母苛求完美，不能给予孩子无条件的接纳；5、对孩子娇惯、溺爱；6、父母自卑或虚荣，总是拿孩子和别人比较。 ​​​

61 :24hFROLIC是智能自行车铃铛，采用低功耗蓝牙4.0，通过手机APP连接，帮助我们快速的找到自己的自行车。不在连接范围时，可借助GPS定位，从手机地图上看到自行车的距离和位置[熊猫]，还可以远距离控制响铃。 ​​​

62 :处女座对人的好感,往往缘于一些细节。可能是你说的一句话,刚好说出了他心里没说出的想法,可能会让他觉得和你心有灵犀；一个傻呵呵的憨憨的微笑,可能会让他感觉亲切无比；你的一句个脱口而出的想法,可能让他觉得你很率真！其实处女座都很简单,他们追求单纯,害怕伤害,是十二星座里最[右哼哼]可爱的孩子。 ​​​

63 :十二星座人品排名：第一名：双子座。第二名：白羊座[失望]。第三名：狮子座。第四名：摩羯座。第五名：金牛座。第六名：巨蟹座。第七名：处女座。第八名：水瓶座。第九名：天蝎座。第十名：射手座。第十一名：天秤座。第十二名：双鱼座。 ​​​

64 :【RX8翘臀低趴改装】改装项目清单：定制排气系统，326POWER避震，SSR轮毂前16*9J后16*10J，邓禄普轮胎，TRAK[转发]yoto180SXRocketBunny外观套件。 ​​​

65 :人，只要还活着，就是在生活，每天都要面对生活。它有时确实很残酷，让我们很无奈。让我们感慨生活的艰辛，[偷乐]埋怨命运的不公。但是，生活中，多一点感激，就会少一些怨恨；多一点理解，就会少一些误会；多一点宽容，就会少一些矛盾；每个人都多付出一份心意，生活就会变得更加美好，你也会变的更加 ​​​ 全文

66 :【蚝油甜豆炒牛肉】将甜豆择去老筋洗净，放入滚水中汆烫断生，捞出后放入冷水中浸泡，[咖啡]待完全冷却后再捞出沥干水分。牛柳切片，用生抽干淀粉和料酒抓拌均匀，腌制10分钟。炒锅中倒入油，待油7成热时，放入牛肉片滑炒至8成熟，之后放入甜豆，红辣椒快速翻炒一分钟，加蚝油和盐，翻炒一会出锅装盘即 ​​​ 全文

67 :【养生讲堂】生姜泡脚另类功效：①将一块拇指大的生姜加水煮沸或放入热水中浸泡，待水温合适（40度左右）[神马]给感冒病人泡脚，有助缓解感冒症状。②生姜泡脚减少手脚冰凉：生姜能够驱寒，生姜泡脚能够有效地改善血液循环，缓解手脚冰冷症状。 ​​​

68 :【曼德勒山】著名的缅甸母亲河-伊洛瓦底江从天边宛然而来，弯弯曲曲绕过曼德勒山，向肥沃的平原流去，从山脚下沿着山坡逐级而上。清晨太阳从曼德勒山后冉冉升起。山[咖啡]顶的塔尖以及绵延下来的塔廊，仿佛是一个剪纸的造型。从山上眺望，曼德勒全城和伊洛瓦底江景色尽收眼底。 ​​​

69 :别让过去的悲催，或者未来的忧虑，[din推撞]毁掉当下的快乐。 ​​​

70 :【气球沙包】这款游戏不仅能让你和宝宝一起度过一段快乐的时[lt切克闹]光，同时还能锻炼宝宝双手的灵活性，激发宝宝的想象力。你可以自己制作一些捏起来非常有趣的气球沙包。 ​​​

71 :人生就像[同意]一只蜗牛，只有蜗居的命！ ​​​

72 :【只用敏感肌肤的产品】这样不安全，皮肤一旦过敏，就变得异[奥特曼]常娇气。不要一次全部更换，可以从保养品最后程序的产品如晚霜或乳液开始换，逐渐全部换掉，也可以先停用带刺激性的产品，如含有酒精成分或果酸成分的产品。 ​​​

73 :这只可爱的喵喵[偷笑]叫Hamilton，它天生就长着漂亮的白色胡纸，总是一副很优雅的样子呢～ ​​​

74 :【婚礼上你会逃婚吗？】你是恐婚一族吗？生活中有很多人不敢恋爱、畏惧结婚，就是出于对婚姻的恐惧。你有吗？新婚时你会不会也是个逃婚的新娘或是[呵呵]新郎呢？（测试如图）。 ​​​

75 :天蝎座遇到对的人就会认定是一辈子[偷乐]的人，天蝎不会随便对你说一句我爱你，因为天蝎觉得说出来就要付出行动，如果你是那个人，你会发现天蝎和你在一起的时候，不会严肃，会露出笑面，会默默做些让你感到的事，而且什么事都会顺着你。 ​​​

76 :【池塘上的创意旅馆】印度尼西亚巴厘岛有一座独特的旅馆，这间乡村居所的下面是一个碧波荡漾的池塘。房客可以透过钢化玻璃地板一览惊人的水下全景，欣赏池塘里游来游去的鱼虾。房间正中间是一个吊着蚊帐的四柱柚木床，床尾还有船桨和渔网。房间还配有露天淋浴，以便房客尽情[晕]亲近自然。 ​​​

77 :【无油无水版鸡翅】鸡翅冲洗干净；开中火，放入鸡翅；翻炒2分钟左右，到鸡翅两面带点金黄色有点油水渗出；加入酱油上色，翻炒几下；加入料酒没过鸡翅一半左右；大火煮开后改最小火煮6分钟；再次大火煮开，加入一点白糖收汁；撒上香葱就可以出锅了。 ​​​

78 :【昭苏】[神马]昭苏被誉为“中国油菜之乡”。每年6月底前后，漫无边际的油菜花犹如一条条金色的织毯席卷着广袤无垠的昭苏大草原，与天山遥相辉映，堪称西部盛景。 ​​​

79 :【 家长如何教育的孩子？】 1.调节自己的情绪，保持情绪平稳。 2.接纳孩子的情绪，倾听孩子的心[good]声。 3.制订规范，让孩子有遵循的方针。 4.防患于未然，事前模拟可能发生的状况并设想解决方案。 5.转移注意力。 6.慎用处罚。 7.善于奖励。 切记当孩子不听话时，一定要保持耐心，切不可冲动哦！ ​​​

80 :【青云山】青云山位于距福建省永泰县城10多公里的岭路乡，因山峰平地拔起，矗立青云而得名。景区面积47平方公里，海拔在1000米以上的山峰有7座，最高海拔1130米。[咖啡]山高林茂，云雾飘渺，岩奇洞怪泉碧。 ​​​

81 :【十二星座懒床排行榜】冠军（天蝎座）、亚军（白羊座）、季军（金牛座）、第四名（狮子座）、第五名（摩羯座）、第六名（水瓶座）、第七名（双子座）、第八名（处女座）、第九名（巨蟹座）、第十名（射手座）、第十一名（双鱼座）[咖啡]、第十二名（天秤座）。 ​​​

82 :【奶酪冻】1.准备牛奶250ml倒入一个汤锅中，鱼胶粉加入30克水搅拌备用，奶酪30克备用；2.奶酪切成小粒状，锅中加入切碎的奶酪，慢慢小火加热[飞机]至融化；3.加过水的鱼胶粉隔水融化，将鱼胶粉与牛奶混合，冷却后倒入果冻模中；4.放入冰箱冷藏３个小时，脱模食用。脱模时，放温水中15－30秒即可脱模。 ​​​

83 :【利沃夫】乌克兰西部主要的工业与文化教育中心，拥有大型工厂、乌克兰最古老的大学和著名的利沃夫歌剧与芭蕾舞剧院。利沃夫的旧城区拥有许多珍贵的建筑，已被列为世界[嘘]文化遗产。来到利沃夫，不妨享受它的中欧风情，喝杯咖啡，看场歌剧，也看看啤酒和巧克力工艺，和发掘一些未为华人熟知的乌克兰历 ​​​

84 :【摩羯座的致命弱点】脾气有点大，表面温和到别人误以为很好欺负，其实内心脾气大的可怕。性格矛盾分裂，自尊超强。太现实了，认真，看问题太透。孤独，缺乏安全感，自[噢耶]闭，忧郁。爱太深，比较容易受伤，受伤就选择逃避。 ​​​

85 :【亲子装】蓝色[太阳]T恤+深蓝色中长外套+皮革紧身裤+中帮运动鞋。 ​​​

86 :【想象力比知识更重要】肯尼亚田径界教父科尔姆·奥康奈尔说,“不要从知识开始,从渴望和想象开始，然后才到知识。”爱因斯坦用另一种方式讲了同样的道理：“想象力比知识更重[围观]要。”有时候正是因为信念建立在一些不一定正确的事情之上，人们才有信心和勇气去做不可能的事。 ​​​

87 :【世界最长、最高的全透明玻璃桥——张[钟]家界大峡谷玻璃桥！】设计的玻璃尺寸约305cm×4420cm，厚度4.856厘米，距谷底约300米，桥面最大游客容量800人。同时具备蹦极、溜索、舞台等多种功能。 ​​​

88 :【组织如何营造积极情绪】每一个组织在不同的发展阶段需要不同的关键情绪。“快乐”工作并非是每个阶段必备的情绪,唯一一个情绪是所有[鼓掌]产业、所有发展阶段的组织所共同需要的, 那就是“信任”。 ​​​

89 :【吉利上半年销量增35% 年内再推2款新车】吉利汽车自经过战略转型后，旗下产品脉络比之前清晰很多。[太开心]日前，从吉利汽车官方获悉：今年1-6月，吉利累计销售新车252,107辆，同比增长约35%，达到2015年全年销量目标45万辆的56%。与此同时，吉利还在制定未来新一轮的产品投放计划，到年底前还会推出2 ​​​

90 :【鲜虾滑蛋】剪刀从虾的背部剪开直至虾尾，用牙签挑出沙线，取虾仁剁碎放入两个鸡蛋；放入青葱碎，[得意地笑]倒入一点温开水；(这样炒出的蛋会更嫩）调入适量的盐，搅拌均匀；锅热后放入食用油，油稍热后倒入蛋液后迅速用铲子翻炒，将蛋液炒成蛋花，等虾肉变红后即可出锅。 ​​​

91 :随便[笑哈哈]想没关系…… ​​​

92 :【睡前3个小动作，放松助眠！】睡觉前，不妨躺在床上做几个简单动作放松全身。1.仰卧屈腿，一条腿伸直，慢慢向上抬，勾起脚尖，停留片刻，放下。然后另一条腿重复上述动作，重复20次。2.仰卧，腿伸直，脚跟着地，尽量屈膝，反复20次。3.仰卧，双腿轮流屈腿，再伸直，像[钟]骑自行车一样，重复20次。 ​​​

93 :编辑点评：设计师改变了这座密苏里村舍内部的沉重气息，他是通过浅蓝和象牙白的织物和奶油色的沙发来实现的。沙发上覆盖[偷乐]着唐西亚室外布艺，彩饰陶罐风格。 ​​​

94 :德国诗人歌德（1749—1832年）在公园里散步，在一条仅能让一个人通行的小路上和二位批评家相遇了。“我从来不给蠢货让路，”批评家说。“我恰[蛋糕]好相反！”歌德说完，笑着退到了路边。 ​​​

95 :【甜食、油炸食品、动物油、肥肉、动物内脏等高脂类[可怜]食物容易导致产后发胖】辣妈们要少吃，新妈妈饮食中须含有丰富的蛋白质、维生素、矿物质，如鱼、瘦肉、蛋、奶、水果和蔬菜。奶类是钙质摄取的主要来源，新妈妈应食用适量的奶制品，但应尽量选用低脂、脱脂奶，而不宜选取炼乳、调味乳。 ​​​

96 :大自然，不说一句的[失望]爱，就很感动。 ​​​

97 :【七曲山风景区】七[甩甩手]曲山风景区位于梓潼县城北，古称“尼陈山”，主峰海拔861.5m。整个旅游区沿山脊成带状分布，占地面积29.3平方公里。七曲山风景区以文昌文化发祥地和全国最大的纯古柏林享誉海内外，有以古蜀道、古皇柏、古建筑、古文化为主体的人文景观50多处，文化底蕴极为深厚。 ​​​

98 :【能够遇到正桃花的星座MM】冠军（双鱼座：哪怕不适合自己也舍不得伤害别人）、亚军（天秤座）、季军（双子座）、第四名（射手座）、第五名（狮子座）、第六名（天蝎座）、第七[可爱]名（摩羯座）、第八名（巨蟹座）、第九名（白羊座）、第十名（水瓶座）、第十一名（处女座）、第十二名（金牛座）。 ​​​

99 :编辑点评：米白色的餐厅[雪人]干净纯粹，精致吊灯散发出来的暖色柔光让餐厅变得温馨起来! ​​​

100 :【马自达CX-3将国内上市】按照马自达发布的产品规划，全新长安马自达CX-3国产版将于今年内上市。这款定价或低于12万的CX-3，将由[咖啡]长安马自达国产，分为两驱和四驱两个版本车型。据分析，马自达CX-3上市后将与标致2008、创酷、现代ix25等车型形成竞争。 ​​​

101 :牙医(在检[太开心]查病人的口腔):"你的牙上有个大洞!有个大洞。"病人(不高兴地):"是有个洞,可是你也不用说两遍呀。"牙医:"我只说了一遍.那是回音,是回音。" ​​​

102 :有些时候，山是水的故事，云是风的故事；也有些时候，星不是夜的故事，情不是爱的故事。生命的旅途中，有许多人走着走着就散了，有许多事看着看着就淡了，有许多梦[失望]做着做着就断了，有许多泪流着流着就干了。人生，原本就是风尘中的沧海桑田，只是，回眸处，世态炎凉演绎成了苦辣酸甜。 ​​​

103 :【牙签羊肉】1.羊肉切大片，用腌料拌匀腌制至少一小时；2.[织]孜然粉，辣椒粉拌匀；3.牙签提前用滚水泡至少半小时；4.腌好的羊肉穿在牙签上；5.锅内烧热油，7成热左右倒入羊肉炸变色，捞出烧热油倒入羊肉继续炸至表面金黄捞出；6.锅内留一点点底油，倒入辣椒孜然粉炒匀，倒入羊肉炒匀关火，撒芝麻拌匀 ​​​

104 :【在恋爱中哪些缺点你需要改--天蝎座】爱生闷气难沟通。天蝎总是很难将内心及时地表露[嘘]给对方。而假如碰到些什么不顺心的事或者另一半哪里惹到了天蝎，天蝎只会独自生闷气来表现内心的愤懑！很多时候常常搞得另一半一头雾水不知所措。提醒：有什么委屈大可讲出来，玩冷战对感情百害而无一利！ ​​​

105 :Rob Gons[笑哈哈]alves视错觉插画作品，忍不住一直盯着看。 ​​​

106 :【最长的冰激凌】(Longest ice cream dessert)这项吉尼斯世界纪录由美国的Explore White Bear公司创造。这个冰激凌长达335.58米（1,101英尺），由880夸脱冰淇淋、300罐奶油和228瓶焦糖、228瓶巧克力调料制成[钟]。它还为美国癌症协会集资到15,000美元的善款。 ​​​

