爱的游戏H2 女/四川         加关注
35 :人生如戏，全靠演技，可为什么有的人陷在奇怪的剧本里面出不来呢？居然还有人觉得自己是个蘑菇！别笑！入戏太深里可就是有人觉得自己是个单车，还《入戏太深》出不来呢！ ​​​

36 :喇叭佬娶媳妇——自吹 ​​​

37 :直到后来，遇见了你，亲爱的，是你把我从泥潭拯救，并给予我爱，给予我希望。于是，我便相信，雨季的背后是阳光，穿过我的守望，是真爱的天堂，那时与你的相遇，是最美的时刻。 ​​​

38 :些人擦身而过，有些人一路同行。或许在某两条路的尽头相遇，结伴同行了一段路程，又在下一个分岔路口道别。无论如何，终免不了曲终人散的伤感。远在天涯的朋友：或许已是遥远得无法问候，但还是谢谢您曾经的结伴同行。 ​​​

39 :日日日东上，日日日西没。任是神仙客，也须成朽骨。 ​​​

40 :弱水三千，只取一瓢；花开满园，只摘一朵；红颜无数，只恋一个。你的笑容，是我一生的美丽。我不奢不贪，只愿守候你幸福到底。 ​​​

41 :对于我们生命中的每一个人都要感恩，感恩我们的父母，给予我们生命，赋予我们正直的品格，教会我们做人的道理；感恩身边的朋友们，在困难的时候帮助了我们，感恩我们的爱人，谢谢你那么爱我们，宠我们，让我们成为世界上最幸福的女人。 ​​​

42 :认识自己，降伏自己，改变自己，才能改变别人。 ​​​

43 :多注意身体记得按时吃饭少抽烟少喝酒你的好与坏我在乎我心疼！ ​​​

44 :修凿可以使道路平直，但只有崎岖的未经修凿的道路，才是天才的道路． ​​​

45 :你认为老外身上的什么东西比中国人的长？你能猜到吗？哈哈哈，别瞎猜哦，其实是名字。 ​​​

46 :勿以善小而弗为，勿以恶小而为之。 ​​​

47 :窗外阳光灿烂， ​​​

48 :我不是一个优秀的演员，不能微笑着旁观你们幸福。 ​​​

49 :【与孩子和好怎么做】在教育孩子的过程中，即使抱着一颗良好沟通的心,却也免不了一时生气而对孩子说了重话。这种父母和孩子之间的争执虽然不能避免，但是孩子很容易因为你的情绪化[鼓掌]而倍感受伤。怎么与孩子和好?1、坦诚错误；2、分享经验；3、尊重孩子；4、达成协议；5、就事论事；6、适当表达。 ​​​

50 :在路上被调戏了[同意]…… ​​​

51 :可以加入比较亮眼的颜色，使得整个氛围更加的时尚[咖啡]个性。 ​​​

52 :小编的话：沙发背景墙上的曲线有别于一般地中[草泥马]海风格的拱形元素，而是打造成了具有曲线感的立体墙面，配上蓝紫色舒适沙发轻易的就能体现出客厅之中的地中海风情。 ​​​

53 :常有人说，一身白很难搭，其实不然。你看这位优雅女士全身搭配都是白色的，却显得十分自然和谐。而且浅浅的米白色最适合演[温暖帽子]绎法式优雅呢! ​​​

54 :【晚睡的健康代价】你习惯晚睡熬夜吗？太晚睡觉、熬夜的直接危害是让人白天容易疲劳、精神不振；皮肤受损，容易提前老[lt切克闹]化；影响内分泌，免疫力下降。如果长期熬夜，更会出现失眠、健忘、易怒、焦虑不安精神症状。很多人熬夜是因为丰富的夜生活，但为了健康还是早点睡吧。 ​​​

55 :匈牙利architecture uncomfortable workshop使用制作木梁架剩下的废弃橡木料设计制作了这个“waste [偷笑]less chair”——这是一把可伸展的座椅，可以打开变形，形成两种座椅，一种是摇椅，另一种是有支腿的躺椅。 ​​​

56 :【加薪必须要求，那晋升呢？】既然是说加薪必须要求，那么晋升呢？这个是千万不能[吃惊]要求，一旦你去申请或是要求晋升机会，它就会与你失之交臂，晋升不是要求的，而是上司通过认真考虑之后给予你的。 ​​​

57 :【荔枝炖蛋】1.荔[话筒]枝剥壳去核，银耳温水泡发，撕成小朵；2.将清洗干净的银耳放进锅里，加荔枝，倒入水，放入冰糖，煮至粘稠；3.将煮好的银耳倒入深口碗中，置于蒸锅上，敲入鹌鹑蛋用小火炖半个小时，至蛋成熟后即可；4.可适量放些枸杞配色。 ​​​

58 :我二话不说冲了[兔子]上去。 ​​​

59 :【给上班族的营养书】①苹果：可降低患老年痴呆症的风险。②牛奶：保障人体神经系统和肌肉骨骼的正常功能。③绿茶：有助防癌、降血脂。④香蕉：有[嘘]让肌肉松弛的镁元素，有助减压。⑤鱼：含有叶酸、维生素B2、B12等，还有养肝补血之功效。⑥大豆：有助提高思维能力。 ​​​

60 :【给孩子的品质[耶]】1.感恩是一种修养；2.宽容学会"心理换位"；3.乐观开启光明的未来之门；4.诚信是他人生的通行证；5.培养他勤劳的"蜜蜂"精神；6.礼仪是孩子社交的“名片”；7.将责任感植入他的心灵花园；8.坚强的让稚嫩的肩膀不畏惧困难； ​​​

61 :【选择读物方法：读物适当投其所好】兴趣对[闭嘴]每个件事都起到很大的作用，兴趣也是孩子最好的老师，比如有些男孩子喜欢火车，他就会去了解火车之类的东西，所以家长们要多点留意幼儿的兴趣所在，适当地满足他的爱好并不是什么坏事，因此还会更加促进学习的欲望。 ​​​

62 :动物界“模特”也分三六九等 ：月入九万的顶级[月亮]“狗模”。 ​​​

63 :据日本博客新闻网站“kotaku.com”2月26日报道，日本大街小巷上的男女老少纷纷开始佩戴红豆胡子，红豆胡子一时风靡日本全国，掀起了一阵戴红豆胡子的热潮。其实这不是真[doge]的，红豆胡子是一种假时尚。 ​​​

64 :那些年领 袖 们吃过的工作餐：周 总 理吃熬白萝卜条。周 恩 来的工作餐很简单，主[嘘]食经常吃些粗粮，吃剩的饭菜，要留到下餐再吃。周恩来有次视察时说：“挺便宜，来一盘熬萝卜，再加两分钱咸菜。”并招呼随行的省、市领导同志和新闻记者：“就在这儿吃饭吧。吃饱了好去参观，坐下来一起吃，我请客。 ​​​ 全文

65 :【护眼小贴士】①勿熬夜，熬夜族的视力最容易受损害，而对维生素A的需要量往往较非熬夜族要高很多。也就是说，熬夜族更易缺乏眼睛所需要的营养素 ，所以好视力，勿要熬夜。②经常眨眼，眨眼可保护我们的角膜，当你长时间坐在计算机前或阅读时，眨眼缓解眼[呵呵]部疲劳。 ​​​

66 :不开刀，不住院，让你轻[汗]松变大变粗 ​​​

67 :【巨蟹座特质】1、喜欢简单。2、健忘不记仇。3、有斗志爱拼搏。4、别人对他好定加倍奉还。5、天生的统筹规划专[甩甩手]家，计划性强。 6、固执。明知是错也要往前走。7、讨厌做决定。8、爱笑，一点小事就笑逐颜开。 ​​​

68 :深色背景墙的衬托下，让充满甜美的粉色变得诱惑力十足。糖果红色的布艺打造的床品像是一颗草莓[威武]，充满酸酸甜甜的滋味。 ​​​

69 :记住别人的名字,就像公司的logo一样。在今天这个电子社会，人们的名字比任何时候都更加重要。成千上万的博主,推特主，以及facebook用户都一定希望他们的声音被听到，但是他们更希望他们的[帅]名字被人们熟知。 ​​​

70 :【塞维利亚王宫】塞维利亚王宫是欧洲最古老的皇家宫殿，已被选为世界文化遗产。[噢耶]王宫始建于1181年，持续营建时间长达500多年。曾先后作为伊斯兰教和天主教王宫的历史，使塞维利亚王宫呈现出混合着各种不同风格混杂的面貌。 ​​​

71 :【焖带鱼】热锅热油，放两面拍了生粉[汽车]的带鱼段；每面各煎两分钟；淋一点生抽、加葱姜蒜、糖、盐；加米酒到刚刚没过鱼的量，加盖中火焖，汁干。 ​​​

72 :1942年5月27日，陈独秀在贫病交加中逝世，享年63岁。他是中国共产党的主要创建者之一，新文化运动的主要倡导者之一。于1927年7月被共产国际剥夺中共党内领导[右哼哼]职务。1931年成立中国托派组织。1932年被国民政府逮捕并入狱五年。 ​​​

73 :墙面上的酒瓶收纳设计是最吸引人的地方，五颜六[瞧瞧]色的酒瓶与木色的墙面形成了反差，十分抢眼。 ​​​

74 :【养生之道】①早搓手，早晨搓手心、按揉手指，刺激手心的劳宫穴，让心脏兴奋，增强呼吸系统功能；②午晒背，冬季1[泪流满面]1:00~13:00，是阳光较充足的时段，经常晒后背，可补充人体阳气；③晚泡脚，泡脚时水的热量可通过脚底进入全身，养护肝肾。 ​​​

75 :人生苦短[太开心]，所以每天不要带着遗憾醒来。 ​​​

76 :【香辣藕丁】莲藕去皮切丁，浸泡在水中，芹菜洗净切成珠，干辣椒切碎，煮开水，下莲藕，焯一水即捞起沥干水分，热锅下油，用中小火炒香干辣[生病]椒和郫县豆瓣，转大火，下藕丁翻炒一两分钟后，加白糖与生抽调味，加入芹菜珠，炒均匀，即熄火，装盘食用。 ​​​

77 :位于厄瓜多尔一座海拨2666米高的山顶边缘，某牛人在一棵大树上搭了一间木屋，这还是其次，重点是还栓了一个没多少人有胆量去玩[嘻嘻]的秋千，这秋千称为“世界的尽头”。因为当你从山顶边一荡出去下面就是无尽的无尽的深渊，而且没有任何的保护措施，只有真正有胆识的才敢坐上去体现生死边缘的感觉。 ​​​

78 :德国设计师Simon Frambach新作品“软灯”，[神马]聚氨酯泡沫塑料制成。居然可随意更改的形状！可以是照明灯，也可以是温暖的抱枕。 ​​​

79 :【柏拉图笔下的自由之地—希腊圣托里尼】圣托里尼岛（又称锡拉）位于爱琴海，在希腊大陆东[照相机]南方向约200km处，这里曾是3500年前火山爆发最活跃的板块之一，如今火山口仍被几百英尺的火山岩堆积物包围着。 ​​​

80 :有一女学员身材十分丰满，坐在驾驶室，考官：“前面有一棵小树，在那停车！”女学员：“好！”快到指定的地[汗]方，突然来了一个急刹车，考官前俯后仰，说：“你以为自己有两个安全气囊就可以为所欲为？” ​​​

81 :和女友打车回家。到家门口时才发现悲剧了，俩人身上钱合起来还差两块。仨人相对无语尴尬之际，女友弱弱地说：“师傅我们[温暖帽子]还差两块，你往回开一点吧……”车内瞬间安静了…… ​​​

82 :【职场新人首先要做的事】1.首先要有一个明确的职业发展目标，向着正确的方向前进，职场新人需要的是经验的积累.2.要把自己从"学校人"完成向"职场人"的转变，提高自己的含金[做鬼脸]量和竞争优势。 ​​​

83 :【冬季也会爆胎】大多数人认为爆胎只是夏季才会出现的问题，其实不然，冬天如果对轮胎使用不当一样会有爆胎的危险。冬季天寒地冻，橡胶塑料等就会变得生硬，轮胎也会较夏季变硬，即使很多车上都配有全季节轮胎，但冰冻湿滑的路面也会对轮胎的抓地力形[din推撞]成考验。 ​​​

84 :喝水[草泥马]的喵们 ​​​

85 :在非洲津巴布韦的西北部，考古学家发现了极具价值的非洲古人类穴居遗址，而在这个遗址中最特别之处就是锡诺亚洞里的“魔潭”。锡诺亚洞位于首都哈拉雷西北120公里的山区，坐落在[自行车]一片高低起伏不平的丘陵之中，著名的“魔潭”也隐藏在这个洞中。 ​​​

86 :【十二星座上当受骗的原因】属于“我甘愿”型的是摩羯座、水瓶座。属于心太软”型的是巨蟹座、双鱼座。属于“被引诱”型的是金牛座、天蝎座。属于“被激将”型的是白羊座、狮[路过这儿]子座。属于“太聪明”型的是处女座、双子座。属于“情商低”型的是射手座、天秤座。 ​​​

87 :兼具装饰与使用功能的L型展示架，由于对空间的面积没有太多限制，它可以自由地在同一空间里分割出两个区域，满足人们[偷乐]的不同需求，这也是小户型家居可做考虑的家居单品。 ​​​

88 :为了让我们都能泡出一壶好茶，设计师Pengtao Yu带来了这个沙漏式泡茶器。它是一个沙漏形状，分上下两个玻璃杯，中间则是定时器/过滤器，只要将茶叶，开水[兔子]加入到其中一个玻璃杯中，然后翻转，开启中间的定时器，茶水就会像沙漏中的沙子一样缓缓落下，随着计时结束，茶也就泡好了。 ​​​

89 :【注意和领导的交往】工作既然是谋生,那么工作外的时间才是生活,分清了这个,也就知道如何与领导和关系密切的同事相处。在[害羞]实际中,女人更喜欢和领导或者工作的同事交朋友。 ​​​

90 :【营养又美味的鲫鱼蒸蛋】味道真是鲜得没话说，[兔子]鱼肉很嫩带着淡淡的甜味，营养美味兼并。 ​​​

91 :搭配技巧：黑色西[威武]装+灰色卫衣+黑色打底+牛仔裤+短靴。 ​​​

92 :【啥星女越坏越惹人爱】NO.1狮子女：她是男人的挑战；NO.2水瓶女：[熊猫]男人永远不是她的第一；NO.3射手女：她有她的界限与规则；NO.4天蝎女：极尽惹火，却不随便“泄火”；NO.5天秤女：情调高手，也是调情高手。 ​​​

93 :【男人性生活四要七不该】要做到：保持乐观心态、远离不良生活习惯与环境因素、加强体育锻炼、增加营养[爱你]物质；不能做：饮酒，吸烟，长期久坐、坐浴、桑拿或穿紧身裤，长时间电磁辐射，吃芹菜、豆制品等，食棉籽油，过多骑车或骑马。 ​​​

94 :老婆接过一看[围脖][手套]，是儿子的开裆裤！???? ​​​

95 :早晨特冷，和朋友去ATM取钱，巧遇运钞车加钞，只得站一旁等候。朋友问我冻手不？我冷冷的说：冻手！瞬间四杆枪指向我俩...被送入派出所。路上一直沉默我问朋友你怎么不开[最右]腔呢？瞬间八杆枪指向我俩。警察：你叫什么名字？我：蒋英羽。警察：什么名字?我：蒋英羽！警察：what is your name? ​​​

96 :【红薯粥】1.将红薯洗净，刮皮后切成块。2.粳米洗净[甩甩手]，清水浸泡30分钟3.将泡好的粳米和红薯块放入锅内，加入月子酒，大火煮沸后，转小火继续煮。4.煮成浓稠的粥即可。 ​​​

97 :【孩子最喜欢妈妈做的事】1.晚上会来我的房间,给我盖好被子,为我唱歌.2.[瞧瞧]会拥抱我,亲吻我,会和我坐下来聊只有我们两个人知道的故事.3.会花时间和我单独在一起.4.你给我健康美味的食物,让我长得壮壮的.5.吃晚饭时,讨论周末怎么度过,去哪儿玩,做什么.这让我一周都充满期待。 ​​​

98 :我:开[哼]导你不会，不过我可以倒倒你。媳妇:流氓。。。 ​​​

99 :母亲意味深长的叮嘱即将出门打拼的我:“在当下社会，机会很重要，只要你能抓住。你就离成功不远了。 于是，我就去了菜市场买[兔子]了只鸡。 ​​​

100 :【玉米粒炒饭】1.蒜茸[偷笑]加花生油炸香、加瘦肉、青瓜、玉米粒一起炒；2.加剩饭一碗炒熟，加少许酱油、盐。 ​​​

101 :【售39.98-42.98万元 福特第[偷乐]六代野马上市】2015年1月20日，福特第六代野马正式上市，这次上市的车型共有3款，均搭载2.3T发动机，售价区间为39.98万元-42.98万元，5.0L排量的GT车型将于不久之后上市。第六代野马是首款“全球化”的野马，将销往120多个国家，它也是第一代通过官方渠道引入国内的野 ​​​

102 :【高压煲咖喱焖牛腩】1.牛腩洗净切大舊，出水；2.红镬落油[绿丝带]，爆香姜葱蒜牛腩，溅酒；3.落薯仔红萝卜炒香，落黄豆酱、柱侯酱炒匀；4.放入高压煲，加一半水，落豉油、咖喱、冰糖；5.焖半个钟即可。 ​​​

103 :问厕所[江南style]在哪？ ​​​

104 :蒙娜丽莎是意大利文艺复兴时代着名画家达·芬奇的肖像[din推撞]画作品。500年来，人们一直对《蒙娜丽莎》神秘的微笑莫衷一是。不同的观者或在不同的时间去看，感受似乎都不同。有时觉得她笑得舒畅温柔，有时又显得严肃，有时像是略含哀伤，有时甚至显出讥嘲和揶揄。有点毛毛的~ ​​​

105 :告[嘘]白！ ​​​

106 :【摩尔人城堡】于辛特拉圣玛利亚圣弥额尔堂区的一个山顶上，是葡萄牙最知名的一座中世纪城堡，于1910年被列为葡萄牙国家古迹，已经[失望]成为辛特拉必游的一大旅游景点。游客攀登到城堡的顶部眺望，可观赏到远处浩瀚的大西洋和辛特拉小城的美景，在天气晴朗的日子，游客还可观赏到埃里塞拉和马夫拉。 ​​​

107 :闺蜜的老公是她自己追来的。我：“我是不是应该在谈恋爱的时候多撒娇什么的，感[神马]觉自己太汉子了。”闺蜜：“是呗！我和我老公刚恋爱的时候，我舍不得打舍不得骂的，打一下都好心疼的感觉。”我：“那婚后呢？”闺蜜：“恨不得一巴掌拍死。” ​​​

108 :【职场晋升秘笈】1，提高效率，日事日毕；2，在会前准备，做有价值的发言；3，与同事和领导保持良好关系；4，维护好与客户或合作伙伴的关系；5，全力协助领导工作；6，抓住机会展现能力；7，设法自己创造项目和职[闭嘴]位。 ​​​

109 :猫痴晚期状态：1、见猫智商降为0。2、见流浪猫买肉给粮并跟踪很久。3、看见任何猫图案猫形状的东西都想买。4、猫漫画、猫书、猫手作买很多堆在家里。5、向身边的人推[加油啊]荐萌猫图片，说猫的种种。6、常不自觉瞎担心我家宝贝儿／猫咪／乖乖离开你觉得寂寞。7、买猫的东西比买自己的东西舍得花钱。 ​​​

110 :缺乏技术能力的人去管理技术人员往往是吃力不讨好的，可能下属表面上服从你，心里根本不当你一回事儿，这样管理起来就存在障[礼物]碍了。当然，如果你的德行非常好，也非常敬业，技术就显得不那么重要了。 ​​​

111 :【抗衰老最佳时段+对抗环境伤害】晚间细胞加速分裂，吸收养分的能力也是最强的，因此最佳的抗衰老的时间段是晚上。此外，除了要考虑肌肤自身的问题，还要多加注意所处[生病]的环境给肌肤带来的伤害，选择具有抗氧化成分的产品给肌肤带来的新能量。 ​​​

112 :【让孩子更加自卑[沙尘暴]】有时候爸妈们鼓励孩子，但是因为言语不当，从而让孩子们更加认识到自己的不足，以为爸妈说的鼓励话都是在欺骗他们。这些孩子一般都具有自知之明。 ​​​

113 :为人要诚实，但不要太老实，生活，在坎坷中前行；在忙碌中收获，在悲喜中经历；在痛苦中领悟；在得失中选择；在奋斗中坚定；在平凡中精[来]彩；在知足中快乐；在遗忘中洒脱；在阅历中成长；在历练中坚强；在给予中快乐；在简单中幸福。 ​​​

114 :【南江大峡谷】南江大峡谷地处贵州高原中部的开阳县，距省会贵阳五十四公里。以发育典型、气势宏[花心]大的喀斯特峡谷风光和类型多样、姿态万千的瀑布群落为特色，风乐旖旎，景象万千。峡谷全长40多公里，宽约3公里，总面积达200公里，峭峰顶立，最深处达398米。 ​​​

115 :【微波海苔蛋羹】鸡蛋打散加等量清水；混合打散，加入1克的盐，继续搅拌均匀； 用筛子过滤一次，把装有鸡蛋液的碗放入能放入微波炉的大碗中，同时在大碗里加入半碗的水，水到装有蛋液的碗高度的一半高度；放入微波炉，中高火，2分钟；取出，加入海苔，倒入少许蒸鱼豉油，撒少许[偷笑]葱花即可。 ​​​

116 :知足是一种心态，也是一种人生修养，岁月弄人，时过境迁，一切都将遥远、模糊、消失。打败我们的，往往不是风雨，而是：平凡。在风雨中，我们激励自己，发挥潜能，度过一[钟]次又一次难关：在平凡中，我们放纵自己，任由缺点、抱怨、虚掷，一步一步侵蚀尽存的生命。最终，我们都成了“平凡”手下的败将 ​​​ 全文

117 :【奥迪全新A8将“减肥”[闭嘴] 车重与A6持平】新车基于奥迪全新研发的豪华车平台打造，并且使用全铝制车架，在保证车辆本身刚性需求的同时，还能降低整备质量。对于这款新车，从欧洲媒体AutoBild处获悉：奥迪全新A8将“减肥”，相比现款将减重200公斤，减重后车重将与A6L持平。 ​​​

118 :无论你身边的环境如何，你只要用心做事，就一定可以影响它！如果你真是个能人，那就改变它。所以说做工作是一定要用心，你没有改变环境(工作环境和人际交往环[衰]境)，是因为你做得还不够。 ​​​

119 :【海苔煎年[月亮]糕】1.鸡蛋打散加入海苔末，调入适量盐、胡椒粉2.手工年糕切成薄片，在海苔蛋液里裹一下3.平底锅放油小火加热，年糕放入，煎至两面金黄。 ​​​

