慕容地空 女/甘肃         加关注
31 :采撷一串串的梦，回想起是那么缤纷绚丽；而成长的追逐，竟已一跃而过。世[喵喵]间的尘嚣喧扰，似乎沉寂，让我重新拾取记忆的落英。 ​​​

32 :买铁锅的—[good]—敲敲打打 ​​​

33 :六月天穿毛衣—[二哈]—热心 ​​​

34 :你允我三生承诺，[抱抱]如今只留一纸回忆。 ​​​

35 :世界真的很小，好像一转身，就[嘻嘻]不知道会遇见谁……世界真的很大，好像一转身，就不知道谁会消失……爱情有时是一种习惯，你习惯生活中有他，他习惯生活中有你。拥有的时候不觉得什么，一旦失去，却仿佛失去了所有。 ​​​

36 :我的猫很皮，可不可以帮我[哈哈]管它。 ​​​

37 :我只希望你想到我的时[蛋糕]候是笑的 ​​​

38 :鲁智深出家——无牵挂；无[弱]牵无挂 ​​​

39 :突然发[挤眼]觉作业就像老婆，手机就像小三，和老婆在一起就想着小三，和小三在一起还觉得对不起老婆，要死了。 ​​​

40 :卖冰[哆啦A梦花心]棒的折本——心凉了 ​​​

41 :我不是[摊手]靠活着的惯性活着的！ ​​​

42 :悲观的人虽生犹死，乐[抱抱_旧]观的人永生不老。 ​​​

43 :你要是不记得我，我就给你大耳瓜子。让你永远记住[哆啦A梦吃惊]我。 ​​​

44 :只要一[舔屏]个拥抱，就能平复不安的情绪。 ​​​

45 :没了你我的世界[衰]照样转。 ​​​

46 :爱情是用全世界所有[来]的名言都无法解释的未知世界。 ​​​

47 :我不嫌弃你，我[猪头]愿陪你一辈子。 ​​​

48 :你是我的，谁[good]也抢不走。 ​​​

49 :我深深地理解，耗费了多少时间，战胜了多少[抱抱]困难，你才取得眼前的成绩。请你相信，在你追求、拼搏和苦干的过程中，我将永远面带微笑地站在你的身旁。 ​​​

50 :摔倒了还趴着干嘛等着[哆啦A梦吃惊]别人来踩你吗 ​​​

51 :试着微笑，即使你情绪不佳。真的，[困]去试一下。 ​​​

52 :伟大的代价[怒骂]是负责任。 ​​​

53 :成功在优点[囧]的发挥，失败是缺点的累积。 ​​​

54 :在射手没打中目标时，就去寻求自己盼过失。不能[衰]射中靶子，其咎不在目标，要改进你的目标，只有改进你自己。 ​​​

55 :砥砺琢磨[弱]非金也，而可以利金；诗书辟立非我也，而可以厉心。 ​​​

56 :壮心未与年俱老，死去[摊手]犹能作鬼雄。 ​​​

57 :善只有一个，那就[doge]是按照自己的良心采取行动。 ​​​

58 :男人了解女人；多于女人了[泪]解男人。 ​​​

59 :多希望接红包的时候[可爱]，打开里面写着再来一包。 ​​​

60 :如果，回忆只是这样，那回忆是多么折磨人的东西，它还要折磨我多久，我才能忘记你。如果，爱情只是这样，那要有多少的刻骨铭心，多少个不眠之夜，才能换回我[鼓掌]抵御孤单的那一点力量。我爱你，但我说不出口，我无法承认。那些甜蜜的曾经，随风远去，消失在天的尽头。 ​​​

61 :多想把你变成一个小人儿包起来[钱]酷酷的藏进口袋里谁也抢不走. ​​​

62 :你每次不听话，都会后悔。我很[心]喜欢你对我说过的这句话，想想就觉得很温暖。 ​​​

63 :我的青春早已没有资格去演[耶]绎华丽只能用低调卑微的字眼来描绘。 ​​​

64 :也许时[拜拜]间是最好的解药也是我现在正服下的毒药。 ​​​

65 :沙滩里栽花——扎[可怜]不下根；难生根、 ​​​

66 :石灰厂开张[钱]——白手起家 ​​​

67 :你在[思考]雨中行走，你从不打伞；你有自己的天空，它从不下雨。 ​​​

68 :“又见雪飘过，飘于伤心记忆中，让我再想你[肥皂]，却掀起我心痛，早经分了手，为何热爱尚情重，独过追忆岁月····”---陈慧娴《飘雪》。 ​​​

69 :《绿茶妹2》主题曲《我知道这个世界》，略带伤感的旋律搭配深情的演唱，恰如其分诠释剧[酷]中主人公多舛无望的爱情，唱出歌者的无望与呐喊。 ​​​

70 :TS Ent.新7人女团SONAMOO出道专辑《Deja Vu》[微风]同名主打歌完整版MV公开，强烈的节奏和充满魄力和力量感的舞动，呈现Hip-Hop Girl的强劲魅力。 ​​​

71 :北乃纪伊，是日本一位女模特儿、偶像及演员。2007年1月，一曲芭蕾曲《樱花飞舞》[围观]以手机铃声的方式限定发行，尝试往歌手发展。北乃きい(Kie  Kit'ano)2013年新单《ラズベリージャム》！~ ​​​

72 :蒋介石握住林彪的手说：“林彪，你是我的学生[威武]，我欢迎你到重庆来。 ​​​

73 :醉酒海归辣妹竟然如此豪迈，爆豪乳[囧]露底~~无视交警的存在，赤脚爬上车顶开车 ​​​

74 :SNH48出道两周年作品：?精心打造的青春励志MV《[太阳]青春的约定》，本支MV由S队和N队各8位成员组成超强阵容共同参演，周杰伦御用导演“珍妮花”执导，首次身着男装以“乐队组合”形式亮相。 ​​​

75 :我奇怪地说：“不可能啊，上个星期公司聚会，你可吃了不[赞]少海鲜呢，怎么没事儿？” ​​​

76 :喜羊羊与灰太狼之开心闯龙年 主题曲MV《我们有武功》（[吃惊]欧弟） ​​​

77 :《神幻拍档07-ghost》10，身世坎坷的泰德是帝国陆军士官学校的优秀学生,某天他得知自己的父[偷乐]亲惨遭帝国军杀害!! 在逃亡的过程中,他遇上了一群另类的主教!? ​​​

78 :黑丝的诱惑，女模玩性感魅力难以抵挡，丰乳翘臀，更有脱衣秀火辣上演，绝对福[右哼哼]利啊！ ​​​

79 :《第一话罗马假日》  第一集，新人配音演员恩田赤和认真工作的普通工薪阶层的松丸文彦意外地一起生活的故事…两人编织的爱恋的进展… ​​​

80 :十分努力！ ​​​

81 :卧室与书房以及房间门口处的更衣间，连成了一个私人大空间，包含有书房、衣帽间、卫浴。走进卧室，左手边的衣帽间隐藏的很好。 ​​​

82 :男人把他能扛起的一切给了你,女人把她心里能装载的一切给了你,这就是爱情. ​​​

83 :【涉水驾驶注意事项】涉水后，请连续轻踩刹车数次（注意是轻踩），这样做是为了让湿的刹车片及刹车盘尽快变干以保证正常的刹车功能。 ​​​

84 :工作台的设计非常有趣，亮黄色的外观显得鲜艳活泼，看上去立刻精神百倍，配合地上黑白格子的地毯更是如此。 ​​​

85 :【健康护肤方法】1、小黄瓜敷脸（美白消炎）、2、蜂蜜柠檬面膜（美白）3、蜂蜜蛋白奶粉面膜（收敛紧实）4、蛋黄护发（滋润）5、豆粉面膜（去油去角质）6、豆腐泥面膜（美白抗氧化）7、柠檬皮或橘子皮（抑制油脂）。 ​​​

86 :猫咪合照，天生的苦逼脸么？ ​​​

87 :真的不能小觑这大爷了！ ​​​

88 :【卖个萌仙】《卖个萌仙》是国内首款神话策略卡牌手游。是一款精心打造，以卡牌收集养成为基础，集冒险、修仙、友友对战等独特要素于一身的萌系卡牌RPG手游，是一点都不坑爹的良心游戏。 ​​​

89 :【微型弩】之前我们曾为大家介绍过一款令人印象深刻的迷你加农炮，它的设计者近日又推出了这款杀伤力不可小觑的武器——微型弩。 ​​​

90 :【奥迪A3敞篷版车型国内曝光，进口方式引入】新一代A3车型进一步丰富，除了Sportback两厢车型，还首次推出了Limousine三厢版轿车。这两款车型进口引入后，都已经相继国产，接下来，全新的A3 Cabriolet敞篷版车型也将首次进口导入国内。 ​​​

91 :编辑点评：主卧室的设计亮点在于两面的玻璃门窗。两扇方形玻璃拉窗已经极有味道，而一个玻璃拉门更是别有一番风味。 ​​​

92 :【春季九个小妙招远离过敏】1.外出回家要洗脸。2.勤洗被褥。3.睡前洗澡。4.不带宠物上床。5.花粉季节关好窗。6.户外活动别太长。7.春季勤打扫。8.出门戴口罩。9.重视服药。 ​​​

93 :OMG！千颂伊为都叫兽热舞火星哥Bruno Mars定情歌《Marry You》超清mv，太虐人了好么？真是不忍心拆散他俩。 ​​​

94 :【奥迪小型车将搭载1.0T引擎】奥迪新款A1在台湾正式上市，新车最大的变化是增加了搭载1.0TFSI三缸发动机的车型，而该车相比搭载1.4TFSI的车型而言，售价相差24万台币（折合人民币约5万元）。未来搭载1.0TFSI汽油发动机的奥迪A1有望引入国内市场，提供消费者选择。 ​​​

95 :【十眼长桥】锦溪古镇桥梁星罗棋布，桥之密度国内罕见，当地名谣素有“三十六座桥，七十二只窑”之说。十眼长桥建于明代，与古莲池、文星阁、长堤回廊和桃园构成完整的古莲景区。桥有九柱十孔，全长52米，造型古朴别致，为远近水乡所罕见，人称“小宝带桥”，是观湖赏月极佳之处。 ​​​

96 :【糯米饭团】1.糯米淘洗干净后浸泡4小时左右,蒸锅内放入适量的水烧开；2.将糯米放在蒸屉上,盖上锅盖,大火隔水蒸约30分钟,蒸熟后取出；3.将蒸熟的糯米饭、玉米粒、豆沙放在大碗里，带上一次性手套将其拌匀后捏成小圆球；4.案板上均匀地撒上一层薄薄的白芝麻，将饭团放在上面滚动沾上芝麻。 ​​​

97 :【云南坝美村】一个现实生活中真正存在的桃花源。坝子里与山外的联系，靠的全是坝子东西两端这两个幽长深暗、流水不断的山洞。 ​​​

98 :“带着你随风去，穿过自由的天际，那是我叫做放肆的勇气...”90后内地实力偶像团体RTA少年组《放肆的勇气》抒情曲MV曝光！~ ​​​

99 :【消极是一种思维和行为惯性】1、职场中的人，一旦染上了这类毛病,自己职场人生必定暗淡无光,2、同时还会让亲近的其他人受影响,所以远离职场消极群体,各位职场新人、职场达人有必要给自己提个醒。 ​​​

100 :【孩子7岁前必须学会11种小本领】1学习怎样做一名合格的学生.2学习怎样交朋友.3学会怎样独立说故事.4学会请求帮助.5学会简单的剪剪贴贴.6学会搭积木.7学会辨识标记、概念、节奏.8学会跳远、跳高等运动技能.9学会独立和自理.10学会学习能力.11学会良好习惯。 ​​​

101 :《 圣斗士星矢Ω》 第92集 ，从神话时代到现代，每当有邪恶出现之时，正义的希望斗士·圣斗士必然会挺身而出。他们身穿名叫圣衣的武具，为女神雅典娜而战。其中，数次救下雅典娜的青铜圣斗士·天马座星矢等人的友情与战斗的事迹为传说写下新的篇章…… ​​​

102 :狮子座就是喜欢把话都憋在肚子里，总把一大段情绪咽下，只用一个“嗯”字来代替。更糟心的是狮子脸上还藏不住事，摆着一张臭脸，说”没事儿“的时候，让听的人背后都冒凉风。就像你明知道她生气了，可是她就是死犟死犟的说没事儿。 ​​​

103 :人活一天就得做一天人，担一天忧，尽一天责；就得讲一天内涵和修养。 涵养，使人严肃而不孤僻，使人活泼而不放浪，使人稳重而不呆板，使人热情而不轻狂，使人沉着而不寡言，使人和气而不盲从。每个人都是塑造自己的工程师。涵养，不是束缚，而是解放。 ​​​

104 :今天单位女同事带他四五岁的儿子来单位，大家问他：爸爸好还是妈妈好？小朋友悄悄地回答：爸爸好！大家继续逗他问为什么。小朋友看着妈妈大声道：因为他娶个好老婆，然后又生个好儿子。 ​​​

105 :【如何让孩子感受阅读的乐趣？】1.读书的时候用手指指着;2.新故事的“预习”工作;3.不要操之过急:当孩子练习大声读书的时候,不要让他读太难的书.4.帮助孩子对付生字生词:生字生词是孩子阅读时最大的障碍.5.读书时要专注;6.读书也“聊”书:和孩子一起聊书里讲过的故事. ​​​

106 :【奥纳人防御战】游戏的灵感源于智利火地人——奥纳人的历史事件，玩家将跟随游戏的视角穿越到200年前，带领弓由弓箭手、法师以及战士组成的奥纳人征战团，与南美洲民众携手对抗欧洲殖民者，在密林、苔原等地貌之间作战，抵御一波又波的敌人。 ​​​

107 :香港Tigra Sport 公司推出了一款自行车使用的发电机（Tigra BikeCharge），利用车轮转动来发电。只要你骑到时速5 公里时就可以开始供电，而骑到时速20 公里时能达到最大的电力输出。Tigra BikeCharge 电流输出为3.0 W，2 – 3 小时即可将手机电量充满。 ​​​

108 :【掌上水墨】摊开你的掌心，让我看看你，妙笔生花的写意。 ​​​

109 :女友胃口太好真是件让人苦恼的事。每次问她要不要盛饭时她朝我比个ＯＫ的手势，我都分不清到底是“ｏｋ”还是“３碗” ​​​

110 :【太原战役中解放军用敌人尸体加固工事】参加了解放太原战斗的老战士回忆战斗细节：“大家不顾战斗疲劳，马上疏挖战壕，把埋在土里的敌人尸体挖出来，垒在战壕胸墙上，加高防御工事。天亮后，兄弟连接替防务，九连顺利地完成了上级交给的战斗任务。” ​​​

111 :你不会为同一个笑话笑了一遍又一遍，但你为什么一直为同一件事哭了一次又一次？ ​​​

112 :【「攻壳机动队」新剧场版2015年初夏上映 新海报与特报公开】1月8日，「攻壳机动队」的新剧场版公布了新消息，本作将于2015年初夏于全日本公开上映，新海报与特报也被公开。作为剧场版公开的「攻壳机动队ARISE」的TV版也已经决定将要放送，详细情况将于日后发表。 ​​​

113 :【过年抢票回家，慎防木马病毒】今年过年虽晚，但春运抢票大战已经打响！据腾讯电脑管家近期拦截显示：一些网络诈骗分子利用春运抢票契机将木马病毒伪装成各类“抢票软件”，用户一旦点击就会导致密码被盗、隐私窃取，还会造成经济损失。建议大家网上抢票时启用安全软件，实时拦截木马，安全安心回家！ ​​​

114 :【萌系声音等于水平低？原田瞳因妄加评论声优而愤怒！】6月17日，「机巧少女不会受伤」中夜夜的声优原田瞳在推特上因自己喜欢的声优被人称“只不过发出可爱的声音就可以了”而愤怒。原田瞳说：“萌系声音=水平低，这种想法太简单粗暴了”。 ​​​

115 :张曼玉回港出席公开活动，未落实与侯孝贤合作，拒谈给梁朝伟颁奖。 ​​​

116 :法国3841米高山顶建玻璃房子:就像站在空中！一家经营滑雪和缆车的公司在勃朗峰附近用钢铁和玻璃建造了一个玻璃房子。它可以承受超过每小时220公里和60℃的温度范围内的风。心跳加速，呼吸沉重，恶心，颤抖，胸痛，濒死感。 ​​​

117 :音响都是放在电脑主机旁边，这是一直以来人们的共识。今天介绍的这个神器可以让你的普通音箱变成无线音响，让你喜欢放那里就放那里。它内置有独立的DAC解码技术，将声音信号共享到wifi，从而实现无线接收功能。更令你意想不到的是，这神器可以做到百米无损接收声源，不会因为无线而让效果有所衰减。 ​​​

118 :电影《蛇蝎美人》的配乐大碟,不管电影当时是否取得什么样的成绩,从配乐来看,是相当成功的。《Bolerish》music.sina.com.cn/yueku/i/860403.html ​​​

119 :【摩羯的特征】1、一旦开始整理就整理得特别彻底；2、注重公用环境的整洁；3、万事拖到最后关头才动手；4、回忆起往事多有懊悔；5、钱包里收据比钞票多；6、订计划但从来不看；7、生气的事睡一觉起来就忘；8、会忘记重要的事；9 口头禅是：好困啊。 ​​​

120 :【等红灯或堵车时要熄火？】在熄火前一定要考虑停留时间，如果停车时间大于2分钟可以熄火,如果停车时间比较短，完全没必要熄火。发动机作为车子的心脏，过多的熄火、启动肯定会降低其使用寿命，频繁的点火启动也会影响火花塞的寿命，到最后算下来省得油钱未必够换火花塞的。 ​​​

121 :我儿子4岁了，一天上午，他的伙伴找他玩，我儿子央求我：“妈妈想到到床上玩，可以吗？求求你！”我勉强同意，告诫：“一定要脱鞋上床！”很久，我进卧室一看：床上竟然横着大大小小几双拖鞋，我无语。 ​​​

122 :当兰陵王遇上景天，史诗级影视剧恶搞剪辑，让您感受无缝隙的融合度，点开前请装备好避雷针！ ​​​

123 :那一年她爱上了他,她是个优雅而漂亮的女人,而他是个一无所有且懒惰的男人.朋友都不看好他们,父母也说她这是用自己的幸福在赌.交往后,他像变了个人似的奋发上进,若干年后他有了自己的事业和魅力,她问他当年怎么会突然像变了个人一样,他答:你用一生的幸福做赌注,我怎么舍得让你输！ ​​​

124 :【酱油面】1.烧水2.水开之后根据两人分量下面条，细面比较地道，放少许盐3.煮面的同时，准备切小葱备用4.在碗里调制生抽，老抽，胡椒，鸡精和香油等调料5.将锅里的面汤舀一些在碗里把酱汁打开搅匀6.关火盛面，最后放上一些小葱花，虾皮和芝麻即可。 ​​​

125 :开放式的厨房给人空间的宽敞感，霸气的钢琴漆面橱柜把光线反射，是空间亮度增加。吧台的设置，为聊天提供了不少方便。 ​​​

126 :【：油性皮肤会越用越油吗?】NO!在干燥寒冷的冬季，当肌肤水分快速流失，肌肤会应激性地大量分泌油脂，导致肌肤的水油瞬间失衡。所以，油性肌肤也需要油脂，因为油的分子非常小，可以穿越各种阻碍到达肌肤深层，这样就能满足皮肤深层养护肌肤的终极愿望。 ​​​

127 :【叉烧琵琶腿】叉烧酱，生抽，蚝油，料酒，冰糖，葱姜放入大碗中；鸡腿去骨洗净，放入大碗中与酱汁充分抓均腌制2－3小时，其间翻动；腌制好的鸡腿和酱汁放入锅中，加清水至没过鸡腿，大火烧开；用勺子撇去浮沫，小火炖25分钟，大火收浓汤汁；捞出鸡腿，微微放凉后，将鸡腿切片，浇上锅中汤汁即可。 ​​​

128 :编辑点评：随着科技的进步，厨房里面的工具功能越来越强悍，外观设计也越来越合理，内嵌式的设计增强整体感。 ​​​

129 :【“终极大反派”登场！《名侦探柯南》神秘小黑手办图赏】早前我们报道了日本国民级动漫《名侦探柯南》将推出“终极大反派”小黑人的figma可动模型，现在一起来欣赏下这套神手办的美图吧，“小黑”全身关节可动并附带枪、刀等作案武器，简直一个活体“要你命三千”！ ​​​

130 :【国内少有人知的十处避世风景】试试不走寻常路吧——1．江西三清山；2．前童古镇；3．棠樾牌坊；4．河北蔚县；5．南浔；6．贵州马岭河；7．蜀南竹海；8．罗平九龙瀑；9．浙江兰溪诸葛八卦村；10．江西瑶里。 ​​​

131 :她陪他走过创业最难熬的时期，他成功后竟然移情别恋。她什么都没说，只是在他和她分手的那个晚上指了指街灯。后来，他投资失败公司破产，在醉酒的雪夜他不经意间抬头，突然大哭。他看到路旁的街灯，也终于明白了她的感受：街灯，倾尽全力陪你共度黑暗，却在光明来临的时候被迫退出你的世界.... ​​​

132 :荷兰人华士·胡博用他的两幅慈禧油画肖像，为我们留下了一个百年谜题。这两幅画，容貌的细节不同，精神气质更是迥异，到底哪幅画更接近晚年慈禧的真实面貌呢？ ​​​

133 :《菊花笑典之有神么》第3集，天界突然收到消息---下界出现大量人口莫名死亡的现象，经调查，原来是下界一个黑暗组织不停的制造杀戮，从亡灵身上收集一种奇怪的能量。这种能量注入到一些平凡人身上，使之变得更加强大、猥琐、与无节操，即使原本善良的人也变得异常凶残。 ​​​

134 :【卸妆误区】有些人卸妆只专注与脸颊、眼唇，而忽视了鼻翼、下巴等细节部位，这样的做法会令这些细节部位残留污垢，容易长痘痘粉刺。使用卸妆的时候要记得照顾到脸上的任何一个角落，确保每个部位都有清洁到。 ​​​

135 :【黄豆芽泡菜】1.将黄豆洗净后彻底沥乾，加入盐拌匀后腌约12小时，再将盐水洗净沥乾备用；2.将蒜洗净沥乾，韭菜、葱切段，红辣椒切片备用；3.将调味料香油与材料蒜拌匀后，拌入黄豆芽中搅拌均匀，即可置於容器中冷藏醃1天以上待入味即可食用，约可保存3天。 ​​​

136 :跟读书灯一样，这款LED小夜灯也能让你独享灯光，而不影响他人休息。它小巧轻便，灯管能随意扭曲，底座具有极强的吸附能力，能够轻易粘在笔记本电脑屏幕上，从而照亮整个键盘区域，方便夜间使用电脑。 ​​​

137 :【冷却系统的换季保养】先要从外观检查水泵的泄水孔、节温器接头、放水口、水箱盖和储水罐等部位有无渗漏的痕迹，如果发现有渗漏，应找出原因后立即排除，千万不能凑合着开。还要检查防冻液的冰点，一般来说，防冻液的液体冰点比车辆行驶地区的最低气温低5至10摄氏度即可。 ​​​

138 :【蚝油牛肉炒苦瓜】菠萝切碎榨汁；苦瓜洗净去籽切片，牛肉切片，把盐，料酒，胡椒粉，菠萝汁倒入盛牛肉的碗里拌匀腌制5分钟；锅内烧热油，腌好的牛肉炒匀至变色盛出；锅内少许油烧热下葱姜炒香，下苦瓜炒1分钟；倒入炒好的牛肉翻炒均匀，加入蚝油炒匀，下水淀粉勾芡，收汁即可。 ​​​

139 :　1930年春天，丰子恺饱经患难的母亲不幸去世，从此他留起胡须，为母亲守孝志哀。母亲在世时，对住了上百年的破旧老屋“惇德堂”早有重新建造的想法，因此在屋后买了一处平房和空地，但由于经济拮据，愿望没能实现，丰子恺也常常为之遗憾。 ​​​

140 :日本女优山本梓清纯性感比基尼写真，犹抱琵琶半遮面，演绎纱之诱惑。 ​​​

141 :【抓住宝宝的兴趣】父母可以有意识地去发现货培养宝宝的各种兴趣爱好，比如可以让他参加集邮、摄影、下棋、收藏、插画、简报、饲养小动物等，这些兴趣爱好不仅可以开发宝宝的智力，也可以磨练他的耐心和意志力。 ​​​

142 :这是由日本大阪Rhiga皇家酒店的L’éclat巧克力店推出的以太阳系8大行星为主题的巧克力套装，口味有奶油柠檬（金星）、香草（木星）、卡布奇诺（海王星）等，下面则是陨石系列，巧克力不仅接近真实陨石的色彩，并且每一枚都特别注明了陨石的发现地点和时间。 ​​​

143 :你能在地毯中穿出一双拖鞋，当然，也能在被子上带出一副手套。这是由设计师Andrea AyalaClosa设计的带手套的被子，如果你喜欢睡觉前看书，碰上天冷的时候，它就可以派上用场。此外，手套食指位置开了个小洞，露出半截手指，方便翻书。 ​​​

144 :【长时间压力过大是斑形成的主要原因之一】长时间感到压力过大时，审议就会分泌肾上腺素为身体抗压而做准备，长此以外下去就会影响身体的新陈代谢平衡遭到破坏，导致皮肤所需影响供应区域缓慢，色素母细胞就会变得很活跃，脸上的色斑也就慢慢形成。 ​​​

145 :【糯米腊肠卷】糯米用水泡洗，加水放电饭锅煮成糯米饭，盛出；放葱花及盐，放入切好的腊肠粒；加姜米、玉米油、生抽、胡椒粉；面粉加牛奶和匀，发酵后擀成面皮；糯米饭铺在面皮上，最外侧不要铺，从内向外卷成圆柱形；入蒸锅，中火上汽后，蒸13分钟，焖2分钟，取出切成段。 ​​​

146 :暖阳下的草坪温软而诱人，或许你只是想醉卧在芳草间，不说沧桑，不言寂寞，就这样，枕着香软的过往，任风如水样轻柔的漫过，让明媚的阳光一直把你送到梦的边缘，享受那一刻的温煦静好。 ​​​

147 :设计师Arthur Xin将落地灯和拖把结合到了一起，它没有外接电源，若想点亮它，你只有用它来拖地，通过产生的动能转化为电能储藏，才能使棍子内的灯泡发光。如果你想让它亮久点，就得多劳动了。 ​​​

148 :作为一个年轻的管理者，我当初在录用员工时，只是面试一次。结果就可想而知。我的公司成了一扇“旋转门”。员工来了就走，甚至是刚来一两天就离开，这种持续的人员流动导致公司一片混乱。 ​​​

149 :【天秤座】天秤的人生可以用两个字概括：纠结。不管从哪一方面来说，天秤本身就是一个矛盾的个体。与天秤相恋须知：1.我很慢热,我很冷漠； 2.我很直接,讨厌转弯； 3.我不喜欢说话,也不喜欢你太吵； 4.我喜欢自由的感觉,讨厌啰嗦； 5.我心智很成熟,看事很透彻； 6.我很绝； 7.我需要行动证明你爱我。 ​​​

150 :【办公族警惕三种伤害】颈椎病、肠胃不适、视疲劳已成为办公族三大伤害，如何应对呢？①护颈，经常变换坐姿，做扩胸和后仰动作，放松颈部肌肉。②护胃，三餐规律，饮食少而精，少吃高油高盐快餐。③护眼，工作间隙要转转眼珠。 ​​​

151 :你可以相信恋爱中的人智商都是0的话，但是这句话不适用于天蝎！！！她能从头发丝观察到你的充电宝，再从钱包里的钱算计到你看电影的进度条，想骗天蝎，真的省省吧。早点招了，好聚好散。 ​​​

152 :【红油腐乳】1.把葱姜洗净切末，豆腐切小块，淀粉加少许水、味极鲜、白糖、盐、鸡精拌均匀，腐乳用勺子捣成泥，加一些腐乳拌均匀2.热锅凉油，油热8成下姜末翻炒出香味，下豆腐豆腐翻动均匀，加腐乳汁、水中火煮开，转小火煮10分钟3.加调味汁拌均匀，再次煮开，撒胡椒粉、香葱拌均匀。 ​​​

153 :【石港渔湾】又名卖鱼湾，位于石港的镇北，因伟大的民族英雄文天祥南归途中驻足于此并书有《卖鱼湾》三首诗而扬名。唐代初年，人们在开挖河港时，出土石碣一方，上有“凤凰所栖，乃是宝地；石港新开，幸福万代”的偈语。“凤凰宝地”、“石港有石”之说，方始广为传播，代代绵延。 ​​​

154 :还记得小时候跟伙伴一起吃棒棒冰吗？那种感觉现在回忆起来也很美好。设计师把棒棒冰跟灯具结合在一起，设计了这款漂亮的棒棒冰灯具，里面有个吊灯，而棒棒冰则组成了一个灯罩。由日本设计师Hisakazu Shimizu设计。 ​​​

155 :设计师妙招：敲掉过大的玻璃柜，同时挂墙式电视大大减少了机柜的占用空间，电视下方、墙上都打造搁架存放物品，大大增加空间的利用率，收纳美观两兼顾。 ​​​

156 :【中国最接近天堂的五大湖】1、青海湖——有亚洲隆升的记忆；2、喀纳斯湖——有冰川过后的多彩；3、纳木错湖——有匹配高原的静谧；4、天池——有来自火山的深邃；5、西湖——承载了中国人的风雅。您到过哪几个？ ​​​

157 :客厅后方，是难得的书房空间，设计师只用了一道移动的玻璃拉门，把客厅书房甚至全屋的阳光串起来。 ​​​

