千层me义枝偌 男/其他         加关注
18 :【柠檬的作用和功效】柠檬中含有丰富的柠檬酸、钙、磷、铁、B族维生素和维生素C。是上班族们和长期接受电脑辐射的人群们的良药，柠檬具有很强的抗辐射能力，并且还能靓白肌肤，抑制黑色素和色斑的生成。 ​​​

19 :村里有家小酒厂，涉嫌用化学品勾兑被工商部门叫停。次日，厂长请工商局长吃饭通融，酒过三巡，局长喝的兴起，就一脸严肃地对厂长说这酒真地道，是哪儿弄得？厂长没敢说就是自己来的时候灌的，赶紧哈着腰说专门托人从贵州捎的。局长认真的地说，你们呀酒要是有这样就好喽。 ​​​

20 :【小心“面部激素依赖性皮炎“】理想的护肤品应符合国家质量标准、稳定性好，正常使用对皮肤无害，不会引起过敏反应及色素沉着。但部分化妆品添加糖皮质激素，它在早期会使皮肤变得非常细腻和柔嫩，但长期使用，皮肤可见毛细血管扩张、色素沉着及长痘，从而导致“面部激素依赖性皮炎”。 ​​​

21 :“如果喜欢是十分，你对我是几分?”她问，“三分”“你对普通同学呢？”她苦笑着，“五分”，“原来在你心里我都不如普通同学”女孩表情不知是哭是，“嗯，因为爱过，所以只能是三分”男孩说完就头也不回的离开了，空留女孩一人在原地哭。他们分手了，女孩放不下男孩。 ​​​

22 :裸色的毛衣外套不仅给人一种温暖的感觉，还是特别百搭的一种颜色。黑色皮裤，白色的钩花毛衣，经典三色搭配分分钟擦出最时尚的火花。 ​​​

23 :青春，它是一个奇形怪状的玩意儿，短短的身子偏偏拖了一个长长的尾巴。“学霸，这道题再讲一遍呗！”“谁去小卖部啊，帮我带雪糕。”“不准超过三八线！”……那些点滴汇聚成岁月的长河，流淌着浓浓温情。毕业照上一张张干净的脸庞有着明亮的笑容，诉说着荒唐青春里的，那些不悔。 ​​​

24 :说说造型：V领毛衣+窄脚裤+厚底鞋+粉色大衣+围巾+单肩挎包。 ​​​

25 :秋风萧瑟，风华正茂的少年驰骋在运动场上。她的视线跟随着他。“他一定又是第一名吧。”她念叨。确实，他冲破红线。终点一个漂亮的女生送水给他。他喝了一口又递给她，她也喝了一口。不远处的她心里疯狂的羡慕妒忌着，却无可奈何。 ​​​

26 :她闺蜜：“你当初说拎饭盒帅的不是他吗？！” ​​​

27 :姑姑，为什么？过儿，姑姑年龄已然比你大好多，更何况，姑姑已经……。姑姑，爱一个人不在乎这些，我在乎的，只有和你在一起。 ​​​

28 :“不要打掉孩子。”他恳求道。“这个孩子本来就不该留下，你既然不爱我，何必留下这个孩子。”“不要打掉孩子。”这个高傲的男人此时在医院的众人面前跪了下来。她没有被打动。决然进了手术室。“你和我以后就互不相干了，离婚协议书我会准备好的。”她带着绝望的眼神看了他最后一眼。 ​​​

29 :【去黑头有效方法】鼻贴使用鼻贴拔除黑头是最直接、最有效去黑头的方法，但是它容易导致毛孔粗大。因此，使用鼻贴去黑头后一定要及时收敛毛孔。【小妙招】在使用鼻贴前先用热毛巾敷于黑头处，让角质软化、毛孔张开，再贴上鼻贴。直到鼻贴完全干透发硬后，将它从下往上揭开。 ​​​

30 :她拉过他的手“爸爸，谢谢你这么多年来对我的照顾”。 ​​​

31 :他总爱在她空间里留暧昧的留言。天天如此，从不间断。“喂，你能不能别给我留那些东西啊。”“干嘛？”他坏坏的笑。“让别人看见多不好”“就是要让别人看见，这样，就没人再打你主意了。”“什么意思？”“这样，你就只能考虑我做你男朋友了。”有的时候，爱，是要耍点小聪明的。 ​​​

32 :她出国度蜜月，未能出席同学聚会。他成为大家的话题，因为当初他和她可是年级里出名的一对。“你心里还有她吧？”“你回头找过她吗？”“你给她写过信么？”在大家的逼问下，他坦言，的确写过一封情书，托付给一名男子，不知道那男子后来有没有转交给她。情书内容他想了很久：替我好好爱她。 ​​​

33 :他对她说：一起去看电影，她说：好。他又对她说：明天我的女朋友也一起来， ​​​

34 :她爱了他七年，等了七年，可他从没回应什么。她累了，放弃了。和一个对她很好的男人结了婚。婚后两个月，她回娘家。她的妈妈把一箱东西交给她。“这是什么。”“是他以前写给你的信，那会你正高三，妈妈不想让这些影响你学习。”整整一百封。 ​​​

35 :【防晒不能少】不管有没有过敏，防晒都是一定要做的，过敏的时候要更加注意，如果防晒没有做好，很可能会加重过敏的情况哦。防晒尽量选择清爽型的，不要选择过于油腻的，要不容易刺激到肌肤哦。涂抹了防晒，晚上一定要清洁干净面部，不能有残留。 ​​​

36 :【洗面奶没洗干净容易长痘】如果使用洗面奶的时候，没有将脸上的洗面奶清洗干净的话，那么就很容易导致没有洗干净的地方长痘，因为洗面奶中含有很多清洁型物质和营养物质，再加上没有被洗干净的污垢，就很容易导致皮肤长痘。 ​​​

37 :【去除角质后轻轻按摩脸部】角质堆积易使皮肤暗淡无光、粗糙，皱纹也会变的更明显或是滋生皱纹，因此清理角质也是抗皱护肤的重中之重。去角质时，按摩手法不宜过重，特别是使用物理性的颗粒去角质产品。去角质后，皮肤皱纹的线条也会有所淡化，保养品的吸收效果也会更显著，从而改善皮肤的整体状态。 ​​​

38 :街头的搭配风格，突出的是随意性，简单的样式，却有着别具一格的独特气质，V领短袖，字母和英文的元素，简单而富有创意，一条破破烂烂的牛仔裤成为了整套搭配的亮点，再配合上一双酒红色的马丁靴，一套非常独特的搭配风格。 ​​​

39 :她被欺负了，她冲出来护着她，“谁他妈在动她一下试试。”她考试没考好，她帮她划重点，陪她复习，“傻逼，跟你在一起我都笨了”她感冒发烧了，她送她去医院，“你他妈是不是有病啊，发烧也不说。”她笑了，“确实有病。” ​​​

40 :“爸爸爸爸……”她指着架子上的甜甜圈，一脸兴奋。“宝贝，饿了吧？爸爸帮你买这个好不好？”“可是，可是……”她突然嘟着嘴，有些不满。“妈妈一定是回来了，她没来看我，却把头上的圈圈落在这里了。” ​​​

41 :她愤怒，问：你是怎么搜索到我的？他满不在乎的回答她：我每天那个时候都在你家附近晃悠连你家的狗都认识我了。宝贝不要生气了嘛好不好嘛！ ​​​

42 :【洗脸水中加蜂蜜】蜂蜜含有大量能被人体吸收的氨基酸、酶、激素、维生素及糖类成分，能促进皮肤创面的愈合，抗衰老，防止皮肤干燥。洗脸水和蜂蜜的比例：中干性肌肤的人，平时可以将2~3滴蜂蜜加到洗脸水中，洗脸时沾湿整个面部再轻轻拍打、按摩面部几分钟。油性皮肤的人则不太适合用蜂蜜水洗脸。 ​​​

43 :冬夜冷得刺骨，作业都被融化了。凌晨一点钟声，灯光亮得刺眼。突然暖了起来，趴在桌上的我醒了，空调运行中的灯亮着。身暖了，心暖了，一愣神。家中只我一人，谁为我开的暖气？ ​​​

44 :真的到绝路了吗？我微微一笑，胸有成竹地从悬崖上一跃而下，独留敌军呆愣在原地。“砰”的一声，我落入了污水井。手机被甩在一边，屏幕上游戏发出的光渐渐暗下。井旁，“此路不通”四个大字红得慑人。 ​​​

45 :【眼角皱纹：弹点方式涂眼霜】在眼尾的加强按压最容易产生细纹的眼部，使用具有紧致眼周效果的眼霜，以弹点方式涂擦上后，再利用指腹的力量加强按压眼尾部位。 ​​​

46 :白色t恤与黑色运动裤的搭配最是经典，再配上一件黑色皮夹克外套和一双白色球鞋，温暖又个性。 ​​​

47 :他吻轻落在她的脸颊。“等我回来。”面色娇羞，轻轻点头。一年，五年，十年，二十年！他归来的身影一直都没有在城墙出现。五十年后，她带着遗憾离世。 ​​​

48 :他没事时会去前妻开的小面馆里坐坐。现在还没到饭点，店里有些冷清。他点了碗面，坐在位置上安静地看着墙上的价位表。“面来了，我给你多加了个蛋。”她将面放在桌上，坐在他对面。他喝了口汤，“味道没变。”“味道变了你还会来么。”她笑了笑。 ​​​

49 :【牙膏洗脸有变滑肌肤的好处】根据洗脸用的牙膏的成分你不同，使用的效果也会有些不一样，有一些牙膏碱性比较强，就不适合用来洗脸。但是如果使用的是弱碱性或者酸性牙膏，那么使用后可以改善粗糙的肤质，会发现皮肤越来越细滑了。 ​​​

50 :C是M国特工，近来他总感觉身体有些异常。C接到新的任务:运送Y药剂到某地，那里的间谍组织成员感染了X病毒！任务完成，C正要离开。只听冰冷的声音:“抱歉，先生！你还不能离开这里，我们秘密在你体内培植了病毒超级抗体，你的身体是我们最需要的。”这时乌黑的枪口对准了C。 ​​​

51 :主人说今年流行田园风。 ​​​

52 :【橘子山楂粥】1.橘子剥皮，撕去筋络，逐瓣分开，用竹签去掉橘子核，切成小三角块。2.山楂洗净后一切为二，去掉种子。3.粳米洗净，用冷水浸泡一小时后捞出来，沥干水分。4.锅内加入1000毫升冷水，加入粳米、橘子块，山楂块，用旺火烧开，转小火熬成粥，最后加入白糖即可。 ​​​

53 :【上汤枸杞黑木耳】1.黑木耳中加入少许面粉，帮助清洗，用温水泡发2.水开后放入黑木耳焯水15秒左右，捞起3.锅子放入大半块的浓汤宝加适量水4.搅拌融化水开后加入焯水后的木耳和枸杞5.到水再沸腾的时候加入少许盐调味，勾芡，淋上少许的芝麻油出锅。 ​​​

54 :【巧用蔬果紧肤】将有毛孔收缩功能的蔬果如芹菜、油菜、柠檬、橙子等切成丁状倒入榨汁机内，榨出果汁。新鲜的榨果汁要马上喝掉，而残渣则可以用干净的药用纱布包住，轻轻揉搓毛孔粗的部位。这样不但能温和地去除角质，更有神奇的收敛毛孔的功效。 ​​​

55 :说说造型：藏蓝色这种高大上的中性风采搭配雪纺look的OL职业装，改掉以往的老成正式。 ​​​

56 :【卡罗维瓦里】卡罗维瓦里是14世纪时当时罗马皇帝查理士四世在打猎时所发现。后来随着和平与战争的更迭，卡罗维发利也经历着兴盛与衰败的曲折，但是城里能够饮用、沐浴、治病的12眼温泉水，一直是欧洲权贵和名流关注的地方，平均水温达到72摄氏度。 ​​​

57 :【必须敬而远之的9种职场损友】1.大嘴巴；2.坏榜样；3.背叛者；4.抱怨狂；5.批评家；6.误事鬼；7.自恋狂；8.竞争者；9.口蜜腹剑之徒。 ​​​

58 :【跑马岭景区】跑马岭景区位于济南市东南部，距市区约40公里，平均海拔700多米，最高海拔近900米，森林覆盖面积3000多公顷，交通便利，于泰山、莱芜等地近道相连，四通八达。 ​​​

59 :【无油旱蒸蛋香什蔬锅】南瓜、土豆去皮切半圆片，火腿切成等大的半圆片；南瓜片、土豆片和火腿片交错摆入微波可用容器；鸡蛋打散，薄荷叶洗净剁碎，加入蛋液中搅匀；将混合薄荷碎的蛋液浇在食材上；加入适量盐，撒匀，再均匀撒少许现磨黑胡椒粉；容器盖子盖严，送入微波炉，中高火加热20分钟。 ​​​

60 :【西沙群岛】西沙群岛位于海南岛东南约180海里处，是我国南海诸岛四大群岛之一，与东沙、中沙、南沙群岛组成中国最南端的疆土。西沙群岛主要由永乐群岛和宣德群岛组成，这片大大小小的珊瑚岛屿群漂浮在50多万平方公里的海域上，美丽而纯净。 ​​​

61 :今天要参加宴会，这件燕尾服怎样，好看吗？ ​​​

62 :发型我在拍它 ​​​

63 :【职场人生之领导意图】领导说让你看着办，不是不让你办，而是让你抓紧办；领导说再想想,不是他没想好,而是要你别再想了；领导表扬你，不是因为你真干的好，而是在笼络人心。 ​​​

64 :【牛奶番茄汁】1.将番茄入沸水中打个滚儿，烫一烫，轻松剥去外皮，切丁；2.2/3的番茄丁和牛奶用搅拌机打碎，倒入杯中，加入剩余番茄丁，适量蜂蜜，少许柠檬汁即成。 ​​​

65 :她们认识很久了，久到她都忘了有多久。有一天，她看好友动态，有一条是关于友情的，转发后写上自己认识时间最长的好友的名字和认识的时间。她赫然看见她转发后写着自己的名字后面有个13年，她突然就哭了，原来她们的一切她都记得。 ​​​

66 :他们彼此相爱，却无法在一起，所以他们一起殉情了，发誓死一定要在一起。到了上帝那儿，他们要求上帝让他们在一起，可上帝也没办法，他们注定当不了恋人。在他们的苦苦哀求下，上帝只得答应他们，把他们化作一种花——彼岸花。他当叶，她当花。可是，彼岸花，有叶无花，有花无叶......... ​​​

67 :【如何在职场保持心理健康】1.认识自己，愉悦自己，树立自己信心；2.学习沙漏，一次只通过一粒沙，一次只做一件事；3.心怀希望，有希望的人才会积极向上；4.寻找内心的平衡，在一个地方失败，可以在另一处找回来。 ​​​

68 :【没原则性的育儿方法】有些家长认为，家长和孩子可以成为最好的朋友，这对孩子的教育和成长都是很重要。这种观点是对的，但是，育儿要有原则，不可以毫无章程，也不可以对孩子言而无信。 ​​​

69 :淋浴间用黄色作为背景色，完美地独立出来，通过瓷砖的冷暖色对比，进行了卫浴空间的干湿区域划分。 ​​​

70 :【日内瓦花钟】瑞士号称“花园之国”，同时又是“钟表之乡”，日内瓦是瑞士钟表制造的诞生地，而花钟就是享誉世界的日内瓦手表工业的一个标志。自1955年开始，花钟便放置于英国花园中，它不仅是钟表工艺的杰作，更是花卉艺术的经典。 ​​​

71 :做好工作，做出一般人做不出的漂亮结果，就不用担心人会发现不了，尤其不用担心你的直接领导发现不了！有些人总觉得自己的工作成功再好也不会被领导发现，于是得过且过，永远是没有出头之日。 ​​​

72 :职场中已婚者则存在夫妻性格及心理不和谐等问题.年轻的白领夫妻，正处在各自事业的发展阶段，在工作和家庭生活不能兼顾的情况下，最容易发生婚姻问题。 ​​​

73 :有时候，你根本不会完成的任务。在这种情况下,一句根本不可能的yes会引发巨大的挫败。所以你应该在一开始就说no！你要对你的工作能力有一个清醒的认识，不要超过你的极限。 ​​​

74 :“主人，不管你正在做什么饭菜。。。。。。我们都吃定了！” ​​​

75 :【好好和老板相处】无论你是在哪个公司工作，一定是会有一个顶头上司，你的大部分工作都是和老板共事，因此，你和老板的关系愈好，你的机会也就越多，要出人头地也就越容易。 ​​​

76 :是谁说拍照拍侧脸显瘦..... ​​​

77 :额。表示实在受不了这呆萌样啊啊！！ ​​​

78 :当某人问你工作得怎么样的时候，这时候你就有机会提提你的成就了,不用提到太多细节，你只要告诉这个人在你近期的升职，新项目，工作职责等等。 ​​​

79 :说说造型：酷炫朋克的冬季女装少了皮衣不太可能，一般我们再皮衣配蕾丝和过膝长靴都不会错，又酷又有小性感。 ​​​

80 :呀呀呀呀。。。 ​​​

81 :【DIY麻辣口水鸡】1.锅中入水烧开，将姜片，料酒，鸡肉一同倒入锅中去血水，断生后立刻关火2.另起锅放入入油，花椒，姜蒜，八角炸出香味，把热油盛入放有辣椒面的碗1中，黄瓜切丝垫在盘中，把切好的鸡块放在盘中，浇上碗1里的油，撒上白芝麻和花生即可。 ​​​

82 :书架设计-书架分隔板许炜杰以多边形、不同角度立体穿透，转折中变化出立体造型。 ​​​

83 :热毛巾敷面清洁干净脸部，将毛巾放入热水中，拧干水分，然后敷在脸上，这个时候毛孔就会自然打开，然后用粉刺针的圆形头轻轻按压黑头就出来了，挤完要涂抹收缩水。 ​​​

84 :9月再穿一字肩连衣裙，最好选择深色系，这样才不会让人觉得你还在那个6月的盛夏哦! ​​​

85 :人生真的撕心裂肺并非是分离，也并非是你身体承受多大的痛楚，而是你内心那种无声的哭泣，那种不甘与悔恨，悔恨自己当初的优柔寡断，悔恨自己的无能为力，更悔恨自己的倾心付出换来的轻蔑一笑…… ​​​

86 :看的我好心动！[ala么么][ala么么][ala么么]······· 邮粉福利日之春节篇 ​​​

87 :几年前?英国男子肖恩·艾利斯收养3只被遗弃的小狼崽。他将自己伪装成一匹狼?像狼妈妈一样和狼崽生活在了一起。他常和它们一起对着天空嗥叫?互相舔对方的脸蛋?甚至假装一起”食用”死去的牲畜尸体。由于他将太多的时间都花在了狼身上?最终导致了夫妻感情破裂的悲惨结局。 ​​​

88 :原创动画「死亡游行」1月9日开播 主视觉图大公开原定于2015年年内播放的的原创动画「死亡游行」（DeathParade）近期确定了具体播放日期。本作将于2015年1月9日25时58分（日本时间）播放！ ​​​

89 :据英国《每日邮报》10月29日报道，物竞天择、适者生存的动物世界以残酷和血腥著称，但下面这些摄影师的作品们则向我们展示了不同动物之间所存在的温暖友谊。图为：大老鼠竟然和它的天敌波斯猫嘴对嘴蜷缩在沙发上。 ​​​

90 :宠物咬伤怎么办首先应该立即、就地、彻底冲洗伤口。可先将伤口挤压出血，并用浓肥皂水反复冲洗伤口，再用大量清水冲洗，擦干后用5%碘酒烧灼伤口，以清除或杀灭污染伤口的狂犬病毒，冲洗伤口半小时后要到医院寻求医生帮助，其次眷注射狂犬疫苗。 ​​​

91 :排毒人体内部具有一定清除自身“毒素”净化血液的能力，当废物不能有效排出，就会对降带来不利影响。介绍一款排毒的柴胡疏肝粥给大家！做法： 柴胡、白芍、香附子、枳壳、川芎、甘草、麦芽各10克，粳米100克，白糖适量。将上七味药煎取浓汁，去渣，粳米淘净与药汁同煮成粥，加入白糖稍煮即可。 ​​​

92 :示范搭配：白衬衫+白色阔腿裤+棕色高跟凉鞋。 ​​​

93 :【火山地质公园】鳄鱼山公园又称“火山地质公园”，位于涠洲岛的西南边，鳄鱼山的脚下。公园因壮观的火山熔岩被国家旅游局评为国家4A级旅游景区，是观赏海景与火山岩石最佳的理想去处。 ​​​

94 :【新疆伊犁新源县萨哈景区】新疆伊犁新源县萨哈景区属于原生态自然景观，地形为三山夹两谷，景区内分布着原始遗留下来云杉、沙棘、小白腊、野杏等乔木、灌木，还有野生、药用植物如贝母、野麻、甘草、党参、雪莲等；山区草木茂盛，生活有野猪、狼、野兔、野鸡、野鸽子、天山雪鸡、旱獭等50余种动物。 ​​​

95 :男孩爱飙车，但却为了女孩的一句担心而离开赛车场。那天是女孩的生日，男孩为了买求婚戒指而参加了地下玩命赛车，女孩得知他还去飙车便离开了他。次日，医院里一个因地下赛车而重伤离世的男生被推出手术室，男孩手里紧紧握着一枚钻戒，嘴角始终挂着笑意…… ​​​

96 :对宝宝百依百顺的不良后果1.会使宝宝脾气急躁，缺乏耐心，坚持性差。2.长大以后，做事常有始无终，可能会尝到不少失败的苦头。3.对宝宝来说，他以后也不会懂得体谅别人的感受，变成自私冷漠的人。4.宝宝会变得任性不可理喻。5.学会用任性苦恼来要挟。 ​​​

97 :意大利诺拉镇每年都会举行La Festa dei Gigli，也称为百合花节，是为了纪念公元410年力挽狂澜挽救百姓免于西哥特人入侵的圣保林主教。节日当天，当地男人肩抬沉重的木制方尖碑在街道上游行，他们的肩膀上也因此留下了巨大的皮肤老茧。 ​​​

98 :自行升空的圣石印度希沃布里村一座庙前的2块各重90公斤的圣石，只有人们用右手的食指放在圣石底部，异口同声不停顿地喊着“库马尔-阿利-达尔维-奇-奇-奇",石头就会像活人般从地上弹起悬升到约2米的高度.直到喊得上气不接下气时,才会落回到地上.这是悬而未解之谜。 ​​​

99 :瑞士巴塞尔动物园，一个黄白相间“煎鸡蛋”凫在水面上，引得观者口水直流。不能吃啊！公园管理员大喊，原来这不是煎鸡蛋，而是一个刚刚出生不久的小小“煎鸡蛋水母”，它的模样跟煎鸡蛋一模一样，外圈是半透明的乳白色圆环肉体，中心是橙黄的球形内脏，通常栖息在地中海海域。 ​​​

100 :Don't cry because it is over, smile because it happened. ——不要因为结束而哭泣，微笑吧，为你的曾经拥有。 ​​​

101 :及时做好防护措施如果羊水破裂了，在医生检查之后，不要去洗澡，也不要做盆腔检查，这些会导致羊水破裂更加严重。另外还要注意及时测体温，以免感染。如果发现自己阴 道内出现绿色或者是棕色物质，那么便是孩子胎粪，这时候需要联系医生，让医生检查孩子是否有问题，以免孩子受压，或是遭受危险。 ​​​

102 :瓜麦片面膜材料：新鲜丝瓜半条(去皮)、麦片2勺(超市有售)。方法：将丝瓜搅成泥状，加入麦片，涂与面上约15~20分钟，再用温水洗净便可。功效：丝瓜还多种维他命，长期使用能有效漂白皮肤改善痘印，释放肌肤紧绷，消除细纹。 ​​​

103 :别让自己心太累，应该学着想开，看淡，学着不强求，学着深藏，适时放松自己，寻找宣泄，给疲惫的心灵解解压。人之所以会烦恼，就是记性太好。该记的不该记的都会留在记忆里，而我们又时常记住了应该忘掉的事情，忘掉了应该记住的事情。人之所以活着累，就是想的要的太多了…… ​​​

104 :20岁的男友发誓成为科学家，研制出一种让人相信爱情的药。因为我不相信爱情不爱他，就算成为他的人，就算他说出愿为我舍弃一切的承诺。五年后，男友突然激动的出现，一颗红色药丸递给我吞下。我相信爱情了，可我爱上了别的男人，他万念俱灰，缘何？我说，可能我是你爱情裏的毒药吧。 ​​​

105 :宝宝缺钙信号如果宝宝出现以下表现，爸爸妈妈要注意判断宝宝是否缺钙：1. 厌食偏食：宝宝缺钙会导致食欲不振；2. 精神烦躁：宝宝缺钙时会变得乱发脾气；3. 睡眠质量差：缺钙的宝宝在晚上会哭闹不止、多汗，或不明原因地惊醒； 4. 前额高突：前额高突甚至成正方形颅的宝宝，是缺钙的显著特征。 ​​​

106 :据美国《时代》周刊报道，英国19岁男孩丹尼·鲍曼疯狂沉迷于自拍，曾为了拍一张“完美”的自拍照而每天花去10个小时。鲍曼15岁的时候迷上自拍，后来对自拍越来越痴迷，不得不因此退学。自拍成狂让鲍曼过度服用药物，试图以此自杀，幸好被他的母亲发现，在家中休养了半年。 ​​​

107 :谁让你舔的？不乖，打你！ ​​​

108 :位于英国伯克郡泰晤士河一座连接市区的桥墩上惊见一个长方形“红色框框”，仔细一看竟然是个邮筒，这是一名邮差所发现，随后他通报当地邮局。 ​​​

109 :据英国《每日纪事报》9月16日报道，已经81岁高龄的奥地利建筑大亨理查德·鲁格纳(Richard Lugner)日前第五次走上婚姻殿堂，迎娶比他小57岁的24岁新娘、《花花公子》女模凯茜·施密茨（Cathy Schmitz）。 ​​​

110 :气场女王必修课1.不再盲目跟风；2.不再犹豫不定；3.合理安排时间；4.开始关注新闻国事；5.开始养生；6.在爱情、友情、亲情之间，首先想到亲情；7.不再用哭闹来解决问题；8.重视身边的朋友；9.让周围的人快乐；10.在得失方面变得大度；11.学着尊重每个人；12.自信地生活；13.淡忘仇恨。 ​​​

111 :书房左侧墙面安装白色的悬吊式收纳架，沿墙设计的书桌节省出更多的空间作为休闲阅读的场所。 ​​​

112 :为人父母应警惕的6大错误1、过度照顾；2、说教太多、身教太少；3、只关心学业，忽视其他生活能力；4、完美主义； 5、害怕孩子输在起跑线上； 6、负面的言语太多。 ​​​

113 :Nm23IHhp5Q__.htm ​​​

114 :#应用广场签到# ​​​

115 :他像高空翱翔的风筝，终究回到她手里。顶尖杀手为爱人从此退隐。这天他们重游旧地放起风筝。忽地心脏一阵剧痛，他看见仇家持枪离去。她不知情，放着手中的线。他轻问：我还有最后一次任务，你能像从前那样好好活着等我吗？她点头。线断了。她问：风筝飞走了吗？她漆黑的世界只剩寂静。 ​​​

116 :同学聚会，他喝了很多酒，和他家最近的她负责送他回家。在车上，他头伏在她肩上，半睡半醒醉醺醺地对她说：“我喜欢你，我们在一起吧。她轻轻拍着他的背无奈呢喃：”为什么这时候你不是清醒的呢？你要是清醒着，让我听到这句话该多好。他突然坐起来清醒的盯着她，满眼笑意：”此话当真？" ​​​

117 :#董波的微博业务真好#[lt切克闹] ​​​

118 :【积极的去沟通】人生活在一个社会群体中，人际关系是你和社会交往的一个纽带，人际关系并不是去凭空建立起来的，沟通在其中起了非常重要的作用? ​​​

119 :庞贝城是意大利半岛一座历史悠久的古城，距维苏威火山仅有10千米。公元前7世纪，它已是一座人口稠密丶商旅云集的小城。公元初年，着名的地理学家斯特拉波判断这是一座死火山。庞贝人对此深信不疑，公元79年维苏威火山突然爆发了。庞贝遭遇了毁城之劫，居民全部遇难。 ​​​

120 :女人——最骄傲的不是拥有过多少个男人。而是她的男人，愿意为她拒绝多少女人。男人——最骄傲的不是睡过多少女人。而是能有一个女人，值得自己为她拒绝其他女人 。 ​​​

121 :在第一次选择坚强的时候，一定要想清楚：你是否做好了承受一切的准备。因为一旦你选择了坚强，即使只是假装的，你也必须一直坚持下去。因为你曾经的坚强会让人以为即使再大的苦，你也撑得住。 ​​​

