_冯小姐焙 女/海外         加关注
45 :嘴角上扬30℃。你会笑起来，信不信，试试看。 ​​​

46 :赠人以言，重于珠玉，伤人以言，重于剑戟。 ​​​

47 :老娘以后要是混的好了，我他妈第一个炸了学校 ​​​

48 :有回头的余地 ​​​

49 :拍大腿吓老虎——一点没用 ​​​

50 :只有一枝梧叶，不知多少秋声。 ​​​

51 :可惜我在梦内遗失了水晶鞋，让前来相认的王子失去了唯一的重要线索。 ​​​

52 :八个钱的膏药——沾上了 ​​​

53 :喇叭断了线——不想（响） ​​​

54 :你的影子，占据了我每一个记忆。你能理解我的痴心吗？ ​​​

55 :忍耐是快乐之门。 ​​​

56 :我想,当年掉在牛顿老师面前的应该是个烂苹果,不然他绝对没心思想别的 ​​​

57 :地图大家并不陌生，可是你见过不锈钢制成的掌上袖珍地铁图吗？这款印有北京/香港地铁图不锈钢材质的地图跟普通磁卡一般大小，正面是地铁图，背面完全光洁的金属材质还可作为小镜子使用，平时跟磁卡一样放在钱包里非常方便实用。 ​​​

58 :别人家得猫，一点都不怕水。 ​​​

59 :每逢佳节倍思亲，浓情密意无比厚 ​​​

60 :不经意间与你邂逅，我尘封已久的心隐隐悸动。愿意接受我这份爱意么？有情之人，天天是节。一句寒暖，一线相喧；一句叮咛，一笺相传；一份相思，一心相盼；一份爱意，一生相恋。 ​​​

61 :【职业发展的4个幸运】1，第一份工作遇到某一行业的标杆公司，建立了自己的专业框架；2、遇到一个高水平的领导，让你尝试同时还培养你；3、遇到一批拥有梦想的同事，每天都有新的想法并且为之行动；4、工作外结识了一批志同道合的朋友，建立高质量的人脉。 ​​​

62 :未来有多少人存在有种幸福我天生孤单等不来。 ​​​

63 :【美白祛斑窍门】柠檬祛斑法将新鲜的柠檬洗净切成片，将其研碎，加入硼砂末、白砂糖，搅拌后放入玻璃瓶中密封，隔3天后将其取出，每天早晚从中取出一小勺，冲泡温水饮用，坚持喝一点时间就能让脸上的雀斑减退和消除，无斑的女生服用能够让肌肤红润娇嫩。 ​​​

64 :梅個人最後都主定只剩下咱己，哪敢祈球誰的不離棄。 ​​​

65 :缘分这东西就是定数，来无形去无影。有缘就且珍惜，无缘莫停留。不强求是境界，慈悲是修为。 ​​​

66 :只要你的内心还存有微光，只要你始终明白自己有多珍贵，你就是上帝最完美的杰作。 ​​​

67 :想你，是因为不想你成为生命的过客。 ​​​

68 :要是山羊拉车，兔子耕地，不要稀奇；要是猫儿请客，老鼠赴宴，不要稀奇；因为这是发给小狗的短信息 ​​​

69 :【心理提醒】人有两只眼睛，全是平行的，所以应当平等看人；人的两只耳朵是分在两边的，所以不可偏听一面之词；人虽只有一颗心，然而有左右两个心房，所以做事不但要为自己想，也要为别人想。 ​​​

70 :这世界什么都可以是假的，但是我唯一不能容忍的是我手上的钱是假的。。。 ​​​

