阿司匹林zllu_gaj 男/安徽         加关注
35 :喜事过后敲皮鼓——马后炮 ​​​

36 :当生活像一首歌那样轻快流畅时,笑颜常开乃易事；而在一切事都不妙时仍能微笑的人,是真正的乐观。——威尔科克斯 ​​​

37 :无缘对面不相逢，有缘千里能相会。 ​​​

38 :父子不信，则家道不睦。——武则天 ​​​

39 :其实找对象就像是找一个合作伙伴罢了，跟谈生意一样，是要懂得经营才行得。 ​​​

40 :想送你玫瑰可惜价钱太贵，想给你安慰可我还没学会，想给你下跪可戒指还在保险柜，只能发个短信把你追，希望我们永不吹。 ​​​

41 :善用兵者，屈人之兵，而非战也，拔人之城，而非攻也，毁人之国，而非久也。 ​​​

42 :懒惰象生锈一样，比操劳更能消耗身体；经常用的钥匙，总是亮闪闪的。--富兰克林 ​​​

43 :闺蜜就是，即使不在一起，也会在同样的时候，做着同样的事。 ​​​

44 :其实跟你分开我也能过，只不过没了家。 ​​​

45 :女人，都拥有过最美好的年龄，但有多少女人在虚度，又有多少的女人在迷茫……女人最美好的年龄应该干嘛？最美好的年华，女人首先应该留给自己，用来成长；其次才是男人，用来分享。 ​​​

46 :我不敢挽留任何人我不知道我是什么身份 ​​​

47 :我可以和你笑着讲道理也可以给你一耳光让你知道什么叫规矩 ​​​

48 :你赋予我爱尔兰，我为你倾尽一生。 ​​​

49 :人生能有几回博，此时不博何时博，多留一点汗，少留一滴泪。 ​​​

50 :“儿子/女儿，回家吃饭了。” ​​​

51 :回不来的人为什么还要一次次的苦等 ​​​

52 :芳心向生尽，所得是沾巾。 ​​​

53 :藐视你的妻，等于藐视你自己。 ​​​

54 :【不会有人永遠不对你生气，但有些人永远都会原谅你。】 ​​​

55 :得士者强，失士者亡。 ​​​

56 :猴子吃麻搪——扒拉不开 ​​​

57 :我不敢拿爱情当赌注，我输不起。 ​​​

58 :风前灯易灭，川上月难留。 ​​​

59 :喝最烈的酒，日最野的狗，做最难的卷子，跳最高的楼。 ​​​

60 :既然你想浪的毫无牵挂，那我先走不等你回家。 ​​​

61 :爱是最美的幻想美的如此虚伪。 ​​​

62 :幸福是用来感觉的，而不是用来比较的。生活是用来经营的，而不是用来计较的。感情是用来维系的，而不是用来考验的。爱人是用来疼爱的，而不是用来伤害的。金钱是用来付出的，而不是用来衡量的。谎言是用来击破的，而不是用来粉饰的。 ​​​

63 :分手后不可以做敌人，因为彼此深爱过。如果将来的某一天，你说你要离开我，我不会留你，我知道你有你的理由。如果将来的某一天，你说其实你还爱着我，我会告诉你，我还在等你。 ​​​

64 :你的笑，依旧那么美。 ​​​

65 :把痛苦停在昨天，把微笑留给明天。 ​​​

66 :日光给你镀上成熟，月华增添你的妩媚，在你生日这一天，愿朋友的祝福汇成你快乐的源泉，一起涌向你…… ​​​

67 :我爱你爱到心以麻木，连哭都不想哭的时候，你已从我的心里消失。 ​​​

68 :懦弱够了就做自己的英雄吧. ​​​

69 :两只喵腿神同步~~ ​​​

70 :抬起头，对天空露出笑容，不再关心你的所有。 ​​​

71 :好笑吗?身边没你,好怪,陪我一生一世好吗? ​​​

72 :水瓶座11月9日周二：心思细密讲求完美，认真负责的态度让你还是能争取到超越别人的机会。只要准备的资料充分、步骤细致，不论提出的先後顺序如何，最後赢得青睐的还是做好准备的人。也是对目前执行中的企划再检讨的日子，或许盲点就此发现而能及早补救呢。幸运颜色草绿色幸运数字9 速配星座射手座 ​​​

73 :我还是一如既往的一直以我的高姿态活下去‰ ​​​

74 :攀登顶峰，这种奋斗的本身就足以充实人的心。人们必须相信，垒山不止就是幸福。 ​​​

75 :右手中指因为写作业变形的露个面吧我心疼你 ​​​

76 :愿这一年我可以沉迷于学习无法自拔。 ​​​

77 :从明天起做个幸福的人，预习，复习，做课后题。我有一个梦想，面朝期末，科科全过。 ​​​

78 :或许多年以后你笑着听别人谈起我时,会淡淡的说一句:不认识 ​​​

79 :水者火之备，法者止奸之禁也。 ​​​

80 :我们根本就不合适，开始就是一个错误 ​​​

81 :狗逼笑笑不说话。 ​​​

82 :【天津妞犀利吐槽来自星星的你】天津妞犀利吐槽《来自星星的你》！韩剧，在很多人印象中就是烂俗的代名词，除了绝症、车祸、兄妹相恋就是无尽的沙郎嗨。看韩剧，有多少妹纸流着泪默默弹枪，嫁不出去阴阳怪气并且节操碎一地，韩剧就是女人的A片，还有每个月的心灵姨妈巾！ ​​​

83 :最近的距离和最远的距离！ ​​​

84 :【猎兵Venator】本作是一款玩法内容丰富的 MMORPG 类游戏，除了一些基本的 RPG 元素如 PVE、养成、副本等，还添加许多其他类型游戏的特点，如卡牌、经营、PVP等，另外在画面上也是一贯的韩国游戏品质，尤其在细腻程度上更是令人称赞，钟摆、砖瓦、立柱等都绘制的一丝不苟。 ​​​

85 :厨房里的各式刀具如果摆放不当很容易发生意外事故。这款安全刀架采用了锁式结构，每把刀具对应一个刀孔。放置刀具时您只需顺时针旋转刀柄90度，刀具就会被锁死，不会滑落出来。这款刀架还配有消毒系统，当刀具安全锁死后，刀孔周围的LED灯会亮起，提示消毒过程开始。 ​​​

86 :最近的压力很大，就去看心理医生，医生教我盘腿坐好，闭上眼睛，放松心情，深呼吸，想想开心的事，结果我硬了，硬了。 ​​​

87 :派大星：“海绵宝宝，你猜我手里有几颗糖，猜对了我就把手里的两颗糖都给你！” 海绵宝宝想了想，说：“我猜五颗。” 然后，派大星把两颗糖给了海绵宝宝，说：“我还欠你三颗，下次再给你。” ​​​

88 :一中年男性 感觉肠胃不适，去医院就医。问医生：“最近肠胃消化不好，总是吃什么拉什么，一点也消化不了！我该怎么办？” 医生想了一会儿说：“那你回家吃屎。” ​​​

89 :厨子随船遇上海难，醒来的时候，已被带到了夜叉国，那里的人青面獠牙、茹毛饮血，厨子看着他们活剥了一只麋鹿，还有几个夜叉正向他走来也要吃他，于是他急中生智，为他们用火烹制了一顿美味，夜叉们吃到熟肉后很是喜欢，竟围着火堆跳起了舞来，当晚，几个夜叉也模仿厨子那样，将厨子烹食了。 ​​​

90 :【核桃玉米奶】1.玉米粒加一杯核桃放豆浆机，加水至水位线，按玉米汁键，打成玉米汁；2.过滤，往玉米汁里注入牛奶，加核桃碎即成。超级有营养的一款早餐奶！而且做法简单不浪费时间。 ​​​

91 :编辑点评：卫浴虽小，但分区清晰。洗浴间、洗手台、马桶，整个卫浴给人以井然有序之感。 ​​​

