相思_M 男/天津         加关注
34 :我的生活融入了你，你的生活中也蕴涵着我;当我们再次相见的时刻，你我仍然是一个整体。 ​​​

35 :被爱是很幸福的，但我愿你幸福一生 ​​​

36 :谦过美名，过谦者，宣防其诈。默为懿行，过默者，宜防其奸。 ​​​

37 :你是我的心,你是我的肝,你是我心中的四分之三. ​​​

38 :人是铁，范儿是刚，一天不装憋得慌。 ​​​

39 :当挂上两盏像盛开了的“花”灯，通上电，厨房就顿时变得流光溢彩，充满情调。 ​​​

40 :一个人的尊严并非获得荣誉时，而在于本身真正值得这荣誉。 ​​​

41 :窃贼上房——偷梁换柱 ​​​

42 :爱人一个，知己俩三，我过得不错，忙碌中还有感动。 ​​​

43 :在累在困也会因你一句话而忘掉苦闷这就是你在我心里的位置 ​​​

44 :灵感，不过是"顽强地劳动而获得的奖赏"。(列宾)　 ​​​

45 :感谢你赠我一场空欢喜，我们有过的美好回忆，让泪水染得模糊不清了。偶尔想起，记忆犹新，就像当初，我爱你，没有什么目的，只是爱你。。 ​​​

46 :全身白真的很吸眼，而且很显气质! ​​​

47 :我們的曾經擦肩而過，而你沒有認齣我。 ​​​

48 :菜刀切藕——片片有眼 ​​​

49 :别总是拿过去来折磨现在的自己 ​​​

50 :想念的心，装满的都是你。最痛的纪念品、是你给我的感情。 ​​​

51 :老水牛拉马车——不合套 ​​​

52 :能穿越时空的话，我一定要在牛顿家门口种一片榴莲树。 ​​​

53 :#晚安#在岁月里泰然自若，光阴从不厚此薄彼，浮光掠影，载着深情如许，只怕有情无情已难舍难分。当满怀激情雀跃枝头，欢喜着展露俏姿时，风拂过，吹透了那些饱涨的情绪，失落中随风飘散。 ​​​

54 :不乱于心，不困于情，不畏将来，不念过往。 ​​​

55 :心简单，世界就简单，幸福才会生长 ​​​

56 :两口子打架——不劝自了 ​​​

57 :世界会向那些有目标和远见的人让路 ​​​

58 :一般的衣柜尽管里面分层，外面上看也是一体的，而这里，将衣柜分成上下两端，中间留出空间可以收纳一些常用的小物件。 ​​​

59 :左手握住右手，不安；右手握住左手，取暖；左手握住右手，友情；右手握住左手，爱情本以为当我离开以后可以不带走一片云彩，却还是发现在绝望时侯，自己手中仍旧紧紧抓着云彩的尾巴。 ​​​

60 :好想从现在开始抱著你，紧紧的抱著你，一直走到上帝面前... ​​​

61 :我吵我闹我任性是因为我在乎 ​​​

62 :徐悲鸿的马——中看不中用 ​​​

63 :尔爱其羊，我爱其礼。 ​​​

64 :我跟她只是玩玩、我跟她之间只有性没有爱。（他敢说，你敢听吗？） ​​​

65 :不要忘掉别人生气时对你说的话，因为那才是你在别人心里的样子 ​​​

66 :我相信过，如果怀着愉快的心情谈起悲伤的事情，悲伤就会烟消云散。——高尔在《初恋》 ​​​

67 :一直希望得到很多爱。如果没有爱，很多钱也是好的。如果两者都没有，我还有健康。 ​​​

68 :你弱的时候坏人最多 ​​​

69 :以前习惯了右手边有你的温度，现在的自己只能双手合一默默祈祷你会很好。 ​​​

70 :他说爱你又没说只爱你 ​​​

71 :我想要牵手就能结婚的感情是不是有点傻阿 ​​​

72 :冰坂上的驴子——四脚朝天 ​​​

73 :把活着的每一天看作生命的最后一天。 ​​​

74 :天长地久有多久?永远到底有多远。 ​​​

75 :画虎不成反类犬——弄巧成拙 ​​​

76 :学历是铜牌，能力好银牌，人脉是金牌，思维是王牌 ​​​

77 :木偶进棺材——死不瞑目 ​​​

78 :当你凯旋归来，我们并肩看天地浩大。 ​​​

79 :偶然颠踬在道理上面的，并不是有理智的人；只有从知识，从洞察，从明辨提出道理的人，才是有理智的人。 ​​​

80 :生命如铁钻，愈被敲打，愈能发出火花。 ​​​

81 :血染江山的画，怎敌你眉间一点朱砂。覆了天下也罢，始终不过一场繁华。 ​​​

82 :子以四教：文、行、忠、信。 ​​​

83 :回忆往日，从中得乐，等于活了两次人生 ​​​

84 :我想拥有一个太阳只为我发光。 ​​​

85 :你不要把那人当作朋友，假如他在你幸运时表示好感。只有那样的人才算朋友，假如他能解救你的危难。 ​​​

86 :随缘时，梵心静如夜空；星光下，我准确无误地匿名；爱我的人却从我的掌纹上不停地失踪。风尘中的侠女依然夜夜叫阵，人们去远方只是为了紧紧地搂住自己。 ​​​

87 :烤炉火吹电扇——冷热结合 ​​​

88 :每天没心没肺的笑着，笑容里带着淡淡的忧伤却没有人懂得。 ​​​

89 :你如果要做一个艺术家，你要牢记：必须开拓你的胸襟，务使心如明镜，能够照见一切事物，一切色彩！ ​​​

90 :劳动是社会中每个人不可避免的义务。 ​​​

91 :我好懒，懒得连自己心里的人都懒得换。 ​​​

92 :所有的爱情都离不开“了解”对方。一见钟情然后相恋，固然没有浪费时间。但是，两个人的相处和了解则是需要时间的。也许很多人会因为了解而分开。因为“我了解”而说“我爱你”则理智很多，也安全很多。 ​​​

93 :伤感的由来很莫名。生活里，不是因为不快乐，才伤感，也不是因为不幸福，才伤感。只是，一曲伤感的音乐，一段伤感的文字，一个伤感的画面，一组感人的镜头，就会有淡淡莫名伤感，悄悄袭来。 ​​​

94 :留过长发剪过短发交过烂人爱过畜生 ​​​

95 :海龙王找女婿——汤里来，水里去；水里来，汤里 ​​​

96 :最幸福的时刻，就是找对了人，他纵容你的习惯，并爱着你的一切。 ​​​

97 :我也不过是这座城市中病怏怏的路人甲 ​​​

98 :书籍是我的老师。 ​​​

99 :其实你是活给自己看的，没有多少人能够把你留在心上。 ​​​

100 :鲁班的儿子学木匠——不用拜师 ​​​

101 :“反正人和人呐都是在改变中告别的我不遗憾但更期待圆满” ​​​

102 :你会因为一首歌喜欢上一个人，因为一个人喜欢一个城市，因为一个城市喜欢上一种生活，然后成为一首歌，想念某个人。 ​​​

103 :▲-怎么我一走,你们就在我背后议论我叫啥,我说你就直接问我就好了 ​​​

104 :她忧伤而美丽的面容，是我一辈子都读不厌倦的诗。 ​​​

105 :我生命的生命， ​​​

106 :我这鸿鸪，岂知你燕雀之志哉。 ​​​

107 :人不可以不就师矣。 ​​​

108 :叶子的离开，是因为风的追求还是树的不挽留？　 ​​​

109 :即便世界背了向我还陪你坐看春花秋月 ​​​

110 :天和地分的那么远，但是它们还是永远在一起。因为它们的心永远在一起。 ​​​

111 :唉，可惜这儿没有女孩，否则我早就冲出去当护花使者了！ ​​​

112 :苦吗累吗心还痛吗 ​​​

113 :青春如同奔流的江河一去不回来不及告别 ​​​

114 :我已经很幸福了，因为见到了如此深爱的你。 ​​​

115 :如果再勇敢一点 ​​​

116 :愚者的心在嘴里，智者的心在胸腔里。 ​​​

117 :所有的不习惯都会变成习惯，我总是这样提醒自己。 ​​​

118 :等你去厕所没纸的时候我就拿着纸站在厕所门口问你爱不爱我 ​​​

119 :男人喝酒就管不住自己的下半身…… ​​​

