M_K5 男/西藏         加关注
28 :打倒你个冒牌货！让你吓唬我兄弟！ ​​​

29 :汪汪~~这是俺儿子么？怎么光会点头啊？ ​​​

30 :曾经那个告诉他兄弟说想要和我在一起的少年他变了。 ​​​

31 :要么爱我，要么各走各路。永远也不要指望那个男人会为你浪子回头。每一个爱着的女人都是可爱的，男人会因为可爱而爱你，但不会因为你可爱而改变自己，你也要保持自己个性。 ​​​

32 :大概是周围的人都在拒绝孤独可你还要拼命往里钻才显得有些难堪 ​​​

33 :当这世界在受灾，请跟我继续，相拥去证实我们仍存在，我愿录下你面目动作记载你的爱。 ​​​

34 :我们会在一起久久对不对？ ​​​

35 :“耿耿於上次太绝情，残留全是冷漠布景，纠结故事极难忘，难忘爱你但我没承认，都只因上次太忘形，谁人才重要未看清?”---容祖儿电视剧《OnCall36小时Ⅱ》主题曲《续集》。 ​​​

36 :征服畏惧、建立自信的最快最确实的方法，就是去做你害怕的事，直到你获得成功的经验。 ​​​

37 :尊前拟[威武]把归期说，未语春容先惨咽。 ​​​

38 :尘世是复杂的，特别是在生存激烈的今天，为了生存，人们往往疲于奔命，由此暗淡了笑容。其实我们大可不必如此，我们要坦诚地对待生活，绽放笑[右哼哼]颜，更会成就事业，成就自己，取得更骄人的成绩。 ​​​

39 :小牛撅尾巴——来劲[衰]了；上劲 ​​​

40 :如果你不给自己烦恼，别人[ok]也永远不可能给你烦恼。因为你自己的内心，你放不下。 ​​​

41 :你说你是凤凰，我说你是乌鸦；你说你是玫瑰花，我说你是癩[哆啦A梦花心]蛤蟆；你说你是活泼的小鹿，我说你是淘气的小猪！ ​​​

42 :天才不是[生病]别的，而是辛劳和勤奋。——比丰 ​​​

43 :总是在失[喵喵]去中埋怨自己的不珍惜 ​​​

44 :世纪很危险，快回到你的[嘘]侏罗纪去吧 ​​​

45 :时间能[神马]使隐匿的东西显露，也能使灿烂夺目的东西黯慧无光。 ​​​

46 :我们勾勾手指，要好[抓狂]好保护专属于我们的独家回忆。 ​​​

47 :养花的把[悲伤]式——好色之徒 ​​​

48 :你若[弱]属于我，那就只属于我一个人，我不喜欢和别人分享。 ​​​

49 :昨夜发贴过度，招来砖[害羞]块无数，惹祸惹祸，带来伤痕无数。 ​​​

50 :何必向不[怒骂]值得的人证明什么 ​​​

51 :55.看到[草泥马]你的脸，就觉得你爸妈在制造你的时候没认真！ ​​​

52 :他在一个晚上喝的烂醉，连走路都一摇一晃，路人都躲他远远地，他走向一片坟场[太开心]跪倒在她的墓前说他又想她了 ​​​

53 :我虽然没有让人值得羡慕的爱情，但是我有让我值[可怜]得自豪的友情。 ​​​

54 :.昨晚做[可爱]梦遇上帝，上帝对我说你是属于我的. ​​​

55 :是我没有自信，没自信能拥有你给的[吃惊]幸福未来。 ​​​

56 :“怎么形容一个女[围观]的漂亮？”“把你搁古代，你可以撑起一个青楼！. ​​​

57 :有天若能有幸与你到老，想要用我的拐杖敲敲你的拐杖，看着你傻笑，你[草泥马]笑我还像个小孩。 ​​​

58 :人生最快乐的事情，就是我可以做别人做不到的事情[抱抱]，比如我可以发短信骂你，而你却不知道我是谁，哈哈哈! ​​​

59 :书籍是这样的教师[弱]，他不施展鞭挞的威吓，不用怒言或恶语，不受束脩的供养。 ​​​

60 :百里奚（春秋时虞国大夫，后为秦国左[囧]相〕认妻——位高不忘旧情 ​​​

61 :想送你玫瑰可惜价钱太贵，想给你安慰可我还没学会，想给你下跪可戒指还在保险柜，只能发[亲亲]个短信把你追，希望我们永不吹。 ​​​

62 :节日短信月亮圆，月饼圆，团团圆圆人团圆；家人圆，幸福圆，快快乐乐合家圆；爱情圆，[蛋糕]事业圆，顺顺利利好梦圆；今日圆，明日圆，岁岁年年总团圆。中秋到，恭祝节日快乐，合家幸福，事事圆圆满满！ ​​​

63 :歪嘴婆[浮云]娘吹火——风气不正 ​​​

64 :祝甜蜜伴你走过一年中的每一天，温馨随你度过一天中的每一时，平安同你走[去旅行]过一时中的每一分，快乐陪你度过一分中的每一秒 ​​​

65 :吃了一筐烂杏——心[浮云]酸得很 ​​​

66 :有人说，知道自己要什么很重要，但我们到底要什么，是会随着时间之流而改变的，所以不如顺着[抓狂]时间之流走吧。一切都有最好的安排。 ​​​

67 :爱，绝不是缺了就找，更不是累了就换；找一个能一起吃苦的，而不是一起享受的；找一个能一起承担的，而不是一起逃避的；找一个能对你负责的，而不是对爱情负责的。爱情是盲目的，[哆啦A梦花心]生活是现实的。 ​​​

68 :犹豫久了，勇[囧]气会消失。 ​​​

69 :越被质疑的梦想[哈哈]就越有实现的价值 ​​​

70 :夏洛梦醒了还有马冬梅[哆啦A梦微笑]可是我醒了却什么也没有了 ​​​

71 :越工作越能工作，越忙碌越能[舔屏]造出闲暇。 ​​​

72 :我们都是忙忙碌碌的戏子，不全心投[衰]入，便无法落幕。 ​​​

73 :好想知道，有沒[困]有那麼一秒你也害怕過失去我。 ​​​

74 :决定放弃了的事，[哆啦A梦花心]就请放弃得干干净净。那些决定再也不见面的人，就真的不要见面了。请不要让我再做背叛自己的事了。如果要爱别人，就请先好好爱自己。 ​​​

75 :一个人失[爱你]败的原因，在于本身性格的缺点，与环境无关。 ​​​

76 :今个周末不如自己[左哼哼]揸车去玩咯? ​​​

77 :他生莫作有情痴，人间无地着[酷]相思。－况周颐《减字浣溪沙》 ​​​

78 :也许你我终将行踪不明[蛋糕]，但你应该知道我曾因你而动情。 ​​​

79 :谁都很难珍惜一个自己知道永远会属于自己的东西。男人的情感也逃不开[浮云]这个规律，他希望能够拥有一个自己可以感知，但是对于他是可能会失去的情感，这样可以调动他最大的热情和动力，更能够积极一些，选择生活的时候也会更慎重。 ​​​

80 :瞎子背[话筒]瞎子——忙（盲）上加忙（盲） ​​​

81 :现在选择背道而驰当初为什么要选择在[睡]一起。 ​​​

82 :愿你有足够多的欢乐让你觉得甜蜜，有足够多的尝试让你坚强，有足够多的悲伤让你更有人性，有[蜡烛]足够多的希望让你快乐，并且有足够多的财富让你买给我礼物。 ​​​

83 :在爱的世界里，没有谁对不起谁[太开心]，只有谁不懂得珍惜谁！ ​​​

84 :扎头发可以[doge]扎到发脾气姑娘出来我瞅瞅 ​​​

85 :天生傲骨怎能服输，称霸武林，唯我[doge]独尊。 ​​​

86 :一个当兵的朋友说的：训练逮到一老鼠，浇点汽油就给丫点了！丫估计是疼了，挣脱了就跑，丫居然冲向导弹库……幸好没有坚持到底，半路就烧死[伤心]了，吓死我了…… ​​​

87 :争吵本身没有错误，其实这些点滴，是你们在了解对方，试探[太开心]对方底限的一个过程，每个人都会在与人相处中，不自觉地去争取那个有利的位置，争取控制权，这也无可厚非。而且，每段亲密的关系，共同生活，也都是两个人不断磨合，妥协的结果。 ​​​

88 :女生只有在自己喜欢的男生面前可以变成女生[哼]，其他时候必须像一个爷们去奋斗。 ​​​

89 :帮凶:对一部小说的争执、评论或掌声及起[污]哄。 ​​​

90 :麻秆搭桥——难[左哼哼]过；担当不起 ​​​

91 :脚跟立定[蜡烛]后，你必须拿你自己的力量和技能奋斗。 ​​​

92 :所谓的人[浮云]生就是心再疼也要爬起来面带微笑的走 ​​​

93 :假如没有内在的美，任何[去旅行]外貌的美都是不完备的。 ​​​

94 :如果这就是爱情，那[抓狂]么请你继续深爱 ​​​

95 :能用度外人，然后能周[抱抱]大事。 ​​​

96 :世界上[蛋糕]最遥远的距离，是你在澳洲家里，而我在家里熬粥。 ​​​

97 :“我喜欢你啊。。。”她扑进他的怀里，大声说道。他有些愣然，随后用力抱紧她。“我也是。”世界上最美妙的事是[挖鼻]，当你拥抱一个你爱的人，他竟然把你抱的更紧。 ​​​

98 :强大一些，要相信你自己。坚定一[蛋糕]些，要相信自己的感觉。 ​​​

99 :我知道你心灵孤寂，因为很少有人懂你的心，知晓你的情意，只有我能给你情[哆啦A梦微笑]感美妙的乐曲声，袅袅于你的生活，鼓起你舒畅的风趣，掬一抹笑容，彼此会意，夜夜欣慰。 ​​​

100 :蚂蚁的嘴——吃[赞]里爬外 ​​​

101 :我深信，会有一个男人是[可怜]为我的折磨而来到这世上的。 ​​​

102 :恋爱中，女人要做“37℃女人”，不要太冷，否则爱也没了温度；不要太煲，否则爱也被烫得窒息。女人，随时随地，要掌握一支“爱情温度计”，20%的爱留给自己，用八成熟度[挖鼻]，谈一场一百分的恋爱。 ​​​

103 :真正的原谅，不是删除记忆，而是可以去接纳那些＂曾经＂安稳地生活在你的记忆里。感情中真正的＂放下＂，不是多年后你可以微笑着去说一句＂没关系＂，而是曾经的那些＂对不[衰]起＂，早已轻得让你终于想不起。 ​​​

104 :猪油倒进水缸里——昏[哈欠]（荤）啦 ​​​

105 :有些人[ok]很幸运，手一牵，就一起走过了百年。 ​​​

106 :死水上的破船一沉默[黑线]（没）了 ​​​

107 :一个人最幸福的时刻，就是找对了人，他纵容你的习惯，并爱着你的[哈欠]一切。 ​​​

108 :兄弟和闺蜜的区别，出了事，兄弟会说，[笑cry]还没死吧；闺蜜会说，宝贝，没事吧。 ​​​

109 :就着美酒，让我们共同分享这块吃了几千年的月[泪]亮吧！ ​​​

110 :神給的禮物是遺忘[心]，能不能不要遺忘 ​​​

111 :人生最大的贵[摊手]人，永远是--自己。 ​​​

112 :好希望陪着你一[泪]直到老，让你做我手心里的宝。 ​​​

113 :最是[亲亲]无声地记忆总要输给流年，想不到竟也有回还的余地，可是两相面对时怎么闭口无语，原来爱情会输给时间。 ​​​

114 :爱好由来落笔难，一诗千改始心安。阿婆还是初笄[互粉]女，头未梳成不许看。 ​​​

115 :面对困境，悲观的人因为往往只[挖鼻]看到事情消极一面。 ​​​

116 :我名字不好听长的不好[来]看就连笑都不暖心。 ​​​

117 :多想听听你的声音见见你[左哼哼]的人 ​​​

118 :大雪洋洋下，柴米都涨价。板凳当柴烧，吓[伤心]得床儿怕。 ​​​

119 :如果有个同事很烦人又不专业，那就不要做朋友了。保持自己的专业性，专注于你的工作。不要增加自己的办[耶]公室八卦.这样你能够给自己减轻很多压力,还能有效地处理纷争。 ​​​

120 :他微笑着说[馋嘴]：还好吗 ​​​

121 :笨人从不知自己愚蠢的[舔屏]程度，直到他看到另一个笨人模仿他的行为。 ​​​

122 :83.爱情不[哆啦A梦花心]适合天旋地转的摇晃＂ ​​​

123 :没人懂我，[喵喵]没人安慰，没人看懂我泪水。 ​​​

124 :有时候，对别人都不适应的方法，对你确是最合适的。一切顺其自然，专注于过程而少想结果，安于当下[哈欠]，不想过去亦不想未来，把每一个发生都当作一种修炼。 ​​​

125 :除了自己，[神马]任何人都无法给你力量。 ​​​

126 :你不哭的样子很[吃惊]美你笑的样子别人难以触及 ​​​

127 :因为只有你才[困]能使我朝朝暮暮思思念念 ​​​

128 :再好的东西都有失去的一天，再深的记忆也有淡忘的一天，再爱的人，也有远走的一天，再美的梦也有苏醒的一天。------该放[坏笑]弃的决不挽留，该珍惜的决不放手。分手后不可以做朋友，因为彼此伤害过！也不可以做敌人，因为彼此深爱过。 ​​​

129 :【蔓越莓红糖手指饼干】1.黄油室温软化，加红糖和糖粉打匀，分多次倒入蛋液打至蓬松。2.加入过筛[落叶]的低粉拌匀3.加入提前切碎的蔓越莓干拌匀，装裱花袋中4.挤入烤盘，烤箱预热，上管180度，下管200度，中下层，12-15分钟。 ​​​

130 :【香水的到底不该喷哪？】1.腋下：香水喷在腋下和汗水混合，往往会飘出异味。2.饰品：香水中的成分如酒精、香精油会破坏饰品表层，令饰品光泽受影响。3.头发：香水中的酒精会损害发质。4.脖子：这个地方相对更为敏感一些，如果是喷了出现过敏症状，那[害羞]么最好就不要喷了。 ​​​

131 :你不能[握手]拒绝巧克力，就像你不能拒绝爱情。——《浓情巧克力》。 ​​​

132 :评价工作忌对人不对事，当员工做出某种错误或不[微风]恰当的事情时，应避免用评价性标签，如"没能力"、"失信"等，而应当客观陈述发生的事实及自己对该事实的感受。 ​​​

133 :他有很重的起床气，睡觉的时候谁吵他他凶谁。她和他弟一起去[围脖][手套]闹他。他对着他弟吼，滚出去！然后睁开眼看见她，笑着把她扯进怀里。她看着他弟委屈的脸，偷偷的笑。他可以对全世界凶，只对我温柔。 ​​​

134 :匡衡凿壁偷光。西汉时期，有一个特别有学问的人，叫匡衡，匡衡小的时候家境贫寒，为了读书，他凿通了邻居文不识家的墙，借着偷来一缕烛光读书，终于感动了邻居文不识，在大家的帮助下，小匡衡学有所成。在汉元帝的时候，由大司马、车骑将[咖啡]军史高推荐，匡衡被封郎中，迁博士。 ​​​

135 :【纯素香蕉燕麦饼干】1.香蕉碾碎成泥2.香蕉[好爱哦]泥中加入燕麦，混合搅拌好3.用量勺，或者冰淇淋勺子，定量的将燕麦糊分成小份。4.入预热350F/180度的烤箱，中层15-20分钟，烤至表面金黄即可。 ​​​

136 :　生命只有一次，活着就是坚强，活着就是幸福，活着就要活好！好好活着就是珍惜与亲人的每一时相处、与家人的每一刻相守、与朋友的每一次相聚；好好活着就是珍惜一份血浓于水的亲情、一[得意地笑]份肝胆相照的友情、一份依依不舍的恋情；好好活着就是珍惜每一缕温暖的阳光、每一袭淡淡的花香、每一个晴 ​​​ 全文

137 :【早教咖啡】最棒的家庭永远是建立于父母对家庭的责任感之上。对家庭有责任感的第一件事就是：要[熊猫]花时间。专心陪伴家人的时间很重要，你要愿意拨出大量时间才办得到。就像那些采金矿的矿工所说，想要发现黄金，就得花上大把的时间淘金。 ​​​

138 :我偷偷将同桌手机里我的号码改成了爸爸，然后给他发了一条短信：孩子赶快回家，爹中了1000万，还上啥学？爹给你盖个学[得意地笑]校，咱自己当校长！同桌看了撒腿就跑，老师问他干什么去？他答：滚你妈的，老子不念了，明天当校长了。 ​​​

139 :【民间去头屑的小偏方】1.醋：将清水和醋用手搅匀洗头达到很好的去屑效果。2.洋葱去屑：用捣碎工具将洋葱捣烂后用干净纱布包好，用来擦拭按摩头皮。3.啤酒去屑：在清水中加入适量的啤酒，混合均匀，用啤酒水来洗头；4.姜水洗头：将新鲜的生姜切片[喝多了]放在水壶中，用烧好的生姜水来洗头。 ​​​

140 :老公给我买了部手机，在回来的公交车上，我突发奇想的问他：“这让你老婆知道了，你可要吃不了兜着走了吧？”谁知道老公说：“谁叫你不做大房，非要做二房？”这时[嘻嘻]旁边的人斜着眼看我们。我不甘示弱的说：“你不知道做小的受宠啊？” ​​​

141 :【都峤山庆寿岩】目前已建有金佛大字、南山阁、福寿桥与福寿亭、暗河佛源漂流、登山观光缆车、五百罗汉[思考]堂、庆寿岩禅寺、猴山和观猴长廊、双狮迎宾、仙鹤戏龟、莲池、九曲桥、望佛亭、植物园、七星伴月、九龙聚会景观以及云溪寺等众多景点。 ​​​

142 :【养生讲堂】预防餐后低血压可以餐前饮350-480ml，减少植物神经功能不全者血压下降，减少碳水化合物摄入，要少量多餐，餐后取坐位或卧位，不能马上站起活动，避免进餐时饮酒，避免餐前服用[奥特曼]降压药，宜两餐之间服用，如果经过上述措施还不能改善，就需要就医使用药物治疗和干预了。 ​​​

143 :【山蘑烧排骨】1.蘑菇清洗几[ok]遍，清水泡1个小时，泡好的蘑菇，去掉根部备用2.排骨冷水入锅，焯去血沫杂质3.排骨和蘑菇放入高压锅，放入葱姜，干辣椒，桂皮，八角，香叶，冰糖，老抽，生抽，盐，高汤，压熟。4.转炒锅，汤汁收稍浓即可。 ​​​

144 :小猫近日都不想上学了，接连不断的言语欺凌经已渐变成行为霸凌，她的物品都[浮云]受到大大小小的毁坏。这天，转课室时更有人推倒小猫，她望着擦破的膝头连眼泪也不敢流，“拿去擦擦吧！”小狼递上手帕，小猫害怕的不敢接，小狼索性帮她舔伤口，幸好当时没有别人，可是却有一双火红的兔眼目睹一切。 ​​​

145 :解决被老[囧]师点名的办法~ ​​​

146 :老婆：“你说我长[自行车]得像维纳斯吗？”老公：“像，简直一模一样，怎么就没人把你偷走呢。” ​​​

147 :每次和老婆吵架，我[实习]都会到厨房把各种罐罐盖都拧死，等到冷战的时候，老婆总是先和我说话，没办法有劲就是任性。 ​​​

148 :小香风的[笑哈哈]车模！ ​​​

149 :【偶像组合“早安少女组‘14”今年秋天将在纽约举办演唱会】在昨日于东京中野太阳广场举办的偶像组合“早[悲催]安少女组‘14”演唱会上，他们宣布，他们将在今年晚些时候于纽约举办演唱会。这次也是这个10人组合除队长道重沙由美外，其他成员的首次单独演唱会。 ​​​

150 :商业秘密区别于理论成果，具有现实的或潜在的使用价值，任何人都可以使用，也就是说，商业秘密应该是一种在生产实践、经营管理、商业行为中，能够产生[闭嘴]较好的经济效益的具体的技术知识、经验和方法的一些信息。 ​​​

151 :陕西“移民搬迁”已完成38万户134.1万人http://t.cn/RyrErz1[威武] ​​​

152 :黑白设色的空间裡，咏[哼]翊设计加饰茶镜增添层次变化。 ​​​

153 :【心理阅读】[汽车]相爱而不能相见的人有千百种虚幻而真实的东西用来骗走离愁别恨。 ​​​

154 :炉具内嵌于橱柜当中，节省了厨房的空间。柜间的墙壁采用镜面代替，让厨房空间瞬间翻倍。造型独特的水龙头提[兔子]升了厨房的吸引力。 ​​​

155 :【香芒牛柳】1.牛肉选里脊肉部分，切成薄片2.加入料酒、生抽、黑椒与1汤匙食用油，拌匀，腌制15分钟3.用小[最右]刀将果肉取下，切成芒果丁4.锅中下油，大火热油，下牛肉片滑炒，炒至牛肉变色5.下芒果丁，快速让其与牛肉拌匀即熄火6.装盘即可食用。 ​​​

156 :一次学校让买学习资料，大家都是7块钱，我为了让自己能有点零用钱花一张[左哼哼]嘴就要了10块，结果老妈不信我（确定是亲生的），就跑去问家对面的同班同学，当时那心里忐忑的差点就说实话了。没想到老妈一回来就说“一看上课就没听老师讲课，人家明明是12块！”我…… ​​​

157 :【心理文摘】1991年的爱情,1991年的故事，原[lt切克闹]来，喜欢就是这样的。 ​​​

158 :【23岁骚年因长期服用保健品结果胸部竟被刺激的发育】23岁的宝鸡小[奥特曼]伙杨飞的胸部竟然“发育”了，而为何出现这一奇怪的现象，看着报告单上的诊断：男性乳腺发育，23岁的宝鸡小伙杨飞（化名）哭笑不得。而当医生得知他服用了7年保健品后，判断其胸部发育可能与长期服用含雌激素的保健品有关。 ​​​

159 :【给年轻人带孩子产生心理压力的老年人已占到了睡眠障碍门诊病患的三分之一】老人的心理压力主要来自[甩甩手]于生活中怕孙子出意外，无法向子女交代，内心产生严重的焦虑感，影响自身健康。对于年轻父母来说，不要一味把孩子丢给老人，要多与老人进行沟通，节假日尽量让老人休息，要体谅老人的心理负担 ​​​ 全文

160 :【地坛】地坛是明朝、清朝皇帝祭祀皇地祇的场所，是我国规模最大、唯一幸存的帝王祭地之坛。整个建筑从整体到局部都遵照我国古代多种传统和象征传说构思设计，庄严肃穆，古朴幽雅，是明清皇家建筑艺术的又一智慧结晶。地坛，又称[做鬼脸]方泽坛，为北京五坛中的第二大坛，坐落在安定门外东侧，与天坛遥 ​​​ 全文

161 :佩戴头盔是骑摩托车出行时必备安全措施，可是几乎所有头盔都占用相当大的空间，并不方便携带。这款折叠头盔由一位[打哈气]澳大利亚学生设计，头盔上护脸的部位可向内翻折，从而减少部分存放空间，以便可以放在背包里携带。此外，设计者使用了三层保护罩，以降低碰撞过程中的冲击力，提高安全性能。 ​​​

162 :【孕期吐得厉害或致孩子变胖】在孕早期,很多孕妈都会出现恶心,反胃的情况,为了维持正常的新陈代谢,机体会不停地吸收身体里的养分,令身体倍感饥饿.有意思的是,脂肪细胞有记忆功能,而且可以遗传.因此,孕妈孕吐期间的饥饿感很可能会延续到孩子身上,[衰]为他们今后变胖埋下隐患，知道真相的我眼泪掉下来… ​​​ 全文

163 :同事：下班一起去吃火锅，怎么样？我：你请客？今天太阳从西边出来了！同事：唉，我们办公室新来的小姑娘，天天把自己弄得香喷喷的，弄得我身上都[雪人]一股子香水味，这要是回家被老婆发现了还了得？我寻思半天，只能靠火锅去去味了。 ​​​

164 :【三[吃惊]个妙招培养孩子交往能力】怎样培养宝宝的交往能力?孩子的交往能力的强弱对孩子的未来非常关键重要。其实培养宝宝的交往能力的方法是比较容易的，可以从三点进行出发一、增加与宝宝的主动接触二、关注宝宝的情绪变化三、回应宝宝的所有反应。 ​​​

165 :【如何判断宝宝睡得好?】不同年龄段的宝宝睡[转发]眠时间有所不同,0~半岁16小时,半岁~2岁14小时,2岁12小时,3~4岁以后11小时,5~9岁10小时左右,一般1岁以内的孩子白天可以睡两到三次,2岁以后中午睡一个午觉就可以,4岁以后白天可不睡. ​​​

166 :什么鬼。[得意地笑]。。。。。。。。 ​​​

167 :【托斯卡纳】托斯卡纳大区由10个省份组成，一提起托斯卡纳，人们就立刻想到佛罗伦萨，但是托斯卡纳远远不止一个佛罗伦萨，整个大区里到处散落着艺术宝库和拥有美丽风情的[照相机]小镇。走吧！一起探索隐藏在深处的景色吧！ ​​​

168 :生命就是一场又一场的聚与散，随着岁月缓缓地走动，[委屈]我们经历着数不尽的相遇，相知，相处，离别。不管怎样，生命总需继续，直到最后的合眼而去，带着一些烙在灵魂深处的周旋，飞向沉寂。 ​​​

169 :最好的爱，是跟那个对的人在一起后，可以[神马]真正做你自己，而不是每天都活在对方够不够在乎你的担虑里，照顾不好自己还一心为他改变 ​​​

170 :【职场人要听懂的"黑话"】职场黑话，就是在职场[汗]中常出现的一些口是心非的反话。一旦没有听懂上司的"谜语一般"的话语，就有可能使你遭冷脸。 ​​​

171 :【全新一代奥迪A4九月首发】近日，从芬兰媒体Worldcarfans获悉：这款全新奥迪[偷笑]A4将基于第二代MLB平台开发减重90公斤，有望新增1.4T版本以及混合动力车型并匹配9速变速器。新车设计方面棱角分明线条有力，与现款柔和的设计理念截然不同。 ​​​

172 :奔驰c[泪流满面]ls性感车模！ ​​​

173 :时间是无形的，看不见摸不到，但又是真实存在的。一位挪威设计师希望通过钟表的形式将时间与看得见的实物联系在一起，特别设计了这款“织毛衣”钟表。随着“时针”的转动，毛线会慢慢地被编织成圆形的围巾，以此让人们更加真切地感受时间流逝的痕[偷笑]迹。这块钟表每年能编织出一条2米长的围巾，十分 ​​​ 全文

174 :【小窍门二：热敷法】做法：早上洗脸后，用热水弄热毛巾，然后敷於眼部，让热气促使眼下的血液流通，当毛巾冷却后再浸入热水更换；热敷10[飞机]分钟后，更换冷水进行冷敷约1分钟。完成后，涂上眼霜加以保湿。功效：冷热敷则可以消除静脉瘀塞，减轻血管显现的情况。鸡蛋银戒指转眼。 ​​​

175 :【内裤多久换一次最好】内裤最好半年一换：使用频率较高的内裤，最好半年一换。出现变形、材质变干硬、污渍洗不净，就得及时更换。换内裤最长别超3天：定要养成勤洗勤换内裤的习惯，建议每天更换，尤其是夏天，最长不要超过2—3天。 ​​​

176 :风还是一样地吹，花还是一样地开，太阳还是一样地升起，可是有些事情已经变得不一样了。 ​​​

177 :喵~~你的表情咋就那么惊悚呢？ ​​​

