一二一LP 男/山西         加关注
35 :牛背上翻踉头——有点硬功夫 ​​​

36 :在这静世安好的岁月，我追逐着你的步伐，去你去过的地方，却始终没办法与你并肩齐驱。 ​​​

37 :我想要成为你的眼，把最美的风景收进你的心中。 ​​​

38 :充沛的精力加上顽强的决心，曾经创造出许多奇迹， ​​​

39 :只想把你占为己有，用我的爱填满你的生活，有我陪在你左右，把所有烦恼都交给我。 ​​​

40 :借风过潮——趁机 ​​​

41 :一切都不是我们的，而是别人的，只有时间是我们的财产。 ​​​

42 :朝天放炮——空想（响） ​​​

43 :小幽默昨天一个人问我，问南京市长是不是叫“江大桥”，我说不是。他说那我坐火车在南京过江的时候怎么看到一个广告牌上写着：南京市长江大桥欢迎您! ​​​

44 :你所追求的对象已经有对象，别气馁，总会有分的那天。 ​​​

45 :弯刀遇见瓢切菜——正合适 ​​​

46 :我难过的并不是有人离开我而是他们当初明明说过不会走。 ​​​

47 :他们是他们世界里的王，细枝末节都要看清。高兴的时候，可以把你捧到天上。阴沉的时候，顷刻摔你到地上。一个怀疑爱情、怀疑人性，善于征服，却无法休养生息、长治久安的君主。 ​​​

48 :你是我所追求的一个梦。我为你痴迷，为你疯狂，我会用我全部的爱来溶化你。 ​​​

49 :带着爱，陪你走遍天涯海角。 ​​​

50 :你可以一无所有，但绝不能一无是处。 ​​​

51 :只有用人类创造的全部知识财富来丰富自己的头脑，才能成为共产主义者。 ​​​

52 :知道什么是嫁祸于人吗？就是自己在电梯里放了个没声音的屁，然后稍等片刻，捂起鼻子装用不满的目光去看其他人 ​​​

53 :生命中，有一个人可以去惦念，是缘分；有一个人惦念自己，是幸福。距离之所以可怕，因为根本不知道对方是把你想念还是把你忘记。有点落寞，我不懂该怎么说，让它在无声中逝去，我走了，其实它没有来过，只是夜晚心异常柔软。 ​​​

54 :【总是会在错的时间遇到对的人】 ​​​

55 :旅者影禄落橘里橘笙南木途归谜 ​​​

56 :开学后希望班里的同学照顾一下我这个又丑又穷的乡下人 ​​​

57 :还没开口就泪水盈眶的人是我不是你。 ​​​

58 :愿意委屈自己的人,唯一的原因,就是深深爱着对方。 ​​​

59 :我过会儿给你回电话 ​​​

60 :军绿色棉衣低调中带几个个性，貂毛帽子增强保暖性，又彰显时尚感。黑色紧身裤搭配雪地靴，令双腿更显修长。 ​​​

61 :︶つ你留下的背影拉长路灯下的身影我们就此分离つ ​​​

62 :爆竹脾气——一点就着 ​​​

63 :闲暇时，餐椅可放入餐桌下，节省空间。大面积落地窗又全方位地提亮空间，整体营造宽敞明亮的舒适空间。 ​​​

64 :人间之大智，在乎洞悉本身之弱点。 ​​​

65 :青苔满地初晴后，绿树无人昼梦余。惟有南风旧相识，经开门户又翻书。 ​​​

66 :最后走的人，记得放火 ​​​

67 :别试图走近我一颗心除了他什么也没有。 ​​​

68 :王府的丫鬟——低三下四 ​​​

69 :你星期六是唔是又要上班啊？ ​​​

70 :如果有人偷走了我的心，我求主保佑我，也能偷走他的心。 ​​​

71 :青春并不像一袭新衣，好像我们仔细少穿一点就可以保持簇新似的。青春，当我们有它的时候我们一定要每天穿用它，而它则很快就会消逝。青春，需要为之振奋，为之倾注出自已的全部热血。 ​​​

72 :人生这么短，我凭什么委屈自己给你脸。 ​​​

73 :没有钱还不懂的从容。就会显得特别猥琐。 ​​​

74 :狗头上戴眼镜——装人样 ​​​

75 :前面是绝路，希望在转角，梦在心中，路在脚下。 ​​​

76 :你要换过很多手机壳，才会觉得最完美的就是裸机；你要化过很多浓妆，才会欣赏素颜的清新。 ​​​

77 :理想是指路明星。没有理想，就没有坚定的方向，而没有方向，就没有生活。 ​​​

78 :只要还有明天，今天就永远是起跑线。 ​​​

79 :有时候等待不是为了你能回来，而是让自己找个理由不要离开。 ​​​

80 :我们所希望看到的是孩童在追求知识，而非知识压迫孩童。 ​​​

81 :视频:饮料盒做小汽船。太有才了！ ​​​

82 :你现在的气质里藏着你走过的路你读过的书和你爱过的人 ​​​

83 :你把所有的心事封锁起来，抱怨没有对象倾诉没有地方发泄，但这一切，都是你自己造成的。 ​​​

84 :那份人生初识淡淡的幽香的暗恋，被深深珍藏在时光的眸子里，穿越岁月枝头的明媚，芬芳着我所有的流年。就像是午夜那首悠扬的《栀子花开》，听了千百遍，依然是我心中最熟悉的旋律。 ​​​

85 :不是因为需要你所以爱你，是因为爱你所以需要你。 ​​​

86 :我对你的于心不忍，成就了你今日的猥琐。 ​​​

87 :一女同事今天上班路上经过一老婆婆身边时， ​​​

88 :有时候，上天没有给你想要的，不是因为你不配，而是你值得更好的， ​​​

89 :如果你只是在需要我的时候才来找我，我会给你两个选择，要么立刻滚，要么马上滚！ ​​​

90 :警告：您的手机因超负荷使用，内部发生烈变，即将爆炸，请看完本提示后立即将手机丢与空旷无人处…… ​​​

91 :你衬衫短得露济眼，眼镜戴在天灵盖，十个脚趾十个色，凉鞋后跟没个带。 ​​​

92 :离恨恰如春草，更行更远还生。 ​​​

93 :记得最初相遇，我总是转过头，不让你吻我的嘴唇。你却也不说什么，乖乖放弃。女人的某些坚持，在男人眼里也许可笑或者不可理喻，但却是顺从内心的真实反映。 ​​​

94 :何谓死亡?除了永远的睡眠，还会是什么? ​​​

95 :人心不可一日无喜神。 ​​​

96 :世界上最美好的事情，就是和你一起走在路上，我未老，而你依然。 ​​​

97 :青春是留不住的，如果青春里有爱，它就不虚度。 ​​​

98 :永远不要后悔，我们无法选择回去的路程，但是要清晰地面对已经造成的挑战。 ​​​

99 :男人有泪可以流，但男人有泪不轻弹，经常流泪的男人，只会让女人作呕。对于要娶为妻子的女友，一要忠诚，二要负责任。对女人专一一点吧，没什么不好，对女友不能做到的事不要轻易承诺。 ​​​

100 :有时候，有些人不需说再见，就已离开了。有时候，有些事不用开口也明白。有时候，有些路不走也会变长。总望着曾经的空间发呆，那些说好不分开的人不在了，转身，陌路。熟悉的，安静了，安静的，离开了，离开的，陌生了，陌生的，消失了，消失的，陌路了。 ​​​

101 :尽管科技通讯日新月异，但给公司或家里人留个信息，很多人还是喜欢用纸和笔这样书写表现方式。有了这个壁挂式牛皮纸卷，我们也多了个书写的理由。 ​​​

102 :君子先择而后交，小人先交而后择。 ​​​

103 :做清淡欢颜的女子写尊贵的情书给个人。 ​​​

104 :恼怒将理智的灯吹熄，所以在考虑解决一个最大问题时，你必须脉搏缓慢，心平气和，头脑冷静。 ​​​

105 :蓝精灵对着阿凡达唱：“长大后，我就成了你。” ​​​

106 :没有个性、签不了名￠ ​​​

107 :单个的人是软弱无力的，就象漂流的鲁滨逊一样，只有同别人在一起，他才能完成许多事业。 ​​​

108 :如果你竭尽全力，你就没时间担心失败。 ​​​

109 :杀猪的遇见拦路的——都有家伙 ​​​

110 :古之立大事者，不惟有超世之才，亦必有坚忍不拔之志。 ​​​

111 :亲密和亲近是不一样的。投射认同的伴侣走着、坐着、站在、睡着都要在一起，很亲近，但是其实他们并不亲密。就像那句老话所说，如果依赖也能算友情的话，蛔虫就是人类最好的朋友了。 ​​​

112 :我想要我们的每次争执都不是我个人难过,而是我们都心疼彼此,然后和好如初。 ​​​

113 :爱一个人很难，放弃自己心爱的人更难。想要维持好一段关系，那不是一个人的事，要两个人的共同努力。一个人，总归会有分崩离析的那一天！我们是人不是神，得不到另一方的回应，一个人也就累了！ ​​​

114 :没有你的世界谁说就会是一片灰色我彩色的人生没有你照样耀眼！ ​​​

115 :我不敢哭，不是怕人嘲笑不是怕人看不起，只是不想让自己太过软弱。 ​​​

116 :成熟的标志不是会说大道理，是你开始去理解，身边的小事情，去爱，身边的人。 ​​​

117 :耗子钻油坊——吃香 ​​​

118 :你的不理不睬，痛的心里，伤在骨里。 ​​​

119 :到后来我也确实很累你要走我不再留. ​​​

120 :盛開的是回憶，灰敗的卻是今天。★ ​​​

121 :你讨厌的习惯我都消退，你在意的细节我都翻倍. ​​​

122 :男人要想稳，必须温柔带点狠。 ​​​

123 :聪明的女人被男人当成爱人，太聪明的女人被男人当成对手。 ​​​

124 :我挨得住多深的诋毁，就经得住多大的赞美。我的所有努力都只是为了让自己掌握主动。别人说好不好不重要，我喜欢就好。我从来就不是为了别人而活。万箭穿心，习惯就好。------范冰冰 ​​​

125 :人生，总会有不期而遇的温暖，和生生不息的希望。 ​​​

126 :人生的六条真理不可能用你的舌头，舔到你所有的牙齿。所有的傻瓜在读到第一条真理的时候，自己在尝试。第一个真理是个谎言。你正在笑，因为你也是傻瓜。你会很快把这个真理告诉其他傻瓜。你的脸上还会带着傻傻的微笑。 ​​​

127 :我的世界很简单，一种是我爱的人，一种是爱我的人。 ​​​

128 :我没故事却需要人倾听我没受过伤却需要人心疼 ​​​

129 :我的世界我是王，我的男人王中王。 ​​​

130 :你永远是你，求求你原谅我吧！你永远是——求求你：你原谅我吧！ ​​​

131 :世界上最美味的食物就是看到你埋单后我安心咽下去的那口 ​​​

132 :风度是我们天性的微小冲动。 ​​​

133 :伤了心，忘了情，拼了命，也不能挽回那破碎的曾经。 ​​​

134 :有志始知蓬莱近，无为总觉咫尺远。 ​​​

135 :首层是私密的卧室，公共空间都在二层，两侧是开敞的长方形凸窗。 ​​​

136 :裁缝的手艺——认真（纫针） ​​​

137 :原来,闭着眼睛,泪还会把头发流湿。 ​​​

138 :要想游得快，借助潮汐的力量要比用手划水效果更好。 ​​​

139 :恐惧主要来自于想象。 ​​​

140 :平凡的苦衷说爱说痛都太笼统，被故事选中没资格懵懂。 ​​​

141 :布袋里装石榴皮——一个子也没有 ​​​

142 :如果不能美得惊人，那就丑得勾魂吧！ ​​​

143 :勤勉劳动的人不用绝望，因为所有的事情都赖勤勉与劳动完成。 ​​​

144 :船不考桨划，一生全靠浪 ​​​

145 :在寂静的夜里，你蹭在他的怀里，不肯去睡是撒娇；走累的时候，你说走不动了要他背你，是撒娇。总之，撒娇是爱情的调味品，是亲昵爱恋的自然流露，但撒娇绝不是吵架的导火线。 ​​​

146 :如果说这一切都是奢望，我又为何不笑着面对。 ​​​

147 :面对太阳时，阴影将落在你的背后。 ​​​

148 :感时思报国，拔剑起蒿莱。 ​​​

149 :有人疼才显得多么出众。 ​​​

150 :体育中考就是把女生当男生练男生当畜生练的一件可爱又迷人的事 ​​​

151 :不要为了便宜去买不喜欢的衣服，同样，不要因为寂寞，就和自己不喜欢的人在一起。 ​​​

152 :有时候接触了才会知道并不是那么完美 ​​​

153 :两口子分家——各人顾各人 ​​​

154 :生命就是一场从生到死的跋涉与攀登，路难，事难，做人更难。其间，好人难做，恶人不能做。做一个好人，会承受心灵的压力，告诉自己，尽善尽美，赢得社会的赞誉，难在放弃。做一个恶人，要顶住良心的谴责，社会的唾弃，承受内外的夹击，把人生的一切毁去。 ​​​

155 :老和尚拜天地——头一回；头一遭 ​​​

156 :善良的人不是行善的人，而是不作恶的人。 ​​​

157 :狗狗自饮设备 ​​​

158 :还是小时候好，一颗糖足以忘掉所有 ​​​

159 :在累在困也会因你一句话而忘掉苦闷这就是你在我心里的位置 ​​​

160 :漆黑的夜像是为见证修行，而独守着他的缄默。昏暗而发黄的路灯不忍这般的孤独，给自己，给晨一个相似的孤影。于是，路灯不再守着寂寞，只有晨的影子长短交替、深入浅出的走在黑暗里……黑暗里的身影，仿佛是寂寞的长度…… ​​​

161 ::::﹄個秂願譩等鴏，⒃另﹄個⒕秂材願③譩炪現 ​​​

162 :可笑的是，安慰别人的话，我却开不了口对自己说╰ ​​​

163 :相信自己的爱情，找个高的人容易，找个爱自己而自己又爱的人不易。 ​​​

164 :磨练，使人难以忍受，使人步履维艰，但它能使强者站得更挺，走得更稳，产生更强的斗志。 ​​​

165 :二愣子做活——猛一阵 ​​​

166 :惟孝顺父母，可以解忧。——孟子 ​​​

167 :生命诚宝贵，爱情价更高；若为自由故，二者皆可抛。 ​​​

168 :假如终点是花不完的钱、谁都比刘翔跑嘚快、、 ​​​

169 :倘若，生命是一场旅行，爱，一定在路上。而往往，走得最急的，都是最美的风景。 ​​​

170 :不知道疼自己的孩子到底有多少 ​​​

171 :我先给你一个拥抱！你感觉的到吗？ ​​​

172 :或许多年以后你再听到我的名字会笑着说不认识 ​​​

173 :做人好应该说真话，但是，人生总有无法说真话的时候，比方说，当别人问起你的体重......那一刻，并不是不想说真话，而是自己也不能相信自己真的有那么重。 ​​​

174 :我们学会了自我解嘲，学会了迷失在灯红酒绿的夜晚，也学会了在这个光怪陆离的世界里，隐藏自己，装饰自己。到最后却发现自己变得只剩下了一个人，之后有会很困惑的去怀疑感情。 ​​​

175 :“玩真心话大冒险又输了吧？”他轻轻发笑。 ​​​

176 :取悦的是别人，受益的确是自己。 ​​​

177 :耳朵漏风——崎不进 ​​​

178 :最是时光摧枯拉朽 ​​​

179 :这个世界能够发展，能够进步，就是因为有了女人的存在。 ​​​

180 :他喜欢她，从很早以前就喜欢她。但她的身边从来不缺追求者。她看得见追她的所有人，唯独看不见他。她从来没有拒绝，也不曾答应。他只是默默守候，对她好，爱护她，也许他不满足只是朋友，但也只能这样了..... ​​​

181 :最后一次提起你。最后一次看见你。最后一次想起你。最后一次磨叨你。最后一次思念你。最后一次说爱你。最后一次再见你。最后一次约会，代表着我们真的结束了，你的世界和我的世界从此在也不会有彼此。 ​​​

182 :月到中秋份外到，暂借月儿寄衷情！ ​​​

183 :花海的浪漫、神话的唯美、所谓的美丽的邂逅、也许只是童话对世人遥远的诉说、终是一场梦幻、湮灭在别愁伤絮、也许只是彼此生命中的过客。淋过雨的空气，疲倦了的伤心，我记忆里的童话已经慢慢的融化。 ​​​

184 :小学有三宝：起立、敬礼、老师好；中学有三宝：补习、熬夜、拼高考；大学有三宝：复制、粘贴、过就好；谎言有三宝：天长、地久、爱到老；韩剧有三宝：车祸、癌症、治不好。 ​​​

185 :最凄凉、最弄人的不是你知道失去所爱的那一刻，而是你满怀希望的等着，还不知道已经失去。 ​​​

186 :曾经迷惘的心中，是你牵引我走出寂寞。 ​​​

187 :《真·恋姬无双 》09话 ，以中国三国时代为题材的历史乙女缭乱战略游戏最新作《真·恋姬无双~乙女缭乱☆三国志演义~》已宣布动画化，目前本作正在制作中。这个消息来源于迟了半年于TV神奈川播放中的《恋姬无双》中的一个CM广告。 ​​​

188 :徐仁国数码单曲《Bomtanaba》完整版MV公开，原声吉他与欢快的铜管乐器演奏，与徐仁国充满魅力的歌声调和。歌词中将对爱情的心动和紧张，比喻为喝过咖啡后无法入睡的“咖啡因症状”，徐仁国在MV中演绎了男人陷入爱情时的各种表情动作行为，完成浪漫喜剧效果。 ​​​

189 :情人节临近玫瑰价钱嗖嗖涨 ​​​

190 :洗脑神曲《李莫愁你不懂爱》新版神雕侠侣雷点无数！笑料百出！Don't Worry Lee比小笼包咕咕更有看头！陈翔橙面瘫演绎陆展元，发布最新单曲MV《李莫愁你不懂爱》。张馨予响应拉开撕逼对战。片尾彩蛋炸人双耳！高能慎入！ ​​​

191 :曾以一首写给亡子的《Tears In Heaven》成为经典的布鲁斯摇滚音乐家Eric Clapton最新MV《Call Me The Breeze》，纪念挚友JJ.Cale而作，老Eric年近7旬仍然硬朗，依然充满想象力和浪漫主义做派，年老了依然要上路。永远年轻，永远热泪盈眶。 ​​​

192 :女孩问：你怎么了？他说：没事他低头看信息：老公，今天孩子6岁生日。孩子在等你，记得回家。 ​​​

193 :十万个冷笑话导演剪辑，史诗级影视剧恶搞剪辑，爸爸去哪儿翻唱《爹B去哪儿》，节操何在啊？！ ​​​

194 :“抓不住爱情的我，总是眼睁睁看它溜走，世界上幸福的人到处有，为何不能算我一个，为了爱孤军奋斗，早就吃够了爱情的苦···”---林志炫《单身情歌》。 ​​​

195 :满曲面，勾勒出产品最出色的持握感。采用三星电芯，容量高达10400mAh，重量却只有200g，轻巧好拿，创造兼顾性能与外观的极致美学。 ​​​

196 :飞机、坦克、潜艇、赛车这些似乎离我们日常生活都过于遥远，看看我们来自民间的制造牛人，他们用行动告诉我们，只有想不到，没有做不到！ ​​​

197 :尼玛！你能在萌点不！ ​​​

198 :风之典藏，吉奥范尼 《唯一秘密》，这秘密深藏于旋律中，被音乐节在琴弦上给道破。 ​​​

199 :“我的世界早已与你无关，请不要打扰我，希望永不相见”她苦笑着，原来早已经无关了，不是吗。 ​​​

200 :一曲讲诉毕生所爱，曲终人不散！好听的歌曲配上动人影子舞，比沙画更流畅，比舞蹈更唯美~一场视觉与听觉的盛宴~ ​​​

201 :我的祝福  2012新春团拜会 led背景素材 开场喜庆歌舞led 年会联欢晚会视频背景制作 ​​​

202 :猫胡疑的回头望了望老虎:“咋有这么强壮的猫，转基因的吧？” ​​​

203 :汉娜热舞自拍---金泫雅《change》，可爱兼具性感，跟着音乐动起来吧！ ​​​

204 :一周最佳搞笑傻缺视频TOP10，那些用生命在犯二的人类，二货的人生无须解释，哈哈！ ​​​

205 :实拍俩袋鼠打架，一方使出锁喉功？！这货不仅好战而且善战啊！锁喉功有木有~~！！ ​​​

206 :作为一个传统的中国银，圣诞节你们是怎么过出中国传统风味的？牛人何其多，此间不乏能人异士，精通范二作死之术！他们到底牛还是不牛，众位看官来辨别辨别！ ​​​

207 :学霸，学霸，我们去哪里呀？！明天考试到底会考神马？学渣，学渣，你不要再看啦···看完也记不住呀！期末将至，学渣逆袭，愿得学霸，白首不离！ ​​​

208 :3。均匀：操作时动作幅度、速度的快慢、都必须保持相对一致。 ​​​

209 :【女球员5分钟速射135投132中】神奇女选手5分钟内速射135记三分，什么雷阿伦米勒都弱爆了~以后再也不敢说会打篮球了~ ​​​

210 :模特团Nine Muses出道三年来的首张正规专辑《Prima Donna》主打曲《Gun》完整MV公开，成员以成熟而自信的西部女孩形象出镜，大秀细腰美腿，靓爆了~ ​​​

211 :妖物再现！贾玲版《菠萝菠萝蜜》 ​​​

212 :这名女子名叫卡茜迪·胡珀，现年16岁。她将于未来两周内在卡罗来纳莱文儿童医院接受3项外科手术。届时，医生将从其头骨选取软骨和骨骼，为她重建一只鼻子。 ​​​

213 :【大连版"忠犬八公" 每天接送恩人上下班】大连市民王学杰在一只斑点狗花花生仔期间收留照顾了它,花花为了报答恩人。每天王学杰上班之前，就等在门口送他上班，而王学杰下班时，花花也会等着他。王学杰说“这让我切实感受到狗的灵性和忠诚”。 ​​​

214 :SPICY CHOCOLATE将于10月22日发行新专辑「涉谷纯爱物语」，其中收录与清水翔太合作的《I miss you》完整版PV已经释出。这首伤感情歌唱出了对无法忘记的人的感情，专辑封面上的小島藤子也出演了PV，翔太独特的嗓音真的好温柔！ ​​​

215 :风筝要这么玩才对！好风骚的玩法~大哥你是怎么玩出了遥控飞机的韵味儿的？还收徒弟不！！ ​​​

216 :你肯定听过的调调~很舒服的音乐，声音要甜到心里了~~Lenka《The Show EBS Space》 ​​​

217 :郑伊健有望当林嘉欣女儿干爹，自嘲没责任心不生育，自感过年封红包压力山大！ ​​​

218 :Infinite第二张正规专辑《Season2》正式发行，主打曲《Last Romeo》完整版MV公开啦！成员们变身罗密欧，思念着各自的朱丽叶，演绎哀切的爱情故事。歌曲是管弦乐与摇滚乐华丽结合的流行交响乐曲风，讲述为了爱情可以倾其所有创造最后浪漫的内容。 ​​​

219 :【林俊杰《零度的亲吻》MV首播 与女主悲伤亲吻】女主角由华纳年度新人Diana王诗安担任，金曲奖最佳导演徐筠庭指导。在镜默的世界中，用最直接的语言，共构一段虚与实互错交叠的迷幻爱情故事。 ​​​

220 :老狼演唱的《同桌的你》伴随了几代人的成长，不少80、90后对这首歌有着深深的感情，这次电影《同桌的你》同名主题曲的首次发布，老民谣在央视舞台重新唱响，或许将带给观众耳目一新的感受，而胡夏的歌声以清澈、温暖著称，这次由胡夏演唱的改编版《同桌的你》又会带来怎样不同的感动呢？ ​​​

221 :乙：“整整600瓦。” ​​​

222 :太坑爹了，这货还以为是小水塘~尼玛！这是大水坑啊！面对腹黑的基友！少年~你不能太纯真的啊~拍摄的笑声太贱了！~ ​​​

223 :碉堡了，全球牛人视频大合集。看完哥都觉得神人太多，出现了真正的灌篮高手和“少林足球”。 ​​​

224 :终于找到了比忐忑更牛的歌曲了！ 大哥您这是什么唱法啊，舌头不疼么？敢问这首歌也有歌词么？难道就是传说中的压了个驴压了个驴。。。 ​​​

225 :“雅安地震”成都女孩的祈福沙画！和你在一起，我们的亲人！祈福雅安！祈福四川平安！~ ​​​

226 :这是一首非常轻缓，好听的英文歌曲，很有感觉的歌曲和画面！大爱~——Jason Mraz《I Won't Give Up》 ​​​

227 :DJCalvin Harris火热新单《Summer》MV首播啦！热辣美女上演狂野赛车秀，用速度彰显荷尔蒙爆棚的永恒青春，今夏吹来清新电子风，毫无噪点，舒服你的耳朵，打开你沉闷的心，Party不断，艳遇不断，这便是我们印象中的夏天该有的色彩~ ​​​

228 :TVB揭露“搞基”由来，赤裸裸的典故啊！好吧，终于知道“搞基”这两个字的由来了···毁三观啊！ ​​​

229 :梁静茹获习近平夸奖，回应：谢谢国家领导习先生，继续唱更多好歌回馈大家。 ​​​

230 :炉石传说之温酒斩华佗炉石第一视角：冲击国服传说成功 ​​​

231 :“星星是什么？星星就是我们心中燃着明灯，是不朽的信念，是不竭的力量，是一次次挫败后的坚强，是一个个破灭后的希望。”每一首郑智化的歌，就象是他真实或梦境里的故事，不论叛逆、温柔、激情、渴望、调侃或戏谑…总是那么毫无保留的向世人公开他的内心世界~——郑智化《星星点灯》 ​​​

232 :好心有好报，送你个新娘，就是岁数大了点。轻松一笑婚礼恶作剧，有趣的婚礼恶搞，看了心情放松。 ​​​

233 :【喜剧《笑功震武林》主题曲《江湖七怪》MV】根据耳熟能详的《对面的女孩看过来》曲调改编，片中人物华丽的搞笑造型及歌舞动作，颇有印度歌舞片的风格，势必在今年的三八节期间打造出前所未有的欢乐气氛。 ​​​

234 :塔塔妹翻唱李宇春《蜀绣》，唯美意境歌词，诠释中国文化迷人魅力。 ​​​

235 :我的小马驹:友谊大魔法 第三季：第7集。 ​​​

236 :超萌小萝莉都玩起了摇滚，哈哈~~这么屌，你爸妈知道吗？high的样子简直笑爆了！ ​​​

237 :【大连“文革腔”奇葩女又在公交车宣讲了！】今坐公交车遇见“文革腔”奇葩女！以前网上看过，今天竟碰着真人了。哇唔~怎么有一种瞬间被拉到大革命洪流中的赶脚呢？似人，非人，阶级敌人... ​​​

238 :郭美美MV《爱我请打卡》讲述黏达达的爱情！~《爱我请打卡》也延续了郭美美最擅长的欢快曲风希望能唤起观众心中对她的记忆。 ​​​

239 :【回味多人游戏的美好时光！《使命召唤11》最新宣传片】备受期待FPS大作《使命召唤11：高级战争》还有不到一个月时间就要正式与广大玩家见面了，近日游戏零售巨头Gamestop为本作放出了一段主题为Memories全新宣传片，快来看看吧！ ​​​

240 :三只猫王！德国流行摇滚组合The Baseballs新单曲《Mo Hotta Mo Betta》MV火热来袭！靠翻唱起家的3人擅长将流行歌曲改编成五六十年代的摇滚风格，在这支MV当中，The Baseballs淋漓尽致地致敬了猫王，第一个音符就将我们带入了猫王的年代！ ​​​

241 :《琴浦小姐》01先行，《琴浦小姐（琴浦さん）》是由ENOKIDS（えのきづ）创作的漫画作品，曾荣获了手机漫画网站「Manga★Get」主办的「Manga Of The Year 2009」的最优秀奖。《琴浦小姐》最初是同人...... ​​​

242 :张靓颖《我们说好的》——“我们说好就算分开一样做朋友，时间说我们从此不可能再问候。”是不是爱了就不能再做朋友？因为彼此伤害过？是不是爱了也不能做敌人？因为彼此相爱过？ ​​​

243 :【鲁豫有约：李双江夫妇谈如何培养一个合格孩子】他4岁选入中国幼儿申奥形象大使；4岁学习钢琴，师从中央音乐学院著名钢琴教授韩剑明；8岁学书法，师从清华大学方志文；获钢琴、书法奖无数；10岁加入中国少年冰球队；就读人大附中，留学美国。他是李天一，生于1996年，今年17岁。 ​​​

244 :收膝盖系列，一根寿司黄瓜秀出超酷的刀技，你们切的那叫黄瓜，大师切的那叫艺术！ ​​​

245 :对手的梦魇！C罗生涯20大一条龙过人破门，一起领略绿茵场上的英雄谱写的光辉史诗！ ​​​

246 :但他朋友不知道，那雪人是他和她一起堆的，那是唯一可以证明他们在一起过证据。你说喜欢雪，却去了不会下雪的南方，独留我一人在此。 ​​​

247 :明星真人秀节目《喜从天降》欲告《明星到我家》侵权，谢霆锋张柏芝又成“对手”。 ​​​

