zhujianbo芹察健 男/河南         加关注
31 :以势交者，势倾则绝；以利交者，利穷则群散。 ​​​

32 :在你最苦恼的时候，那么你就不妨停止工作十五分钟，离开办公桌，去喝杯水或者到楼下散个步,当你重新返回办公桌的时候，就会更容易投入工作。 ​​​

33 :我看过最虐心的小说就是我和迩的聊天记录, ​​​

34 :真正的爱国主义不应表现在漂亮的话上，而应表现在为祖国和为人民谋福利的行动上。 ​​​

35 :叫做彼岸花。 ​​​

36 :一骂天堂，一骂地狱。有些人骂你，是为了你好，也希望你变得更好，那是出于爱。他们给你的，是天堂。有些人骂你，是看不得你好，只想摧毁你，那是出于恨。他们给你的，是地狱。给人天堂的，自己也在天堂；给人地狱的，自己也在地狱。天堂和地狱，从来就在心里，就在现世。 ​​​

37 :败在未成眷属的无奈。毁在终成眷属后的倦怠。 ​​​

38 :少林功夫醒／好好野／少林工夫劲／系好劲／我系铁头功／无敌铁头功／你系金刚腿／我系金刚腿(忍唔住笑)／认真滴吖！ ​​​

39 :花开一世纪，情漫天之心。 ​​​

40 :一个人彻悟的程度，恰等于他所受痛苦的深度。 ​​​

41 :下辈子我们能做的，只是不让我们擦肩而过。 ​​​

42 :你只当我是路过你的城，我却把你暖在心里收藏一生。 ​​​

43 :傻笑不是与生俱来的，而是由我爱上你的那一刻开始的。 ​​​

44 :如果你告诉我有一对夫妇因环境不好而吵闹，那么我可以告诉你另外还有十对夫妇因其他事故而破裂。 ​​​

45 :难道你对我的感情只有那么一点点吗？我好伤心啊！ ​​​

46 :漫天讨价——哆嗦（多索） ​​​

47 :不管外面的灯火多灿烂最暖的还是家里的那一盏! ​​​

48 :“你怎么这么胖啊!”“吓得。”“这和体重有什么关系?”“因为吓得不轻” ​​​

49 :你走了也好，不然总担心你会留下来吃饭 ​​​

50 :门背后抹死人——提心吊胆 ​​​

51 :被爱是很幸福的，但我愿你幸福一生 ​​​

52 :关于生活中的每一件事都可以用三个字总结：会过去。 ​​​

53 :不眠不语不哭不笑不闹我终于学会安静了 ​​​

54 :我谈过最长的恋爱，就是自恋，我爱自己，没有情敌。 ​​​

55 :如果有一天我屏蔽了你的朋友圈请不要问我为什么我只是买不起你卖的东西。 ​​​

56 :看着微笑的你，突然发现，我真是世界上最幸福的人。 ​​​

57 :我们以为自己苦苦暗恋着某人，有时候，我们暗恋着的，其实只是一个我们在想象中美化了千百遍的人，愈是得不到愈是可爱，愈是得不到愈是肝肠寸断。到了后来，那浮不上面的单思，只好沉落在暗恋湖底，化作一片荒凉而寂寞的青苔。 ​​​

58 :谬误常常自相矛盾，真理从来不会如此。 ​​​

59 :那些已经成为过去的日子,如今有点小怀念啊 ​​​

60 :馋鬼打灯笼——找吃的 ​​​

61 :不管男人经历过多少次爱的奇遇，但往往只有一位不可替代的女人永远留在他的记忆中。如果这种深情的爱不能实现，就可能造成他在性关系上的反常和轻率。反之，女人也是如此。 ​​​

62 :人生就像在玩扑克牌游戏，你无法保证自己能抽到最好的一手牌。但无论手中的牌是好是坏，都要尽全力地去打好它。这样，人生才有意义。 ​​​

63 :别给我脸色看，你的脸又不是调色盘 ​​​

64 :在家的时候发烧还会坚持上网,上学的时候打个喷嚏都会觉得是癌症晚期. ​​​

65 :不要寄希望于爱情能够“重来”，而是要让自己长大，拓宽自己生命、生活的宽度和广度，让自己变成一个足够优秀的女子，如果那个男孩子也在成长，并且恰好你们有机会在一起的时候就可以再续前缘。 ​​​

66 :哥是地球人，别给哥整那火星话。 ​​​

67 :一个美丽而有贞沾的女人，实在是上帝的完美杰作，天使的真正荣耀，地球的罕有奇迹，世界的唯一神妙。 ​​​

68 :举仇且不弃，何必论亲疏。 ​​​

69 :爱情就象在银行里存一笔钱，能欣赏对方的优点，这是补充收入；容忍缺点，这是节制支出。 ​​​

70 :一天白娘子不舒服去看大夫，大夫说：“你这是蛇精病啊。” ​​​

71 :只有用心灵真诚感触的东西才是美好，是你教我爱上了春暖花开的文字，在吟唱的心弦之上刻满你的一切，我多想在一首浪漫的诗里，为你勇敢地奔赴天涯，在那我们可以携手一起。 ​​​

72 :哑巴谈恋爱——好得没法说 ​​​

73 :你以为我贫穷、相貌平平就没有感情吗？我可以向你发誓，如果上帝是赋予我财富和美貌，那我会让你无法离开我，就像我现在无法离开你一样。虽然上帝没有这么做，可我们在精神上依然是平等的。 ​​​

74 :弥勒佛管山门——自得其乐 ​​​

75 :八寸脚穿七寸鞋——别别扭扭 ​​​

76 :爱情也需经营，需要不断地更新，需要欣赏的目光，需要叫醒对方的耳朵，也是需要彼此信任。 ​​​

77 :烟模糊了你的眼睛，那是我忧郁的话语，不能用声音惊散寂寞，于是把一些往事，隔在你我之间。饮醉。夜晚的长安街，重叠着踉跄的脚印。每一行哀愁，却不相同。当天亮了，一一淡去。一杯酒，起落之间，像似小小兴亡。 ​​​

78 :这是我们的第九年谢谢你一直在我的生命里爱我。 ​​​

79 :别来烦我，别理我让我一个人静一下~~ ​​​

80 :我就是要撞到头破血流才知道错。 ​​​

81 :胳膊弯里打凉扇——两袖清风 ​​​

82 :医生，我得了什么病？＂颈部以上瘫痪．．．啊”，那是什么病？“脑残” ​​​

83 :要接受这个观点：“坏”也是一种才。忘掉从小接受的教育吧，要入世。 ​​​

84 :戴斗笠坐席子——独霸一方 ​​​

85 :痛过，才知道如何保护自己；哭过，才知道心痛是什么感觉；傻过，才知道适时的坚持与放弃；爱过，才知道自己其实很脆弱。------其实，生活并不需要这么些无谓的执著，没有什么就真的不能割舍。 ​​​

86 :捉鱼拦上游——先下手为强 ​​​

87 :贼过才张弓——晚了；迟了 ​​​

88 :人不早恋枉少年 ​​​

89 :路遥知马力，日久见人心。拍马屁的人都是为了骑马。 ​​​

90 :涉江莫涉凌，得意须得朋，结交非贤良，难免生爱憎。 ​​​

91 :想想美事，生活的烦恼就易离去；想想成功，生活的挫折就不在话下；思思亲朋，心底里的力量就会涌起；思思理想，前进的脚步就会更加坚定；忆忆英雄，克服困难的勇气就会激增；忆忆祖国，工作的热情就会倍增。 ​​​

92 :三日不读书，便觉语言无味。 ​​​

93 :如果我假装失忆，会被多少人趁机抛弃。 ​​​

94 :朋友之间，相求事小，顺水之情，理当成全；过分要求，得寸进尺！非礼也！ ​​​

95 :别人追你都是想跟你上床我不一样我沙发也行厨房阳台都可以 ​​​

96 :真理是时间的女儿，不是权威的孩子。 ​​​

97 :所有我曾经为你经历过的焦灼煎熬，如今都似落了灰的角落轻柔且陈旧。 ​​​

98 :丶有的时候，忘记一个人比记住一个人还难 ​​​

99 :金钱造就了女人、而你造就了我。 ​​​

100 :只要有电，我qq就在线。 ​​​

101 :他对她说：今天又是难熬的一天，你知不知道，你好久没唱歌给我听了，忽然背后一首他最爱的，最近的距离，在背后想起。听着熟悉的声音，他顿了顿，难道是她回来了，转头才发现原来只是他的错觉，他说：你都离开这么久了，怎么你的声音都不曾离开。 ​​​

102 :管理者可以从员工的工作实践、部门推荐、员工档案、考绩等多种途径全方位地发现人才，通过多种路径.学会去考察了解人才的方方面面.最终选定适合之人。 ​​​

103 :把胸罩穿在外面的不只是女屌,还有可能是蜡笔小新 ​​​

104 :祝你：位高权重责任轻，钱多事少离家近，每日睡到天大亮，工资领到手抽筋，手下花钱你收礼，别人加班你加薪！ ​​​

105 :多用善眼看世界；不必一味讨好别人。 ​​​

106 :上班时不要老看时间，请注意你要将对工作热忱的形象刻印在老板的脑海里，而不是斤斤计较是否在工作多花了原该用于自己休闲的时间，工作并不是一个苦差事，那是你的追求。 ​​​

107 :心灵的高卧不起，叫做懒惰。 ​​​

108 :日久不一定生情，但必定见人心。有时候也怕，时间会说出真话 ​​​

109 :希望是火，失望如烟，我们的大学总是七处点火八处冒烟。 ​​​

110 :厨子回家——不跟你吵（炒）了 ​​​

111 :每个人都会累，没人能为你承担所有的伤悲，人总有那么一段时间要学会自己长大。 ​​​

112 :当你的眼泪快要忍不住流下来的时候，千万别眨眼你会看到整个世界由清晰变为模糊的全过程。 ​​​

113 :五年之约，不过是个笑话 ​​​

114 :抱怨的女人常常会因为生活上的琐事去抱怨一切，她们会把生活上的辛劳归咎于男人的不作为。可是男人干的活也不少，他们所有的困惑和烦恼的也一点儿不少，只是女人看不到罢了。 ​​​

115 :项羽过江东——罢（败）了 ​​​

116 :天空本是种风景，可是遇见你之后，它变成了一种心情。 ​​​

117 :财富不是真正的朋友，而朋友却是真正的财富。 ​​​

118 :七月的生柿子——难啃；啃不动 ​​​

119 :精巧的把握与衔接，将温情、舒适、优雅于美式的厚重为一体。 ​​​

120 :容不得懦弱只能坚强 ​​​

121 :“烟花美么”“美”“那也是一瞬间”这是教官对我们说过最暖的话? ​​​

122 :“人为什么要努力？”“因为这世界我们第一次来，也是最后一次。” ​​​

123 :骑车撞大树，姿势依然酷。 ​​​

124 :宁愿跑起来被拌倒无数次，也不要规规矩矩走一辈子。 ​​​

125 :别拿迩显赫的身世挑战莪这个草根家庭出生的人。 ​​​

126 :情动而言形，理发而文见。 ​​​

127 :上班时候，你应该学会把一天分成好几个时间区块来使用，所以最好使用有长短针的钟表来计时，只要是有长短针的钟表就可以。因为这样的钟表会让你很清楚就知道“剩余时间的量”。 ​​​

128 :交朋友不是为了笑脸赢人脉,而是以心换心。 ​​​

129 :人如果有学习的决心，便能够完成奇迹。 ​​​

130 :我只想知道你的心里是否会给我一片存在的空间仅此而已。。 ​​​

131 :与低调的人相处，就如嗅一缕梅香，暗香扑面，与低调的人对视，就如同欣赏一幅水墨丹青，韵致悠然，让人心旷神怡；与低调的人对饮，就如同品一杯淡淡香茗，清香萦绕，让人陶然于胸。 ​​​

132 :【会玩你就是大神！《几何战争3：维度》最新试玩演示】《几何战争3：维度》马上就要登陆PC平台了，早前小编看《纳米突击》的时候就有点玩不懂了，这回的《几何战争3》更是看起来有那么一点高大上的感觉啊，虽然也许有点看不懂，不过绚丽的画面还是非常引人入胜的。来看看这一段最新的试玩演示吧。 ​​​

133 :这名女子名叫卡茜迪·胡珀，现年16岁。她将于未来两周内在卡罗来纳莱文儿童医院接受3项外科手术。届时，医生将从其头骨选取软骨和骨骼，为她重建一只鼻子。 ​​​

134 :女神又有新笑话了，美女冷笑话之假·钞，快来瞧瞧吧···茶余饭后的消遣时间，千万别浪费啊！ ​​​

135 :大眼美女自拍翻唱SHE《爱我的资格》，声音很好听啊，真的是人靓声赞哦！ ​​​

136 :这才叫真正的擂台对决塞！2个互飚高音 互飚转音！！太强了！这才是好声音该有的水准！！听的好“嗨” Jesse Vs Anthony 《If I Ain't Got You》 ​​​

137 :听着这首歌《一个人的浪漫》伤感唯美的旋律，心里闪过一句话，无论是爱情还是友情；你来：我热情相拥、你若走，我坦然放手…… ​​​

138 :贴身保镖揭徐子淇豪门生活：三天两头被催生子，看来豪门媳妇真的不是一般人能当的！！ ​​​

139 :又到开学军训季，原本旨在通过苦其心志、劳其筋骨磨炼孩子意志、帮助孩子成长的军训，因在各地不断曝出伤亡事故而成为舆论焦点。一曲《军训歌》送给正在受训的小伙伴~~ ​​​

140 :《犬神》[02]，历史悠久的犬神使一族·平川家的末裔--高中生平川启太，因为能力不足而被本家逐出家门。启太之后又不知为何被叫到祖母这里，在那里和名为ようこ的犬神相遇，经过一系列事件后两人结下契约开始一起生活。 ​​​

141 :吉他弹唱+鼓演奏~~三个萌死人不偿命的小正太纯情翻唱《董小姐》，小正太的魅力你挡不住！但是骚年，你们真的懂吗？ ​​​

142 :美女示范如何正确吃香肠，特别的吃香肠技巧，妹子~~你这么萌，你家里人知道么？ ​​​

143 :炉石传说NEL冬季赛超级联赛视频B组WE vs VG ​​​

144 :但是我每次没考好的时候，就是我没有努力造成的。。。 ​​​

145 :萌萌翻唱《残酷月光》，这次醉了~憔悴软妹纸超投入最迷人！赶快来围观吧！ ​​​

146 :理查德·克莱德曼《爱情的故事》，一杯咖啡，一本杂志，在旅途听着轻柔的音乐，美极了！ ​​​

147 :【活在深圳：足球是一种信仰】这个民间的球迷组织成立于2011年8月18日，这是一个开放的团队，进入这个圈子只有一 个条件，就是对米兰的热爱。米兰圈深圳战队，走过了第一个周年。没人会否认，足球这项运动还会继续下去，米兰圈球迷对于足球的热爱也将随之延续 ​​​

148 :小萝莉学坏蛋和笨蛋的发音，好有爱哦！ ​​​

149 :曹寅《如果云知道》，久违的渗入心底的“如果云知道”曹寅唱得真心不错，从上次的《会呼吸的痛》到这次《如果云知道》静静去听，眼眶真的会湿润。 ​​​

150 :我嗔道“那还有一片印记呢”“因为我醒来时发现原来他只是从我的梦中路过而已。” ​​​

151 :《步步惊情》热播，专访孙艺洲：从未否认已婚，只是不想炒作，与刘诗诗吻戏嘴角抽搐。 ​​​

152 :美女爱运动，但运动中一定要注意安全，不然容易受伤，而且还会很难堪哦。爱运动的美女可要注意喽！ ​​​

153 :箱里冻实了，然后取出来，把两只碗拿掉，一个完全DIY的真冰保鲜碗就做好了. 如 ​​​

154 :美女性感比基尼超清写真，人体模特搔首弄姿海边秀性感身姿，宅男们~~快来领福利吧！ ​​​

155 :超级偶像徐杰PK朱俐静《遗失的美好》！好磁性的声线，碉堡了！~ ​​​

156 :每个人都是有缺点的，爱情也不是1+1=2，而是0.5+0.5=1，每个人都要割舍掉自己身上不适合对方的那一部分，然后把两个人变成一个完整的1。——胡彦斌《在一起》 ​​​

157 :家庭幽默录像之我的搭档是极品，悲催了的二傻青年们，下次可得选些靠得住的搭档呀！ ​​​

158 :【《女神异闻录4:午夜竞技场》预告 原创萌妹角色亮相】由《女神异闻录4》改编而成的格斗新作《女神异闻录4：午夜竞技场》备受玩家关注，许多玩家都在期待这样一款由经典PRG游戏改编成的格斗游戏会产生怎样的化学效应。开发商为了给本作造势，公布了一段新游戏预告，展现了游戏中的原创角色Labrys。 ​​​

159 :孩纸不喜欢麻麻唱歌···麻麻~~求求你，请别再折磨我了！这位妈妈你太坏了啊！ ​​​

160 :《圣斗士星矢Ω》 第93集，从神话时代到现代，每当有邪恶出现之时，正义的希望斗士·圣斗士必然会挺身而出。他们身穿名叫圣衣的武具，为女神雅典娜而战。其中，数次救下雅典娜的青铜圣斗士·天马座星矢等人的友情与战斗的事迹为传说写下新的篇章…… ​​​

161 :“在我的心上，温厚的守望，来自于你的问暖，感觉像长出翅膀，月色亮，披肩毛毯，飞远了，总有你在护航，拥抱我，写满坚强...”——苏盈之《祝你幸福》 ​​​

162 :由张艺谋执导，陈道明、巩俐领衔主演的电影《归来》曝光首支主题推广曲MV，这支名为《跟着你到天边》的主题曲MV由韩磊献声，作曲家陈其钢以《渔光曲》为蓝本二度创作，并作词、作曲，崔弦亮、黄毅负责编曲。 ​​​

163 :有着少女心的外国大叔，一秒钟就被大叔的舞蹈给萌化了好嘛！千万别让死党见到你的女朋友，这风骚的舞姿和动感的音乐瞬间让人欲罢不能啊好嘛！每个男孩心中都有一个超级英雄的梦。网友「超能英雄系列创意合集」你最喜欢哪个英雄呢？ ​​​

164 :王祖蓝李亚男婚纱照曝光，玩亲亲、深情对望，手拖手“起飞”甜蜜无限，明年迪斯尼办童话式婚礼。 ​​​

165 :“旋转木马的情节，罗密欧与朱丽叶，华丽变身的冒险，脱轨的南瓜马车，还有玻璃鞋，每个眼神的瞬间，是首疯狂摇滚乐···”---苏见信《真爱遇到他》片头曲《爱情的滋味》。 ​​​

166 :日本鬼才新人Yun chi 《Shake you》PV化身耳膜精灵起舞！好可爱的造型~ ​​​

167 :百变人气偶像孙坚首张EP《公主驾到》第二波深情主打《你若安好便是晴天》正式发布。这首歌曲与孙坚的第一首主打《公主驾到》清新朗朗上口的曲风大为不同。他可以是在酷暑里给你清凉的冰淇淋男孩，也可以是在深夜寂静的夜里用歌声带给你里给你慰藉的王子。 ​​​

168 :情人节临近玫瑰价钱嗖嗖涨 ​​​

169 :检测和添加冷媒必须至专业修理厂操作，一般添加后，可以保证3-5年的使用效果。 ​​​

170 :游戏王 怪兽之决斗：第2集。 ​​​

171 :宅男们的福利，PLAYBOY花花公子女郎居室写真，烈焰红唇，性感的身材，妩媚的诱惑。 ​​​

172 :细数2013年网友们分享的生活中的悲剧，神剪辑！各种哀怨杯具的表情，调皮的字幕君你又火了！ ​​​

173 :巴啦啦小魔仙 第一季：第9集. ​​​

174 :棒球运动员柳贤镇与CUBE旗下艺人Trouble Maker、G.NA共同演唱歌曲《Smile Again》！“柳-Cube捐赠项目”为视觉障碍儿童送上温暖应援曲，才能捐赠所取得的音源收益将通过社会福利法人“韩光财团”转达给盲人学校的孩子们。 ​​​

175 :【英雄联盟之起小点多看点报11 琴女终极皮肤终曝光】 ​​​

176 :长腿美女大学生在寝室模仿中国好声音，妹子们，你们好会玩啊！ ​​​

177 :美女清纯学生装热舞《小苹果》，欢快的节奏~~愉悦的心情，舞动的节奏，根本停不下来！ ​​​

178 :不理会颈上的剑，她笑里满是嘲讽，是嘲她傻？抑或嘲他狠？从此，没了杀手朱雀，只余修罗死神。 ​​​

179 :Hawk Nelson曾为电视剧American Dream创作了“My Generation”被人们所认识，而一首“Letter to the President”让他们有了自己的名声。他们在影视中爱唱自己的作品。按主音Jason的说法：“我们的音乐商业味很重，也很琅琅上口。”——美国福音摇滚乐队Hawk Nelson 最新单曲《Words》。 ​​​

180 :“中国最强射手”独创中圈前后场投篮，38式中圈投篮2分进20球，此女孩直接秒杀NBA球星。。。 ​​​

181 :范逸臣《记得我们有约》主题曲《什么风把你吹来的》MV，为了展现歌曲中洋溢着热血活力的轻快节奏， MV特别远赴美国关岛拍摄，挑战高空跳伞拍摄，当范逸臣跟着节奏从高空一跃而下，瞬间-血液逆流，回归到最初的热血温度，就让身上的血液跟着范逸臣的热血摇滚精神一起升温沸-腾吧！ ​​​

182 :PLAYBOY花花公子Mash Up Monday-Sexy Mornings V，黑丝性感，丁字裤脱衣诱惑，应有尽有~~别错过哦！ ​​​

183 :王詩安 首张个人专辑《你好吗》第3波推荐主打《早熟》官方完整版MV首播！感谢爱情总是残酷，让我们提早成熟。致那一段 ── 期盼爱 / 委屈爱 / 执着爱 的青春期。爱让人早熟，却也让人经历种种难受，或许因为我们都曾有过稚爱，也才能找到挚爱。 ​​​

184 :逗比一箩筐，这就是损友的正确解读方式，为什么总不按常理出牌？如果你在野外迷失了方向，看美女怎么不穿内衣解救自己~~小宝贝累觉不爱，人与人最基本的信任在哪里？ ​​​

185 :“我想回去了。”“好。”回去时我强忍眼泪，因为刚刚耳朵突然剧痛， ​​​

186 :“看过了好多人的分分合合，或者在一起也不觉得快乐，总是在心里偷偷猜测，难道当初的选择是不对的，每个人都希望是最聪明的···”---李妍智《全民公主》片尾曲《我的笨是故意的》。 ​​​

187 :还有比这更酷的吗？Highland高中，49个人，48名学生，1位老师，8分钟的舞曲串烧，从头到尾只用了一个单镜头拍摄！超赞的编拍，音乐也混得超赞的！各位要毕业拍纪念视频的童鞋可以借鉴噢！ ​​​

188 :门头沟结婚车队清晰版,农村如今都这样了，让那些居住在城里快结婚的孩子们情何以堪！ ​​​

189 :七人魔法使：第9集。 ​​​

