陳潤韜Toto冷 女/北京         加关注
40 :爱情总是美好的，结局却不尽如人意。不要让那些无法改变的事毁灭了幸福，世界不相信眼泪，而我的泪水却在不停的流淌，不是女孩爱哭，而是，这个世界上令人感动流泪的事情太多了。 ​​​

41 :这封短信含有炭疽病毒，为了您及家人的安全，请您马上去医院检查，然后挖一深坑，把手机埋掉 ​​​

42 :十个团鱼跑一个——久别（九鳖） ​​​

43 :成功是很简单的事，只要方法正确。 ​​​

44 :中国队冲击世界杯战绩猜想八：进入四强。男人生娃，道理常理生理伦理上不可能，不过也未可知，现正争议得厉害。其影响力相当于爆发第三次世界大战 ​​​

45 :妻子：我们以后生三个孩子吧。丈夫：唉，两个就足够了。妻子：三个！丈夫：不行，两个！妻子：我说三个就三个！丈夫：生完第二个我就结扎！妻子：好吧，希望你同样爱第三个孩子。 ​​​

46 :主任医师大发雷霆：汤姆，这已是你这个月损坏的第三个手术台了，请你以后开刀不要开得这样深！ ​​​

47 :我们或许能勇敢的面对你爱的人不爱你，但是谁都无力面对当一个爱你很久的人转身离去，那种骄傲那种幸福荡然无存。请珍惜你身边默默爱你的人，或许，有一天当他真的离开了，你会发现，离不开彼此的，是你，不是他。 ​​​

48 :【母乳能存多久？】室温：初乳27-32℃12小时，成熟母乳15℃24小时19-22℃10小时25℃6小时。冷藏：0-4℃8天，往里放。冷冻：冷藏室里的小冷冻盒两周；和冷藏室分开的冷冻室，常开关门的为3-4个月；深度冷冻室0度以下，不常开门6月以上。 ​​​

49 :莎拉?布莱曼经典单曲《AWhiterShadeOfPale》，优雅的迷茫和怅然若失，大多数人一听到这首歌曲的开章旋律，都会有一种似曾相识的感觉。 ​​​

50 :如果每一只蝴蝶都是一朵花的灵魂，每一世轮回都只是为了找回心灵深处那份感激的归宿。那么，来世，让我来寻你，让我的双眸，望穿你的快乐和忧伤，在眼泪中许诺你一个盛唐。再相见，我只愿彼此浅笑，道尽一切，为彼此轻唱一曲长相守。即便那个“好久”要用隔世来诠释。 ​​​

51 :别给我说抱歉，因为我没把握跟你说没关系。 ​​​

52 :额头上倒冰水——从头凉到脚 ​​​

53 :关于你好的坏的都已经听说，愿意深陷的是我。 ​​​

54 :这个世界到底怎么了？ ​​​

55 :一不小心，为了吃的湿身了！！你个吃货… ​​​

56 :不管朋友还是恋人，当我说“算了”的时候，其实是包含了我太多的失望。 ​​​

57 :奖状绑在笤帚上——名誉扫他 ​​​

58 :不着窝的兔子——东跑西颠 ​​​

59 :李逵升堂判案——乱打一通 ​​​

60 :ˇ?来不及珍惜的已经不再留在原地。 ​​​

61 :鲁智深出家——无牵挂；无牵无挂 ​​​

62 :当我们爱一个人，会记得一些和他有关的画面。失去他以后，只要一想起，他就会出现，会出现在那些画面里。 ​​​

63 :一小学生向女老师告白。生：老师，我真的好喜欢你!师：可我不喜欢小孩子耶！生：老师，你放心，我绝对不会让你有小孩的！ ​​​

64 :1.那天你医好了一名瞎子，当他看见你时，他求你把他变回瞎子。 ​​​

65 :火车离轨——寸步难行 ​​​

66 :她喜欢他，他一直把她当妹妹，她一直看着他的女朋友不停地换。后来，朋友问她，“为什么不告诉他你喜欢他呢。”“我怕失去他。”也是，我怕失去你才不敢告诉你我喜欢你。我怕失去你才一直以朋友，妹妹这样无关紧要的身份赖在你身边。 ​​​

67 :一日读书一日功，一日不读十日空。 ​​​

68 :成功之花，人们往往惊羡它出现时的明艳，然而当初，它的芽儿却浸透了奋斗的泪泉，洒满了牺牲的血雨。 ​​​

69 :三尺长的被单——顾头不顾脚 ​​​

70 :红玫瑰。那是男人的热恋，火红热烈，震憾如电。不但可以紧拥入怀，还可以尽情亲吻。男孩经过红玫瑰的洗涤，就变成了一个男人。红玫瑰对成熟的男人来讲，是爱不释手的酒。 ​​​

71 :成功，是内心的造就。——拉尔夫.M.福特 ​​​

72 :ㄣ深夜降临，悲伤溢满每个角落。 ​​​

73 :中国股市是个大染缸，谁要是不小心把手放进去，就会失去本色，即使是金盆洗手，也洗不干净。洁身自好，请不要炒股。 ​​​

74 :喂，你是我的，只能是我一个人的。 ​​​

75 :你在白天的太阳前面是自由的，在黑夜的星辰前面也是自由的；在没有太阳，没有月亮，没有星辰的时候，你也是自由的。就是在你对世上一切闭起眼睛的时候，你也是自由的。但是你是你所爱的人的奴隶，因为你爱了他。 ​​​

76 :【如何让肤色均匀肤色均匀】不止是美白就可以达成，色斑、痘疤、暗沉都是肤色不均的祸首。如果不对症下药使用护肤品，只是一味的美白，是看不到美白效果的，这些问题也不会改善。因此，想要快点美白，解决肌肤问题，就是找到原因加以改善。 ​​​

77 :河里的凉水——不值钱 ​​​

78 :遗忘是成长的必备品要想成长你就活该被遗忘 ​​​

79 :【谁有我逗逼？！思考者化身可动figma亮瞎双目】11区的手办厂商们偶尔会推出一些口味非常独特的产品，让人无法吐槽究竟面向的是哪类销售群体，这不，知名模型公司freeing近日推出的这款思考者的可动figma就让所有人都跌破眼镜！ ​​​

80 :人的成长秘密，就是去不断淘汰自己，找到完美的路。 ​​​

81 :4、好好的管教你自己，不要管别人。 ​​​

82 :不断反思图片的不足，是让自己获得更好的习惯。但有些人总怕这一点，所以最终成为劣等摄影师。 ​​​

83 :【职场箴言】1、你的工作究竟是酷还是恐怖，取决于你自己的看法。2、低调做员工，高调做工作。3、自省和换位思考,是你职场交际的秘诀。4、让自己去适应环境，因为环境永远不会来适应你。5、大方一点，不会就学大方一点，再不就装大方一点。 ​​​

84 :寻找幸福，不如经营幸福。爱上一个人不需要靠努力，只需要靠际遇，是上天的安排，但是持续地爱一个人就要靠努力。好好珍惜你身边的那个人，其实幸福就在你身边！世界上的人虽多，但在下雨的深夜陪你回家的，实际上只有一个。 ​​​

85 :暗恋的思念没有甜蜜，只有悠长的钝痛。有时候半夜被恶梦催醒，你的身子卷曲在被窝里，突然很想很想他，仿佛他就在你背后了。可是当你转过身，才明白，原来一切都是虚无缥缈的，你们中间隔着长江黄河，隔着泰山黄山，这样的思念，只是怅然若失，只是徒劳，只是无力。 ​​​

86 :【桂平西山】以“石奇、树秀、茶香、泉甘”著名，西山古树参天、浓荫蔽日；流泉飞瀑、怪石嶙峋；寺庙楼阁、错落其间；摩崖石刻、相映成趣；名庵古寺、高僧驻锡。老八景、新八景闻名遐迩，故有“桂林山水甲天下，西山风景秀南天”的美誉。 ​​​

87 :【饮食调节】除了外部的各种美白产品以外，内部调养也是十分重要的。日常生活中，注意吸取维生素C和维生素B6，可以有效抗氧化，防止黑色素沉淀。可以通过食物进行补充，例如柠檬、西红柿、芹菜、鸡肉、蛋黄、鱼、大豆等。 ​​​

88 :火烧胡子——眼前就是祸；祸在眼前 ​​​

89 :【会竭尽心力来呵护你的星座男排名】冠军（双鱼座）、亚军（天蝎座）、季军（狮子座）、第四名（巨蟹座）、第五名（金牛座）、第六名（白羊座）、第七名（射手座）、第八名（摩羯座）、第九名（处女座）、第十名（天秤座）、第十一名（双子座）、第十二名（水瓶座）。 ​​​

90 :我想用我的全部，换取一条通往你心里的路。 ​​​

91 :不要离我太远，我无法承受那样的痛！ ​​​

92 :爱情就像照片，需要大量的暗访时间来培养 ​​​

93 :张勋复辟——痴心妄想；妄想 ​​​

94 :人贵在言而有信——我说不还钱就不还钱! ​​​

95 :做你自己喜欢的事，哪怕别人都笑你傻，你也完全可以全身心地去做，只要你喜欢，只要做这件事会让你快乐！只有你的快乐才是你该在乎的；别怕别人说什么，除了帮你快乐的话，你都可以不听。这样你的心就简单了，事就简单了，你的快乐就多了。 ​​​

96 :【原汁白蛤】做法：1）白蛤洗净控净水分。2）拣出个别开口而不能自己合上死的白蛤扔掉。3）大葱、生姜切片。4）起油锅，爆香葱姜。5）锅内放入适量的水，加料酒、盐大火煮开。6）放入白蛤。7）放入现磨胡椒粉。8）煮至白蛤蜊全部开口关火，撒少许葱末即可。 ​​​

97 :人生如蜡烛，火的燃烧和吞噬使蜡烛在烛光消失的一瞬间得到永恒。 ​​​

98 :人们甚至会为爱情发疯，自残，自杀。爱情究竟是什么？爱情当然是世上最美丽的花朵。如果说琐碎的日常生活只是粗糙的泥土，那么它的最美好的产出就是长出这朵美丽的花朵。 ​​​

99 :作为女人，不要以老卖老，认为事业跟自己没关系，以为自己就是洗衣服，做饭，看孩子，那就是大错特错。 ​​​

100 :人生所求，得之可喜，不得亦无忧。苦乐随缘，得失随缘。 ​​​

101 :新郎官揭盖头——真相大白 ​​​

102 :越是别人都羡慕我的幸福，我就觉得这幸福更有滋味。——巴尔扎克《驴皮记》 ​​​

103 :终于握紧你旳手，却是在梦里。 ​​​

104 :兄弟打架——有伤手足 ​​​

