happy阳光人生付亿 女/湖北         加关注
28 :沉郁的心情只有自己才明白，独特的伤感却不是自己所拥有的，外事外物的影响让我变得虚伪做作了许多，真的好多的话不能说出来，因为有笑有泪有天空的梦中我走了一条无怨无悔无尽头的路。 ​​​

29 :当一个伟大的思想作为一种福音降临这个世界时，它对于受陈规陋习羁绊的大众会成为一种冒犯，而在那些读书不少但学识不深的人看来，却是一桩蠢事。——歌德 ​​​

30 :狗喝凉水——耍舌头 ​​​

31 :“是的。你呢？” ​​​

32 :可我要在爱神面前对起誓： ​​​

33 :一个软弱的人不可能找到坚强的理由，只能找到软弱的理由；而一个坚强的人不需要坚强的理由。 ​​​

34 :世界在伪装,我们也是 ​​​

35 :女人一生如花：女人零岁是心花，待开放；女人十岁是梨花，太洁白；女人二十是桃花，真鲜艳；女人三十是玫瑰，迷死人；女人四十是牡丹，大气派；女人五十是兰花，极优雅；女人六十是茉莉，淡定清；女人七十是棉花，暖人心…… ​​​

36 :君子必慎其独也。为追问生存的意义而进行孤独的努力仍是值得的，面对生命的真相，再长的寂寞都会获得补偿。"我觉得孤独很快乐，如夜里12点你翻开一本新书，闻到墨香的感觉，这是他人无法给的。"崔永元说。 ​​​

37 :因为我希望所有认识我的人都知道你是个最棒的老婆 ​​​

38 :在我们的脑海里保险箱都是用金属做成，笨重而又坚硬，国外某设计师设计的这款橡木保险箱就打破了我们对保险箱的了解。它的内部零件构造与传统的保险箱基本相同，每个龄轮都是用数控车床加工而成，不同的是它的材料是橡木。尺寸为102*60*45cm，售价1000欧元。 ​​​

39 :曹操的人马——多多益善；越多越好 ​​​

40 :我生命的生命， ​​​

41 :袋鼠的睡相是酱紫的￣工￣ ​​​

42 :有些话说与不说都是伤害，有些人留与不留都会离开。如果我放弃了、不是因为我输了而是我懂了 ​​​

43 :【樱桃】含铁量丰富，因此具有促进血红蛋白再生的功能，可以防治缺铁性贫血，另外，樱桃还能使皮肤红润嫩白，消除黑斑。但十分要注意的是樱桃不能多吃，这是因为樱桃含铁量比较多，再加上含有一定量的氰甙，所以如果食用过多就会引起铁中毒或氢氧化物中毒。 ​​​

44 :每天提前一小时起床，绕一大圈守在你会出现的转角，再假装半路遇见的样子。 ​​​

45 :小学六年都是同桌。她爬在桌子上装作不经意的问：“喂，你有喜欢的人吗？”他看了她一眼。淡淡的说。“有啊。”她一下子紧张了。“谁啊？”把全班女生的名字一个一个的念过。他却都摇头。她问。“都念完了，你怎么都摇头啊？”他轻笑。“白痴。还有你的名字没念。” ​​​

46 :品酒师，擅长用味蕾来辨别各类酒品的味道，并为它们鉴定等级。一次体检，品酒师被告知体内寄生了一条酒虫，虽然医生说没什么大碍，但是品酒师好面子，害怕同行知道后会笑话他，于是他就做了个小手术，将酒虫从胃里取出来。结果自那以后，每次品酒的时候，只要抿一小口，他就会醉倒在地上。 ​​​

47 :【解决鱼尾纹方法：控制表情】平时总是喜欢大笑或者睐着眼睛笑的妹纸们，眼角最容易出现鱼尾纹，因为表情过于丰富就会造成眼角纹或各种，笑起来的确让人感觉亲切，但为了保持年轻，还是少笑为妙哦！平时也别让自己做出太多夸张的表情。 ​​​

48 :【黄褐斑女性不能喝浓茶】黄褐斑的女性在激光祛斑后可以适当的喝茶，但是不能多喝更不能喝浓茶。因为浓茶色素较重，浓茶进入身体后就会产生色素沉淀，这样很容易使得黄褐斑再次返回到脸上。 ​​​

49 :【坚果】空调、风吹、日晒都会消耗皮肤中的水分，坚果中的植物油大多富含维生素E，能帮助抗氧化和消除自由基，从内而外地软化皮肤，防止皱纹，同时保湿，让肌肤看上去更年轻，美白肌肤，还能有效阻止褐色素在皮肤中沉积，防止面部出现褐色斑纹、斑块。 ​​​

50 :暖啊暖 交朋友真的还是个需要花时间的事 有的人一眼看到觉得顺眼就说投缘 ​​​

51 :她下班回家，看到他还是坐在那里打游戏，心里不是滋味,"我累了，今晚你做饭吧","啊，又让我吃泡面呀",她呵呵一笑，连基本的关心都没有，想了想"我们分开吧，我不想在这么过了","为什么不是挺好的嘛，又咋了,我做饭还不行嘛","呵呵，跟那没有关系，不想在一起了，你明天搬出去吧" ​​​

52 :到北京出差，去附近的一个咖啡厅，发现这里是十年前自己经常和初恋约会的地方。他忽然想起了什么，忙叫服务员把老板叫过来，竟发现是她。她坐下，“你还好吗？”他们异口同声。他接着问，“你是这的老板？”“不，我是老板娘。”她答。他心一痛，问：“老板是谁？”她淡然一笑，“是你。” ​​​

53 :天气热得吓人，他坐在书房，开启了空调和电脑。冷风猛烈地吹过他的头。忽然，他好像听见了水滴掉落在木板上的声音。一滴落在他的脸上，他伸手，粘的，就像……口水！他又听见一声声的低吼从头顶传来。他慢慢抬头——白色的天花板上，只有空调。 ​​​

54 :一年了，他几乎时时刻刻都在观察她，他经常沉浸在她那如水般的笑容中，他知道他自己已经无法自拔，他站在她每天必经的路上想向她表白，她向他走来，近了，近了，刚要张口，她却从他的身体中穿过，他愣在那里，脑海中想起一年前那场车祸。。。 ​​​

55 :【盐加牛奶去黑头】盐加牛奶去黑头千万不能用粗盐，毕竟鼻头上的皮肤也是很嫩的，取少量食盐，用4-5滴牛奶兑入，在盐快溶解的时候开始按摩，这个时候还没有完全溶解的盐颗粒能有效的帮你去除黑头的干扰，半分钟后洗去，洗完可以不用擦任何保养品。 ​​​

56 :超市排长队，轮到某男时,他跟店员说要买50个套套。结果某男后面两个MM抿着嘴一阵乱笑。于是某男回头用阴沉的眼神扫了她们一眼！然后又对店员说：“等等，改成52个。”于是整个场面成功Hold住了！ ​​​

57 :年少束冠，心锋胜刃，出鞘敢杀天下。合礼拜堂，嫌儿女情长。沙场当家，挥鞭叱咤，白骨作马踏。鬓发将白，仍不敛少年心，背佝当弯弓，指抖去效忠。老来拄杖，马首已故，一脚入土。撑着不闭眼，棺里摆剑。 ​​​

58 :他从自己的书房里消失了，我在他书桌上找到很厚一摞书，我觉得这和他的消失有关，于是我开始读。那些字好像有魔法一样吸引着我，当我一口气看完七本，我发现我不在书房里而在一个巨大的坑里，里边有很多人，他也在，他说这个坑叫盗墓笔记… ​​​

59 :他站在邢台上，风吹起他凌乱的发，更显狼狈，犀利的眼却看向那高台上面无表情稳坐的身影，朗声而笑，曾经你要夺得这万里江山，我便蒙蔽双眼为你百般算计， ​​​

60 :第一世，她是个青楼女子，他嫌弃她，说她不知道羞耻。第二世，她是个青楼乐师，他说青楼是个有辱斯文的地方，那里的人也不会好到哪里去。第三世，她是个戏院花旦，他又说，戏子的心能有多真呢？我在慢慢改变命运，却仍不及你的挑剔……我到底哪里做错了？ ​​​

61 :她出生那天，他开心的合不拢嘴。她上学了，他每天接送她，大学毕业了，她找不到工作他说慢慢来大不了我养你。结婚那天，他把她交给新郎嘱咐新郎好好照顾她。他老了，最喜欢坐在院子里翻着那些她曾经的照片。临终，他的嘴里念着她的乳名，而她在他闭上眼睛时哭了，知道从此最爱她的那个人再也不在了。 ​​​

62 :东子有个妹妹，据他说是捡的，自小两个人是各种比拼，奈何妹子彪悍，东子自小便没赢过。一日两个人欢快的去游泳，东子终于赢了一回，因为他的妹妹不会游泳。然后东子拎着妹妹回了家，还是整天和他妹妹吵架，父母没办法，便把他送到了我这里。因为我是个医生，专治精神病。 ​​​

63 :【去眼袋方法】给眼部进行按摩,用无名指指腹按在眼袋部位轻轻按压大约十次,无名指的力度比较小,不会对眼睛带来太大伤害.坚持下去,你会发现眼袋明显改善了,还可以对抗起床后或是大哭后的眼睛浮肿。 ​​​

64 :大蒜吊灯（GarlicLamp），整个灯罩就像一个超大的大蒜，通过一条绿色的吊绳挂在天花板上。灯光通过底部的孔定向射出，也可从半透明材质的蒜壁四周透出。将它挂在餐厅或者厨房，将是个不错的选择。 ​​​

65 :北京力推全民阅读超40%国人全年不读一本书http://t.cn/RyxDKrL ​​​

66 :换位思考，就要随时为别人着想，转换角度，角色。抛开自我思想的限制，这样，生活中就能处处顺意，讨人喜欢，得到他人的尊重，成为社会的上等人，才能创造出人生的价值！ ​​​

67 :八十岁老翁挑担子——心有余而力不足 ​​​

68 :【元阳梯田】元阳梯田位于云南省元阳县的哀牢山南部，是哈尼族人世世代代留下的杰作。元阳梯田规模宏大，气势磅礴，绵延整个红河南岸的红河、元阳、绿春及金平等县，仅元阳县境内就有17万亩梯田，是红河哈尼梯田的核心区。元阳梯田，一个美到让人窒息的地方。 ​​​

69 :脑门生疖子——额外负担 ​​​

70 :小?样?，?这?点?还?是?难?不?住?我?的?。 ​​​

71 :【恋爱心理学】遇见通往结束，如果你思念一个人，始终放不下这颗心，赶紧见一面，这样许多东西都可以重新确认。这样，当你放弃的时候才会心甘情愿。亦舒说，相熟产生轻蔑。的确如此……没见的时候，想象中的时候，都是那么美好，可是，见了，就再也没有感觉了。 ​​​

72 :吹鼓手办喜事——自吹 ​​​

73 :所谓爱，就是当感觉、热情、浪漫统统拿掉之后，你仍然珍惜对方。 ​​​

74 :【《侏罗纪公园：余波》新演示及截图无限碾压国产大作】今日著名Modder“conceptcrash”为我们带来了侏罗纪公园MOD新作《侏罗纪公园：余波》的最新演示以及截图，作为一款非盈利的粉丝向作品，游戏的整体质量都非常的高，不知道国内那些所谓大作的游戏厂商看到后会不会脸红。 ​​​

75 :【创意设计】Antonio Rodriguez的金属骨架躺椅， 不知道有没有弹性。 ​​​

76 :【零厨艺打造——红烧鸡块】1.鸡洗净，剁成方的块；2.把鸡块倒进盆内加入蒜、料酒、大葱、酱油拌匀，腌30分钟;3.把鸡捞出控干，下入热的油锅中；4.倒入适量的清水，5.放入白糖，6.加入刚才浸泡过的汁，收干就可以起锅。 ​​​

77 :【家长也要给孩子上“生活课”】1.成功的孩子不仅是学习上的成功，也是性格上的成功；2.引导孩子摆脱困境。培养他们应付困境乃至逆境的能力。3.不要让孩子过于优越。不知柴米油盐、不懂生活疾苦、不会自我独立，这样的孩子不会是优秀的孩子，因为他们缺乏生活能力和感知。 ​​​

78 :Inthemindhavehope,andhappinesswillcomeyou;Hearthaveadream,theopportunitywillbeoveryou.~~~心存希望，幸福就会降临你；心存梦想，机遇就会笼罩你。 ​​​

