本困困熊今天也很困 女/浙江         加关注
43 :拍照虽然快乐，但是太麻烦了！！尤其是去温州啊去杭州啊！！太太太麻烦，又实在不好意思找谁陪我去5555，明天去温州拍写真集 准备拽上我妹这个倒霉鬼，第一次穿吊带拍写真?今天晚上还得去买个脱毛的和抹胸之类的！这个月还要去趟杭州，和小羊约的还有两组还没拍！还要纠结什么裙子....脑壳疼疼 ​​​

44 :上回中秋的时候，有个在绍兴人在温州上大学的摄影师约我去洞头拍写真集，可惜那时候我在绍兴不回家，今天！之前帮朋友找的一个摄影师来约我，国庆去洞头也是拍写真集，还有提供衣服！太开心了吧！！！！ ​​​

45 :在路上默念，要是在寝室找到电话卡，就好好学习，不睡觉，幸好找到了[泪][泪][泪][泪] ​​​

46 :昨晚胃痛一直睡不着，睡着了也是做噩梦，又胃痛痛醒，早自习坐教室里被毒蚊子咬了又要烂了，去食堂排队排了老半天别人直接插队买，吃饭的时候后面的女孩子起来拿包甩到我的腰了，痛叫了一声她也没有任何感觉.....昨天刚办的电话卡丢了。除了最开心的事情，就是最倒霉的事情了。落泪 ​​​

47 :我恨。胃痛。[拜拜] ​​​

48 :纠结完买哪个手机之后纠结插哪张卡，然后再纠结要不要换个号码之类，还要纠结手机壳。nmb，疯辽 ​​​

49 :希望回家那天脸色好点儿，妈妈就不会说很多啦！不过我猜她又要说我瘦了...痛骂我一顿 ​​​

50 :总是想着，别穿裙子了，等腿养白白，等疤都淡下去，再穿小裙子吧！！然而不穿裙子，根本做不到...... ​​​

51 :刚刚吃完早餐，张峰(学生处处长)迎面走来，在纠结要不要喊老师好，没喊出来，就对着她笑了她:嘿嘿嘿(笑的贼可爱)小朋友惊了 ​​​

52 :呜呜呜，还以为要跑十圈了[泪] ​​​

53 :扣你妈呢。[费解] ​​​

54 :分享图片 ​​​

55 :今晚我是脏小孩 ​​​

56 :今天唯一开心事 ​​​

57 :昨天晚上和绿绿散步的时候，降低了亮度。喜欢 ​​​

58 :今天这么冷，我居然穿短袖，雯雯摸摸我的手问我怎么这么冰，我好冷啊 ​​​

59 :小超熬夜快乐 ​​​

60 :喜欢，是永远藏不住的 ​​​

61 :眼睛太累了，所以一直在掉珍珠，我恨手机[拜拜] ​​​

62 :哭有屁用，哭能当饭吃? ​​​

63 :老公[泪][泪][泪] ​​​

64 :“people sure change” ​​​

65 :算，了，吧。 ​​​

66 :今天看考场的时候，155视角。。。。。。。我恨 ​​​

67 :不停找事情，避免胡思乱想以及犯贱 ​​​

68 :太幸运了吧！同班一个考chang的有两个人！！[泪]有一个还坐我前面的前面 ​​​

69 :恶臭女孩本人。爱骂就骂吧。 ​​​

70 :不能再吃甜的了，牙齿要烂光了 ​​​

71 :你关注我干嘛 又不吊我 ​​​

72 :再哭下去眼睛都要瞎了吧 ​​​

73 :眼睛长屁眼儿上了吧?操您妈? ​​​

74 :早上开学典礼，发现超乖超乖的18小学弟，我们几个把他都要盯脸红了哈哈哈哈哈 ​​​

75 :到现在，我就买了餐巾纸和卫生巾！我倒 ​​​

76 :明天！！！剪头发！！！！！！ ​​​

77 :知人知面不知心，最烦被人背后讲闲话 ​​​

78 :少问问，有的朋友真的不靠谱 ​​​

79 :不多不少，也就哭了十次吧[拜拜] ​​​

80 :烦烦。开学第一周就是我们班值周，扫了一个小时的操场。。呜呜 ​​​

81 :小超真是犯贱呢 ​​​

82 :为什么总是跟我说“互相喜欢为什么不在一起呢” ​​​

83 :最喜欢和朋友，不论男女，怀念以前的快乐 ​​​

84 :痛经ing ​​​

85 :太无聊引发的照片 ​​​

86 :正经玩微博 ​​​

87 :取关至输入验证码 ​​​

88 :夏天啊 ​​​

89 :早餐份的糯米饭 ​​​

90 :没睡午觉的下场，看视频直接昏睡过去....... ​​​

91 :大前天份的瑜伽姐妹（那天练了之后....酸爽的要命，我爱三轮车，代步完美工具） ​​​

92 :一个小时内画完作业，开心开心。今天可以早点睡了 ​​​

93 :eat dinner ​​​

94 :分享图片 ​​​

95 :令人开心的酸辣粉 ​​​

96 :分享图片 ​​​

97 :高温瑜伽＝汗水洗澡 ​​​

98 :夜晚使人冲动，交了拍写真的钱。okok晚安就当减肥的动力吧 ​​​

99 :接上一条微博产生的表情包 ​​​

100 :极度缺乏自信心 ​​​

101 :分享图片 ​​​

102 :早上和雯雯偷懒没晨跑被抓了qwq不过很久没有这种被处罚，莫名很爽（初中啥坏事名单里都有我）体重卡在平台期两个星期终于在上个星期六拉肚子中渡过了晚上再一次准备旷课被教导主任发现，幸好我和绿绿溜得快，麻油被抓住，嘻嘻 ​​​

103 :昨晚吃了子子的梅，早上起来拉肚子！！爽！！不敢喝青汁，怕效果翻倍，明天再喝 ​​​

104 :吃了雯姐带回来的丽水梅干菜粽子，幸福指数爆满！！！！ ​​​

105 :近日最心心念念的粽子！！！[泪][泪][泪]我爱奶奶[奶奶]！！！ ​​​

106 :总是要去照顾身边的人的感受，好累啊想和没心没肺的人交朋友 ​​​

107 :放过我吧108的姐妹们.....全部人在我面前吃夜宵吃零食，加上肚子饿的咕咕叫又不能吃....什么滋味...........真的要掉眼泪了5555555似曾相识，某个下午，她们都在吃烧烤，而我在充斥着烧烤味的寝室做运动！！！ ​​​

108 :语文课班主任又不上/他嗓子哑了然后我们这组一般都是睡觉的某个角落的几个人太吵了！！！生气被吵醒n次，动不动尖叫，我还以为班主任不在都准备骂了，然后听到他的声音，算了算了..高中语文课就没安静过，无语 ​​​

109 :被初一小学妹宠爱了，昨晚去教室做黑板报了，回来同学带回来说小学妹拿画室给我的，笑死了太可爱了吧小朋友们，还记得我有泪痣！！厉害捏 ​​​

110 :星期二晚上的梦话（来自阿树的记录） ​​​

111 :和雯雯在放学路上:我:我们来用水果骂人吧！雯:你个榴莲！！我:你个水果！！！(我俩爆笑哈哈哈哈哈哈哈）雯:我，水果，打钱 ​​​

112 :分享图片 ​​​

113 :每天在雯姐监督下做英语试卷，天天抢我手机不让我碰55555 ​​​

114 :戴眼镜戴了一天，摘了什么都看不见 ​​​

115 :早上语文课在睡觉觉/醒来开始做题/英语课在做试卷我简直是画室清流了...昨天晚上画室除了去跑步的，其他的王者的王者吃鸡的吃鸡，只有我在弄画画的，今天下午也是，只有我一个人在画画这个一个星期比别人多画了一张半画完拍给老师看，我真的太认真了！！！颈椎病又要犯了，疼的要命 ​​​

116 :不要再说“我不会离开”这种蠢话了 ​​​

117 :！！！！！！！ ​​​

118 :我昨天晚上讲梦话了...姐，xxxxxx（她们没听清）好亮好可爱！！妈呀智障T T ​​​

119 :生日班会/吃鸡吃到吐/我最爱的丧尸片捧着一大箱奶茶上楼（所谓的别人班）被全校围观，整个楼道的惊呼 ​​​

120 :走到教室坐下整个人晕乎乎的qwq好像是昨晚没睡好吧早餐吃了鸡蛋！！！第一次！！！自己吃鸡蛋！！我是一个挑食的girl，驴驴说我不吃蛋所以长不高不吃红枣不吃枸杞不吃木耳...一切补身体的我都不爱吃，闻到都想吐高一住柯桥的时候，阿姨每一顿早餐都带有红枣啊什么什么补的那种喝的，后果就是， ​​​ 全文

121 :寝室里每天都很happy啊/画室也是每天都有今日笑话/说不完的梗芳在玩吃鸡，喊我:诶！隔壁的！我:我他妈有名字！！！！！芳:楼上的网好吗？？（明明是上铺给她讲成楼上）然后就开始了...上面庄.上面隔壁雯.对面涔.隔壁芳balabala七嘴八舌，笑的床震 ​​​

122 :吸取教训再也不住偏僻的地方，太麻烦了！！来来回回要两个小时，不得不带着行李箱出游...麻烦麻烦麻烦 ​​​

123 :和张张坐地铁来高铁站...迷失在地下一楼兜圈子...找了好久才发现还有再上一楼.....昏了昏了然后插队进站，喊前面那个人叔叔 他没听见 直接站了他后面...然后后面是一个同龄人，估计他以为我喊他叔叔了！！不是一般的尴尬！！！！ ​​​

124 :我的眼皮最近一直处于双眼皮和三眼皮的交换痴迷外双的我 ​​​

125 :昨晚去逛了北仑的银泰，第一次和别人去逛服装店！！虽然....没有买到合适的，从小到大最讨厌逛街了...觉得换衣服超麻烦！！我爱淘宝！！！比绍兴的银泰大了两倍的感觉啊，还有初中生or高中生？？在跳街舞爵士什么，在学校看多了真滴觉得，他们跳的好垃圾（偷偷diss）吃麻辣香锅把衣服弄脏了，筷子 ​​​ 全文

126 :这阵子最爱的歌了，把《你好，旧时光》和《最好的我们》补完了，校园剧我真的好爱啊。！！纯粹的喜欢，简单的暗恋，最喜欢了。以前的我观念一直都是: 喜欢不一定要在一起就是很早以前，喜欢有个男孩子，但是我是暗恋他，他是明恋我（家长老师都知道）但是他都不知道我喜欢他！！因为那时候还小， ​​​ 全文

127 :超like这个民宿！！！超有家的感觉啊啊啊！！！床软绵绵的太符合我的心愿了！！！！和张张从到这个房间开始一直瘫着了...噗房东的儿子来地铁站接我们滴，是个穿黄t的小胖子哈哈哈哈哈哈好想捏他脸蛋儿啊！！！这个房间号正好是520，好有缘 ​​​

128 :宁波到处都是一点点啊！！！目前已经逛到六家了...真滴牛一开始阴天，凉嗖嗖的超舒服啊一点都不闷，断断续续的下雨，腿酸酸，边走边吃真是太爽了，和张张吃的怀孕三个月肚子QAQ刚上地铁，要坐十七站...回民宿躺个一个小时再出门玩幸好决定来玩了！！本来昨晚的怪风让我俩害怕的在决定退民宿了（ ​​​ 全文

129 :困困熊今天也很困 ​​​

130 :四点多的时候就醒了..然后断断续续睡到七点十分，张张来叫我起床，磨磨蹭蹭收拾到八点二十上滴滴（此时此刻还在滴滴上）其实是九点半的动车到动车站要半个小时左右，张张说她这几天做梦老梦到赶不上车，由此！！我们要早点出发！！吃了食堂的奶黄包，回寝室被蚊子咬了两个包.....往校门口走的时候 ​​​ 全文

131 :心情好的时候每天都是过生日，过生日就是因为开心呀，要是不开心还算什么生日呢？收到了好多人的红包，好多句生日快乐，毛毛的情书（本年度最爱）说无数次了，要开心啊 ​​​

132 :宝贝箱抱着自己滴照片儿，太太太太太太q啦！！（可爱到冒小泡泡°°°°°°°°°°°°°°） ​​​

133 :我爱我爱我爱！！！ ​​​

134 :试一下水印/昨天晚跑的时候拍的/好久没拍照了哦 ​​​

