大呲花1985 男/山东         加关注
16 :这东西是由[奥特曼]英国皇家艺术学院的学生发明的一种导电墨水，它无毒，可因此以直接涂抹到皮肤上。它最特别之处就是可以导电，表演者可以涂上这种墨水，再配合上LED发光灯和各种电子元件做出各样特别的舞蹈。 ​​​

17 :【《盗墓笔记》[困死了]动画启动！南派三叔欲打造最强国产动画系列】《盗墓笔记》可以说是盗墓题材小说中人气最高也是最为经典的一部，自同名改编电视剧开拍以来就受到大量粉丝的关注。而日前，又有一个重磅消息公布：《盗墓笔记》动画正式启动！ ​​​

18 :我去流浪狗救助站当义工，祈求找回走失的爱犬巴克。巴克原本不叫巴克，我自私地将前男友的“罪名”扣给它。幸运的流浪狗们被领养走，巴克[doge]却始终杳无音讯…直到某天傍晚，我看见前男友牵着巴克从救助站门前走过，身后跟着他未婚妻。巴克！回来！呼喊声像鱼刺般卡在了我喉咙口，因为巴克脸上洋溢着 ​​​ 全文

19 :她是歌姬清璃，嗓音空灵魅惑，倾绝天下。爱慕她的男子数不胜数，她都一一拒绝，世人都道她清高。可谁知她数月后便下嫁于一男子，不过普通人[害羞]一个，世人皆惑而不解。唯独她轻轻笑。只是想要一生一世一双人罢了，这是你们都给不起的。 ​​​

20 :【仓储城】这座百年[微风]仓储城位于堤坝之门展览馆与树城之间。而在这里等待观众的将是一幅田园诗式的景色，人们恐怕无论如何也不会想到在一个世界级港口还会有这样的景色。这里既有威廉明尼哥特式砖结构建筑，也有奇特的山墙和小塔楼。 ​​​

21 :爱情路上，谁没有分手的念头，谁没有挣扎的感觉？如果没有了矛盾和瓶颈，爱情[喝多了]就是一种摆设，就是一潭死水罢了。 ​​​

22 :世界那么大[最右]，可以容纳我们那么多的烦恼。 ​​​

23 :编辑点评：“大树”下的空间融汇贯通，小微渗透空间，大尺度放射木梁。在天窗透射的阳光照耀下，层层叠叠的木料富有韵律地逐渐[偷笑]上升，演绎出一曲自然质感和光影相辅相成的华彩乐章。 ​​​

24 :【小动作改善身体健康】先将左手从肩部伸向背[落叶]后，与背过去的右手相握，然后双手相拉，胸部尽力前挺。之后再将右手从肩部伸向背后，与背过去的左手相握，双手相拉，胸部尽力前挺，如此反复3-5次。有扩胸健乳、柔软背部的作用。这对女性防止乳房下垂有特效。 ​​​

25 :狐x仆ss髅髅宫[xkl转圈]歌留多cn：澪绫. ​​​

26 :【教导孩子要有责任心】只有具有很强的责任心[微风]，勇于承担后果，才可能成为一名合格的领导者。因此，要想使孩子具备一定的组织能力，责任心的培养是必不可少的。事情无论大小，家长都应该让孩子做到有始有终。如果孩子对某事提出承诺，家长必须要求他言而有信； ​​​

27 :水瓶座只想简单快乐的活着，期待并且相信每个人给的笑容都是真心的，希望身边的人都是真正的喜欢自己。即使别人小小的意见，也会令他们难过好久，他们真的很介意，介意自己不被人喜欢。因为[不要]，他们总是为别人想的很多，对自己喜欢的人总是比对自己好；把能对喜欢的人好当做幸福，喜欢别人比喜欢自 ​​​ 全文

28 :【心理建议】人生需要几分自我的鼓励，不管在什么时候，要有几分信念和信心，生活少不了哭哭笑笑。青山绿水依然在，来来往往人不同，要学会看得惯，还要学会看得[右哼哼]开，你内心的平坦是人生最真实的风景。 ​​​

29 :【河北今年尚需淘汰黄标车4[握手]3万辆】近期，环境保护部根据车辆登记时间、不同类型、不同燃油种类等条件，进一步定义了黄标车的标准。从省交管局了解到，根据最新标准，河北省今年尚需淘汰黄标车43万辆，比河北省拟淘汰的黄标车数量增加了40余万辆。 ​​​

30 :有时候给的承诺，不如不给，[晕]因为你给了没实现，比没给更伤人。 ​​​

31 :【恋爱心理学】[花心]高级的感情，最终形成精神和意识；低级的感情，只能沦为脾气和情绪。 ​​​

32 :【侦探格里莫尔】让游戏独具一格的是它的画面效果和鲜明的角色性格，外加其它一些创新的地方，比如一些设[奥特曼]计非常新奇的谜题和一套通过拼凑故事来推动剧情发展的故事系统，所有喜欢点击式冒险解谜游戏的玩家都能够在这款作品中找到满意而且极具新意的体验。 ​​​

33 :【说话晚的孩子智力有问题？】孩子由于个体的差异，表现在语言能力方面也是开口有早有晚、表达清晰不清晰的区别。妈妈们只看到孩子说话晚的结果，却没有思考可能造成孩子开口晚的原因，着急地给孩子扣上智力有问题的标签，这对孩子的[呵呵]成长是非常不利的。 ​​​

34 :【《武神3》年末巨献神秘资料片即将开启】《武神3》年度神秘资料大片即将[最右]曝光！期待已久重磅打造的全新“神秘副本”在这个2014年末即将与大家见面。本次神秘副本从小编拿到的图片上看是不是像仙人归隐的山里，这一次究竟有着怎样的惊喜，让我们一起慢慢揭开这层神秘的面纱吧！ ​​​

35 :【心理提醒】到了一定年龄，[good]便要学会寡言，每一句话都要有用，有重量。喜怒不形于色，大事淡然，有自己的底线。 ​​​

36 :【经常带着孩子走出课堂】好奇心强是孩子的天性，老师会在确保孩子安全的前提下，带孩子到教室外或者周围的公园等去活动，这样[干杯]可以让孩子认识更多的东西，也消除了课内活动的乏味性。 ​​​

37 :【天秤座的真面目】多情的外表，专一的内心。贪睡的脑袋，吃货的嘴。管[噢耶]不住的性子，火爆的脾气。坚强的外表，脆弱的心。对爱情很迟疑，对友情很慎重。讲义气的性格，总吃亏的主儿。一颗小小财迷心，一点微微发财梦。选择恐惧症，夜猫症候群。天秤是你吗？ ​​​

38 :【生存恐怖故事：布道】《生存恐怖故事：布道》的剧情很简单，玩家在游戏中扮演的Daniel一角，前往女友Sophie拜访其家人。不巧，事情出了岔子，Sophie的老爸身患绝症，救治她老爸的唯一方法就是搞一[汗]个令人毛骨悚然的宗教仪式。 ​​​

39 :补见她目光坚定，他无奈道“罢了罢了……”她轻声说“这世间没了你，我要如何活下去，今生我定要陪你”，他满目柔情道“若有来生，我定娶你为妻[闭嘴]”他俯身亲吻她的红唇。敌军万箭齐发，他将她搂入怀中，万箭穿心，她笑了，嘴角溢出鲜血，能死在你怀里，也是极好的。 ​​​

40 :那天和老公逛街，路过一个时装店，看到里面的衣服真不错。我对老公说：“这家的衣服真漂亮，咱进去逛逛。”老公：“逛什么逛[噢耶]！这种店里面的衣服都超级贵，你带钱了没有？”我一看钱包没多少钱，说：“没有。”老公：“那走，进去逛逛。” ​​​

41 :【香煎小饭团】做法：1）香菇泡发、洗净，香芋去皮洗净，二者切成细丁。2）放入加热过的剩饭和匀，加少许食盐、胡椒粉。3）倒入生抽，米饭放入保鲜膜中捏成团。4）鸡蛋2个打散，米饭团捏成型后去除保鲜[哈哈]膜，放入蛋液中。5）均匀沾满蛋液，将之放入热油锅中，小火，外表煎黄。 ​​​

42 :天蝎很粘人,对自己信任和在乎的人会超级有依赖性。天蝎还很喜欢折磨自己爱的人,明明是小事却会惹到再好脾气的人都火起来。但是天蝎在折磨别人的同时自己的痛苦是对方的十倍百倍。只会对自己[思考]喜欢的人温柔。感性绝对大于理性,很善良很心软易感动,百分百是为了爱情可以放弃面包的人。 ​​​

43 :【0-3月教育】当宝宝长到6个月的时候，他/她应该可以：1）趴着时能抬起头和胸部；2）伸出手去抓悬挂的东西；3）抓住并摇晃物体；4）朝左右两个方向滚动；5[转发]）用手扶着时可以坐起；6）用手和嘴感知物体；7）开始模仿声音和面部表情；8）听到自己的名字或看到熟悉的脸时有反应。 ​​​

44 :【伊丽莎白雅顿进口化妆品被检不合格】8月12日讯，国家质检总局近期公布了最新一批进境不合格食品、化妆品信息，[礼物]共有196批次产品因质量安全项目不合格被曝光，其中，伊丽莎白雅顿、高露洁等知名品牌均上了黑名单。 ​​​

45 :【阳岭】阳岭是一座自然人文景观荟萃之山。方圆十余里，景[鼓掌]观瀑布，有秀峰36座，飞流瀑布九处，竹海十万亩，杜鹃百顷。云海、兰溪、奇石、雨林、杜鹃、竹海是“阳岭六绝”。并有云隐寺、“五福九寿”石刻等多处古迹，自然人文景观荟萃其间，融和合璧，交相辉映，璀璨夺目。 ​​​

46 :书，能释怀内心的孤寂，惆怅，贫乏，它虽不像你的爱人那样亲密，你的孩子那样亲切，但它足以成为你的良师益友，你的知己，是你心灵空虚的温馨补药，犹如雨后的[给力]阳光明亮温暖，永永远远的挚友，把快乐笼罩在你身上，处处散发着一股股美丽的芬香，至始至终！ ​​​

47 :【巫医魔力之谜】据说在菲律宾一位巫医有将事物实体化和虚无化的双重能力。每当巫医进入轻微恍惚的状态时就会获得超自然的能力，只需和患者有着少许接触甚至是无接触，就可为患者做外科手术。他们可以将患者体内的异物移除，并为患者镇痛。至今仍没有有力的[泪]证据可以破解这些巫医长久以来的特异功能 ​​​ 全文

48 :这大概就是单身一辈子的[偷乐]原因吧 ​​​

49 :【企业智能手机市场柳暗花明：机会仍巨大】7月18日讯，许多人都认为，BYOD（携带自己的设备去工作）已成为全球趋势，尤其是在美国。换句话说，许多人都会在工作中使用自己的个人智能手机。但实际情况并非如此。医疗和金融服务等监管更严格的行业对BYOD非常抗拒，而相关公[同意]司仍在采购智能手机。 ​​​

50 :一天，米歇尔对奥巴马说：“老奥，最近见你怎么总是郁郁寡欢，茶不思，饭不想的？”奥巴马带着疲惫的声音说道：“哎，叙利亚局势，伊朗核问题，恐怖主义，国内就业……这些问题哪个不得我操心啊。”米歇尔不以为然地[赞]说：“拉倒吧，你那点心思我还不知道，又想凤姐了吧？” ​​​

51 :【豉汁肉末蒸菜心】菜心洗净，少量豆豉切碎，肉末放酱油、料酒腌制；葱姜蒜末炝锅，放入肉末和豆豉炒香，[雪花]倒适量豉油、香油，撒白胡椒粉；加一点点水，浇在菜心上；放入烧开了水的蒸锅蒸三分钟即可。 ​​​

52 :【瞿昙寺殿】位[吃惊]于青海省乐都县城南21公里处的马圈沟口。背依罗汉山，面临瞿昙河，北傍松花顶，南望照碑山，是一组古色古香的明代建筑群。自明洪武年间创建迄今，已历600多个春秋。 ​​​

53 :【白[太开心]领女性养生六要点】①常在外就餐者平时应多食用蔬菜、水果、豆制品、海带、紫菜等食品。②在连续使用鼠标一个小时之后就需要做一做放松手部的活动。③在上午光照半小时对经常萎靡、有抑郁倾向的人效果尤为明显。④熬夜族要多喝白开水。 ​​​

54 :谋事在人，成事在天。生活中诸多不易，与其固执已见，钻牛角尖，不如放[din推撞]松一下，来点自嘲。自嘲是生活的艺术，是一种自我安慰和自我帮助，是对人生挫折和逆境积极、乐观的态度。它并非逆来顺受、不思进取，而是随遇而安，放弃可望而不可即的目标，重新设计自己，追求新的目标。自我解嘲，活出 ​​​ 全文

55 :【腾冲火山地热国[哼]家地质公园】现有97座火山体和数级熔岩台地，是我国四大火山群之一。据考证，腾冲县城是建在90万年前喷发冷却凝固后溶岩之上的。公园内的火山锥、火山熔洞、熔岩石地、火山湖、堰塞瀑布、柱状节理规模宏大，分布集中，保存完整。另有大空山、小空山、黑空山、柱状节理、墨鱼河等景 ​​​ 全文

56 :选择欢[威武]快的色彩，简简单单的设计就够了，衣服的剪裁让肩膀和胸前的线条很漂亮! ​​​

57 :【《轩辕剑外传：穹之扉》官方COS美图】经典国产单机游戏《轩辕剑外传：穹之扉》早前公布了各大主角信息，引起了大量玩家的围观，为了让更多国内玩家爱上该作，官方今日推出《轩辕剑外传穹之扉》官方COS首批定妆照。通过他们的精心制作与[浮云]用心诠释，生动还原人物设定形象。 ​​​

58 :金牛是孤独的，从来不喜欢[右哼哼]和别人抢东西，希望在身边的人都是心甘情愿的留下来。人来人往中，要金牛对一个人上心不容易，初接触金牛的人都被他那种不冷不热的态度吓走了。 ​​​

59 :【香辣干煸肥肠】肥肠入锅加老抽、生抽、水、少许二锅头、葱姜蒜、八角、桂皮、香叶、少许盐、糖，卤煮40-60分钟。卤好切块放入锅中不加油小火干煸盛出。锅中留底油，放入洋葱块翻炒。翻炒至洋葱[嘻嘻]变软，将洋葱移到锅边，放入葱姜蒜、干红辣椒段炒香。放入肥肠和青椒翻炒，最后加适量盐调味。 ​​​

60 :把持生命的单纯与温柔，在谦卑而实诚的信仰里，只有具备平常心的人才会对朋友赤诚相待。省略寒暄，让懂得回归清澈，在心底种上荷花，抖落尘埃，让每一个清[甩甩手]亮的日子，还有漫无边际的感怀，都披上紫色的欢喜，淡无声息的留给岁月。 ​​​

61 :【心理建议】要想活得不累就得少点攀比，要想活得不烦就得少点计较，要想过得不苦就得少点懒惰，要想活得不悔就得少点鲁莽。如果你能把做事当锻炼，把忙碌当享受，把挫折当成长，把吃亏当收获，把不幸当噩梦，把成功当往事，那么，你的[落叶]生活就会感到无比宽慰，无比自在。 ​​​

62 :【三星硅谷总部启动运营可容纳2000员工】9月28日讯，目前，三星有700名员工正在北圣何塞FirstStreet办公。该公司表示，位于NorthFirstStreet和TasmanDrive的这一办公楼可容纳2000名员工。这处大楼共有10层，包含了[江南style]大型科技公司办公楼所需的一切：健身房、咖啡厅，甚至“冷却区”。 ​​​

63 :【治黄褐斑偏方】山楂橘皮饮祛斑准备好适量的山楂，洗净后让入锅中，然后在其[草泥马]中加上少量的橘皮和清水熬煮，煮好后放置一旁冷却，温热的样子就用纱布过滤，隔渣取汁，再添上适量的蜂蜜调和饮用，可去黄褐斑。 ​​​

64 :【索纳塔九/新K5等现代起亚2015新车展望】在前11个月中，现代品牌的销量达到100万辆，起亚品牌的销量达到了近58万辆，其中现代在各品牌销量排行中位列第二，超出排在第三的丰田15万辆之多。2015年已经拉开了序幕，新的一年，新[江南style]的开始，现代和起亚将继续发力，推出多款新产品。 ​​​

65 :【吃豆腐延寿又减肥】①吃冻豆腐有助减肥，冷冻之后的豆腐产生一种酸性物质可破坏人体内积存的脂肪。②豆腐可加快新陈代谢延年益寿。③补脾益胃、清热润燥。④豆腐富含植物[不要]雌激素，可预防骨质疏松症。⑤是儿童生长发育的重要食物。 ​​​

66 :学开飞机哪[可爱]家强？中国山东找蓝翔！ ​​​

67 :信任就像一张纸,皱了，即使抚平，也恢复不了原[偷笑]样了。 ​​​

68 :1933年，一艘法国考察船在南海发现一座从没见过的小岛[lt切克闹]，半月后消失。3个月后在50公里外再次发现，类似这样的事件很常见，但没有找到科学的答案来解释，这些岛失踪后又出现的原因。 ​​​

69 :【美国游戏行业正疯狂增长工作岗位平均年薪高达58万元】最近[爱你]，美国娱乐软件协会（ESA）与经济学家股份公司发布了一份新的报告，解析了游戏行业对于美国经济发展的影响力，该报告名为《21世纪游戏：2014报告》。该报告显示，游戏业直接带来的工作岗位平均年薪为9.5万美元（约合58万人民币元）。 ​​​

70 :编辑点评：用餐处可以欣赏到屋外的绿茵与[衰]树木，在阳光的照射下郁郁葱葱的草地势必会让用餐的人拥有一个极好的心情。 ​​​

71 :【上班族最离不开8种食物】①西红柿：美白抗衰老。②菠菜：保护视力、远离缺铁性贫血[飞机]。③姜：防感冒。④土豆：护脾胃。⑤蘑菇：提高免疫力。⑥大豆：抑制肿瘤、远离冠心病。⑦鸡蛋：增强记忆力。⑧鱼：含镁，可缓解紧张情绪。 ​​​

72 :装饰Tips：咖啡色的榻榻米搭配同种色[甩甩手]调的圆形木质茶几，一体感一涌而出，显得沉稳大气。 ​​​

73 :【白发染黑很危险】很多人为了让白发变黑，热衷于染发。多国研究显示，经常染发的人，乳腺癌、皮肤癌、白血病、膀胱癌[握手]的发病率都会增加。特别是中老年人，由于抵抗力低、免疫力下降，容易发生染发后的毒性反应、接触性皮炎，甚至肿瘤等疾病。 ​​​

74 :谋事在人，成事在天。生活中诸多不易，与其固执已见，钻牛角尖，不如放松一下，来点自嘲。自嘲是生活的艺术，是一种自我安慰和自我帮助，是对人生挫折和逆境积极、乐观的态度。它并非逆来顺受、不思进取，而是随[握手]遇而安，放弃可望而不可即的目标，重新设计自己，追求新的目标。自我解嘲，活出潇洒 ​​​ 全文

75 :喵星人[草泥马]的各种萌眼神。 ​​​

76 :这就是[礼物]女人！ ​​​

77 :【紧急使用保湿乳液精华】肌肤出现了起[生病]皮的情况，说明皮肤严重缺水，所以需要赶紧补水，平时用的化妆水、面霜都不管用，应该使用保湿乳液精华，内含的湿润因子能够快速渗透肌肤的角质层以下，快速滋润干燥的肌肤。 ​​​

78 :Milo是一款很干净整洁的手机支架，支架托盘表面使用了高科技的微吸技术，把光滑表面的手机吸到支架上，等待几秒钟，只要你不用点力气[帅]拽它，手机就不会脱落，将你的手机多个角度牢牢地固定住。然后，你就可以欣赏视频，或者自己喜爱的App了。 ​​​

79 :“你是不是傻啊？”“嗯。”“你上辈子是不是猪投胎的？”“嗯。”“你不是对我最好的。”“胡说！”“你终于不再赞同我说的了啊。”她得意的笑。“再赞同我就失去你了。”他无奈的看着任性的她。我想赞同你的所有，只要你不[偷乐]离开。 ​​​

80 :【职场走向成功6句话】1、成功的第一步就是，你要敢和别人不一样。2、惟有能提出好的问题，才能得到好的答案。3、成就缘于梦想和自信。4、愚人向远方寻找快乐，智者在身边培育春光。5、生活和工作都是蕴藏美的富矿，需要你发现。6、有三种东西必须尊敬：坚毅、自尊和仁慈。 ​​​

81 :【育儿心理学：让孩子把话说完】孩子也有独立的人格尊严，他们有表达内心感受，阐述自己看法的自由。做父母的应耐心地让孩子把话说话，孩子说得有理，应该赞赏，孩子说得不合理，可以进一步交换意见，直至解开孩子心中的疙瘩为止。只有这样，才能建立健康、合理的亲子关系。 ​​​

82 :听六个大男孩为你唱一首歌美国另类摇滚乐队Paradise Fears单曲What Are You Waiting For原声版MV首播！！你的吉他我的贝斯，你的键盘我的鼓，六个大男孩在一起演奏出了不一样的清新感觉，陷入无法自拔！！ ​​​

83 :【切奶酪】在游戏中，你的任务就是要不断的切开奶酪，但是需要注意，因为有时会有会有葡萄酒甚至是奇怪的龙飞过。本作只有单一的无尽模式，只要玩家不切错切漏就可以一直玩下去，挑战最高分是它的唯一目标。 ​​​

84 :【巽寮湾沙滩浴场】巽寮湾沙滩浴场位于大亚湾东岸，处北回归线以南，依山傍海，山海相嵌，海天交融。总长20多公里的海岸线内有8个海湾，海面隐隐约约分布着大大小小数10个洲，海水清澈透明，沙滩坡度平缓，沙粒细腻。 ​​​

85 :《白色相册(纯白相簿)》 第06话，冬日的天空下，和她的关系渐渐改变……即便是悲伤，也是非常温暖的故事。在经济泡沫来临的前夕，在沥青马路上，满地都是旧式罐子开口的时代...不必说手提电话了，就连车内电话都很稀有。 ​​​

86 :一朵云的飘移，使你看见了人间故事有如众神的戏剧，领悟了无常聚散而懂得放下。涌动不息的海浪、穿花飞舞的蝴蝶、不舍昼夜的流水……大自然里充满疗愈的能量，只要你静下心来去感受，永远可以让你源源不断地汲取。——《生命要浪费在美好的事物上》 ​​​

87 :Secret所属社TS18日表示Secret第三张迷你专辑主打曲《Poison》。 ​​​

88 :不要把生活活得那么沉重，生活里没有那么多的大是大非，受些委屈，吃些小亏，开心的面对生活，不必要冲着镜子大喊大叫，别人对你的态度就是你对别人的态度，一番寻找不如扪心自问。 ​​​

89 :【蚝油杏鲍菇】1.杏鲍菇洗净，切成厚片。2.平底锅倒油烧至温热，放入鲍菇片，煎软，两面微黄，盛出。3.原锅中放少许葱末爆香，放入煎好的鲍菇片。4.倒入酱油，再放蚝油炒匀。5.加点清水。6.烧个1分钟左右，最后锅里最好留少许汤汁然后盛出鲍菇片，把剩余的汤汁浇在鲍菇片上。7.装盘，撒香葱装饰。 ​​​

90 :下午出去散步，看到一个哥们儿蹲在路边喊，7号，7号跑在最前面，6号紧追不舍，哎呀，3号飞速超越，马上要超了，3号，3号……我以为他在看手机跑马，过去一看当场天雷滚滚啊，这天杀的在看蚂蚁搬家，尼玛。。 ​​​

91 :【浙大城院清纯妹JOYIN军训照曝光 妹纸一颦一笑让人心醉】军训的时候，很多女孩子都不太愿意拍照片，要知道一般的人穿上那套衣服，真是要多丑就有多丑。但是浙大城市学院就存在着一位“军训女神”，该妹纸清纯的脸庞让摄影师都赞叹不已。 ​​​

92 :把鸡蛋做成一个小推车，手艺真的是太好了，这样的创意实在是厉害。 ​​​

93 :难过的时候.可以抬头望星星.望着望着就忘了. ​​​

94 :有时候，你要搞清楚，你被尊重的，是你的职位或者是你戴面具时所扮演的角色，而不是你本人。 ​​​

95 :There are two primary choices in life: to accept conditions as they exist, or accept the responsibility for changing them.- Dr. Denis Waitley人生两大选择：要么接受现状，要么接受改变现状的责任。 ​​​

96 :舔着好累啊，自己去洗澡吧 ​​​

97 :练剑，为了他；习刀，为了他；学掌，为了他；甚至连创教立派也是为了他，可他却视若未见，恍若未闻。他伤了情，寒了心，想要离开这是非之地，尚未运气，便听身后一身怒喝：“你敢走，我现在就脱光了去未央宫屋顶上练轻功！”他条件反射的答：“皇上圣明！” ​​​

98 :【康卡斯特放弃450亿美元收购时代华纳有线】4月24日讯，面对来自各方的反对力量，康卡斯特已经放弃了收购时代华纳有线公司的计划，最终决定即将宣布。据知情人士披露，当地时间周四，康卡斯特的董事会将开会，讨论放弃斥资452亿美元收购时代华纳有线，本周五，决定有望对外宣布。 ​​​

99 :【梦幻白沙漠 星球外的风光】白沙漠位于埃及西部法拉法拉绿洲，沙漠位于法拉法拉以北45公里处。这里的沙子呈奶油一样的雪白色，和周围的黄色沙漠形成鲜明的对比。高耸的白垩岩层屹立在埃及白沙漠中，仿佛巨大的蘑菇群，它其实由数千年沙暴“雕刻”而成。 ​​​

100 :我只是需要一个不会放弃我的人. ​​​

101 :这是一个不公平的不可逆转的命题. ​​​

102 :【胭脂来源与命名】后唐《中华古今注》说“燕脂起自纣…因产于燕国而名”。这是误说，先秦无胭脂记载。《史记》《汉书》出现焉支、烟肢名，唐代才写作胭脂。一般认为汉初从匈奴传入。汉《匈奴歌》：“失我阏氏山，使我妇女无颜色。”此物因产于阏氏山（在甘肃）名“阏氏yānzhī”，后形变为“胭脂”。 ​​​

103 :小孩子哭了怎么办？不要紧，最新让小女孩快速停止哭泣的方法——一副墨镜足矣。一副墨镜搞定哭泣小萝莉，好神奇啊。戴墨镜的小女孩灰常有气场，笑抽人了！ ​​​

104 :最强大脑德国版：人脑瞬间幂次方运算！简直就是摇头晃脑的绕口令表演~~绝对的膜拜啊！ ​​​

105 :【人大微电影】跑酷人大用闯关的方式了解人大~~Are U ready？Let\'s GO！！ ​​​

106 :【"中华第一佛洞"弋阳南岩寺 南方敦煌之旅】江西弋阳南岩寺（佛陀山）又名南岩佛窟或南岩佛洞。在江西弋阳国家重点风景名胜区龟峰二景区（南岩景区）内，其三面红岩环绕，寺随岩架立，不瓦而栋，不檐而藩，岩下洞穴宽70米，高30米，进深30米，可置千余人。 ​​​

107 :【「魔法少女小圆」推出恶魔化晓美焰盒蛋及灵核套组】剧场版「魔法少女小圆 叛逆的物语」版灵核套装，以及恶魔化晓美焰的盒蛋套组开始预约！其中灵核预计8月发售，售价5400日元。而恶魔化版晓美焰由Aniplexplus限定推出，售价4860日元，目前2款周边都已经开始预约。 ​​​

108 :《新世纪福音战士》之明日香COS。 ​​​

109 :恍惚间，有一宫装美妇立在床头，眉眼间依稀是妈妈模样。她喜不自胜，口中却只能发出婴儿咿呀之语。妇人伸出纤纤玉手，卡在她喉间，垂泪道，“对不起，这是母亲唯一扳倒王皇后的机会，若有来世，娘还命与你。” ​​​

110 :说，女人如酒，越醇越香。不张扬，却越品越有味道。时光如水，我亦如水，渐渐被岁月酝酿成一杯香醇的红酒，拥有了独一无二的优雅与端庄。一颦一笑，一举一动，都散发着淡淡的芬芳与清香。经过岁月的洗礼，我已经静美如秋叶。淡淡感悟着人生的不易，在从容和坦然中静静品味着岁月的安静。 ​​​

111 :六一节到了！祝所有的大朋友们和小朋友们都节日快乐！酱油献唱一首《拨浪鼓》！希望大家保持童心，天天开心~ ​​​

112 :内涵…… ​​​

113 :喵星人 喝水喝的很爽吗？？？？？？？ ​​​

114 :【新一代奥迪A4内饰曝光 更新MMI车载系统界面】海外媒体日前发布了新一代奥迪A4内饰，MMI车载系统界面升级。该车预计2015年上半年上市，将以2016款车型名义销售。谍照中显示的为混装测试车（Mule），即新车底盘和动力总成，配上现款车型的车身。 ​​​

115 :【ABC谋杀案】《ABC谋杀案 The A.B.C Murders》讲述了一个逍遥法外的连环杀手通过字母表一步一步实施犯罪。作为死亡标记，杀手在每个被害人的尸体旁留下一本ABC铁路旅行指南，翻开的那页就是杀人之地。 ​​​

