菜花甜妈冰具 男/吉林         加关注
32 :一等美女漂洋过海，二等美女深圳珠海，三等美女留在上海，四等美女乡下等待，五等美女下放劳改！ ​​​

33 :爱情在第一个月内是非常高温的，人在这种状态下是一种完全迷醉的感觉。对方什么都是好的，两人你眼望我眼，我眼望你眼，怎看怎好。 ​​​

34 :Fun-Vii 概念车，拥有一个可定制的外观，驾驶者可以通过使用专业的应用程序来改变，就像电脑系统中切换桌面一样。新车内部采用了“2+1式”的驾乘空间设计，在中控台的右侧上有一个使用投影仪所“释放”出的“真人助理”。 ​​​

35 :涨姿势了，原来"Justdoit"中的it=IT…… ​​​

36 :理工科就是这样，男女比例严重失调…… ​​​

37 :【盆栽酸奶】1.自制酸奶一杯2.将蜂蜜打圈均匀淋在蜂蜜上3.将奥利奥揉碎撒在酸奶上，再插上小薄荷叶就OK了。 ​​​

38 :据英国《每日邮报》5月11日报道，英国野生动物摄影师安德鲁·沃姆斯利（AndrewWalmsle）日前在印尼苏拉威西岛当果果(Tangkoko)国家公园中拍摄到感人一幕：一只雌性恒河猴怀中紧抱已经死去数天的幼子不忍放手，深情凝视着幼猴。 ​​​

39 :尼日利亚某些地方，女孩如果一旦破处，必须找证人鉴证，证人不是人人可以做，一定要由两个充满性经验的女人担任。从做爱方式到破处流多少血全部都要记录在案，做完后还要研究鉴证处女膜的厚度。 ​​​

40 :【快讯】：沪指午后继续走高涨近2%钢铁股活跃http://t.cn/R4LNvyo ​​​

41 :【有步骤扩展开来涂抹】先把面霜点在下巴、两颊、额头和鼻尖，然后从下巴开始以打圈的方式缓缓向上，经过鼻子，到额头;再从嘴角两边向上将脸颊上的面霜也涂开。对于舒缓香型的产品，这种方法能让嗅觉灵敏的鼻子最先享受到芬芳的抚慰。 ​​​

42 :【《封印者》成近期最差新游连续5周下滑】在韩国权威游戏综合排名网站Gamenote发布的全新一周的韩国网游排行榜中，于12月23日开启公测Nexon动作新作《封印者》数据继续大幅度下滑，该作品已经连续5周出现了下滑榜TOP3的行列。 ​​​

43 :抬出去 ​​​

44 :【三色蒸蛋】鸡蛋打散，加橄榄油1大勺、高汤2大勺、鸡精适量拌匀；将皮蛋、鸭蛋去壳切成方丁入底部加铺锡纸的方形器皿中；将拌好的蛋液倒入器皿中；器皿表面加铺一层保鲜膜，入锅中中火蒸15～20分钟；冷却后取下保鲜膜，倒扣在盘中；撕掉锡纸，将其切成自己喜欢的形状，淋上香油即可。 ​​​

45 :【五句育儿真言成就优秀宝宝】想教育出优秀的宝宝，妈妈首先要学会对孩子说以下五句话：1.“自己来做决定吧。”2.“妈妈爱你，但妈妈不喜欢你这样做。”3.“你其实是想说什么？”4.“你来试试帮我解决这个问题。”　5.“不同的人有不同的需要。”试试看～ ​​​

46 :英国一女子在超市所购沙拉中吃出5厘米活蜥蜴！据英国《每日邮报》11月11日报道，英国一女子从超市购买的蔬菜沙拉中发现了一只活蜥蜴，这让这位素食者十分惊恐。 ​​​

47 :豪乳美女车模性感豹纹车内诱惑照片！ ​​​

48 :白色t恤搭配黑色迷你裙，可爱又活力满满，再配上一件蓝色西装，更添了些成熟稳重的味道。 ​​​

49 :阿里健康联合滴滴出行推出医生上门服务http://t.cn/RyBtL0N ​​​

50 :【文成梧溪村：古民居里感受岁月变迁】梧溪村，是温州文成县西北面西坑畲族镇的一个小村，一条数十米宽的大溪穿村而过，村名由此而来。梧溪建村至今已逾700年，村里走一圈，印象最深的就是两个字“岁月”。 ​​​

51 :家长会上，一胆小的学生家长和老师在谈。老师：喂，你孩子不能和同学们打成一片。家长：还请老师多多教育，我这孩子从小就胆小，人多的地方他不敢去，特别是打架！老师：...。 ​​​

52 :旋转而上的楼梯，其楼梯的搁板则是放上各种的酒，变成了另类的酒柜，成为另外一种的创意。 ​​​

53 :FastFood水果罐头包装设计，让人觉得水果新鲜得就像刚采摘出来的一样! ​​​

54 :乃们谁要搭车不 ​​​

55 :【中国家长最厉害的10把“刀”】1：砍去仁慈，种下暴戾；2：砍去爱心，种下自私；3：砍去诚实，种下说谎；4：砍去冒险，种下平庸；5：砍去守纪，种下违法；6：砍去善良，种下恶行；7：砍去自然，种下破坏；8：砍去创新，种下机械；9：砍去欣赏，种下嫉妒；10：砍去竞争，种下仇恨。 ​​​

56 :【六种食物不能生吃】①豆浆。②苦杏仁含氰甙，氢氰酸可引起急性中毒。③四季豆含凝集素，可引起恶心呕吐，重则致命。④生食海产品可能致维生素B1缺乏。⑤生鸡蛋常含沙门氏菌。⑥鲜黄花菜含秋水仙碱，进入人体形成氧化二秋水仙碱，极毒。 ​​​

57 :【心理箴言】在年少时，生活是盾，我们是矛，自以为坚硬，于是总是爱以棱角冲撞它，看看它背后藏着什么。而长大后，走出了校园，才发现生活的真实面目是矛，不断地在冲击我们，坚硬而冰冷，于是我们只能将自己变成一只盾，再疼也要把棱角磨平。 ​​​

58 :【魏氏庄园】魏氏庄园是目前发现的中国最大、保存最完整的清代城堡式民居。庄园位于惠民县城东南30公里220国道南侧魏集镇的魏集村。它是清代布政司理问、武定府同知魏肇庆的私人宅第，建于清光绪十六年至十九年，历经战争洗礼和政治运动冲击，1996年被列为第四批全国重点文物保护单位。　　 ​​​

59 :要减肥了 ​​​

60 :上网总会遇见这种坑爹的事情，起名字最恶心了！ ​​​

61 :姐姐:我刚学会了做红烧肉，要不晚上我们做盘尝尝吧。我:好啊好啊，很久没吃过了呢，多放点糖哦。姐姐:糖吃多了会胖的，你个馋猫。我:我还想吃点虾仁炒油菜。姐姐:好，我这就给你做满汉全席！隔壁:上个厕所能不能聊点别的话题！ ​​​

62 :【心理提醒】人生旅途中，大家都在忙着认识各种人，以为这是在丰富生命。可最有价值的遇见，是在某一瞬间，重遇自己，那一刻你才会懂：走遍世界，也不过是为了找到一条走回内心的路。 ​​​

63 :餐桌上摆放的艺术画，无论从色彩还是形式，都和家中现代感十足的设计风格相呼应，也是80后设计师独特的性格展现， ​​​

64 :要了解应聘者广泛的、一般的背景，了解这一类信息可以直接从求职者的简历中获取,以及动机——应聘者想从工作、组织和工作地点中得到什么,面试官应注意记录下这些信息。 ​​​

65 :【翻转插座】由XuZhang设计的翻转插座（LiveSocket），将插头插上去之后，电源自动接通，同时点亮绿色的ON指示灯；将插头向下翻转90度时，关闭电源，显示红色的OFF，并将插头收纳于插座中。既节省能源，又能确保安全。 ​​​

66 :一个人活在这个世界上为了什么呢？我告诉你，是去经历和享受。没做过的事情要做一做。无，则努力追求，有，则尽情享乐。合，则来，不合，则散，这是简单却正确的道理。 ​​​

67 :【三菱新欧蓝德混动版】2014年，三菱汽车全球销量超过111万辆，与2013年相比仅增长0.5%，并未达到三菱公司的销售要求。为顺应市场趋势，应对其他车企发出的挑战，并进一步刺激低迷的市场以打开销路，三菱在巴黎车展上便推出了混动版SUV车型欧蓝德PHEVConcept-S。 ​​​

68 :和主管领导以及老板处好关系,私人企业里都是老板领导说了算，所以一定要和领导处好关系，就算所有的同事都不喜欢你，但只要领导喜欢你，你就没有事,反之，就算所有人都喜欢你，偏偏老板看不惯你，那你也肯定没有好下场。 ​​​

69 :编辑点评：艺术源于生活，所以艺术必然要回归到生活。原木色的地板奠定空间自然气息，碎花线条床褥延展空间民族特色，再朴素的壁纸也少不了淳朴原始的艺术画的加盟。 ​​​

70 :看印度小男孩放声歌唱，满满的唐老鸭即视感！不去做声优简直可惜了~~宝贝也开挂啊！ ​​​

71 :美国饶舌创作歌手Nicki Minaj最新狂野浪荡MV《Starships (Explicit)》，麻辣鸡此次依然延续强势的粉红色系，海滩都瞬间绚烂了，而歌曲的节奏依然那么的突出，肌肉男，比基尼，种种元素交织在一起，晕眩+诱惑你的想象。彩色浪潮来袭，各位快冲浪去吧。 ​​​

72 :Sometimes you must let it go , to see if there was anything worth holding on to. ------ 有时候，你必须放手，才能明白是否它真的值得你拥有。 ​​​

73 :【H&M、ZARA等10批次童装不合格】9月10日，相关媒体报道，浙江省工商部门对知名品牌童装进行监测发现，10批次童装不合格，其中包括H&M、ZARA等知名品牌，不合格项目主要有pH值、耐摩擦色牢度、耐洗色牢度、耐光色牢度、纤维含量及产品标识标志。 ​​​

74 :【九边重镇 塞上驼城 】榆林历史悠久，人杰地灵。丰富的黄土文化与草原游牧文化汇聚交融，使这里荟萃了众多风姿独特、雄奇壮美的自然和人文景观[微风]。因为它地处沙漠带，土壤适合种榆树和柳树，以前人种树设城，城像骆驼，故名“驼城” 。这些地方你们都去过吗？ ​​​

75 :美女同事放了个屁，男同事调侃说“嗯！还是老坛酸菜的！” 美女同事看了他一眼“看不出来你还是二郎神派下来的啊！” 卧槽！骂人都不带脏字！ ​​​

76 :革命导师列宁工作十分繁忙，但只要回到家中，他总是主动争取多干些家务活。有一次，列宁正在工作室写一篇讲话稿，突然听到岳母在厨房里轻轻地对他夫人说：“面包吃完了，喝茶都没有面包了。”妻子说：“我马上就去买吧！”列宁听到后，立即穿上外衣，说：“要买面包吗？这应该我去。” ​​​

77 :如果这个世界上有一百个人爱你，那么爱你最深的一定是你的妈妈。如果这个世界上有十个人爱你，那么爱你最深的一定是你的妈妈。如果这个世界上只有一个人爱你，那么这个人，一定是你的妈妈。今天母亲节，不要吝啬对这个世界上最爱你的人说一句：妈妈，我爱你。 ​​​

78 :我以为2012已经是蛇精病的一年，坑爹的一年，有生之年，无出其右，但是万万没想到，2013丝毫不给2012面子，不但继承了2012坑爹的一面，还自编自导演绎了一系列神奇奇葩的事件··· ​​​

79 :正在吃面的阿试说：“女友和方便面其实一样。”小克问：“为什么？”阿试说：“都得泡！” ​​​

80 :这是两首歌曲连在一起的视频，第一首《Gothica》只有1分多种前面的MV，后面的是第二首《Fleurs Du Mal》，哈哈~~旋律超棒，特有气势！ ​​​

81 :【动动手指 改善睡眠】手指操，失眠或睡眠质量差的病人，坚持做这套手指操后，睡眠质量明显改善；一些原本情绪烦躁、轻度抑郁的人，做了手指操后，人慢慢地变得开朗了起来。PS：能改善睡眠增强记忆力，赶紧学起来！ ​​​

82 :【酸豆角炒鱼仔】1.青公鱼用温水洗净沥干水份备用，酸豆角洗净切段，辣椒洗净后切片，姜切丝，大蒜切片2.小火慢慢把鱼煸干水份至微微金黄变香脆后起锅盛出3.热锅热油中火下姜丝和蒜片爆香，再把酸豆角和辣椒加入快速翻炒，炒至辣椒断生4.加入小鱼翻炒，再加点生抽和盐翻炒均匀后关火盛出即完成。 ​​​

83 :赖床是对周末最起码的尊重…… ​​​

84 :不要救我，让我的膝盖碎成渣吧。 ​​​

85 :“狼牙山五壮士”是指在抗日战争时期，在河北省易县狼牙山战斗中英勇抗击日伪军的八路军5位英雄，他们是马宝玉、葛振林、宋学义、胡德林，胡福才，他们用生命和鲜血谱写出一首气吞山河的壮丽诗篇。 ​​​

86 :他为你掉下悬崖背上道道伤疤，他被人割破喉咙差点变成哑巴，他手臂上划的十七刀正是你名字的笔画，他为你沧桑了容颜掉了头发，他为你伤痕累累苦海中挣扎。张起灵，若爱若心疼，请离开长白山回到他身边去吧。 ​​​

87 :当夜色渐渐降临，从远处看去，色彩的交相辉映配上灯光的效果，使整个空间更是美轮美奂，宛如一个梦幻般的世界。灯光投影在水中，屋子前的植物也在水中摇曳，自然的美感在此彰显无遗。 ​​​

88 :夜晚安静中，点一盏灯，煮一豆羹，赏一抹月光，把灵魂一点一点擦亮。随便翻开一页，邂逅其中任意一句。与朵朵一起走进生命中安静美好的时光，慢慢享受生命中那些渺小却重要的爱好、乐趣，让一颗身处浮世的心不再彷徨、焦躁、不安。——《生命要浪费在美好的事物上》 ​​​

89 :【心理建议】如果你过得不开心，那不是别人的问题，那是你的问题。同样是上班，有人听着歌哼着小曲蹦蹦跳跳，有人皱着眉头睚眦必报。如果所有的人都逃避你，那不是别人的问题，那是你的问题，同样是下班，有人做饭摄影逛街聚会，有人烂醉嚎哭死宅，你的生活为何如此不堪？先问问自己。 ​​​

90 :湖北天下第一吊锅吸引近万名吃货!2015年1月24日，一座直径5米、高3.5米的铜制超级大吊锅在湖北罗田县余三胜广场亮相，这个吊锅的食材有300多种，包括有板栗、土鸡、黑山羊、黄牛肉等，总重达3吨，可供百人食用。被上海大世界基尼斯中心认证为“天下第一吊锅”。 ​​​

91 :我欣赏着生命，就像欣赏着绿。有灵魂的生命不仅有一个个鲜活的细胞，而且它的颜色呈现出令人心动的绿。生命是天地间最美的舞曲；世界上一切美的东西都是生命和生命的结晶。是生命，创造了生命的肌体。是生命，创造了生命的世界；是生命创造了生命。 ​​​

92 :有一种境界叫超然，有一种达观叫了然，有一种天真叫自然，有一种态度叫悠然，有一种成就叫斐然，有一种繁盛叫蔚然，有一种愉悦叫欣然，有一种释怀叫惠然，而我要的那种幸福，是淡然。 ​​​

93 :【无节操脑洞系列！角色造型饮料瓶的新玩法——裸体果冻】有日本网友又发扬了无节操 脑洞的“优良传统”，制作了一款新作品。其实制作也很简单，只不过是向咖啡中加入琼脂等凝固用的材料。之后倒入饮料瓶中，等待凝固之后小心地将饮料瓶剪开就好了。可拍可舔，还可食用… ​​​

94 :办公室是一个如此神奇的地方，你的手机、钱包、车钥匙放在桌上一个星期也不会有人碰一下，但只要你的笔脱离视线一小时，必定下落不明！ ​​​

95 :后宫佳人三千虚设怎抵王府情浓。皇后之位空悬，伊人早已为弟媳。不如不遇倾城色，此生为你负千人。 ​​​

96 :龚琳娜当年中国音乐学院民歌状元绝对不是吹啊！这首民歌《小河淌水》唱的美cry，其他几个选手看这实力瞬间就吓尿了··· ​​​

97 :不要说，离开以后还会想念；不要说，分手以后还是朋友。离开一个地方，风景就不再属于你；错过一个人，那人便与你无关. ​​​

98 :【过山车大亨】这是一款非常受欢迎的虚拟经营游戏，玩家可以在游戏中拥有一个大型的游乐园来赚取金钱，还可以建造多种娱乐设施。不仅仅是过山车，还包括旋转木马、碰碰车、马戏团等等，通过长期的建造与经营，玩家将打造属于自己的世界上独一无二的大型游乐场。 ​​​

99 :进击的时代，一般人做不到，各类神技能大盘点！伙伴们~~你们这么开挂，家里人知道么？ ​​​

100 :【鱼尾狮像】是新加坡的代表。鱼尾狮是一种虚构的鱼身狮头动物，传说公元14世纪时一位来自三佛齐王国名叫圣尼罗乌达玛的王子在前往马六甲途中来到了新加坡。他一登陆就看到一只神奇的野兽，随从告诉他那是一只狮子。他于是为此岛取名「新加坡」，在梵文中即「狮城」的意思，而鱼尾象征当年飘洋过海。 ​​​

101 :金黄色的床单非常亮眼，透露出尊贵的气息。 ​​​

102 :不少业界专家和企业的高管也表示，职场“软实力”已成为评价个人非常重要的标准，同时他们也承认,在平时的工作聚会或者公司年会上，拥有一技之长的员工,比如有的员工歌唱得特别好，就会很受欢迎。 ​​​

103 :【白醋+水】白醋中含有酸性成分，能够促进皮肤新陈代谢，防止粉刺黑头的滋生，也有很好的美好功效。因为白醋的有酸性成分，不能直接涂抹在脸上，可以按1：20的比例加入水，早晚洗脸，轻松去除角质，让皮肤更加白皙光滑。 ​​​

104 :两个家族爆发战争,青梅竹马却要阵前交锋。一战半年,双方兵疲马困。恩望向天:"明日是最后了"山另一边、义拿起泥土放入嘴里:"这就是决胜之地。――当晚恩夜袭大营,得手就退。退路却被重重包围,树林起火,义回头杀去,恩首当其冲。突然雪花飘下,火全灭。"逝雪深,笑意浅、来生渡我,可愿。"义死前隐约听到。 ​​​

105 :【隔代教养的那些知识盲点,如何改变?】中国外祖父母含辛茹苦带养孙儿辈的故事经常会戳中我们的泪点,因为祖孙情比父母的爱还来得无欲无求!但隔代教养的知识盲点也不少.1不停喂东西给孩子2总在无意间打扰孩子3影响父母的教育权威4忽视运动的重要5阅读机会缺乏… ​​​

106 :【9大致猝死恶习排行榜】①用力解大便。②大量喝酒或咖啡。③心情抑郁。④暴饮暴食。⑤纵欲过度。⑥吸食毒品。⑦吸烟或被动吸烟。⑧吃得太咸或太甜。⑨久坐不动。猝死前，身体都会发出细微信号，比如心悸、胸闷、头痛、眩晕、呕吐等，最典型症状是胸痛。 ​​​

107 :大爷，你听到了啥刺激的东西？ ​​​

108 :【细数小儿腹痛10种原因】婴幼儿由于胃肠道微环境及解剖生理特点，腹痛与成人差别明显，仅病因至少十种。所以小儿腹痛不能乱吃药，鉴别病因，对症施治很重要。腹痛十因：1肠道蛔虫2胆道蛔虫3肠痉挛4阑尾炎5嵌顿疝6婴儿肠胀气7肠套叠8肠系膜淋巴结炎9细菌性痢疾10急性胃肠炎。 ​​​

109 :生命中充满了巧合，两条平行线也会有相交的一天。 ​​​

110 :多亮VS李代沫。[蛋糕]多亮演唱《可惜不是你》南京很冷，还下着小雨。多亮似乎有点感冒。但依旧把可惜不是你唱出了多式风格。李代沫演唱《傻瓜》，温岚的《傻瓜》被李代沫演唱的淋漓尽致。“傻瓜 我们都一样 受了伤却不投降 相信付出会有代价 代价只是一句 傻瓜”。 ​​​

111 :在我心中，会打篮球的人，必定个子高，手脚长。 眼前这位76岁的老奶奶，[甩甩手]身高不足一米五，投篮“百发百中”？ ​​​

112 :伊兹科娃古典吉他《十一月的某一天》，美妙的音乐，让你的耳朵享[吃惊]受一场听觉盛宴吧！ ​​​

113 :《小魔女DoReMi》第2季第1集    K5CSJg，第二部[咖啡]的剧情是接再第一部之后发展的，升上小学四年级的一小麻烦魔女们在“最后一次”到魔女世界去的时候，从盛开的花朵中看见了诞生的魔法婴儿。 ​​​

114 :蓝翔学员的日常系列~~过去的科目2考试都弱爆了，看看人家是怎么倒车的，这[囧]简直是在玩命啊！ ​​​

115 :科拉传奇 [偷笑]第一季：第12集。 ​​​

116 :双胞胎小姐妹俩自娱自乐，一个吹泡泡逗另一个笑，俩[打哈气]小家伙是天生来说相声，唱双簧的吧！ ​​​

117 :她以为他没听进。就这样，两个人再也不说话了。等到再开学时，她发现他天天都穿那件白衣服。并且那件白衣服总是干干净净[干杯]。有一天，她以外的发现他的衣服总是湿湿的。后来她知道了，他总是在衣服有一点点脏的时候就洗了它。 ​​​

118 :Ladies' Code最新Single Album主打曲《Kiss Kiss》完整版MV公开，女孩[握手]们的Kiss故事终于展现在大家面前。此次专辑由Super Changddai制作，节奏感强的旋律搭配华丽的Waacking Dance让人眼前一亮。 ​​​

119 :老外嘻[疑问]哈说唱中国美食！我爱中国菜，色香味俱全！ ​​​

120 :“像一个千里外的星光，我们只能对望，相信爱不会说谎，只是分开收藏，我等候的愿望，总是失望，像流星遥远却会追望，你的爱的[月亮]力量···”---林志颖《放羊的星星》片尾曲《对望》。 ​​​

121 :著名的台球艺术家Florian“毒液”科勒在[抓狂]中国展示逆天杆法，魔幻杆法秀，让人目不暇接。 ​​​

122 :无法阻挡！1米73矮个控卫高[鼓掌]速穿梭内线长人阵，谁说篮球是高个的专利？！ ​​​

123 :可爱宝宝和爸爸一起睡觉，一起打呼！有样学样，这对父子实在是[沙尘暴]太可爱了！ ​​​

124 :唐唐神吐槽！咸猪手的那些事儿~~唐唐一行人去香港旅游，被误会咸猪手，被抓到[害羞]警局的爆笑故事··· ​​​

125 :《水果忍者》不只是个2B游戏，还有另外一种功[doge]能。。。 ​​​

126 :碉堡功夫女生！逆天连[得意地笑]环腿 + 无敌旋风棍，巾帼不让须眉啊，我和我的小伙伴都惊呆了！ ​​​

127 :1997年发行的《做自己》是莫文蔚首张国语大碟，这张大碟堪称莫文蔚演艺生涯里程碑，它让莫文蔚彻底从歌坛票房毒药中走出来，并奠定了自己的[瞧瞧]歌唱风格，这首收录于《做自己》专辑中的《电台情歌》引发了莫文蔚情歌点唱热潮，当然也树立了莫文蔚情歌风格——在声音的飘忽、流离中表现情绪的闪躲。 ​​​

128 :守护甜心：第[得意地笑]4集. ​​​

129 :NU'EST正规一辑《Good Bye Bye》Choreography版MV公开，非常有层次感的One Take拍摄给人留下很深的印象，Goodbye Baby Goodbye Baby，舞蹈和歌曲[哼]都一样很有中毒性哦~~ ​​​

130 :大红短裙+圣诞帽，浓浓的节日氛围，美女跳圣诞舞遭遇意外状况，[萌]看她们如何化解？ ​​​

131 :DOTA2离子解说 ZSMJ[委屈]小鱼人 vs 战神7女王 马甲第一视角 ​​​

132 :光之[给力]美少女 第一季：第13集. ​​​

133 :《神魂合体》 01话，在西元2042年超级机械人和不知名的巨大"[good]擬態生物"的一场战争。和日本超级机械人哥单拿(Godnanner)的最後一次战役中,拟态生物的唯一巨头,架使者,高(saruwatari Goh)失去了他的爱...... ​​​

134 :《啪啪啪一分半》[得意地笑]——蜗牛壳玻璃心金牛女，如果要用一种动物来形容金牛女，那一定是蜗牛，坚硬的外壳柔软的心。 ​​​

135 :张韶涵在好友吴克羣跨刀谱写的《讨好》着这首歌中，巧妙地用自己经营的时尚品牌Temp-tation Styles的高跟鞋，来贯穿整支MV的故事架构。她靓丽无比的藉由MV、音乐影像向-世人介绍值[兔子]得她骄傲，耗费心血的时尚品牌，也对爱情，做了发人深省的提醒。 ​​​

136 :《迷途貓》 第1话 ，主人公都筑巧和自己没有血缘的姐姐两个人一起经[可爱]营着一家快要倒闭的点心店，因为作为店长的姐姐是一个迟钝的烂好人型角色，所以主人公只能靠着附近住在一起的青梅竹马芹沢文乃一起勉强维持着店的运营…… ​​​

137 :DOTA2精彩团战集锦：Symphony of Skills#[鼓掌]65 ​​​

138 :《纯白交响曲》01话 ，为人着想而爱操心的主人公·瓜生新吾。他所就读的学校将要和同一个地区的某名门女校合并。从10月起的半合[帅]并期间，新吾作为混合学习的选拔生的一员而开始在女校上学，在那里等待着他的是与个性丰富的少女们的邂逅、...... ​​​

139 :有意思的个性声音，配以爆笑动画，日和style恶[耶]搞动画之狗蛋去哪儿，傻B的儿子啊，伤不起哦！ ​​​

140 :“那一年你，你戎装掩霓裳，纵马追风走边疆，十年霜，热血沙场，关山古道写华章，月色凉，梦里妩媚，看黄河东流[din推撞]淌···”---《花木兰传奇》主题曲《女儿香》。 ​​​

141 :《忘情水》旋律优美，歌词意境好，此歌曲一出，让众多歌星黯然失色，成为永恒经典，刘德华国语歌曲的绝对代表作品，是刘德华自己主演的电[good]影《天与地》片尾曲。 ​​​

142 :蓝龙 [话筒]第一季：第14集. ​​​

143 :“像一个[江南style]千里外的星光，我们只能对望，相信爱不会说谎，只是分开收藏，我等候的愿望，总是失望，像流星遥远却会追望，你的爱的力量···”---林志颖《放羊的星星》片尾曲《对望》。 ​​​

144 :性感美女自拍热舞，欢快的音乐，俏皮的表情，S型的热辣身材，你心动了吗？hold住[左哼哼]吗？！ ​​​

145 :哈啤口感特别的爽我特别爱喝 ​​​

146 :我最看好的国产的啤酒行业还是哈啤，味道非常纯正 ​​​

147 :最后核桃没吃上还花了100多块修了修门。 ​​​

148 :一个没有硝烟的战场，中国男篮战日本立志雪前耻，郭艾伦等人的发挥举足轻重。 ​​​

149 :龙年将至民间艺人扎龙忙 ​​​

150 :办公桌上如果乱七八糟地堆放着文件，不管是谁恐怕都会兴趣索然。那么就请先把东西收拾好.只留下将要处理的文件，这样可以减轻压力，让你工作起来更舒服。而且你可以在办公桌上摆放一些小摆设和盆栽。 ​​​

151 :电筒雨伞，在雨伞的伞柄处是一个LED手电筒，采用电池供电，有了它，在雨夜中行走更安全。 ​​​

152 :巴啦啦小魔仙 第一季：第2集。 ​​​

153 :环卫工都开宝马了，让我们情何以堪！ ​​​

154 :餐厅的设计不仅运用木质和浅色系家具，沿袭了整体设计的清新自然之感。同时也恰当地利用了空间，充分考虑到房屋结构以及空间面积，选择在门口放上一张餐桌，美观又实用。 ​​​

155 :让宝宝入睡妙招，看可爱的宝宝们那些五花八门的入睡习惯，曾经的你是不是也这样呢？！ ​​​

156 :浪漫！你想在情人节和爱人这样过一晚吗？ ​​​

157 :【教你从头到脚补充果蔬】①西兰花、香蕉：护脑。②胡萝卜、柑橘：护眼。③青椒、猕猴桃：保护牙龈。④西红柿、草莓：保护心血管。⑤百合、梨：润肺。⑥蘑菇、青苹果：护肝。⑦花菜、黑提：补肾。⑧山药、桑葚：健脾胃。⑨莴笋、樱桃：保养关节。⑩豌豆、柚子：防脚气。 ​​​

158 :阿尔卑斯上的酒店，一屋一座，还有一座娱乐喝东西等用的木屋，嗷，想去！ ​​​

159 :【12星座暗恋时的专属动作--双鱼座】眼睛直盯着你，讲话暧昧 。双鱼座面对爱情是怯懦胆小的，只有搞暧昧是十二星座之冠，十分地公然大胆。他们会把脸凑到你眼前，直直盯着你，还会做很多暧昧的动作，说很多话，把你搞得心痒痒。 ​​​

